sponsor,team,expected_roi,fan_score,momentum,spend_m,negative_roi_probability,interval_width,budget_priority,avg_scenario_lift,decision_score,risk_level,recommendation
McDonald's,Norway,3.4326,0.3332,0.3691,20.44,0.0,0.42,0,0.0,1.7534,low,Monitor or defer
Visa,Honduras,3.4029,0.3092,0.4498,28.19,0.0,0.42,0,0.0,1.7486,low,Monitor or defer
McDonald's,Austria,3.369,0.4371,0.4256,21.71,0.0,0.42,0,0.0088,1.7475,low,Monitor or defer
Mengniu,Ghana,3.3833,0.3863,0.4302,23.07,0.0,0.42,0,0.0,1.7469,low,Monitor or defer
Qatar Airways,Romania,3.3812,0.3573,0.3902,19.84,0.0,0.42,0,0.0,1.7354,low,Monitor or defer
Vivo,Angola,3.442,0.209,0.3013,18.09,0.0,0.42,0,0.0,1.7296,low,Monitor or defer
Hisense,Bulgaria,3.3387,0.3432,0.4722,33.88,0.0,0.42,0,0.0,1.7262,low,Monitor or defer
Mengniu,Trinidad and Tobago,3.4177,0.2397,0.3193,22.28,0.0,0.42,0,0.0,1.7251,low,Monitor or defer
Qatar Airways,South Africa,3.2871,0.4659,0.4777,26.15,0.0,0.42,0,0.0,1.7195,low,Monitor or defer
Coca-Cola,Czech Republic,3.2743,0.3173,0.4733,28.08,0.0,0.42,0,0.0,1.6918,low,Monitor or defer
Visa,DR Congo,3.0937,0.2417,0.4243,33.01,0.0,0.42,0,0.0,1.5867,low,Monitor or defer
Vivo,Togo,3.0793,0.301,0.3277,18.08,0.0,0.42,0,0.0,1.5726,low,Monitor or defer
McDonald's,Qatar,3.0357,0.3203,0.379,21.61,0.0,0.42,0,0.0,1.5626,low,Monitor or defer
Vivo,Cuba,3.044,0.223,0.309,18.81,0.0,0.42,0,0.0088,1.5428,low,Monitor or defer
Qatar Airways,Bolivia,2.9468,0.1953,0.296,24.48,0.0,0.42,0,0.0088,1.4902,low,Monitor or defer
Budweiser,Israel,2.8023,0.139,0.3477,29.1,0.0,0.42,0,0.0,1.4202,low,Monitor or defer
