panel_id,team,sponsor,scenario,baseline_roi,counterfactual_roi,roi_delta,roi_low,roi_high,method
2018_896_Russia,Russia,Hyundai,player_injury_shock,4.418,4.1548,-0.2632,3.9978,4.3118,SCM-style deterministic intervention baseline
2018_896_Russia,Russia,Hyundai,media_surge,4.418,4.646,0.228,4.503,4.789,SCM-style deterministic intervention baseline
2018_896_Russia,Russia,Hyundai,budget_cut,4.418,4.2776,-0.1404,4.1556,4.3996,SCM-style deterministic intervention baseline
2018_896_Russia,Russia,Hyundai,budget_reallocation,4.418,4.5308,0.1128,4.4193,4.6423,SCM-style deterministic intervention baseline
2018_896_Russia,Russia,Hyundai,late_stage_activation,4.418,4.6064,0.1884,4.4739,4.7389,SCM-style deterministic intervention baseline
2010_726_South_Korea,South Korea,McDonald's,player_injury_shock,4.385,4.1218,-0.2632,3.9648,4.2788,SCM-style deterministic intervention baseline
2010_726_South_Korea,South Korea,McDonald's,media_surge,4.385,4.613,0.228,4.47,4.756,SCM-style deterministic intervention baseline
2010_726_South_Korea,South Korea,McDonald's,budget_cut,4.385,4.2446,-0.1404,4.1226,4.3666,SCM-style deterministic intervention baseline
2010_726_South_Korea,South Korea,McDonald's,budget_reallocation,4.385,4.4978,0.1128,4.3863,4.6093,SCM-style deterministic intervention baseline
2010_726_South_Korea,South Korea,McDonald's,late_stage_activation,4.385,4.5734,0.1884,4.4409,4.7059,SCM-style deterministic intervention baseline
2010_726_Argentina,Argentina,Hyundai,player_injury_shock,4.385,4.1218,-0.2632,3.9648,4.2788,SCM-style deterministic intervention baseline
2010_726_Argentina,Argentina,Hyundai,media_surge,4.385,4.613,0.228,4.47,4.756,SCM-style deterministic intervention baseline
2010_726_Argentina,Argentina,Hyundai,budget_cut,4.385,4.2446,-0.1404,4.1226,4.3666,SCM-style deterministic intervention baseline
2010_726_Argentina,Argentina,Hyundai,budget_reallocation,4.385,4.4978,0.1128,4.3863,4.6093,SCM-style deterministic intervention baseline
2010_726_Argentina,Argentina,Hyundai,late_stage_activation,4.385,4.5734,0.1884,4.4409,4.7059,SCM-style deterministic intervention baseline
2018_853_Russia,Russia,Hyundai,player_injury_shock,4.384,4.1208,-0.2632,3.9638,4.2778,SCM-style deterministic intervention baseline
2018_853_Russia,Russia,Hyundai,media_surge,4.384,4.612,0.228,4.469,4.755,SCM-style deterministic intervention baseline
2018_853_Russia,Russia,Hyundai,budget_cut,4.384,4.2436,-0.1404,4.1216,4.3656,SCM-style deterministic intervention baseline
2018_853_Russia,Russia,Hyundai,budget_reallocation,4.384,4.4968,0.1128,4.3853,4.6083,SCM-style deterministic intervention baseline
2018_853_Russia,Russia,Hyundai,late_stage_activation,4.384,4.5724,0.1884,4.4399,4.7049,SCM-style deterministic intervention baseline
2018_853_Egypt,Egypt,Hyundai,player_injury_shock,4.384,4.1208,-0.2632,3.9638,4.2778,SCM-style deterministic intervention baseline
2018_853_Egypt,Egypt,Hyundai,media_surge,4.384,4.612,0.228,4.469,4.755,SCM-style deterministic intervention baseline
2018_853_Egypt,Egypt,Hyundai,budget_cut,4.384,4.2436,-0.1404,4.1216,4.3656,SCM-style deterministic intervention baseline
2018_853_Egypt,Egypt,Hyundai,budget_reallocation,4.384,4.4968,0.1128,4.3853,4.6083,SCM-style deterministic intervention baseline
2018_853_Egypt,Egypt,Hyundai,late_stage_activation,4.384,4.5724,0.1884,4.4399,4.7049,SCM-style deterministic intervention baseline
2018_869_Russia,Russia,Hyundai,player_injury_shock,4.37,4.1068,-0.2632,3.9498,4.2638,SCM-style deterministic intervention baseline
2018_869_Russia,Russia,Hyundai,media_surge,4.37,4.598,0.228,4.455,4.741,SCM-style deterministic intervention baseline
2018_869_Russia,Russia,Hyundai,budget_cut,4.37,4.2296,-0.1404,4.1076,4.3516,SCM-style deterministic intervention baseline
2018_869_Russia,Russia,Hyundai,budget_reallocation,4.37,4.4828,0.1128,4.3713,4.5943,SCM-style deterministic intervention baseline
2018_869_Russia,Russia,Hyundai,late_stage_activation,4.37,4.5584,0.1884,4.4259,4.6909,SCM-style deterministic intervention baseline
2018_869_Uruguay,Uruguay,Vivo,player_injury_shock,4.37,4.1068,-0.2632,3.9498,4.2638,SCM-style deterministic intervention baseline
2018_869_Uruguay,Uruguay,Vivo,media_surge,4.37,4.598,0.228,4.455,4.741,SCM-style deterministic intervention baseline
2018_869_Uruguay,Uruguay,Vivo,budget_cut,4.37,4.2296,-0.1404,4.1076,4.3516,SCM-style deterministic intervention baseline
2018_869_Uruguay,Uruguay,Vivo,budget_reallocation,4.37,4.4828,0.1128,4.3713,4.5943,SCM-style deterministic intervention baseline
2018_869_Uruguay,Uruguay,Vivo,late_stage_activation,4.37,4.5584,0.1884,4.4259,4.6909,SCM-style deterministic intervention baseline
1998_544_Argentina,Argentina,Hyundai,player_injury_shock,4.358,4.0948,-0.2632,3.9378,4.2518,SCM-style deterministic intervention baseline
1998_544_Argentina,Argentina,Hyundai,media_surge,4.358,4.586,0.228,4.443,4.729,SCM-style deterministic intervention baseline
1998_544_Argentina,Argentina,Hyundai,budget_cut,4.358,4.2176,-0.1404,4.0956,4.3396,SCM-style deterministic intervention baseline
1998_544_Argentina,Argentina,Hyundai,budget_reallocation,4.358,4.4708,0.1128,4.3593,4.5823,SCM-style deterministic intervention baseline
1998_544_Argentina,Argentina,Hyundai,late_stage_activation,4.358,4.5464,0.1884,4.4139,4.6789,SCM-style deterministic intervention baseline
1998_544_Jamaica,Jamaica,Adidas,player_injury_shock,4.358,4.0948,-0.2632,3.9378,4.2518,SCM-style deterministic intervention baseline
1998_544_Jamaica,Jamaica,Adidas,media_surge,4.358,4.586,0.228,4.443,4.729,SCM-style deterministic intervention baseline
1998_544_Jamaica,Jamaica,Adidas,budget_cut,4.358,4.2176,-0.1404,4.0956,4.3396,SCM-style deterministic intervention baseline
1998_544_Jamaica,Jamaica,Adidas,budget_reallocation,4.358,4.4708,0.1128,4.3593,4.5823,SCM-style deterministic intervention baseline
1998_544_Jamaica,Jamaica,Adidas,late_stage_activation,4.358,4.5464,0.1884,4.4139,4.6789,SCM-style deterministic intervention baseline
1986_398_Belgium,Belgium,Visa,player_injury_shock,4.333,4.0698,-0.2632,3.9128,4.2268,SCM-style deterministic intervention baseline
1986_398_Belgium,Belgium,Visa,media_surge,4.333,4.561,0.228,4.418,4.704,SCM-style deterministic intervention baseline
1986_398_Belgium,Belgium,Visa,budget_cut,4.333,4.1926,-0.1404,4.0706,4.3146,SCM-style deterministic intervention baseline
1986_398_Belgium,Belgium,Visa,budget_reallocation,4.333,4.4458,0.1128,4.3343,4.5573,SCM-style deterministic intervention baseline
1986_398_Belgium,Belgium,Visa,late_stage_activation,4.333,4.5214,0.1884,4.3889,4.6539,SCM-style deterministic intervention baseline
1986_398_Russia,Russia,Hyundai,player_injury_shock,4.333,4.0698,-0.2632,3.9128,4.2268,SCM-style deterministic intervention baseline
1986_398_Russia,Russia,Hyundai,media_surge,4.333,4.561,0.228,4.418,4.704,SCM-style deterministic intervention baseline
1986_398_Russia,Russia,Hyundai,budget_cut,4.333,4.1926,-0.1404,4.0706,4.3146,SCM-style deterministic intervention baseline
1986_398_Russia,Russia,Hyundai,budget_reallocation,4.333,4.4458,0.1128,4.3343,4.5573,SCM-style deterministic intervention baseline
1986_398_Russia,Russia,Hyundai,late_stage_activation,4.333,4.5214,0.1884,4.3889,4.6539,SCM-style deterministic intervention baseline
2022_950_Argentina,Argentina,Hyundai,player_injury_shock,4.324,4.0608,-0.2632,3.9038,4.2178,SCM-style deterministic intervention baseline
2022_950_Argentina,Argentina,Hyundai,media_surge,4.324,4.552,0.228,4.409,4.695,SCM-style deterministic intervention baseline
2022_950_Argentina,Argentina,Hyundai,budget_cut,4.324,4.1836,-0.1404,4.0616,4.3056,SCM-style deterministic intervention baseline
2022_950_Argentina,Argentina,Hyundai,budget_reallocation,4.324,4.4368,0.1128,4.3253,4.5483,SCM-style deterministic intervention baseline
2022_950_Argentina,Argentina,Hyundai,late_stage_activation,4.324,4.5124,0.1884,4.3799,4.6449,SCM-style deterministic intervention baseline
2022_950_Australia,Australia,Hyundai,player_injury_shock,4.324,4.0608,-0.2632,3.9038,4.2178,SCM-style deterministic intervention baseline
2022_950_Australia,Australia,Hyundai,media_surge,4.324,4.552,0.228,4.409,4.695,SCM-style deterministic intervention baseline
2022_950_Australia,Australia,Hyundai,budget_cut,4.324,4.1836,-0.1404,4.0616,4.3056,SCM-style deterministic intervention baseline
2022_950_Australia,Australia,Hyundai,budget_reallocation,4.324,4.4368,0.1128,4.3253,4.5483,SCM-style deterministic intervention baseline
2022_950_Australia,Australia,Hyundai,late_stage_activation,4.324,4.5124,0.1884,4.3799,4.6449,SCM-style deterministic intervention baseline
2018_887_Spain,Spain,Budweiser,player_injury_shock,4.311,4.0478,-0.2632,3.8908,4.2048,SCM-style deterministic intervention baseline
2018_887_Spain,Spain,Budweiser,media_surge,4.311,4.539,0.228,4.396,4.682,SCM-style deterministic intervention baseline
2018_887_Spain,Spain,Budweiser,budget_cut,4.311,4.1706,-0.1404,4.0486,4.2926,SCM-style deterministic intervention baseline
2018_887_Spain,Spain,Budweiser,budget_reallocation,4.311,4.4238,0.1128,4.3123,4.5353,SCM-style deterministic intervention baseline
2018_887_Spain,Spain,Budweiser,late_stage_activation,4.311,4.4994,0.1884,4.3669,4.6319,SCM-style deterministic intervention baseline
2018_887_Russia,Russia,Hyundai,player_injury_shock,4.311,4.0478,-0.2632,3.8908,4.2048,SCM-style deterministic intervention baseline
2018_887_Russia,Russia,Hyundai,media_surge,4.311,4.539,0.228,4.396,4.682,SCM-style deterministic intervention baseline
2018_887_Russia,Russia,Hyundai,budget_cut,4.311,4.1706,-0.1404,4.0486,4.2926,SCM-style deterministic intervention baseline
2018_887_Russia,Russia,Hyundai,budget_reallocation,4.311,4.4238,0.1128,4.3123,4.5353,SCM-style deterministic intervention baseline
2018_887_Russia,Russia,Hyundai,late_stage_activation,4.311,4.4994,0.1884,4.3669,4.6319,SCM-style deterministic intervention baseline
2014_835_Brazil,Brazil,Adidas,player_injury_shock,4.303,4.0398,-0.2632,3.8828,4.1968,SCM-style deterministic intervention baseline
2014_835_Brazil,Brazil,Adidas,media_surge,4.303,4.531,0.228,4.388,4.674,SCM-style deterministic intervention baseline
2014_835_Brazil,Brazil,Adidas,budget_cut,4.303,4.1626,-0.1404,4.0406,4.2846,SCM-style deterministic intervention baseline
2014_835_Brazil,Brazil,Adidas,budget_reallocation,4.303,4.4158,0.1128,4.3043,4.5273,SCM-style deterministic intervention baseline
2014_835_Brazil,Brazil,Adidas,late_stage_activation,4.303,4.4914,0.1884,4.3589,4.6239,SCM-style deterministic intervention baseline
2014_835_Netherlands,Netherlands,Hisense,player_injury_shock,4.303,4.0398,-0.2632,3.8828,4.1968,SCM-style deterministic intervention baseline
2014_835_Netherlands,Netherlands,Hisense,media_surge,4.303,4.531,0.228,4.388,4.674,SCM-style deterministic intervention baseline
2014_835_Netherlands,Netherlands,Hisense,budget_cut,4.303,4.1626,-0.1404,4.0406,4.2846,SCM-style deterministic intervention baseline
2014_835_Netherlands,Netherlands,Hisense,budget_reallocation,4.303,4.4158,0.1128,4.3043,4.5273,SCM-style deterministic intervention baseline
2014_835_Netherlands,Netherlands,Hisense,late_stage_activation,4.303,4.4914,0.1884,4.3589,4.6239,SCM-style deterministic intervention baseline
2006_665_Argentina,Argentina,Hyundai,player_injury_shock,4.299,4.0358,-0.2632,3.8788,4.1928,SCM-style deterministic intervention baseline
2006_665_Argentina,Argentina,Hyundai,media_surge,4.299,4.527,0.228,4.384,4.67,SCM-style deterministic intervention baseline
2006_665_Argentina,Argentina,Hyundai,budget_cut,4.299,4.1586,-0.1404,4.0366,4.2806,SCM-style deterministic intervention baseline
2006_665_Argentina,Argentina,Hyundai,budget_reallocation,4.299,4.4118,0.1128,4.3003,4.5233,SCM-style deterministic intervention baseline
2006_665_Argentina,Argentina,Hyundai,late_stage_activation,4.299,4.4874,0.1884,4.3549,4.6199,SCM-style deterministic intervention baseline
2006_665_Serbia,Serbia,Vivo,player_injury_shock,4.299,4.0358,-0.2632,3.8788,4.1928,SCM-style deterministic intervention baseline
2006_665_Serbia,Serbia,Vivo,media_surge,4.299,4.527,0.228,4.384,4.67,SCM-style deterministic intervention baseline
2006_665_Serbia,Serbia,Vivo,budget_cut,4.299,4.1586,-0.1404,4.0366,4.2806,SCM-style deterministic intervention baseline
2006_665_Serbia,Serbia,Vivo,budget_reallocation,4.299,4.4118,0.1128,4.3003,4.5233,SCM-style deterministic intervention baseline
2006_665_Serbia,Serbia,Vivo,late_stage_activation,4.299,4.4874,0.1884,4.3549,4.6199,SCM-style deterministic intervention baseline
1978_303_Peru,Peru,Hisense,player_injury_shock,4.291,4.0278,-0.2632,3.8708,4.1848,SCM-style deterministic intervention baseline
1978_303_Peru,Peru,Hisense,media_surge,4.291,4.519,0.228,4.376,4.662,SCM-style deterministic intervention baseline
1978_303_Peru,Peru,Hisense,budget_cut,4.291,4.1506,-0.1404,4.0286,4.2726,SCM-style deterministic intervention baseline
1978_303_Peru,Peru,Hisense,budget_reallocation,4.291,4.4038,0.1128,4.2923,4.5153,SCM-style deterministic intervention baseline
1978_303_Peru,Peru,Hisense,late_stage_activation,4.291,4.4794,0.1884,4.3469,4.6119,SCM-style deterministic intervention baseline
1978_303_Argentina,Argentina,Hyundai,player_injury_shock,4.291,4.0278,-0.2632,3.8708,4.1848,SCM-style deterministic intervention baseline
1978_303_Argentina,Argentina,Hyundai,media_surge,4.291,4.519,0.228,4.376,4.662,SCM-style deterministic intervention baseline
1978_303_Argentina,Argentina,Hyundai,budget_cut,4.291,4.1506,-0.1404,4.0286,4.2726,SCM-style deterministic intervention baseline
1978_303_Argentina,Argentina,Hyundai,budget_reallocation,4.291,4.4038,0.1128,4.2923,4.5153,SCM-style deterministic intervention baseline
1978_303_Argentina,Argentina,Hyundai,late_stage_activation,4.291,4.4794,0.1884,4.3469,4.6119,SCM-style deterministic intervention baseline
2022_964_France,France,Qatar Airways,player_injury_shock,4.291,4.0278,-0.2632,3.8708,4.1848,SCM-style deterministic intervention baseline
2022_964_France,France,Qatar Airways,media_surge,4.291,4.519,0.228,4.376,4.662,SCM-style deterministic intervention baseline
2022_964_France,France,Qatar Airways,budget_cut,4.291,4.1506,-0.1404,4.0286,4.2726,SCM-style deterministic intervention baseline
2022_964_France,France,Qatar Airways,budget_reallocation,4.291,4.4038,0.1128,4.2923,4.5153,SCM-style deterministic intervention baseline
2022_964_France,France,Qatar Airways,late_stage_activation,4.291,4.4794,0.1884,4.3469,4.6119,SCM-style deterministic intervention baseline
2022_964_Argentina,Argentina,Hyundai,player_injury_shock,4.291,4.0278,-0.2632,3.8708,4.1848,SCM-style deterministic intervention baseline
2022_964_Argentina,Argentina,Hyundai,media_surge,4.291,4.519,0.228,4.376,4.662,SCM-style deterministic intervention baseline
2022_964_Argentina,Argentina,Hyundai,budget_cut,4.291,4.1506,-0.1404,4.0286,4.2726,SCM-style deterministic intervention baseline
2022_964_Argentina,Argentina,Hyundai,budget_reallocation,4.291,4.4038,0.1128,4.2923,4.5153,SCM-style deterministic intervention baseline
2022_964_Argentina,Argentina,Hyundai,late_stage_activation,4.291,4.4794,0.1884,4.3469,4.6119,SCM-style deterministic intervention baseline
1982_312_Hungary,Hungary,Adidas,player_injury_shock,4.284,4.0208,-0.2632,3.8638,4.1778,SCM-style deterministic intervention baseline
1982_312_Hungary,Hungary,Adidas,media_surge,4.284,4.512,0.228,4.369,4.655,SCM-style deterministic intervention baseline
1982_312_Hungary,Hungary,Adidas,budget_cut,4.284,4.1436,-0.1404,4.0216,4.2656,SCM-style deterministic intervention baseline
1982_312_Hungary,Hungary,Adidas,budget_reallocation,4.284,4.3968,0.1128,4.2853,4.5083,SCM-style deterministic intervention baseline
1982_312_Hungary,Hungary,Adidas,late_stage_activation,4.284,4.4724,0.1884,4.3399,4.6049,SCM-style deterministic intervention baseline
1982_312_El_Salvador,El Salvador,Budweiser,player_injury_shock,4.284,4.0208,-0.2632,3.8638,4.1778,SCM-style deterministic intervention baseline
1982_312_El_Salvador,El Salvador,Budweiser,media_surge,4.284,4.512,0.228,4.369,4.655,SCM-style deterministic intervention baseline
1982_312_El_Salvador,El Salvador,Budweiser,budget_cut,4.284,4.1436,-0.1404,4.0216,4.2656,SCM-style deterministic intervention baseline
1982_312_El_Salvador,El Salvador,Budweiser,budget_reallocation,4.284,4.3968,0.1128,4.2853,4.5083,SCM-style deterministic intervention baseline
1982_312_El_Salvador,El Salvador,Budweiser,late_stage_activation,4.284,4.4724,0.1884,4.3399,4.6049,SCM-style deterministic intervention baseline
2014_781_Bosnia_and_Herzegovina,Bosnia and Herzegovina,Mengniu,player_injury_shock,4.281,4.0178,-0.2632,3.8608,4.1748,SCM-style deterministic intervention baseline
2014_781_Bosnia_and_Herzegovina,Bosnia and Herzegovina,Mengniu,media_surge,4.281,4.509,0.228,4.366,4.652,SCM-style deterministic intervention baseline
2014_781_Bosnia_and_Herzegovina,Bosnia and Herzegovina,Mengniu,budget_cut,4.281,4.1406,-0.1404,4.0186,4.2626,SCM-style deterministic intervention baseline
2014_781_Bosnia_and_Herzegovina,Bosnia and Herzegovina,Mengniu,budget_reallocation,4.281,4.3938,0.1128,4.2823,4.5053,SCM-style deterministic intervention baseline
2014_781_Bosnia_and_Herzegovina,Bosnia and Herzegovina,Mengniu,late_stage_activation,4.281,4.4694,0.1884,4.3369,4.6019,SCM-style deterministic intervention baseline
2014_781_Argentina,Argentina,Hyundai,player_injury_shock,4.281,4.0178,-0.2632,3.8608,4.1748,SCM-style deterministic intervention baseline
2014_781_Argentina,Argentina,Hyundai,media_surge,4.281,4.509,0.228,4.366,4.652,SCM-style deterministic intervention baseline
2014_781_Argentina,Argentina,Hyundai,budget_cut,4.281,4.1406,-0.1404,4.0186,4.2626,SCM-style deterministic intervention baseline
2014_781_Argentina,Argentina,Hyundai,budget_reallocation,4.281,4.3938,0.1128,4.2823,4.5053,SCM-style deterministic intervention baseline
2014_781_Argentina,Argentina,Hyundai,late_stage_activation,4.281,4.4694,0.1884,4.3369,4.6019,SCM-style deterministic intervention baseline
2018_842_Argentina,Argentina,Hyundai,player_injury_shock,4.272,4.0088,-0.2632,3.8518,4.1658,SCM-style deterministic intervention baseline
2018_842_Argentina,Argentina,Hyundai,media_surge,4.272,4.5,0.228,4.357,4.643,SCM-style deterministic intervention baseline
2018_842_Argentina,Argentina,Hyundai,budget_cut,4.272,4.1316,-0.1404,4.0096,4.2536,SCM-style deterministic intervention baseline
2018_842_Argentina,Argentina,Hyundai,budget_reallocation,4.272,4.3848,0.1128,4.2733,4.4963,SCM-style deterministic intervention baseline
2018_842_Argentina,Argentina,Hyundai,late_stage_activation,4.272,4.4604,0.1884,4.3279,4.5929,SCM-style deterministic intervention baseline
2018_842_Iceland,Iceland,Adidas,player_injury_shock,4.272,4.0088,-0.2632,3.8518,4.1658,SCM-style deterministic intervention baseline
2018_842_Iceland,Iceland,Adidas,media_surge,4.272,4.5,0.228,4.357,4.643,SCM-style deterministic intervention baseline
2018_842_Iceland,Iceland,Adidas,budget_cut,4.272,4.1316,-0.1404,4.0096,4.2536,SCM-style deterministic intervention baseline
2018_842_Iceland,Iceland,Adidas,budget_reallocation,4.272,4.3848,0.1128,4.2733,4.4963,SCM-style deterministic intervention baseline
2018_842_Iceland,Iceland,Adidas,late_stage_activation,4.272,4.4604,0.1884,4.3279,4.5929,SCM-style deterministic intervention baseline
1994_475_Argentina,Argentina,Hyundai,player_injury_shock,4.266,4.0028,-0.2632,3.8458,4.1598,SCM-style deterministic intervention baseline
1994_475_Argentina,Argentina,Hyundai,media_surge,4.266,4.494,0.228,4.351,4.637,SCM-style deterministic intervention baseline
1994_475_Argentina,Argentina,Hyundai,budget_cut,4.266,4.1256,-0.1404,4.0036,4.2476,SCM-style deterministic intervention baseline
1994_475_Argentina,Argentina,Hyundai,budget_reallocation,4.266,4.3788,0.1128,4.2673,4.4903,SCM-style deterministic intervention baseline
1994_475_Argentina,Argentina,Hyundai,late_stage_activation,4.266,4.4544,0.1884,4.3219,4.5869,SCM-style deterministic intervention baseline
1994_475_Greece,Greece,Budweiser,player_injury_shock,4.266,4.0028,-0.2632,3.8458,4.1598,SCM-style deterministic intervention baseline
1994_475_Greece,Greece,Budweiser,media_surge,4.266,4.494,0.228,4.351,4.637,SCM-style deterministic intervention baseline
1994_475_Greece,Greece,Budweiser,budget_cut,4.266,4.1256,-0.1404,4.0036,4.2476,SCM-style deterministic intervention baseline
1994_475_Greece,Greece,Budweiser,budget_reallocation,4.266,4.3788,0.1128,4.2673,4.4903,SCM-style deterministic intervention baseline
1994_475_Greece,Greece,Budweiser,late_stage_activation,4.266,4.4544,0.1884,4.3219,4.5869,SCM-style deterministic intervention baseline
2022_905_Argentina,Argentina,Hyundai,player_injury_shock,4.26,3.9968,-0.2632,3.8398,4.1538,SCM-style deterministic intervention baseline
2022_905_Argentina,Argentina,Hyundai,media_surge,4.26,4.488,0.228,4.345,4.631,SCM-style deterministic intervention baseline
2022_905_Argentina,Argentina,Hyundai,budget_cut,4.26,4.1196,-0.1404,3.9976,4.2416,SCM-style deterministic intervention baseline
2022_905_Argentina,Argentina,Hyundai,budget_reallocation,4.26,4.3728,0.1128,4.2613,4.4843,SCM-style deterministic intervention baseline
2022_905_Argentina,Argentina,Hyundai,late_stage_activation,4.26,4.4484,0.1884,4.3159,4.5809,SCM-style deterministic intervention baseline
2022_905_Saudi_Arabia,Saudi Arabia,Visa,player_injury_shock,4.26,3.9968,-0.2632,3.8398,4.1538,SCM-style deterministic intervention baseline
2022_905_Saudi_Arabia,Saudi Arabia,Visa,media_surge,4.26,4.488,0.228,4.345,4.631,SCM-style deterministic intervention baseline
2022_905_Saudi_Arabia,Saudi Arabia,Visa,budget_cut,4.26,4.1196,-0.1404,3.9976,4.2416,SCM-style deterministic intervention baseline
2022_905_Saudi_Arabia,Saudi Arabia,Visa,budget_reallocation,4.26,4.3728,0.1128,4.2613,4.4843,SCM-style deterministic intervention baseline
2022_905_Saudi_Arabia,Saudi Arabia,Visa,late_stage_activation,4.26,4.4484,0.1884,4.3159,4.5809,SCM-style deterministic intervention baseline
2014_833_Germany,Germany,Coca-Cola,player_injury_shock,4.257,3.9938,-0.2632,3.8368,4.1508,SCM-style deterministic intervention baseline
2014_833_Germany,Germany,Coca-Cola,media_surge,4.257,4.485,0.228,4.342,4.628,SCM-style deterministic intervention baseline
2014_833_Germany,Germany,Coca-Cola,budget_cut,4.257,4.1166,-0.1404,3.9946,4.2386,SCM-style deterministic intervention baseline
2014_833_Germany,Germany,Coca-Cola,budget_reallocation,4.257,4.3698,0.1128,4.2583,4.4813,SCM-style deterministic intervention baseline
2014_833_Germany,Germany,Coca-Cola,late_stage_activation,4.257,4.4454,0.1884,4.3129,4.5779,SCM-style deterministic intervention baseline
2014_833_Brazil,Brazil,Adidas,player_injury_shock,4.257,3.9938,-0.2632,3.8368,4.1508,SCM-style deterministic intervention baseline
2014_833_Brazil,Brazil,Adidas,media_surge,4.257,4.485,0.228,4.342,4.628,SCM-style deterministic intervention baseline
2014_833_Brazil,Brazil,Adidas,budget_cut,4.257,4.1166,-0.1404,3.9946,4.2386,SCM-style deterministic intervention baseline
2014_833_Brazil,Brazil,Adidas,budget_reallocation,4.257,4.3698,0.1128,4.2583,4.4813,SCM-style deterministic intervention baseline
2014_833_Brazil,Brazil,Adidas,late_stage_activation,4.257,4.4454,0.1884,4.3129,4.5779,SCM-style deterministic intervention baseline
2022_922_Argentina,Argentina,Hyundai,player_injury_shock,4.255,3.9918,-0.2632,3.8348,4.1488,SCM-style deterministic intervention baseline
2022_922_Argentina,Argentina,Hyundai,media_surge,4.255,4.483,0.228,4.34,4.626,SCM-style deterministic intervention baseline
2022_922_Argentina,Argentina,Hyundai,budget_cut,4.255,4.1146,-0.1404,3.9926,4.2366,SCM-style deterministic intervention baseline
2022_922_Argentina,Argentina,Hyundai,budget_reallocation,4.255,4.3678,0.1128,4.2563,4.4793,SCM-style deterministic intervention baseline
2022_922_Argentina,Argentina,Hyundai,late_stage_activation,4.255,4.4434,0.1884,4.3109,4.5759,SCM-style deterministic intervention baseline
