match_id,team_a,team_b,stage,result,prediction_set,set_size,covered
690,Switzerland,South Korea,group_or_knockout,A_win,"A_win,B_win,draw",3,True
638,Germany,United States,group_or_knockout,A_win,"A_win,draw",2,True
178,Chile,North Korea,tournament,draw,"A_win,B_win,draw",3,True
737,Slovakia,Paraguay,group_or_knockout,B_win,"B_win,draw",2,True
956,Portugal,Switzerland,group_or_knockout,A_win,"A_win,B_win,draw",3,True
118,Argentina,Czechoslovakia,tournament,B_win,"A_win,draw",2,False
587,Paraguay,South Africa,group_or_knockout,draw,"A_win,B_win,draw",3,True
373,France,Russia,group_or_knockout,draw,"A_win,B_win,draw",3,True
11,Chile,France,tournament,A_win,"B_win,draw",2,False
629,Denmark,England,group_or_knockout,B_win,"B_win,draw",2,True
904,United States,Wales,group_or_knockout,draw,"A_win,B_win,draw",3,True
670,Portugal,Iran,group_or_knockout,A_win,"A_win,B_win,draw",3,True
64,Brazil,Yugoslavia,tournament,A_win,"A_win,draw",2,True
736,Italy,New Zealand,group_or_knockout,draw,"A_win,draw",2,True
501,Germany,Belgium,group_or_knockout,A_win,"A_win,draw",2,True
2,France,Mexico,tournament,A_win,"A_win,B_win,draw",3,True
43,Cuba,Romania,tournament,A_win,"B_win,draw",2,False
635,Japan,Turkey,group_or_knockout,B_win,"A_win,B_win,draw",3,True
530,England,Tunisia,group_or_knockout,A_win,"A_win,draw",2,True
168,Brazil,Czechoslovakia,tournament,A_win,"A_win,draw",2,True
810,Greece,Ivory Coast,group_or_knockout,A_win,"A_win,B_win,draw",3,True
822,Colombia,Uruguay,group_or_knockout,A_win,"B_win,draw",2,False
77,Brazil,Mexico,tournament,A_win,"A_win,draw",2,True
314,Scotland,New Zealand,tournament,A_win,"A_win,B_win,draw",3,True
297,Brazil,Peru,tournament,A_win,"A_win,draw",2,True
503,Romania,Argentina,group_or_knockout,A_win,"B_win,draw",2,False
491,Bolivia,Spain,group_or_knockout,B_win,"B_win,draw",2,True
721,Ivory Coast,Portugal,group_or_knockout,draw,"B_win,draw",2,True
838,Egypt,Uruguay,group_or_knockout,B_win,"B_win,draw",2,True
544,Argentina,Jamaica,group_or_knockout,A_win,"A_win,draw",2,True
642,Brazil,Turkey,group_or_knockout,A_win,"A_win,draw",2,True
916,Portugal,Ghana,group_or_knockout,A_win,"A_win,B_win,draw",3,True
618,Slovenia,Paraguay,group_or_knockout,B_win,"B_win,draw",2,True
291,Austria,Brazil,tournament,B_win,"B_win,draw",2,True
780,Uruguay,Costa Rica,group_or_knockout,B_win,"A_win,B_win,draw",3,True
911,Morocco,Croatia,group_or_knockout,draw,"B_win,draw",2,True
213,Brazil,England,tournament,A_win,"A_win,draw",2,True
556,Spain,Bulgaria,group_or_knockout,A_win,"A_win,draw",2,True
942,Costa Rica,Germany,group_or_knockout,B_win,"B_win,draw",2,True
673,Japan,Croatia,group_or_knockout,draw,"B_win,draw",2,True
318,Chile,Austria,tournament,B_win,"A_win,B_win,draw",3,True
58,Switzerland,Yugoslavia,tournament,B_win,"A_win,B_win,draw",3,True
792,Spain,Chile,group_or_knockout,B_win,"A_win,B_win,draw",3,True
536,Italy,Cameroon,group_or_knockout,A_win,"A_win,draw",2,True
273,France,Italy,tournament,B_win,"A_win,B_win,draw",3,True
16,Argentina,United States,tournament,A_win,"A_win,draw",2,True
433,Sweden,Scotland,group_or_knockout,B_win,"A_win,B_win,draw",3,True
504,Saudi Arabia,Sweden,group_or_knockout,B_win,"B_win,draw",2,True
829,Brazil,Colombia,group_or_knockout,A_win,"A_win,draw",2,True
622,Ecuador,Croatia,group_or_knockout,A_win,"B_win,draw",2,False
138,Brazil,Mexico,tournament,A_win,"A_win,draw",2,True
703,Brazil,France,group_or_knockout,B_win,"A_win,draw",2,False
288,France,Hungary,tournament,A_win,"A_win,B_win,draw",3,True
452,Germany,Netherlands,group_or_knockout,A_win,"A_win,draw",2,True
529,Serbia,Iran,group_or_knockout,A_win,"A_win,B_win,draw",3,True
301,Germany,Netherlands,tournament,draw,"A_win,draw",2,True
753,Chile,Spain,group_or_knockout,B_win,"A_win,B_win,draw",3,True
623,Mexico,Italy,group_or_knockout,draw,"B_win,draw",2,True
196,North Korea,Portugal,tournament,B_win,"B_win,draw",2,True
35,Italy,Czechoslovakia,tournament,A_win,"A_win,B_win,draw",3,True
287,Argentina,Italy,tournament,B_win,"A_win,B_win,draw",3,True
315,England,France,tournament,A_win,"A_win,B_win,draw",3,True
548,Romania,England,group_or_knockout,A_win,"B_win,draw",2,False
334,Poland,Peru,tournament,A_win,"A_win,B_win,draw",3,True
183,England,Mexico,tournament,A_win,"A_win,B_win,draw",3,True
50,Brazil,Italy,tournament,B_win,"A_win,B_win,draw",3,True
519,Cameroon,Austria,group_or_knockout,draw,"B_win,draw",2,True
103,Austria,Brazil,tournament,B_win,"B_win,draw",2,True
688,Japan,Brazil,group_or_knockout,B_win,"B_win,draw",2,True
652,Serbia,Netherlands,group_or_knockout,B_win,"B_win,draw",2,True
42,Italy,Norway,tournament,A_win,"A_win,draw",2,True
554,Nigeria,Paraguay,group_or_knockout,B_win,"A_win,B_win,draw",3,True
367,Algeria,Northern Ireland,group_or_knockout,draw,"A_win,B_win,draw",3,True
535,Chile,Austria,group_or_knockout,draw,"A_win,B_win,draw",3,True
276,Brazil,Sweden,tournament,draw,"A_win,draw",2,True
676,Togo,Switzerland,group_or_knockout,B_win,"B_win,draw",2,True
833,Brazil,Germany,group_or_knockout,B_win,"A_win,B_win,draw",3,True
304,Austria,Germany,tournament,A_win,"B_win,draw",2,False
114,France,Yugoslavia,tournament,B_win,"A_win,B_win,draw",3,True
750,Denmark,Japan,group_or_knockout,B_win,"A_win,B_win,draw",3,True
909,Germany,Japan,group_or_knockout,B_win,"A_win,draw",2,False
438,Cameroon,Russia,group_or_knockout,B_win,"B_win,draw",2,True
492,Germany,South Korea,group_or_knockout,A_win,"A_win,draw",2,True
527,Argentina,Japan,group_or_knockout,A_win,"A_win,draw",2,True
142,England,Hungary,tournament,B_win,"A_win,B_win,draw",3,True
707,Germany,Portugal,group_or_knockout,A_win,"A_win,draw",2,True
549,Brazil,Norway,group_or_knockout,B_win,"A_win,draw",2,False
610,South Korea,United States,group_or_knockout,draw,"A_win,B_win,draw",3,True
962,France,Morocco,group_or_knockout,A_win,"A_win,draw",2,True
649,Trinidad and Tobago,Sweden,group_or_knockout,draw,"B_win,draw",2,True
