match_id,team_a,team_b,sponsor,scenario,predicted_roi,roi_delta_vs_baseline,roi_lift_pct
563,Ghana,USA,Samsung,A_baseline,4.168,0.0,0.0
563,Ghana,USA,Samsung,B_core_player_absent,4.106,-0.063,-1.51
563,Ghana,USA,Samsung,C_sponsor_upgrade,4.14,-0.029,-0.69
563,Ghana,USA,Samsung,D_media_cooling,3.895,-0.274,-6.56
4,Ghana,Brazil,Samsung,A_baseline,3.885,0.0,0.0
4,Ghana,Brazil,Samsung,B_core_player_absent,3.827,-0.059,-1.51
4,Ghana,Brazil,Samsung,C_sponsor_upgrade,3.857,-0.029,-0.74
4,Ghana,Brazil,Samsung,D_media_cooling,3.635,-0.25,-6.44
430,Belgium,Netherlands,Nike,A_baseline,3.966,0.0,0.0
430,Belgium,Netherlands,Nike,B_core_player_absent,3.907,-0.059,-1.49
430,Belgium,Netherlands,Nike,C_sponsor_upgrade,3.925,-0.041,-1.04
430,Belgium,Netherlands,Nike,D_media_cooling,3.724,-0.242,-6.1
601,Mexico,Ghana,Mastercard,A_baseline,3.905,0.0,0.0
601,Mexico,Ghana,Mastercard,B_core_player_absent,3.848,-0.057,-1.45
601,Mexico,Ghana,Mastercard,C_sponsor_upgrade,3.874,-0.031,-0.78
601,Mexico,Ghana,Mastercard,D_media_cooling,3.644,-0.261,-6.67
144,Argentina,South Korea,Nike,A_baseline,3.536,0.0,0.0
144,Argentina,South Korea,Nike,B_core_player_absent,3.495,-0.041,-1.17
144,Argentina,South Korea,Nike,C_sponsor_upgrade,3.491,-0.045,-1.27
144,Argentina,South Korea,Nike,D_media_cooling,3.317,-0.219,-6.2
543,Saudi Arabia,Brazil,Adidas,A_baseline,4.083,0.0,0.0
543,Saudi Arabia,Brazil,Adidas,B_core_player_absent,4.002,-0.081,-1.98
543,Saudi Arabia,Brazil,Adidas,C_sponsor_upgrade,4.032,-0.051,-1.25
543,Saudi Arabia,Brazil,Adidas,D_media_cooling,3.819,-0.265,-6.49
620,Italy,Belgium,Mastercard,A_baseline,4.154,0.0,0.0
620,Italy,Belgium,Mastercard,B_core_player_absent,4.108,-0.046,-1.11
620,Italy,Belgium,Mastercard,C_sponsor_upgrade,4.095,-0.06,-1.43
620,Italy,Belgium,Mastercard,D_media_cooling,3.927,-0.227,-5.47
114,Belgium,Croatia,Nike,A_baseline,3.916,0.0,0.0
114,Belgium,Croatia,Nike,B_core_player_absent,3.858,-0.058,-1.49
114,Belgium,Croatia,Nike,C_sponsor_upgrade,3.875,-0.041,-1.05
114,Belgium,Croatia,Nike,D_media_cooling,3.679,-0.237,-6.06
664,Argentina,Saudi Arabia,Nike,A_baseline,3.949,0.0,0.0
664,Argentina,Saudi Arabia,Nike,B_core_player_absent,3.908,-0.041,-1.04
664,Argentina,Saudi Arabia,Nike,C_sponsor_upgrade,3.904,-0.045,-1.14
664,Argentina,Saudi Arabia,Nike,D_media_cooling,3.73,-0.218,-5.53
