team,sponsor,stage,expected_roi,avg_spend_m,fan_score,exposure,momentum,risk_score,downside_roi,samples,ucb_score,rl_value_score,optimizer_score,min_budget_m
Argentina,Hyundai,tournament,3.7989,33.96,0.5165,0.3502,0.6214,0.3476,3.5743,34,3.8598,3.7935,3.83,33.96
Bosnia and Herzegovina,Budweiser,group_or_knockout,3.6788,31.82,0.4435,0.5953,0.5755,0.3208,3.4615,4,3.7564,3.9051,3.8233,31.82
South Korea,Hisense,group_or_knockout,3.6879,27.58,0.5389,0.5197,0.5577,0.3271,3.4709,37,3.7739,3.8766,3.8201,27.58
Ivory Coast,McDonald's,group_or_knockout,3.6613,22.15,0.4799,0.5688,0.4624,0.3022,3.4528,9,3.7479,3.8736,3.8045,22.15
France,Qatar Airways,tournament,3.7674,27.11,0.4876,0.3652,0.5494,0.346,3.5415,27,3.7997,3.7685,3.7857,27.11
United Arab Emirates,Adidas,group_or_knockout,3.7223,33.47,0.2903,0.5143,0.5087,0.329,3.4963,3,3.7192,3.8592,3.7822,33.47
Nigeria,Coca-Cola,group_or_knockout,3.689,27.28,0.5063,0.5217,0.553,0.3488,3.4658,21,3.7222,3.8466,3.7782,27.28
Germany,Coca-Cola,tournament,3.7267,28.14,0.5007,0.3481,0.5605,0.3304,3.5081,54,3.7966,3.7533,3.7771,28.14
Paraguay,Hyundai,group_or_knockout,3.6687,29.15,0.54,0.4669,0.6069,0.3256,3.4503,21,3.7742,3.7773,3.7756,29.15
Tunisia,Coca-Cola,group_or_knockout,3.6475,31.38,0.5185,0.5355,0.5712,0.3267,3.4339,15,3.7331,3.8191,3.7718,31.38
Poland,Coca-Cola,group_or_knockout,3.6519,33.35,0.5294,0.5274,0.5971,0.3367,3.4329,17,3.7296,3.813,3.7671,33.35
Romania,Qatar Airways,group_or_knockout,3.6542,31.16,0.5216,0.4578,0.6092,0.3118,3.4445,13,3.7821,3.7478,3.7667,31.16
Honduras,Visa,group_or_knockout,3.6907,29.59,0.3802,0.5093,0.5048,0.3265,3.468,6,3.7163,3.8251,3.7653,29.59
Netherlands,Hisense,tournament,3.666,28.93,0.6469,0.3746,0.6143,0.3107,3.4557,16,3.8327,3.6757,3.762,28.93
Italy,Visa,tournament,3.7439,30.86,0.4346,0.3247,0.5673,0.335,3.5241,43,3.7887,3.7276,3.7612,30.86
Norway,McDonald's,tournament,3.849,23.5,0.267,0.293,0.292,0.326,3.642,1,3.7739,3.7451,3.7609,23.5
Spain,Budweiser,tournament,3.7307,28.79,0.578,0.311,0.5756,0.3384,3.5107,23,3.8116,3.6694,3.7476,28.79
Iceland,Visa,group_or_knockout,3.692,26.72,0.3903,0.5587,0.5087,0.3603,3.4673,3,3.6559,3.8589,3.7472,26.72
Peru,Budweiser,group_or_knockout,3.6313,26.06,0.4773,0.556,0.5587,0.3303,3.412,3,3.6943,3.8047,3.744,26.06
Australia,Mengniu,group_or_knockout,3.6124,22.65,0.5611,0.5654,0.4837,0.3279,3.3953,18,3.6787,3.8162,3.7406,22.65
Mexico,Vivo,group_or_knockout,3.6259,20.36,0.5663,0.5085,0.489,0.3304,3.4075,37,3.6905,3.7959,3.7379,20.36
Colombia,Mengniu,group_or_knockout,3.6205,19.52,0.5479,0.5202,0.4753,0.3178,3.4072,19,3.7,3.7836,3.7376,19.52
Czechoslovakia,Coca-Cola,group_or_knockout,3.6414,27.51,0.5828,0.4526,0.5988,0.3264,3.4156,5,3.7546,3.7101,3.7346,27.51
El Salvador,Budweiser,tournament,3.687,30.69,0.295,0.4093,0.4505,0.2922,3.491,6,3.7376,3.7302,3.7343,30.69
Switzerland,Visa,tournament,3.7108,32.62,0.5259,0.2919,0.5715,0.323,3.4947,18,3.8057,3.629,3.7262,32.62
Canada,Qatar Airways,group_or_knockout,3.645,30.48,0.3263,0.5033,0.4761,0.3121,3.4364,7,3.6741,3.778,3.7209,30.48
South Korea,Hisense,tournament,3.738,27.58,0.477,0.4155,0.4845,0.37,3.4955,2,3.6993,3.746,3.7203,27.58
Sweden,Budweiser,tournament,3.6841,33.21,0.4984,0.3127,0.5724,0.3171,3.473,28,3.7831,3.6413,3.7193,33.21
Scotland,Adidas,group_or_knockout,3.6857,28.08,0.3739,0.4494,0.5319,0.3469,3.4656,10,3.6788,3.7505,3.7111,28.08
Egypt,Hyundai,group_or_knockout,3.6595,27.85,0.3422,0.4848,0.5033,0.3307,3.4428,6,3.6658,3.7631,3.7096,27.85
Kuwait,Hisense,tournament,3.6977,29.15,0.269,0.434,0.4193,0.323,3.4893,3,3.6709,3.7486,3.7059,29.15
Morocco,Coca-Cola,group_or_knockout,3.6177,27.12,0.4345,0.5015,0.5199,0.3278,3.4011,21,3.6608,3.7585,3.7048,27.12
Algeria,Budweiser,group_or_knockout,3.6373,26.04,0.4406,0.5197,0.5193,0.3464,3.4084,10,3.6458,3.7743,3.7036,26.04
Jamaica,Vivo,group_or_knockout,3.683,20.24,0.389,0.5503,0.406,0.375,3.4427,3,3.5842,3.8326,3.696,20.24
Northern Ireland,Hisense,tournament,3.6964,31.44,0.3678,0.3555,0.4958,0.3305,3.4756,10,3.7078,3.6683,3.69,31.44
Peru,Budweiser,tournament,3.6696,26.06,0.3899,0.3733,0.4925,0.3239,3.4562,15,3.6989,3.67,3.6859,26.06
Wales,Coca-Cola,tournament,3.7842,33.88,0.1846,0.2406,0.4204,0.33,3.5656,5,3.7207,3.6248,3.6775,33.88
Serbia,Vivo,group_or_knockout,3.5672,21.9,0.4509,0.5372,0.4337,0.3108,3.3578,16,3.6196,3.743,3.6751,21.9
New Zealand,McDonald's,group_or_knockout,3.6207,19.23,0.301,0.5493,0.3633,0.325,3.4067,3,3.5805,3.7886,3.6741,19.23
Greece,Qatar Airways,group_or_knockout,3.588,29.82,0.4917,0.5224,0.5659,0.3439,3.3664,10,3.6309,3.725,3.6732,29.82
Uruguay,Vivo,group_or_knockout,3.54,21.56,0.6247,0.5113,0.5095,0.3201,3.3263,30,3.6477,3.7015,3.6719,21.56
Bulgaria,Visa,group_or_knockout,3.5936,32.25,0.4376,0.4435,0.5538,0.3156,3.3788,14,3.6725,3.6678,3.6704,32.25
Yugoslavia,Qatar Airways,tournament,3.6438,28.84,0.5085,0.3136,0.5511,0.3268,3.4272,28,3.7198,3.5963,3.6642,28.84
Ecuador,McDonald's,group_or_knockout,3.5311,24.14,0.5028,0.5511,0.484,0.3161,3.3184,13,3.6042,3.7113,3.6524,24.14
Ghana,Vivo,group_or_knockout,3.5261,18.56,0.4821,0.5611,0.445,0.3105,3.3163,15,3.5915,3.7217,3.6501,18.56
Portugal,Mengniu,group_or_knockout,3.5051,23.42,0.5664,0.5388,0.5048,0.3119,3.294,29,3.6109,3.6948,3.6487,23.42
Iran,Adidas,group_or_knockout,3.5408,30.78,0.5093,0.5339,0.6095,0.3403,3.3159,15,3.61,3.6947,3.6481,30.78
United States,Mengniu,group_or_knockout,3.5158,19.54,0.5949,0.5266,0.4757,0.3183,3.3018,31,3.6075,3.6935,3.6462,19.54
Paraguay,Hyundai,tournament,3.673,29.15,0.4376,0.296,0.5389,0.3379,3.4507,7,3.7036,3.5721,3.6444,29.15
Czechoslovakia,Coca-Cola,tournament,3.642,27.51,0.4814,0.2858,0.5088,0.3209,3.43,25,3.708,3.5635,3.643,27.51
England,McDonald's,group_or_knockout,3.5269,25.07,0.5947,0.4991,0.5291,0.3361,3.3063,45,3.6016,3.6878,3.6404,25.07
German DR,Visa,tournament,3.6657,32.18,0.2703,0.3217,0.4847,0.3177,3.4542,6,3.6711,3.601,3.6396,32.18
Turkey,Hyundai,tournament,3.6777,28.74,0.3543,0.395,0.5193,0.3697,3.44,3,3.6168,3.6621,3.6372,28.74
Austria,McDonald's,group_or_knockout,3.5863,18.2,0.5737,0.4245,0.4353,0.3245,3.3665,6,3.6467,3.6244,3.6367,18.2
Russia,Hyundai,tournament,3.5965,27.7,0.5077,0.3453,0.5913,0.3272,3.3802,24,3.6847,3.5756,3.6356,27.7
Belgium,Visa,tournament,3.6071,27.71,0.3416,0.3151,0.4726,0.2924,3.4064,14,3.6776,3.5579,3.6237,27.71
Norway,McDonald's,group_or_knockout,3.5961,23.5,0.3483,0.4527,0.3951,0.3237,3.3777,7,3.5821,3.6662,3.6199,23.5
Scotland,Adidas,tournament,3.6304,28.08,0.3404,0.38,0.5133,0.3513,3.4014,14,3.5995,3.6213,3.6093,28.08
Poland,Coca-Cola,tournament,3.5902,33.35,0.4482,0.3768,0.5693,0.3464,3.3671,21,3.6173,3.5884,3.6043,33.35
Bolivia,Hisense,group_or_knockout,3.5317,27.7,0.3003,0.4263,0.4307,0.284,3.335,3,3.5932,3.5847,3.5894,27.7
Cameroon,Hyundai,tournament,3.5617,31.3,0.353,0.3617,0.5257,0.3097,3.3473,3,3.6192,3.5361,3.5818,31.3
Portugal,Mengniu,tournament,3.5848,23.42,0.4678,0.3743,0.473,0.3455,3.364,6,3.5873,3.5596,3.5748,23.42
DR Congo,Hyundai,tournament,3.5203,28.43,0.29,0.4487,0.466,0.3053,3.311,3,3.5492,3.5852,3.5654,28.43
Tunisia,Coca-Cola,tournament,3.5117,31.38,0.4097,0.347,0.518,0.3123,3.3,3,3.5774,3.4679,3.5281,31.38
Haiti,Mengniu,tournament,3.607,19.09,0.2947,0.4613,0.32,0.388,3.3757,3,3.4283,3.6491,3.5277,19.09
Republic of Ireland,Hisense,group_or_knockout,3.5286,31.73,0.3325,0.4464,0.4895,0.3589,3.2987,13,3.4728,3.5788,3.5205,31.73
Mexico,Vivo,tournament,3.5457,20.36,0.4538,0.3147,0.379,0.3341,3.3243,24,3.5355,3.4879,3.5141,20.36
Honduras,Visa,tournament,3.4953,29.59,0.31,0.3853,0.4727,0.308,3.2937,3,3.5267,3.4924,3.5113,29.59
Bulgaria,Visa,tournament,3.4944,32.25,0.3918,0.3549,0.5006,0.3159,3.2874,12,3.5424,3.469,3.5094,32.25
Morocco,Coca-Cola,tournament,3.512,27.12,0.346,0.325,0.4307,0.3,3.313,3,3.5551,3.4517,3.5086,27.12
Colombia,Mengniu,tournament,3.4027,19.52,0.5137,0.4833,0.4163,0.288,3.2073,3,3.5111,3.5036,3.5077,19.52
Algeria,Budweiser,tournament,3.519,26.04,0.379,0.4173,0.5243,0.372,3.2927,3,3.4622,3.5181,3.4874,26.04
Iran,Adidas,tournament,3.4923,30.78,0.435,0.38,0.538,0.351,3.2637,3,3.4964,3.4623,3.4811,30.78
Australia,Mengniu,tournament,3.4567,22.65,0.4397,0.362,0.3787,0.2953,3.2557,3,3.5179,3.4349,3.4806,22.65
United States,Mengniu,tournament,3.5526,19.54,0.4359,0.2433,0.3761,0.332,3.3373,7,3.5406,3.3978,3.4763,19.54
Uruguay,Vivo,tournament,3.4935,21.56,0.5112,0.3145,0.4394,0.3423,3.2704,29,3.5033,3.4373,3.4736,21.56
Wales,Coca-Cola,group_or_knockout,3.3443,33.88,0.3793,0.6243,0.5347,0.3173,3.1303,3,3.3974,3.5646,3.4726,33.88
North Korea,Adidas,tournament,3.4928,29.14,0.3562,0.3555,0.5195,0.3698,3.2525,4,3.4323,3.4297,3.4311,29.14
England,McDonald's,tournament,3.4397,25.07,0.4856,0.3092,0.455,0.3349,3.2207,29,3.4619,3.3807,3.4254,25.07
Slovenia,Vivo,group_or_knockout,3.3565,22.17,0.4262,0.5182,0.4147,0.3232,3.1415,6,3.3716,3.475,3.4181,22.17
Slovakia,McDonald's,group_or_knockout,3.3258,19.55,0.438,0.61,0.4252,0.332,3.1102,4,3.3305,3.5241,3.4176,19.55
Angola,Coca-Cola,group_or_knockout,3.3717,33.65,0.2997,0.4827,0.4847,0.3273,3.1533,3,3.3667,3.4501,3.4042,33.65
Romania,Qatar Airways,tournament,3.3834,31.16,0.4144,0.2821,0.5095,0.2999,3.1818,8,3.4718,3.2844,3.3875,31.16
Czech Republic,Mengniu,group_or_knockout,3.3232,17.25,0.4395,0.5152,0.399,0.3335,3.106,4,3.3168,3.4281,3.3669,17.25
Northern Ireland,Hisense,group_or_knockout,3.3257,31.44,0.415,0.4403,0.4967,0.3363,3.108,3,3.3392,3.355,3.3463,31.44
Chile,Hisense,tournament,3.4068,28.57,0.3609,0.3026,0.465,0.3555,3.1777,21,3.3575,3.319,3.3402,28.57
Trinidad and Tobago,Mengniu,group_or_knockout,3.345,22.12,0.2853,0.4777,0.3383,0.3393,3.128,3,3.2644,3.4106,3.3302,22.12
Austria,McDonald's,tournament,3.2968,18.2,0.5181,0.3309,0.4202,0.3458,3.0708,23,3.2954,3.242,3.2714,18.2
Iraq,McDonald's,group_or_knockout,3.2923,21.52,0.2357,0.3873,0.288,0.3503,3.0653,3,3.1599,3.2615,3.2056,21.52
Qatar,Vivo,group_or_knockout,3.0158,20.64,0.3938,0.645,0.3935,0.2952,2.8195,4,3.0693,3.2299,3.1416,20.64
Egypt,Hyundai,tournament,3.204,27.85,0.215,0.251,0.402,0.302,3.008,1,3.1973,3.0628,3.1368,27.85
Togo,Vivo,group_or_knockout,3.0807,20.76,0.3353,0.5657,0.3503,0.3467,2.8517,3,3.0036,3.2037,3.0936,20.76
Cuba,Mengniu,tournament,2.9607,19.78,0.187,0.2483,0.2843,0.264,2.7723,3,2.9813,2.8382,2.9169,19.78
Bolivia,Hisense,tournament,2.9453,27.7,0.1943,0.247,0.3467,0.304,2.7367,3,2.9107,2.8016,2.8616,27.7
Israel,Budweiser,tournament,2.8563,28.76,0.127,0.2987,0.3717,0.38,2.6147,3,2.6634,2.7177,2.6878,28.76
Haiti,Mengniu,group_or_knockout,2.758,19.09,0.311,0.511,0.335,0.444,2.515,1,2.4799,2.7546,2.6035,19.09
