match_id,team_a,team_b,stage,sponsor_roi,roi_pred,roi_interval_low,roi_interval_high,covered
268,Sweden,Yugoslavia,tournament,3.784,3.604,3.369,3.84,True
722,New Zealand,Slovakia,group_or_knockout,3.022,2.92,2.685,3.156,True
107,Hungary,Wales,tournament,3.567,3.707,3.471,3.942,True
123,Hungary,Mexico,tournament,3.826,3.724,3.489,3.959,True
397,Mexico,Bulgaria,group_or_knockout,4.064,3.957,3.722,4.193,True
958,Netherlands,Argentina,group_or_knockout,3.983,3.771,3.536,4.006,True
534,Scotland,Norway,group_or_knockout,3.561,3.528,3.293,3.763,True
731,Slovenia,United States,group_or_knockout,3.239,3.225,2.99,3.461,True
385,Hungary,France,group_or_knockout,3.49,3.721,3.486,3.957,True
106,France,Paraguay,tournament,3.731,3.681,3.446,3.917,True
267,Netherlands,Brazil,tournament,3.634,3.527,3.291,3.762,True
348,Italy,Argentina,tournament,3.76,3.61,3.375,3.846,True
191,England,France,tournament,3.696,3.425,3.19,3.661,False
836,Germany,Argentina,group_or_knockout,4.136,4.144,3.908,4.379,True
886,Uruguay,Portugal,group_or_knockout,3.934,3.744,3.509,3.98,True
40,France,Belgium,tournament,3.6,3.452,3.216,3.687,True
340,France,Czechoslovakia,tournament,3.621,3.527,3.292,3.763,True
189,Bulgaria,Hungary,tournament,2.664,2.882,2.647,3.118,True
404,England,Paraguay,group_or_knockout,3.619,3.56,3.325,3.796,True
526,Spain,Nigeria,group_or_knockout,3.647,3.742,3.507,3.977,True
190,Chile,Russia,tournament,3.587,3.465,3.23,3.701,True
813,Bosnia and Herzegovina,Iran,group_or_knockout,3.459,3.332,3.097,3.567,True
88,Belgium,Italy,tournament,3.681,3.694,3.458,3.929,True
733,Ghana,Australia,group_or_knockout,3.126,3.06,2.825,3.296,True
484,Sweden,Russia,group_or_knockout,3.893,3.682,3.447,3.917,True
6,Chile,Mexico,tournament,3.279,3.289,3.054,3.525,True
598,Cameroon,Saudi Arabia,group_or_knockout,3.421,3.203,2.968,3.439,True
700,Spain,France,group_or_knockout,3.799,3.917,3.682,4.153,True
921,Poland,Saudi Arabia,group_or_knockout,3.878,3.834,3.598,4.069,True
443,Brazil,Scotland,group_or_knockout,4.093,3.961,3.726,4.197,True
863,Belgium,Tunisia,group_or_knockout,4.229,4.156,3.921,4.392,True
386,Russia,Canada,group_or_knockout,4.155,4.23,3.995,4.465,True
333,Belgium,Hungary,tournament,3.783,3.771,3.535,4.006,True
791,Cameroon,Croatia,group_or_knockout,3.151,3.335,3.099,3.57,True
360,Italy,Germany,tournament,3.795,3.715,3.48,3.951,True
591,Italy,Ecuador,group_or_knockout,3.644,3.764,3.529,4.0,True
505,Netherlands,Republic of Ireland,group_or_knockout,3.348,3.713,3.477,3.948,False
930,Brazil,Switzerland,group_or_knockout,4.144,4.074,3.838,4.309,True
376,Brazil,Algeria,group_or_knockout,4.282,3.93,3.695,4.166,False
115,Mexico,Wales,tournament,3.774,3.884,3.648,4.119,True
171,Germany,Switzerland,tournament,4.032,4.0,3.765,4.236,True
124,Paraguay,Yugoslavia,tournament,3.968,3.802,3.567,4.038,True
302,Peru,Poland,tournament,2.914,3.145,2.909,3.38,True
616,Senegal,Uruguay,group_or_knockout,3.247,3.404,3.169,3.64,True
603,Sweden,Nigeria,group_or_knockout,3.999,3.767,3.531,4.002,True
712,England,United States,group_or_knockout,3.645,3.573,3.337,3.808,True
787,Belgium,Algeria,group_or_knockout,3.997,3.894,3.659,4.13,True
888,Croatia,Denmark,group_or_knockout,3.671,3.711,3.476,3.947,True
509,Italy,Spain,group_or_knockout,3.657,3.62,3.385,3.855,True
719,Netherlands,Denmark,group_or_knockout,3.705,3.749,3.514,3.984,True
600,France,Uruguay,group_or_knockout,3.279,3.441,3.205,3.676,True
222,Czechoslovakia,England,tournament,3.383,3.471,3.236,3.706,True
655,United States,Czech Republic,group_or_knockout,3.122,3.2,2.965,3.436,True
112,Brazil,England,tournament,3.752,3.776,3.541,4.011,True
476,Germany,Spain,group_or_knockout,3.98,3.98,3.744,4.215,True
485,Argentina,Nigeria,group_or_knockout,4.242,4.15,3.915,4.386,True
330,Algeria,Austria,tournament,3.066,3.202,2.966,3.437,True
280,Germany,Mexico,tournament,4.207,4.078,3.842,4.313,True
278,Peru,Scotland,tournament,3.35,3.393,3.157,3.628,True
350,Belgium,Russia,tournament,3.868,3.732,3.496,3.967,True
924,France,Denmark,group_or_knockout,3.693,3.69,3.455,3.925,True
188,Mexico,Uruguay,tournament,3.585,3.772,3.536,4.007,True
66,Chile,United States,tournament,3.661,3.452,3.216,3.687,True
940,Tunisia,France,group_or_knockout,4.081,3.886,3.651,4.122,True
612,Tunisia,Belgium,group_or_knockout,3.647,3.626,3.39,3.861,True
584,Uruguay,Denmark,group_or_knockout,3.37,3.596,3.361,3.832,True
917,Qatar,Senegal,group_or_knockout,3.141,3.098,2.862,3.333,True
70,Brazil,Sweden,tournament,4.033,4.026,3.791,4.262,True
411,France,Belgium,group_or_knockout,3.584,3.587,3.351,3.822,True
690,Switzerland,South Korea,group_or_knockout,3.796,3.765,3.53,4.001,True
638,Germany,United States,group_or_knockout,4.0,4.081,3.846,4.317,True
178,Chile,North Korea,tournament,3.491,3.497,3.262,3.733,True
737,Slovakia,Paraguay,group_or_knockout,3.069,3.078,2.842,3.313,True
948,South Korea,Portugal,group_or_knockout,3.005,3.144,2.909,3.379,True
118,Argentina,Czechoslovakia,tournament,3.909,4.1,3.865,4.336,True
587,Paraguay,South Africa,group_or_knockout,3.879,4.088,3.853,4.323,True
373,France,Russia,group_or_knockout,3.67,3.527,3.292,3.763,True
11,Chile,France,tournament,3.41,3.174,2.938,3.409,False
629,Denmark,England,group_or_knockout,3.359,3.627,3.392,3.863,False
897,France,Belgium,group_or_knockout,3.671,3.627,3.391,3.862,True
670,Portugal,Iran,group_or_knockout,3.144,3.34,3.105,3.576,True
64,Brazil,Yugoslavia,tournament,3.903,3.842,3.606,4.077,True
736,Italy,New Zealand,group_or_knockout,3.668,3.75,3.515,3.986,True
501,Germany,Belgium,group_or_knockout,4.479,4.26,4.024,4.495,True
2,France,Mexico,tournament,3.463,3.476,3.241,3.712,True
43,Cuba,Romania,tournament,2.94,2.884,2.649,3.12,True
635,Japan,Turkey,group_or_knockout,3.564,3.753,3.518,3.988,True
530,England,Tunisia,group_or_knockout,3.911,3.655,3.42,3.89,False
168,Brazil,Czechoslovakia,tournament,4.024,3.919,3.683,4.154,True
810,Greece,Ivory Coast,group_or_knockout,3.421,3.319,3.084,3.555,True
822,Colombia,Uruguay,group_or_knockout,3.715,3.443,3.207,3.678,False
77,Brazil,Mexico,tournament,3.861,3.881,3.646,4.116,True
314,Scotland,New Zealand,tournament,3.746,3.598,3.363,3.834,True
297,Brazil,Peru,tournament,4.116,4.077,3.841,4.312,True
503,Romania,Argentina,group_or_knockout,3.378,3.355,3.12,3.591,True
491,Bolivia,Spain,group_or_knockout,2.841,2.77,2.535,3.006,True
721,Ivory Coast,Portugal,group_or_knockout,3.488,3.525,3.29,3.76,True
838,Egypt,Uruguay,group_or_knockout,3.622,3.44,3.204,3.675,True
544,Argentina,Jamaica,group_or_knockout,4.392,4.399,4.164,4.635,True
642,Brazil,Turkey,group_or_knockout,4.131,3.973,3.737,4.208,True
955,Morocco,Spain,group_or_knockout,3.088,3.089,2.854,3.324,True
618,Slovenia,Paraguay,group_or_knockout,3.061,3.149,2.914,3.385,True
291,Austria,Brazil,tournament,3.126,3.194,2.958,3.429,True
780,Uruguay,Costa Rica,group_or_knockout,3.426,3.68,3.444,3.915,False
213,Brazil,England,tournament,3.945,3.871,3.636,4.106,True
556,Spain,Bulgaria,group_or_knockout,3.937,3.851,3.616,4.087,True
934,Qatar,Netherlands,group_or_knockout,3.169,3.069,2.834,3.305,True
673,Japan,Croatia,group_or_knockout,3.489,3.597,3.362,3.833,True
318,Chile,Austria,tournament,3.423,3.598,3.363,3.834,True
58,Switzerland,Yugoslavia,tournament,3.66,3.589,3.353,3.824,True
792,Spain,Chile,group_or_knockout,3.576,3.778,3.543,4.014,True
536,Italy,Cameroon,group_or_knockout,3.865,3.776,3.541,4.012,True
273,France,Italy,tournament,3.397,3.484,3.248,3.719,True
16,Argentina,United States,tournament,3.881,3.971,3.735,4.206,True
433,Sweden,Scotland,group_or_knockout,3.523,3.652,3.417,3.887,True
504,Saudi Arabia,Sweden,group_or_knockout,3.43,3.644,3.409,3.88,True
829,Brazil,Colombia,group_or_knockout,4.293,4.19,3.955,4.425,True
622,Ecuador,Croatia,group_or_knockout,3.419,3.304,3.068,3.539,True
138,Brazil,Mexico,tournament,3.99,3.832,3.596,4.067,True
703,Brazil,France,group_or_knockout,3.86,4.093,3.857,4.328,True
288,France,Hungary,tournament,3.733,3.619,3.384,3.855,True
452,Germany,Netherlands,group_or_knockout,4.082,3.963,3.728,4.199,True
529,Serbia,Iran,group_or_knockout,3.305,3.184,2.949,3.42,True
301,Germany,Netherlands,tournament,4.262,4.016,3.781,4.252,False
753,Chile,Spain,group_or_knockout,3.457,3.657,3.422,3.892,True
623,Mexico,Italy,group_or_knockout,3.872,3.875,3.64,4.111,True
196,North Korea,Portugal,tournament,3.272,3.441,3.206,3.677,True
35,Italy,Czechoslovakia,tournament,3.457,3.417,3.181,3.652,True
287,Argentina,Italy,tournament,4.006,4.151,3.916,4.387,True
315,England,France,tournament,3.775,3.526,3.29,3.761,False
548,Romania,England,group_or_knockout,3.222,3.242,3.007,3.477,True
334,Poland,Peru,tournament,3.624,3.644,3.409,3.88,True
183,England,Mexico,tournament,3.462,3.46,3.225,3.696,True
50,Brazil,Italy,tournament,3.657,3.743,3.508,3.979,True
519,Cameroon,Austria,group_or_knockout,3.401,3.29,3.055,3.526,True
103,Austria,Brazil,tournament,3.121,3.191,2.955,3.426,True
688,Japan,Brazil,group_or_knockout,3.835,3.674,3.439,3.91,True
652,Serbia,Netherlands,group_or_knockout,3.095,3.172,2.937,3.407,True
42,Italy,Norway,tournament,3.495,3.414,3.179,3.65,True
554,Nigeria,Paraguay,group_or_knockout,3.559,3.376,3.14,3.611,True
367,Algeria,Northern Ireland,group_or_knockout,3.138,3.251,3.016,3.486,True
535,Chile,Austria,group_or_knockout,3.306,3.497,3.262,3.733,True
276,Brazil,Sweden,tournament,3.969,3.996,3.76,4.231,True
676,Togo,Switzerland,group_or_knockout,3.109,3.06,2.824,3.295,True
833,Brazil,Germany,group_or_knockout,3.977,4.272,4.036,4.507,False
304,Austria,Germany,tournament,3.455,3.35,3.115,3.586,True
114,France,Yugoslavia,tournament,3.268,3.553,3.317,3.788,False
750,Denmark,Japan,group_or_knockout,3.499,3.771,3.535,4.006,False
909,Germany,Japan,group_or_knockout,4.118,4.244,4.009,4.48,True
438,Cameroon,Russia,group_or_knockout,3.089,3.332,3.097,3.568,False
492,Germany,South Korea,group_or_knockout,4.263,4.123,3.887,4.358,True
527,Argentina,Japan,group_or_knockout,4.434,4.2,3.964,4.435,True
142,England,Hungary,tournament,3.171,3.327,3.092,3.563,True
707,Germany,Portugal,group_or_knockout,4.084,4.112,3.877,4.348,True
549,Brazil,Norway,group_or_knockout,3.967,3.994,3.759,4.229,True
610,South Korea,United States,group_or_knockout,3.218,3.198,2.963,3.434,True
962,France,Morocco,group_or_knockout,3.685,3.632,3.397,3.868,True
649,Trinidad and Tobago,Sweden,group_or_knockout,2.771,2.702,2.467,2.938,True
