team,attention_segment,commercial_segment,rows,avg_media_exposure,avg_attention,avg_social_interaction,avg_conversion_proxy,avg_efficiency,avg_roi,persona
Mexico,Mid attention,Scalable,30,0.3018,0.3604,0.3209,0.5408,2.0077,3.8875,Efficient niche sponsor audience
Switzerland,Mid attention,Premium,15,0.5007,0.5394,0.392,0.5381,1.1577,3.7901,Developing attention segment
Scotland,Mid attention,Scalable,20,0.3345,0.3849,0.3301,0.536,1.6976,3.8646,Efficient niche sponsor audience
Saudi Arabia,Mid attention,Premium,3,0.4961,0.4915,0.325,0.5351,1.0793,4.0487,Developing attention segment
Colombia,Low attention,Watchlist,6,0.3488,0.4168,0.362,0.535,1.5781,3.7095,Efficient niche sponsor audience
Turkey,Mid attention,Scalable,9,0.434,0.4748,0.343,0.5349,1.2917,3.8038,Efficient niche sponsor audience
Russia,Mid attention,Scalable,23,0.2969,0.3786,0.3227,0.5344,1.9213,3.8864,Efficient niche sponsor audience
England,Mid attention,Scalable,60,0.3476,0.4101,0.3393,0.5277,1.7156,3.6451,Efficient niche sponsor audience
Ukraine,Mid attention,Scalable,2,0.5064,0.4554,0.2597,0.5272,1.0476,4.0965,Developing attention segment
North Korea,Mid attention,Scalable,3,0.5436,0.6494,0.3617,0.5256,0.9947,3.889,Developing attention segment
Hungary,Mid attention,Scalable,20,0.2795,0.3115,0.3444,0.5254,2.1961,3.87,Efficient niche sponsor audience
Italy,Mid attention,Premium,21,0.4428,0.4544,0.3491,0.5241,1.2077,3.8814,Developing attention segment
Italy,Mid attention,Scalable,35,0.397,0.4246,0.324,0.5237,1.3816,3.8797,Efficient niche sponsor audience
Saudi Arabia,Mid attention,Scalable,16,0.4947,0.4908,0.367,0.5229,1.0786,4.0004,Developing attention segment
Denmark,Mid attention,Premium,22,0.4494,0.492,0.3285,0.5222,1.1788,3.9245,Developing attention segment
Hungary,Mid attention,Premium,11,0.3391,0.411,0.3527,0.5203,1.6321,3.85,Efficient niche sponsor audience
Iran,High attention,Premium,1,0.7885,0.733,0.4751,0.5192,0.6585,3.955,Broadcast-led awareness audience
Cameroon,Low attention,Scalable,4,0.3004,0.4032,0.3048,0.5181,1.7364,3.8882,Efficient niche sponsor audience
Ivory Coast,Mid attention,Premium,1,0.5366,0.7432,0.3649,0.5138,0.9575,3.854,Developing attention segment
Portugal,Mid attention,Scalable,32,0.4715,0.4895,0.3404,0.5132,1.1731,3.5277,Developing attention segment
Portugal,Mid attention,Watchlist,3,0.3377,0.3278,0.3436,0.512,1.5654,3.5237,Efficient niche sponsor audience
Colombia,Mid attention,Scalable,9,0.4994,0.5059,0.3689,0.5114,1.0316,3.6209,Developing attention segment
Romania,Mid attention,Premium,4,0.4745,0.4832,0.4246,0.5101,1.1006,3.6185,Developing attention segment
Japan,Mid attention,Premium,7,0.5625,0.5211,0.3213,0.5098,0.9227,4.0227,Developing attention segment
Costa Rica,Mid attention,Scalable,11,0.4664,0.5165,0.3668,0.5089,1.1111,3.9341,Developing attention segment
Australia,Mid attention,Premium,3,0.5005,0.5387,0.4049,0.5086,1.0183,3.7837,Developing attention segment
Peru,Mid attention,Scalable,12,0.354,0.4169,0.3476,0.5072,1.6095,3.9824,Efficient niche sponsor audience
Ecuador,Mid attention,Scalable,12,0.4761,0.5119,0.3812,0.5068,1.0852,3.6779,Developing attention segment
Cameroon,Mid attention,Scalable,18,0.4595,0.4886,0.3407,0.505,1.1173,3.8338,Developing attention segment
Paraguay,Low attention,Scalable,3,0.1217,0.2181,0.2201,0.5039,4.6719,3.7563,Efficient niche sponsor audience
German DR,Mid attention,Scalable,6,0.299,0.3212,0.3119,0.5025,1.6827,3.9383,Efficient niche sponsor audience
Czechoslovakia,Mid attention,Scalable,22,0.2572,0.3483,0.3085,0.5006,2.099,3.7839,Efficient niche sponsor audience
Italy,Low attention,Scalable,27,0.2057,0.2832,0.3305,0.4985,2.8873,3.7726,Efficient niche sponsor audience
Colombia,Mid attention,Watchlist,4,0.441,0.4779,0.3554,0.497,1.1133,3.5678,Developing attention segment
Canada,Low attention,Scalable,3,0.3586,0.3698,0.3839,0.4967,1.3847,3.8727,Efficient niche sponsor audience
Ukraine,Mid attention,Premium,1,0.5824,0.513,0.5327,0.4929,0.8463,3.951,Developing attention segment
Slovenia,Mid attention,Watchlist,3,0.5004,0.4714,0.3417,0.4926,0.9829,3.689,Developing attention segment
Czechoslovakia,Low attention,Scalable,5,0.0948,0.2225,0.2529,0.4893,5.0902,3.7362,Efficient niche sponsor audience
Tunisia,Mid attention,Scalable,14,0.458,0.4654,0.4035,0.4893,1.1247,3.8977,Developing attention segment
Costa Rica,Mid attention,Premium,10,0.5235,0.5579,0.3721,0.4893,0.9449,3.8519,Developing attention segment
Japan,Mid attention,Scalable,18,0.4863,0.4931,0.3615,0.4869,1.0201,3.9279,Developing attention segment
North Korea,Low attention,Scalable,4,0.3021,0.3596,0.3135,0.4862,1.6278,3.728,Efficient niche sponsor audience
New Zealand,Low attention,Watchlist,3,0.3606,0.4669,0.3456,0.4848,1.3577,4.1297,Efficient niche sponsor audience
Slovenia,Low attention,Scalable,1,0.4192,0.4732,0.2836,0.4841,1.1548,3.659,Developing attention segment
Serbia,Mid attention,Scalable,16,0.4875,0.5509,0.3468,0.4837,1.0245,3.7231,Developing attention segment
Algeria,Mid attention,Scalable,11,0.4235,0.4582,0.3524,0.4829,1.1747,3.8438,Developing attention segment
Colombia,Low attention,Scalable,3,0.3256,0.3475,0.3799,0.4819,1.4837,3.5103,Efficient niche sponsor audience
Northern Ireland,Mid attention,Scalable,13,0.3022,0.3703,0.3079,0.4817,1.6541,3.8053,Efficient niche sponsor audience
South Africa,Mid attention,Premium,3,0.4878,0.4532,0.4003,0.4813,0.9921,3.8157,Developing attention segment
Czech Republic,Low attention,Scalable,1,0.3725,0.4499,0.2316,0.4806,1.2902,3.688,Efficient niche sponsor audience
Panama,Low attention,Scalable,2,0.5108,0.5642,0.4378,0.478,0.9594,3.8955,Developing attention segment
Paraguay,Mid attention,Premium,3,0.4355,0.4813,0.3042,0.4775,1.1357,3.6483,Developing attention segment
United Arab Emirates,Low attention,Scalable,3,0.3952,0.3868,0.3888,0.477,1.191,3.991,Developing attention segment
Cameroon,Mid attention,Premium,4,0.4966,0.5352,0.3951,0.4765,0.982,3.7122,Developing attention segment
Jamaica,Mid attention,Scalable,2,0.5191,0.5436,0.4123,0.4765,0.9122,4.0185,Developing attention segment
Egypt,Mid attention,Scalable,3,0.5071,0.5247,0.2907,0.4759,0.9455,3.9547,Developing attention segment
Kuwait,Low attention,Scalable,3,0.3492,0.421,0.3845,0.4716,1.3502,3.8397,Efficient niche sponsor audience
Chile,Low attention,Scalable,1,0.0253,0.0987,0.3136,0.4685,6.0,3.622,Efficient niche sponsor audience
Norway,Mid attention,Watchlist,1,0.3745,0.4479,0.358,0.4684,1.2508,3.875,Efficient niche sponsor audience
Ukraine,Low attention,Scalable,2,0.3958,0.4676,0.356,0.4675,1.2037,3.8445,Developing attention segment
South Africa,Mid attention,Scalable,6,0.4996,0.4783,0.3201,0.4675,0.9666,3.7563,Developing attention segment
Iran,Mid attention,Scalable,15,0.4378,0.464,0.3471,0.4653,1.1001,3.7307,Developing attention segment
Tunisia,Mid attention,Premium,3,0.527,0.5257,0.4414,0.4647,0.915,3.796,Developing attention segment
DR Congo,Mid attention,Scalable,1,0.567,0.5248,0.42,0.4604,0.812,4.178,Developing attention segment
Wales,Low attention,Scalable,5,0.2178,0.2585,0.2827,0.4585,2.3585,3.9146,Efficient niche sponsor audience
Romania,Low attention,Scalable,7,0.1928,0.2424,0.327,0.4577,2.9164,3.3999,Efficient niche sponsor audience
Panama,Mid attention,Scalable,1,0.6408,0.6823,0.3292,0.457,0.7132,3.805,Broadcast-led awareness audience
Greece,Mid attention,Premium,2,0.5504,0.4938,0.3738,0.4564,0.8296,3.7095,Developing attention segment
Ghana,Mid attention,Watchlist,3,0.4811,0.5009,0.2785,0.4558,0.9363,3.7207,Developing attention segment
Austria,Low attention,Watchlist,1,0.0224,0.197,0.2782,0.4524,6.0,3.613,Efficient niche sponsor audience
New Zealand,Mid attention,Scalable,1,0.5287,0.5039,0.4041,0.4491,0.8495,3.996,Developing attention segment
Ghana,Low attention,Scalable,1,0.3725,0.4499,0.2316,0.4477,1.202,3.688,Developing attention segment
Greece,Mid attention,Scalable,7,0.4607,0.4782,0.3786,0.4473,0.9712,3.6719,Developing attention segment
Bulgaria,Mid attention,Scalable,16,0.4038,0.4169,0.3585,0.4453,1.1053,3.6694,Developing attention segment
El Salvador,Low attention,Scalable,5,0.3091,0.4083,0.3175,0.4415,1.4402,3.9066,Efficient niche sponsor audience
United States,Low attention,Watchlist,5,0.1184,0.2615,0.285,0.439,4.0255,3.759,Efficient niche sponsor audience
Jamaica,Low attention,Scalable,1,0.4304,0.3805,0.5684,0.4363,1.0137,3.846,Developing attention segment
Austria,Mid attention,Scalable,19,0.3561,0.3818,0.3478,0.4306,1.2947,3.5256,Efficient niche sponsor audience
England,Mid attention,Watchlist,3,0.1154,0.2033,0.2034,0.4279,3.8356,3.2623,Efficient niche sponsor audience
Honduras,Mid attention,Scalable,4,0.5481,0.5311,0.4372,0.4273,0.7752,3.8642,Developing attention segment
Czech Republic,Mid attention,Scalable,2,0.5155,0.5411,0.2636,0.4262,0.8318,3.4595,Developing attention segment
Bulgaria,Low attention,Scalable,9,0.2323,0.3406,0.3615,0.4235,1.9314,3.5776,Efficient niche sponsor audience
China,Mid attention,Watchlist,2,0.5289,0.4411,0.3752,0.4219,0.7949,3.915,Developing attention segment
Greece,Low attention,Scalable,1,0.3891,0.3999,0.2073,0.4208,1.0814,3.564,Developing attention segment
United States,Mid attention,Watchlist,6,0.3377,0.41,0.3206,0.4203,1.3045,3.6863,Efficient niche sponsor audience
Morocco,Mid attention,Scalable,13,0.4989,0.5063,0.321,0.4174,0.8397,3.6412,Developing attention segment
Czechoslovakia,Mid attention,Premium,3,0.4314,0.3881,0.412,0.4158,0.9756,3.4287,Developing attention segment
Iceland,Mid attention,Scalable,2,0.597,0.4514,0.4394,0.4135,0.6954,3.73,Developing attention segment
Indonesia,Low attention,Scalable,1,0.2067,0.4146,0.2884,0.4134,1.9998,3.86,Efficient niche sponsor audience
Republic of Ireland,Mid attention,Watchlist,3,0.3476,0.3902,0.304,0.4103,1.1708,3.6797,Developing attention segment
Iraq,Low attention,Scalable,3,0.3263,0.3543,0.3287,0.4082,1.2696,3.7273,Efficient niche sponsor audience
Republic of Ireland,Mid attention,Scalable,10,0.3994,0.4312,0.3914,0.404,1.0128,3.6534,Developing attention segment
Peru,Mid attention,Premium,5,0.3864,0.4243,0.3356,0.3968,1.0288,3.5118,Developing attention segment
Morocco,Mid attention,Watchlist,10,0.3619,0.3837,0.35,0.3964,1.1078,3.5609,Developing attention segment
South Korea,Mid attention,Scalable,38,0.4738,0.4959,0.3591,0.3958,0.8576,3.5916,Developing attention segment
Haiti,Low attention,Scalable,3,0.345,0.4461,0.3363,0.3946,1.1324,3.775,Developing attention segment
Bulgaria,Mid attention,Premium,1,0.3906,0.5247,0.3831,0.3929,1.0059,3.444,Developing attention segment
Austria,Mid attention,Watchlist,8,0.2557,0.3028,0.3567,0.3926,1.5446,3.3772,Efficient niche sponsor audience
Algeria,Mid attention,Premium,2,0.5028,0.4772,0.3318,0.3906,0.8262,3.4545,Developing attention segment
Norway,Mid attention,Scalable,4,0.3694,0.4773,0.374,0.3879,1.038,3.567,Developing attention segment
Iran,Mid attention,Premium,2,0.514,0.5154,0.3651,0.3868,0.7605,3.4045,Developing attention segment
Norway,Low attention,Watchlist,3,0.2693,0.3339,0.3432,0.3788,1.7302,3.5307,Efficient niche sponsor audience
Ghana,Mid attention,Scalable,11,0.5259,0.5268,0.3705,0.3694,0.7064,3.378,Developing attention segment
Egypt,Low attention,Scalable,4,0.3061,0.3704,0.3112,0.3663,1.2683,3.4948,Efficient niche sponsor audience
Angola,Low attention,Watchlist,3,0.409,0.3893,0.3248,0.3651,0.9617,3.538,Developing attention segment
Bosnia and Herzegovina,Mid attention,Scalable,1,0.5468,0.6601,0.487,0.3624,0.6629,3.34,Developing attention segment
Honduras,Low attention,Scalable,5,0.3443,0.429,0.3741,0.3617,1.0903,3.5914,Developing attention segment
Slovakia,Mid attention,Scalable,1,0.6372,0.5497,0.2682,0.3605,0.5658,3.262,Broadcast-led awareness audience
United States,Mid attention,Scalable,26,0.4834,0.4951,0.3424,0.3583,0.7529,3.4417,Developing attention segment
Slovenia,Mid attention,Scalable,1,0.5311,0.6149,0.4408,0.3551,0.6685,3.207,Developing attention segment
Peru,Low attention,Scalable,1,0.0516,0.0442,0.3263,0.355,6.0,3.331,Efficient niche sponsor audience
Wales,Mid attention,Scalable,3,0.5029,0.5376,0.3648,0.3397,0.675,3.4053,Developing attention segment
Bolivia,Low attention,Scalable,4,0.3697,0.4236,0.3479,0.3359,0.9462,3.555,Developing attention segment
Austria,Low attention,Scalable,1,0.0668,0.1627,0.3336,0.3238,4.8466,3.109,Efficient niche sponsor audience
Slovenia,Low attention,Watchlist,1,0.4474,0.6414,0.4007,0.3155,0.7052,3.065,Developing attention segment
Cuba,Low attention,Watchlist,3,0.2558,0.2543,0.3402,0.3065,1.37,3.0507,Efficient niche sponsor audience
New Zealand,Mid attention,Watchlist,2,0.4932,0.4694,0.3284,0.3,0.6095,3.421,Developing attention segment
Slovakia,Low attention,Watchlist,2,0.4684,0.4642,0.215,0.2829,0.6096,2.9855,Developing attention segment
Qatar,Mid attention,Scalable,2,0.6202,0.5374,0.4687,0.2568,0.415,3.0775,Broadcast-led awareness audience
Trinidad and Tobago,Low attention,Watchlist,3,0.3942,0.4773,0.3906,0.2522,0.6576,3.4303,Developing attention segment
Togo,Low attention,Watchlist,2,0.4676,0.5357,0.243,0.2428,0.5172,3.094,Developing attention segment
Israel,Low attention,Scalable,3,0.2422,0.3524,0.2553,0.2383,1.013,3.1777,Developing attention segment
Togo,Mid attention,Watchlist,1,0.5507,0.5275,0.3542,0.2372,0.4308,3.072,Developing attention segment
Qatar,Low attention,Watchlist,1,0.4916,0.6785,0.3461,0.2319,0.4717,2.98,Developing attention segment
Bolivia,Low attention,Watchlist,2,0.1389,0.2416,0.4211,0.2156,1.5818,3.045,Efficient niche sponsor audience
DR Congo,Low attention,Scalable,2,0.2899,0.335,0.2832,0.2056,0.7119,3.095,Developing attention segment
China,Low attention,Watchlist,1,0.5082,0.5647,0.3393,0.1413,0.278,2.811,Developing attention segment
