sponsor,team,stage,expected_roi,avg_spend,momentum,fan_score,exposure,risk_penalty,utility,cost_m,utility_per_m
McDonald's,England,group_or_knockout,3.602622222222222,20.29,0.5269111111111111,0.6358444444444444,0.48506666666666665,0.21726745140451337,2.2109817149987503,20.29,0.1089690347461188
Qatar Airways,Panama,group_or_knockout,3.5700000000000003,19.76,0.353,0.31466666666666665,0.6056666666666667,0.2188183807439825,2.132324529540482,19.76,0.10791116040184624
Mengniu,Morocco,group_or_knockout,3.4506,19.44,0.42210000000000003,0.4612,0.48810000000000003,0.2246888060036849,2.0838538955197055,19.44,0.10719413042796838
Vivo,Uruguay,tournament,3.491758620689655,19.75,0.46582758620689657,0.5545517241379311,0.2904137931034483,0.22262995063756613,2.101896845328305,19.75,0.1064251567254838
Vivo,Colombia,tournament,3.2676666666666665,18.25,0.328,0.2896666666666667,0.408,0.23432008123096149,1.931104393501523,18.25,0.10581393936994647
McDonald's,New Zealand,group_or_knockout,3.5256666666666665,20.14,0.37233333333333335,0.3353333333333333,0.48333333333333334,0.22096192089563235,2.098239712995016,20.14,0.10418270670283097
McDonald's,England,tournament,3.496241379310345,20.29,0.45206896551724135,0.5258275862068966,0.2938275862068966,0.22240798828139982,2.0983259816271436,20.29,0.10341675611765123
Qatar Airways,Romania,group_or_knockout,3.398615384615385,19.84,0.4310769230769231,0.4025384615384615,0.4545384615384615,0.2273442691756147,2.044090150773643,19.84,0.10302873743818766
Mengniu,Morocco,tournament,3.3646666666666665,19.44,0.34299999999999997,0.38866666666666666,0.3363333333333333,0.22911257064304263,1.99211432768189,19.44,0.10247501685606429
Vivo,Togo,group_or_knockout,3.079333333333333,18.08,0.32766666666666666,0.301,0.49900000000000005,0.2451380944598791,1.840012285776543,18.08,0.10177059102746368
McDonald's,Norway,group_or_knockout,3.4294285714285713,20.44,0.38657142857142857,0.35057142857142853,0.42857142857142855,0.22576275559569114,2.0425018366952017,20.44,0.09992670433929557
Qatar Airways,Ukraine,group_or_knockout,3.6344000000000003,21.7,0.4024,0.35,0.483,0.21577766269635765,2.1658797869842914,21.7,0.09981012843245583
Qatar Airways,Northern Ireland,tournament,3.5362,21.11,0.4011,0.4088,0.3153,0.22044883382566907,2.097693093293947,21.11,0.09936963966337976
Qatar Airways,Romania,tournament,3.3529999999999998,19.84,0.32375,0.28375,0.26125,0.22972662531587412,1.95773436997473,19.84,0.0986761275188876
McDonald's,Austria,group_or_knockout,3.497333333333333,21.709999999999997,0.4466666666666667,0.49533333333333335,0.434,0.22235398754817667,2.1119116809961462,21.709999999999997,0.09727829023473729
McDonald's,Norway,tournament,3.455,20.44,0.247,0.212,0.183,0.2244668911335578,1.9802226487093155,20.44,0.09687977733411524
Hyundai,Russia,group_or_knockout,4.053,26.07,0.648904761904762,0.6219523809523809,0.515047619047619,0.19790223629527015,2.484150202048759,26.07,0.09528769474678785
McDonald's,Republic of Ireland,group_or_knockout,3.5080769230769233,22.06,0.4066153846153846,0.3850769230769231,0.4246923076923077,0.2218240764439894,2.0940079200383277,22.06,0.09492329646592601
Vivo,Cuba,tournament,3.044,18.81,0.309,0.223,0.26466666666666666,0.2472799208704253,1.7756642729970329,18.81,0.09440001451339888
Qatar Airways,France,group_or_knockout,3.6440652173913044,24.020000000000003,0.567304347826087,0.6273478260869565,0.4945869565217392,0.21532858674231253,2.2412493652345282,24.020000000000003,0.0933076338565582
Mengniu,China PR,group_or_knockout,3.486333333333333,22.33,0.355,0.3376666666666666,0.49733333333333335,0.22289917527305153,2.075478065978156,22.33,0.09294572619696177
Vivo,United States,tournament,3.596142857142857,22.580000000000002,0.34500000000000003,0.30885714285714283,0.21685714285714286,0.21757374195754206,2.0940041006433967,22.580000000000002,0.0927371169461203
Vivo,Serbia,group_or_knockout,3.567375,23.55,0.49175,0.547875,0.51525,0.21894414187580394,2.176740718649936,23.55,0.09243060376432849
McDonald's,Austria,tournament,3.3355217391304346,21.71,0.42008695652173916,0.4219130434782609,0.31321739130434784,0.23065274727478763,1.9914864758701911,21.71,0.0917312978291198
Vivo,United States,group_or_knockout,3.3765666666666667,22.58,0.4387,0.4621,0.4913,0.22848960753101744,2.0463614980641855,22.58,0.0906271699762704
Mengniu,Trinidad and Tobago,group_or_knockout,3.417666666666667,22.28,0.3193333333333333,0.23966666666666667,0.4506666666666667,0.22636384214894736,2.0112275592947513,22.28,0.0902705367726549
Qatar Airways,France,tournament,3.5632962962962966,24.02,0.4755185185185185,0.5275925925925926,0.33007407407407413,0.21913983556396038,2.1446477020437724,24.02,0.08928591598850011
Visa,Belgium,group_or_knockout,3.8521621621621622,26.85,0.6646756756756756,0.7317297297297298,0.47067567567567564,0.20609368907703446,2.385473315684648,26.85,0.08884444378713773
Qatar Airways,Northern Ireland,group_or_knockout,3.109,21.11,0.39633333333333337,0.44733333333333336,0.3873333333333333,0.24336821611097592,1.8748005427111218,21.11,0.08881101576083003
Mengniu,Ghana,group_or_knockout,3.3833333333333333,23.07,0.4302,0.3862666666666667,0.5332,0.2281368821292776,2.0434117160963248,23.07,0.0885744133548472
Hyundai,Paraguay,group_or_knockout,3.7430999999999996,26.2,0.56325,0.4415,0.43929999999999997,0.21083257784992937,2.2621423937720055,26.2,0.08634131273938953
Budweiser,Sweden,group_or_knockout,3.6896086956521743,26.29,0.59,0.6300869565217392,0.48634782608695654,0.21323740740397362,2.269863181320726,26.29,0.08633941351543271
Adidas,North Korea,group_or_knockout,3.7699999999999996,26.45,0.511,0.412,0.578,0.20964360587002098,2.2815285115303987,26.45,0.08625816678753871
McDonald's,Qatar,group_or_knockout,3.0356666666666663,21.61,0.379,0.32033333333333336,0.6376666666666667,0.2477905344015859,1.845756757247873,21.61,0.08541215905820791
Budweiser,Ivory Coast,group_or_knockout,3.6953333333333336,26.15,0.49222222222222217,0.38011111111111107,0.5404444444444444,0.21297742439301431,2.227468472715226,26.15,0.0851804387271597
Budweiser,Scotland,group_or_knockout,3.692555555555556,26.35,0.5174444444444445,0.5463333333333333,0.41500000000000004,0.21310349726517178,2.237433942441009,26.35,0.08491210407745764
Hyundai,Russia,tournament,3.6498333333333335,26.070000000000004,0.5892083333333333,0.510375,0.33137500000000003,0.21506147173733825,2.2107921655943463,26.070000000000004,0.08480215441481956
Visa,Belgium,tournament,3.736571428571428,26.85,0.5613571428571429,0.6249285714285715,0.2872142857142857,0.2111231752925564,2.264096574548024,26.85,0.08432389476901393
Visa,Saudi Arabia,group_or_knockout,3.742526315789474,27.159999999999997,0.5438421052631579,0.48978947368421055,0.5117368421052632,0.21085808141341497,2.2745087219079796,27.159999999999997,0.08374479830294476
Hyundai,Paraguay,tournament,3.6885714285714286,26.2,0.49571428571428566,0.34228571428571425,0.2745714285714286,0.21328458257160268,2.184494376251415,26.2,0.08337764794852728
McDonald's,South Korea,group_or_knockout,3.493111111111111,25.44,0.4678333333333333,0.47075,0.49575,0.22256293585241607,2.1179685762429177,25.44,0.08325348177055493
Coca-Cola,Germany,group_or_knockout,3.929310344827586,29.19,0.6727931034482758,0.7075344827586206,0.48001724137931034,0.20286813571178733,2.427451066384436,29.19,0.08316036541227942
Hisense,Chile,group_or_knockout,3.71975,27.36,0.5699166666666667,0.5661666666666666,0.4915,0.21187562900577364,2.2746557830128715,27.36,0.08313800376509034
McDonald's,South Korea,tournament,3.512,25.44,0.4245,0.45199999999999996,0.4555,0.22163120567375885,2.1127745035460994,25.44,0.08304931224630893
Budweiser,Sweden,tournament,3.608571428571429,26.29,0.5181071428571429,0.5274642857142857,0.2955357142857143,0.21698698078115314,2.172879255823222,26.29,0.08265040912222223
Hyundai,Mexico,group_or_knockout,3.8088333333333333,28.5,0.65875,0.6134722222222222,0.4701388888888889,0.20795064637992583,2.343801448289606,28.5,0.08223864730840723
Budweiser,Spain,group_or_knockout,3.68625,27.85,0.6236136363636363,0.6428863636363636,0.5046590909090909,0.21339023739663912,2.278226508280996,27.85,0.0818034652883661
Hisense,Croatia,group_or_knockout,3.7394666666666665,28.530000000000005,0.6452000000000001,0.7072,0.5111,0.2109942046925111,2.321414130291266,28.530000000000005,0.08136747740242782
Budweiser,Scotland,tournament,3.521714285714286,26.35,0.5107142857142858,0.5184285714285715,0.35464285714285715,0.22115506129154558,2.1298625950966765,26.35,0.08082970000366893
Coca-Cola,Nigeria,group_or_knockout,3.5833809523809528,26.630000000000003,0.4819047619047619,0.34476190476190477,0.4895714285714286,0.21817955138128434,2.1520589692228307,26.630000000000003,0.08081332967415811
Hyundai,Argentina,group_or_knockout,4.012685185185185,30.739999999999995,0.7043518518518518,0.6404259259259258,0.4858703703703704,0.1994938766462863,2.4706234528312603,30.739999999999995,0.08037161525150491
Qatar Airways,Bolivia,group_or_knockout,3.331666666666667,24.48,0.331,0.238,0.412,0.23085802231627547,1.9604080248813651,24.48,0.08008202716018649
Coca-Cola,Germany,tournament,3.8409444444444443,29.19,0.609388888888889,0.6240185185185185,0.334,0.20657126134707415,2.3364663361292712,29.19,0.08004338253269172
Hyundai,Tunisia,tournament,3.841666666666667,28.75,0.529,0.34933333333333333,0.3586666666666667,0.20654044750430292,2.287146764199656,28.75,0.07955293092868368
Hyundai,Mexico,tournament,3.7399583333333335,28.5,0.5630833333333334,0.5208333333333334,0.30683333333333335,0.21097231867368732,2.2542592978394382,28.5,0.07909681746805046
Budweiser,Spain,tournament,3.6634347826086957,27.85,0.5150434782608696,0.5158260869565218,0.27647826086956523,0.2144342199722168,2.1986000450109184,27.85,0.07894434631996117
Hisense,Canada,group_or_knockout,3.705,28.16,0.44683333333333336,0.357,0.5031666666666667,0.21253985122210414,2.2165684785688993,28.16,0.07871336926736149
Hyundai,Argentina,tournament,3.980823529411765,30.739999999999995,0.6293823529411765,0.5503235294117647,0.33123529411764707,0.2007700120462007,2.4067860460951276,30.739999999999995,0.07829492667843617
Adidas,North Korea,tournament,3.4764999999999997,26.45,0.45075,0.27675,0.344,0.22338880822070817,2.058803895342343,26.45,0.07783757638345343
Adidas,Japan,group_or_knockout,3.76964,29.47,0.5684,0.46004,0.52664,0.20965942922316988,2.2917100456621466,29.47,0.07776416849888519
Coca-Cola,Poland,group_or_knockout,3.6750588235294117,28.97,0.5720000000000001,0.5506470588235295,0.5007647058823529,0.2139010518898787,2.2493202687899863,28.97,0.07764308832550867
Hyundai,Australia,group_or_knockout,3.765705882352941,29.32,0.5567647058823529,0.34911764705882353,0.5465294117647059,0.20983250428922323,2.274494576127451,29.32,0.07757484911758018
Hisense,Chile,tournament,3.536714285714286,27.359999999999996,0.4854761904761905,0.45338095238095244,0.29590476190476195,0.2204238435620493,2.11688561632456,27.359999999999996,0.07737155030426025
Hyundai,Tunisia,group_or_knockout,3.6521333333333335,28.75,0.5704666666666667,0.4404,0.5204666666666667,0.21495514602619586,2.223477588317905,28.75,0.07733835089801408
Hisense,Kuwait,tournament,3.5719999999999996,27.08,0.36566666666666664,0.18033333333333335,0.40399999999999997,0.2187226596675416,2.0906888538932633,27.08,0.07720416742589599
Qatar Airways,South Africa,group_or_knockout,3.287111111111111,26.15,0.4776666666666667,0.46588888888888885,0.49733333333333335,0.23325730872900685,2.005108304190568,26.15,0.07667718180461064
Coca-Cola,Poland,tournament,3.6589523809523805,28.97,0.5441428571428572,0.4692857142857143,0.3498095238095238,0.214640528220119,2.2043735196471523,28.97,0.07609159543138255
Visa,Iran,group_or_knockout,3.5698,29.04,0.5544666666666667,0.47213333333333335,0.5317333333333333,0.21882795745984507,2.1809117634032127,29.04,0.07510026733482138
Adidas,United Arab Emirates,group_or_knockout,3.6010000000000004,28.56,0.4366666666666667,0.25733333333333336,0.46599999999999997,0.2173440556400782,2.138369142215461,28.56,0.07487286912519121
Hyundai,Iraq,group_or_knockout,3.6986666666666665,29.12,0.433,0.221,0.3566666666666667,0.2128263337116913,2.1724872266363984,29.12,0.07460464377185434
Visa,Honduras,group_or_knockout,3.4795,28.19,0.46649999999999997,0.3416666666666666,0.5075,0.22323920080366114,2.0936441972690405,28.19,0.0742690385693168
Hyundai,Australia,tournament,3.6573333333333333,29.320000000000004,0.45133333333333336,0.22133333333333335,0.3336666666666666,0.214715144574864,2.149959455100678,29.320000000000004,0.0733274029706916
Adidas,Brazil,group_or_knockout,3.9173157894736845,33.15,0.6855789473684211,0.6146491228070174,0.49196491228070177,0.20336298151537527,2.411665172005086,33.15,0.07275008060347167
Adidas,Switzerland,group_or_knockout,3.6666521739130435,31.4,0.6467391304347826,0.5941739130434783,0.5273478260869565,0.21428637977136578,2.2676683939661175,31.4,0.07221873866134132
Visa,Costa Rica,group_or_knockout,3.6706190476190477,31.23,0.5991904761904762,0.5418571428571428,0.5251428571428571,0.21410438098345277,2.253694982854657,31.23,0.07216442468314624
Hyundai,Egypt,group_or_knockout,3.6475000000000004,30.540000000000003,0.515,0.32683333333333336,0.4705,0.21516944593867668,2.188533110991573,30.540000000000003,0.07166120206259242
Visa,Iran,tournament,3.4286666666666665,29.040000000000003,0.47333333333333333,0.38266666666666665,0.35566666666666663,0.22580159566460936,2.052712539013498,29.040000000000003,0.07068569349220033
Adidas,Switzerland,tournament,3.7065555555555556,31.399999999999995,0.5316666666666667,0.4529444444444445,0.27661111111111114,0.21246960504261198,2.2166796538188134,31.399999999999995,0.07059489343372018
Coca-Cola,Czech Republic,group_or_knockout,3.2743333333333333,28.08,0.47333333333333333,0.3173333333333333,0.49066666666666664,0.23395461280511584,1.9755802976422574,28.08,0.0703554237052086
Adidas,Hungary,group_or_knockout,3.8793333333333333,33.47,0.597,0.5313333333333333,0.41333333333333333,0.20494603087853533,2.352817650863051,33.47,0.0702963146358844
Hisense,Algeria,group_or_knockout,3.5133,30.28,0.5032,0.4327,0.47940000000000005,0.22156736755810605,2.128065610595352,30.28,0.07027957762864438
Adidas,Brazil,tournament,3.8200701754385964,33.15,0.614578947368421,0.5191228070175439,0.31519298245614036,0.2074658591270419,2.3087178189891353,33.15,0.06964457975834495
Adidas,Jamaica,group_or_knockout,3.840666666666667,33.24,0.5423333333333333,0.369,0.511,0.2065831152733783,2.3115500174447967,33.24,0.06954121592794213
Hisense,Algeria,tournament,3.486666666666667,30.28,0.5166666666666667,0.38433333333333336,0.39766666666666667,0.22288261515601784,2.0983393907875185,30.28,0.06929786627435662
Adidas,Iceland,group_or_knockout,3.7223333333333333,32.31,0.5073333333333333,0.32633333333333336,0.5366666666666667,0.21175972330062823,2.2371158888026166,32.31,0.06923911757358764
Hisense,Netherlands,group_or_knockout,3.6351282051282054,32.27,0.6135384615384616,0.5504615384615384,0.4958205128205128,0.2157437627924987,2.234019216925318,32.27,0.06922898100171422
Visa,Czechoslovakia,group_or_knockout,3.5372,31.089999999999996,0.5748,0.46180000000000004,0.42279999999999995,0.22040024684827644,2.150907980252138,31.089999999999996,0.06918327372956379
Budweiser,Senegal,group_or_knockout,3.5264166666666665,31.49,0.5530833333333334,0.4170833333333333,0.545,0.22092530883517134,2.1506518086265194,31.49,0.06829634196972116
Visa,Honduras,tournament,3.2496666666666663,28.19,0.4163333333333334,0.24433333333333332,0.3426666666666667,0.23531257353517926,1.9221849941171858,28.19,0.06818676814888917
Visa,Czechoslovakia,tournament,3.53004,31.09,0.49048,0.36920000000000003,0.2692,0.22074860266134516,2.0988325117870925,31.09,0.06750828278504639
Budweiser,Greece,group_or_knockout,3.4328000000000003,30.869999999999997,0.48819999999999997,0.3671,0.4854,0.22559104854719364,2.0723647161162253,30.869999999999997,0.06713199598692017
Coca-Cola,Cameroon,group_or_knockout,3.5399130434782613,31.97,0.5223478260869565,0.4017391304347826,0.4932173913043478,0.22026853607615543,2.1437150388530384,31.97,0.06705395804982917
Budweiser,El Salvador,tournament,3.8125,33.75,0.43250000000000005,0.2896666666666667,0.4183333333333333,0.2077922077922078,2.253038290043291,33.75,0.06675669007535677
Adidas,Hungary,tournament,3.674758620689655,33.47,0.5841724137931034,0.48268965517241386,0.34186206896551724,0.21391478815059603,2.2211737134996765,33.47,0.06636312260232079
Hisense,Netherlands,tournament,3.5455,32.27,0.5416875,0.460125,0.3401875,0.21999780002199976,2.1385708009982403,32.27,0.06627117449638179
Adidas,German DR,tournament,3.7143333333333337,33.59,0.521,0.35733333333333334,0.31583333333333335,0.21211906950434842,2.210778807772986,33.59,0.06581657659342025
Coca-Cola,Indonesia,tournament,3.695,32.51,0.341,0.115,0.291,0.21299254526091585,2.1305205963791267,32.51,0.06553431548382427
Visa,Italy,group_or_knockout,3.5996499999999996,33.4,0.5723499999999999,0.39892500000000003,0.4607,0.21740784624917114,2.181178372300066,33.4,0.06530474168563072
Hisense,Peru,group_or_knockout,3.5583333333333336,33.45,0.5730000000000001,0.5203333333333333,0.523,0.21937842778793418,2.1835097257769656,33.45,0.06527682289318282
Coca-Cola,Denmark,group_or_knockout,3.567869565217391,33.85,0.6312608695652174,0.6226956521739131,0.48643478260869566,0.21892043669867983,2.2088554954988884,33.85,0.06525422438696864
Coca-Cola,Cameroon,tournament,3.4583333333333335,31.97,0.4643333333333333,0.30466666666666664,0.3526666666666667,0.22429906542056072,2.0562194080996887,31.97,0.06431715383483544
Coca-Cola,Wales,tournament,3.7323999999999997,33.92,0.4314,0.2434,0.24380000000000002,0.21130927225086635,2.179337258219931,33.92,0.06424932954657815
Visa,Italy,tournament,3.6007906976744186,33.4,0.5122325581395348,0.3132558139534884,0.30602325581395345,0.21735394320490917,2.1388872659389566,33.4,0.06403854089637595
Coca-Cola,Haiti,tournament,3.5519999999999996,32.91,0.41,0.24233333333333332,0.38533333333333336,0.21968365553602814,2.093845307557118,32.91,0.0636233761032245
Hisense,Peru,tournament,3.5314,33.45,0.5123333333333334,0.4406666666666667,0.35233333333333333,0.22068234982566096,2.124332078680614,33.45,0.06350768546130385
Hisense,Bulgaria,group_or_knockout,3.528785714285714,33.88,0.5022142857142857,0.3727142857142857,0.4352142857142857,0.220809740863997,2.1223237921594515,33.88,0.06264237875323056
Hyundai,Egypt,tournament,3.211,30.54,0.415,0.202,0.24,0.23747328425552125,1.8812321372595584,30.54,0.061598956688263214
Qatar Airways,Bolivia,tournament,2.562,24.48,0.261,0.15266666666666664,0.26466666666666666,0.2807411566535654,1.4894007074677147,24.48,0.0608415321677988
Coca-Cola,Wales,group_or_knockout,3.147,33.92,0.527,0.4093333333333333,0.584,0.24113817217265493,1.939645612892854,33.92,0.05718294849330348
Budweiser,Israel,tournament,2.8023333333333333,29.100000000000005,0.3476666666666666,0.139,0.295,0.26299640571578853,1.6406336208760708,29.100000000000005,0.05637916222941823
Visa,DR Congo,tournament,3.093666666666667,33.01,0.4243333333333334,0.2416666666666667,0.401,0.24427978177672824,1.844317617457862,33.01,0.0558714818981479
Hisense,Bulgaria,tournament,3.1168333333333336,33.88,0.4371666666666667,0.30875,0.31925,0.24290514554066633,1.8582434216900803,33.88,0.054847798751183
