sponsor,budget_m,media_multiplier,expected_roi,risk_adjusted_roi,risk_penalty,recommendation
Hyundai,25,1.25,0.9766,0.6254,0.3596,test_or_hold
Hyundai,25,1.5,1.0207,0.6536,0.3596,test_or_hold
Hyundai,50,0.8,1.5714,1.09,0.3063,test_or_hold
Hyundai,50,1.0,1.6331,1.1328,0.3063,test_or_hold
Hyundai,50,1.25,1.5789,1.0111,0.3596,test_or_hold
Hyundai,50,1.5,1.6501,1.0567,0.3596,test_or_hold
Hyundai,100,0.8,2.169,1.5046,0.3063,test_or_hold
Hyundai,100,1.0,2.2542,1.5637,0.3063,test_or_hold
Hyundai,100,1.25,2.1794,1.3957,0.3596,test_or_hold
Hyundai,100,1.5,2.2777,1.4586,0.3596,test_or_hold
McDonald's,10,0.8,0.5116,0.3549,0.3063,test_or_hold
McDonald's,10,1.0,0.5322,0.3692,0.3063,test_or_hold
McDonald's,10,1.25,0.5151,0.3299,0.3596,test_or_hold
McDonald's,10,1.5,0.5389,0.3451,0.3596,test_or_hold
McDonald's,25,0.8,1.0688,0.7414,0.3063,test_or_hold
McDonald's,25,1.0,1.1119,0.7713,0.3063,test_or_hold
McDonald's,25,1.25,1.0761,0.6891,0.3596,test_or_hold
McDonald's,25,1.5,1.1258,0.721,0.3596,test_or_hold
McDonald's,50,0.8,1.6284,1.1296,0.3063,test_or_hold
McDonald's,50,1.0,1.694,1.175,0.3063,test_or_hold
McDonald's,50,1.25,1.6395,1.0499,0.3596,test_or_hold
McDonald's,50,1.5,1.7152,1.0984,0.3596,test_or_hold
McDonald's,100,0.8,2.0747,1.4392,0.3063,test_or_hold
McDonald's,100,1.0,2.1582,1.4971,0.3063,test_or_hold
McDonald's,100,1.25,2.0889,1.3377,0.3596,test_or_hold
McDonald's,100,1.5,2.1853,1.3994,0.3596,test_or_hold
Mengniu,10,0.8,0.5531,0.3837,0.3063,test_or_hold
Mengniu,10,1.0,0.5755,0.3992,0.3063,test_or_hold
Mengniu,10,1.25,0.5572,0.3568,0.3596,test_or_hold
Mengniu,10,1.5,0.583,0.3734,0.3596,test_or_hold
Mengniu,25,0.8,1.1334,0.7862,0.3063,test_or_hold
Mengniu,25,1.0,1.1793,0.8181,0.3063,test_or_hold
Mengniu,25,1.25,1.1418,0.7312,0.3596,test_or_hold
Mengniu,25,1.5,1.1948,0.7651,0.3596,test_or_hold
Mengniu,50,0.8,1.6831,1.1675,0.3063,test_or_hold
Mengniu,50,1.0,1.7513,1.2149,0.3063,test_or_hold
Mengniu,50,1.25,1.6955,1.0858,0.3596,test_or_hold
Mengniu,50,1.5,1.7743,1.1362,0.3596,test_or_hold
Mengniu,100,0.8,2.0791,1.4422,0.3063,test_or_hold
Mengniu,100,1.0,2.1633,1.5006,0.3063,test_or_hold
Mengniu,100,1.25,2.0944,1.3412,0.3596,test_or_hold
Mengniu,100,1.5,2.1916,1.4035,0.3596,test_or_hold
Qatar Airways,10,0.8,0.4134,0.2868,0.3063,test_or_hold
Qatar Airways,10,1.0,0.4296,0.298,0.3063,test_or_hold
Qatar Airways,10,1.25,0.4153,0.266,0.3596,test_or_hold
Qatar Airways,10,1.5,0.434,0.2779,0.3596,test_or_hold
Qatar Airways,25,0.8,0.9077,0.6297,0.3063,test_or_hold
Qatar Airways,25,1.0,0.9433,0.6544,0.3063,test_or_hold
Qatar Airways,25,1.25,0.9119,0.584,0.3596,test_or_hold
Qatar Airways,25,1.5,0.953,0.6103,0.3596,test_or_hold
Qatar Airways,50,0.8,1.4826,1.0285,0.3063,test_or_hold
Qatar Airways,50,1.0,1.5407,1.0688,0.3063,test_or_hold
Qatar Airways,50,1.25,1.4895,0.9539,0.3596,test_or_hold
Qatar Airways,50,1.5,1.5566,0.9968,0.3596,test_or_hold
Qatar Airways,100,0.8,2.0773,1.441,0.3063,test_or_hold
Qatar Airways,100,1.0,2.1587,1.4974,0.3063,test_or_hold
Qatar Airways,100,1.25,2.0869,1.3364,0.3596,test_or_hold
Qatar Airways,100,1.5,2.1809,1.3966,0.3596,test_or_hold
Visa,10,0.8,0.4084,0.2833,0.3063,test_or_hold
Visa,10,1.0,0.4245,0.2945,0.3063,test_or_hold
Visa,10,1.25,0.4105,0.2629,0.3596,test_or_hold
Visa,10,1.5,0.4291,0.2748,0.3596,test_or_hold
Visa,25,0.8,0.8968,0.6221,0.3063,test_or_hold
Visa,25,1.0,0.9322,0.6466,0.3063,test_or_hold
Visa,25,1.25,0.9015,0.5773,0.3596,test_or_hold
Visa,25,1.5,0.9424,0.6035,0.3596,test_or_hold
Visa,50,0.8,1.465,1.0162,0.3063,test_or_hold
Visa,50,1.0,1.5228,1.0564,0.3063,test_or_hold
Visa,50,1.25,1.4727,0.9431,0.3596,test_or_hold
Visa,50,1.5,1.5395,0.9859,0.3596,test_or_hold
Visa,100,0.8,2.053,1.4241,0.3063,test_or_hold
Visa,100,1.0,2.1342,1.4804,0.3063,test_or_hold
Visa,100,1.25,2.0639,1.3217,0.3596,test_or_hold
Visa,100,1.5,2.1575,1.3816,0.3596,test_or_hold
Vivo,10,0.8,0.5368,0.3724,0.3063,test_or_hold
Vivo,10,1.0,0.5583,0.3873,0.3063,test_or_hold
Vivo,10,1.25,0.5403,0.346,0.3596,test_or_hold
Vivo,10,1.5,0.5652,0.362,0.3596,test_or_hold
Vivo,25,0.8,1.1114,0.771,0.3063,test_or_hold
Vivo,25,1.0,1.156,0.8019,0.3063,test_or_hold
Vivo,25,1.25,1.1188,0.7165,0.3596,test_or_hold
Vivo,25,1.5,1.1703,0.7494,0.3596,test_or_hold
Vivo,50,0.8,1.6731,1.1606,0.3063,test_or_hold
Vivo,50,1.0,1.7403,1.2072,0.3063,test_or_hold
Vivo,50,1.25,1.6842,1.0785,0.3596,test_or_hold
Vivo,50,1.5,1.7617,1.1282,0.3596,test_or_hold
Vivo,100,0.8,2.1005,1.457,0.3063,test_or_hold
Vivo,100,1.0,2.1848,1.5155,0.3063,test_or_hold
Vivo,100,1.25,2.1144,1.354,0.3596,test_or_hold
Vivo,100,1.5,2.2117,1.4164,0.3596,test_or_hold
