team,sponsor,extreme_scenario,baseline_roi,scenario_roi,roi_ci_low,roi_ci_high,risk_interval_width,recommendation_reason
Yugoslavia,Qatar Airways,sponsor_policy_change,3.9051,3.5146,3.2091,3.8201,0.611,Policy restriction reduces activation quality.
Yugoslavia,Qatar Airways,positive_viral_moment,3.9051,4.5299,4.1985,4.8613,0.6628,Positive viral attention can lift upside but increases volatility.
Netherlands,Hisense,key_player_injury,3.9013,3.3551,3.0341,3.6761,0.6421,Player availability shock lowers expected activation.
Netherlands,Hisense,sentiment_crisis,3.9013,3.1991,2.8314,3.5667,0.7353,Negative social/news sentiment requires defensive spend.
Netherlands,Hisense,sponsor_policy_change,3.9013,3.5112,3.2057,3.8167,0.611,Policy restriction reduces activation quality.
Netherlands,Hisense,positive_viral_moment,3.9013,4.5255,4.1941,4.8569,0.6628,Positive viral attention can lift upside but increases volatility.
Costa Rica,Visa,key_player_injury,3.895,3.3497,3.0286,3.6707,0.6421,Player availability shock lowers expected activation.
Costa Rica,Visa,sentiment_crisis,3.895,3.1939,2.8262,3.5615,0.7353,Negative social/news sentiment requires defensive spend.
Costa Rica,Visa,sponsor_policy_change,3.895,3.5055,3.2,3.811,0.611,Policy restriction reduces activation quality.
Costa Rica,Visa,positive_viral_moment,3.895,4.5181,4.1868,4.8495,0.6628,Positive viral attention can lift upside but increases volatility.
Scotland,Budweiser,key_player_injury,3.8873,3.3431,3.022,3.6641,0.6421,Player availability shock lowers expected activation.
Scotland,Budweiser,sentiment_crisis,3.8873,3.1876,2.82,3.5552,0.7353,Negative social/news sentiment requires defensive spend.
Scotland,Budweiser,sponsor_policy_change,3.8873,3.4986,3.1931,3.8041,0.611,Policy restriction reduces activation quality.
Scotland,Budweiser,positive_viral_moment,3.8873,4.5093,4.1779,4.8407,0.6628,Positive viral attention can lift upside but increases volatility.
Paraguay,Hyundai,key_player_injury,3.8832,3.3396,3.0185,3.6606,0.6421,Player availability shock lowers expected activation.
Paraguay,Hyundai,sentiment_crisis,3.8832,3.1842,2.8166,3.5519,0.7353,Negative social/news sentiment requires defensive spend.
Paraguay,Hyundai,sponsor_policy_change,3.8832,3.4949,3.1894,3.8004,0.611,Policy restriction reduces activation quality.
Paraguay,Hyundai,positive_viral_moment,3.8832,4.5045,4.1731,4.8359,0.6628,Positive viral attention can lift upside but increases volatility.
Hungary,Adidas,key_player_injury,3.8812,3.3378,3.0168,3.6589,0.6421,Player availability shock lowers expected activation.
Hungary,Adidas,sentiment_crisis,3.8812,3.1826,2.8149,3.5502,0.7353,Negative social/news sentiment requires defensive spend.
Hungary,Adidas,sponsor_policy_change,3.8812,3.4931,3.1876,3.7986,0.611,Policy restriction reduces activation quality.
Hungary,Adidas,positive_viral_moment,3.8812,4.5022,4.1708,4.8336,0.6628,Positive viral attention can lift upside but increases volatility.
New Zealand,McDonald's,key_player_injury,3.8712,3.3292,3.0082,3.6502,0.6421,Player availability shock lowers expected activation.
New Zealand,McDonald's,sentiment_crisis,3.8712,3.1744,2.8067,3.542,0.7353,Negative social/news sentiment requires defensive spend.
New Zealand,McDonald's,sponsor_policy_change,3.8712,3.4841,3.1785,3.7896,0.611,Policy restriction reduces activation quality.
New Zealand,McDonald's,positive_viral_moment,3.8712,4.4906,4.1592,4.8219,0.6628,Positive viral attention can lift upside but increases volatility.
Panama,Qatar Airways,key_player_injury,3.8653,3.3242,3.0031,3.6452,0.6421,Player availability shock lowers expected activation.
Panama,Qatar Airways,sentiment_crisis,3.8653,3.1696,2.8019,3.5372,0.7353,Negative social/news sentiment requires defensive spend.
Panama,Qatar Airways,sponsor_policy_change,3.8653,3.4788,3.1733,3.7843,0.611,Policy restriction reduces activation quality.
Panama,Qatar Airways,positive_viral_moment,3.8653,4.4838,4.1524,4.8152,0.6628,Positive viral attention can lift upside but increases volatility.
Turkey,Mengniu,key_player_injury,3.8637,3.3228,3.0017,3.6438,0.6421,Player availability shock lowers expected activation.
Turkey,Mengniu,sentiment_crisis,3.8637,3.1682,2.8006,3.5359,0.7353,Negative social/news sentiment requires defensive spend.
Turkey,Mengniu,sponsor_policy_change,3.8637,3.4773,3.1718,3.7828,0.611,Policy restriction reduces activation quality.
Turkey,Mengniu,positive_viral_moment,3.8637,4.4819,4.1505,4.8133,0.6628,Positive viral attention can lift upside but increases volatility.
Indonesia,Coca-Cola,key_player_injury,3.86,3.3196,2.9986,3.6406,0.6421,Player availability shock lowers expected activation.
Indonesia,Coca-Cola,sentiment_crisis,3.86,3.1652,2.7976,3.5328,0.7353,Negative social/news sentiment requires defensive spend.
Indonesia,Coca-Cola,sponsor_policy_change,3.86,3.474,3.1685,3.7795,0.611,Policy restriction reduces activation quality.
Indonesia,Coca-Cola,positive_viral_moment,3.86,4.4776,4.1462,4.809,0.6628,Positive viral attention can lift upside but increases volatility.
Italy,Visa,key_player_injury,3.8453,3.307,2.9859,3.628,0.6421,Player availability shock lowers expected activation.
Italy,Visa,sentiment_crisis,3.8453,3.1531,2.7855,3.5208,0.7353,Negative social/news sentiment requires defensive spend.
Italy,Visa,sponsor_policy_change,3.8453,3.4608,3.1553,3.7663,0.611,Policy restriction reduces activation quality.
Italy,Visa,positive_viral_moment,3.8453,4.4605,4.1292,4.7919,0.6628,Positive viral attention can lift upside but increases volatility.
Kuwait,Hisense,key_player_injury,3.8397,3.3021,2.9811,3.6232,0.6421,Player availability shock lowers expected activation.
Kuwait,Hisense,sentiment_crisis,3.8397,3.1485,2.7809,3.5162,0.7353,Negative social/news sentiment requires defensive spend.
Kuwait,Hisense,sponsor_policy_change,3.8397,3.4557,3.1502,3.7612,0.611,Policy restriction reduces activation quality.
Kuwait,Hisense,positive_viral_moment,3.8397,4.454,4.1226,4.7854,0.6628,Positive viral attention can lift upside but increases volatility.
Cameroon,Coca-Cola,key_player_injury,3.8235,3.2882,2.9671,3.6092,0.6421,Player availability shock lowers expected activation.
Cameroon,Coca-Cola,sentiment_crisis,3.8235,3.1352,2.7676,3.5029,0.7353,Negative social/news sentiment requires defensive spend.
Cameroon,Coca-Cola,sponsor_policy_change,3.8235,3.4411,3.1356,3.7466,0.611,Policy restriction reduces activation quality.
Cameroon,Coca-Cola,positive_viral_moment,3.8235,4.4352,4.1038,4.7666,0.6628,Positive viral attention can lift upside but increases volatility.
Peru,Hisense,key_player_injury,3.8155,3.2813,2.9603,3.6024,0.6421,Player availability shock lowers expected activation.
Peru,Hisense,sentiment_crisis,3.8155,3.1287,2.7611,3.4963,0.7353,Negative social/news sentiment requires defensive spend.
Peru,Hisense,sponsor_policy_change,3.8155,3.434,3.1284,3.7395,0.611,Policy restriction reduces activation quality.
Peru,Hisense,positive_viral_moment,3.8155,4.426,4.0946,4.7574,0.6628,Positive viral attention can lift upside but increases volatility.
Senegal,Budweiser,key_player_injury,3.8106,3.2771,2.9561,3.5981,0.6421,Player availability shock lowers expected activation.
Senegal,Budweiser,sentiment_crisis,3.8106,3.1247,2.757,3.4923,0.7353,Negative social/news sentiment requires defensive spend.
Senegal,Budweiser,sponsor_policy_change,3.8106,3.4295,3.124,3.735,0.611,Policy restriction reduces activation quality.
Senegal,Budweiser,positive_viral_moment,3.8106,4.4203,4.0889,4.7517,0.6628,Positive viral attention can lift upside but increases volatility.
Northern Ireland,Qatar Airways,key_player_injury,3.8053,3.2726,2.9515,3.5936,0.6421,Player availability shock lowers expected activation.
Northern Ireland,Qatar Airways,sentiment_crisis,3.8053,3.1204,2.7527,3.488,0.7353,Negative social/news sentiment requires defensive spend.
Northern Ireland,Qatar Airways,sponsor_policy_change,3.8053,3.4248,3.1193,3.7303,0.611,Policy restriction reduces activation quality.
Northern Ireland,Qatar Airways,positive_viral_moment,3.8053,4.4142,4.0828,4.7455,0.6628,Positive viral attention can lift upside but increases volatility.
Bosnia and Herzegovina,Mengniu,key_player_injury,3.8003,3.2683,2.9472,3.5893,0.6421,Player availability shock lowers expected activation.
Bosnia and Herzegovina,Mengniu,sentiment_crisis,3.8003,3.1163,2.7486,3.4839,0.7353,Negative social/news sentiment requires defensive spend.
Bosnia and Herzegovina,Mengniu,sponsor_policy_change,3.8003,3.4203,3.1148,3.7258,0.611,Policy restriction reduces activation quality.
Bosnia and Herzegovina,Mengniu,positive_viral_moment,3.8003,4.4084,4.077,4.7398,0.6628,Positive viral attention can lift upside but increases volatility.
North Korea,Adidas,key_player_injury,3.797,3.2654,2.9444,3.5865,0.6421,Player availability shock lowers expected activation.
North Korea,Adidas,sentiment_crisis,3.797,3.1135,2.7459,3.4812,0.7353,Negative social/news sentiment requires defensive spend.
North Korea,Adidas,sponsor_policy_change,3.797,3.4173,3.1118,3.7228,0.611,Policy restriction reduces activation quality.
North Korea,Adidas,positive_viral_moment,3.797,4.4045,4.0731,4.7359,0.6628,Positive viral attention can lift upside but increases volatility.
Algeria,Hisense,key_player_injury,3.7839,3.2542,2.9331,3.5752,0.6421,Player availability shock lowers expected activation.
Algeria,Hisense,sentiment_crisis,3.7839,3.1028,2.7352,3.4705,0.7353,Negative social/news sentiment requires defensive spend.
Algeria,Hisense,sponsor_policy_change,3.7839,3.4055,3.1,3.711,0.611,Policy restriction reduces activation quality.
Algeria,Hisense,positive_viral_moment,3.7839,4.3894,4.058,4.7207,0.6628,Positive viral attention can lift upside but increases volatility.
South Africa,Qatar Airways,key_player_injury,3.7761,3.2475,2.9264,3.5685,0.6421,Player availability shock lowers expected activation.
South Africa,Qatar Airways,sentiment_crisis,3.7761,3.0964,2.7288,3.464,0.7353,Negative social/news sentiment requires defensive spend.
South Africa,Qatar Airways,sponsor_policy_change,3.7761,3.3985,3.093,3.704,0.611,Policy restriction reduces activation quality.
South Africa,Qatar Airways,positive_viral_moment,3.7761,4.3803,4.0489,4.7117,0.6628,Positive viral attention can lift upside but increases volatility.
Haiti,Coca-Cola,key_player_injury,3.775,3.2465,2.9255,3.5675,0.6421,Player availability shock lowers expected activation.
Haiti,Coca-Cola,sentiment_crisis,3.775,3.0955,2.7279,3.4631,0.7353,Negative social/news sentiment requires defensive spend.
Haiti,Coca-Cola,sponsor_policy_change,3.775,3.3975,3.092,3.703,0.611,Policy restriction reduces activation quality.
Haiti,Coca-Cola,positive_viral_moment,3.775,4.379,4.0476,4.7104,0.6628,Positive viral attention can lift upside but increases volatility.
Czechoslovakia,Visa,key_player_injury,3.7404,3.2167,2.8957,3.5378,0.6421,Player availability shock lowers expected activation.
Czechoslovakia,Visa,sentiment_crisis,3.7404,3.0671,2.6995,3.4348,0.7353,Negative social/news sentiment requires defensive spend.
Czechoslovakia,Visa,sponsor_policy_change,3.7404,3.3664,3.0609,3.6719,0.611,Policy restriction reduces activation quality.
Czechoslovakia,Visa,positive_viral_moment,3.7404,4.3389,4.0075,4.6703,0.6628,Positive viral attention can lift upside but increases volatility.
Iraq,Hyundai,key_player_injury,3.7273,3.2055,2.8845,3.5265,0.6421,Player availability shock lowers expected activation.
Iraq,Hyundai,sentiment_crisis,3.7273,3.0564,2.6888,3.4241,0.7353,Negative social/news sentiment requires defensive spend.
Iraq,Hyundai,sponsor_policy_change,3.7273,3.3546,3.0491,3.6601,0.611,Policy restriction reduces activation quality.
Iraq,Hyundai,positive_viral_moment,3.7273,4.3237,3.9923,4.6551,0.6628,Positive viral attention can lift upside but increases volatility.
Wales,Coca-Cola,key_player_injury,3.7236,3.2023,2.8813,3.5234,0.6421,Player availability shock lowers expected activation.
Wales,Coca-Cola,sentiment_crisis,3.7236,3.0534,2.6857,3.421,0.7353,Negative social/news sentiment requires defensive spend.
Wales,Coca-Cola,sponsor_policy_change,3.7236,3.3513,3.0458,3.6568,0.611,Policy restriction reduces activation quality.
Wales,Coca-Cola,positive_viral_moment,3.7236,4.3194,3.988,4.6508,0.6628,Positive viral attention can lift upside but increases volatility.
Serbia,Vivo,key_player_injury,3.7231,3.2018,2.8808,3.5229,0.6421,Player availability shock lowers expected activation.
Serbia,Vivo,sentiment_crisis,3.7231,3.0529,2.6853,3.4206,0.7353,Negative social/news sentiment requires defensive spend.
Serbia,Vivo,sponsor_policy_change,3.7231,3.3508,3.0453,3.6563,0.611,Policy restriction reduces activation quality.
Serbia,Vivo,positive_viral_moment,3.7231,4.3188,3.9874,4.6501,0.6628,Positive viral attention can lift upside but increases volatility.
Honduras,Visa,key_player_injury,3.7127,3.1929,2.8719,3.5139,0.6421,Player availability shock lowers expected activation.
Honduras,Visa,sentiment_crisis,3.7127,3.0444,2.6767,3.412,0.7353,Negative social/news sentiment requires defensive spend.
Honduras,Visa,sponsor_policy_change,3.7127,3.3414,3.0359,3.6469,0.611,Policy restriction reduces activation quality.
Honduras,Visa,positive_viral_moment,3.7127,4.3067,3.9753,4.6381,0.6628,Positive viral attention can lift upside but increases volatility.
Uruguay,Vivo,key_player_injury,3.7072,3.1882,2.8671,3.5092,0.6421,Player availability shock lowers expected activation.
Uruguay,Vivo,sentiment_crisis,3.7072,3.0399,2.6723,3.4075,0.7353,Negative social/news sentiment requires defensive spend.
Uruguay,Vivo,sponsor_policy_change,3.7072,3.3365,3.031,3.642,0.611,Policy restriction reduces activation quality.
Uruguay,Vivo,positive_viral_moment,3.7072,4.3003,3.9689,4.6317,0.6628,Positive viral attention can lift upside but increases volatility.
Iran,Visa,key_player_injury,3.7069,3.188,2.8669,3.509,0.6421,Player availability shock lowers expected activation.
Iran,Visa,sentiment_crisis,3.7069,3.0397,2.6721,3.4073,0.7353,Negative social/news sentiment requires defensive spend.
Iran,Visa,sponsor_policy_change,3.7069,3.3362,3.0307,3.6418,0.611,Policy restriction reduces activation quality.
Iran,Visa,positive_viral_moment,3.7069,4.3001,3.9687,4.6314,0.6628,Positive viral attention can lift upside but increases volatility.
Egypt,Hyundai,key_player_injury,3.6919,3.175,2.854,3.496,0.6421,Player availability shock lowers expected activation.
Egypt,Hyundai,sentiment_crisis,3.6919,3.0273,2.6597,3.395,0.7353,Negative social/news sentiment requires defensive spend.
Egypt,Hyundai,sponsor_policy_change,3.6919,3.3227,3.0172,3.6282,0.611,Policy restriction reduces activation quality.
Egypt,Hyundai,positive_viral_moment,3.6919,4.2826,3.9512,4.6139,0.6628,Positive viral attention can lift upside but increases volatility.
Ecuador,McDonald's,key_player_injury,3.6912,3.1745,2.8534,3.4955,0.6421,Player availability shock lowers expected activation.
