node,node_type,gcn_score,graphsage_score,combined_graph_score,embedding_degree,embedding_pagerank,embedding_betweenness,embedding_closeness
match_630,match,0.52851,0.291027,0.397894,0.272867,0.272914,0.023308,0.853623
match_120,match,0.528057,0.291354,0.39787,0.26964,0.271087,0.036997,0.854958
match_24,match,0.528947,0.29055,0.397828,0.271818,0.27351,0.021935,0.854212
match_153,match,0.52804,0.291269,0.397816,0.270733,0.272188,0.031454,0.854861
match_295,match,0.528335,0.290909,0.397751,0.272178,0.272301,0.025674,0.853554
match_842,match,0.528252,0.290635,0.397563,0.271468,0.273011,0.024342,0.85422
match_181,match,0.527921,0.290359,0.397262,0.270947,0.271044,0.027756,0.853898
match_197,match,0.527548,0.290371,0.397101,0.272121,0.272179,0.022641,0.853624
match_461,match,0.528424,0.289628,0.397087,0.267914,0.269907,0.032869,0.855549
match_348,match,0.528085,0.289466,0.396845,0.267623,0.269607,0.03322,0.855546
match_495,match,0.527052,0.290177,0.396771,0.267882,0.269911,0.03654,0.8553
match_763,match,0.526526,0.290508,0.396716,0.270813,0.272342,0.02652,0.854349
match_77,match,0.527658,0.289582,0.396716,0.269193,0.270629,0.027961,0.855034
match_265,match,0.527281,0.289814,0.396674,0.270866,0.272413,0.022206,0.853875
match_54,match,0.52735,0.289487,0.396525,0.26903,0.270454,0.028147,0.85503
match_775,match,0.526714,0.28973,0.396372,0.27153,0.271745,0.021261,0.853352
match_227,match,0.526792,0.288971,0.39599,0.267751,0.269755,0.029652,0.855295
match_496,match,0.526472,0.289157,0.395949,0.272006,0.272169,0.015646,0.853239
match_653,match,0.526115,0.289421,0.395933,0.27048,0.272058,0.021228,0.854274
match_527,match,0.525579,0.289858,0.395932,0.269355,0.270773,0.029173,0.854705
match_464,match,0.526317,0.289239,0.395924,0.270357,0.27037,0.023639,0.853887
match_374,match,0.526733,0.288872,0.395909,0.266516,0.268486,0.034655,0.855533
match_12,match,0.525554,0.289645,0.395804,0.270243,0.272272,0.022611,0.854789
match_185,match,0.525744,0.289488,0.395803,0.269193,0.27063,0.027511,0.854806
match_451,match,0.525984,0.288883,0.395579,0.267149,0.268527,0.033028,0.855227
match_623,match,0.52626,0.288637,0.395567,0.267214,0.269237,0.030022,0.855286
match_102,match,0.526042,0.288772,0.395544,0.269671,0.269763,0.02376,0.853884
match_238,match,0.526048,0.288724,0.39552,0.270352,0.270519,0.020414,0.853505
match_816,match,0.526077,0.288548,0.395436,0.269949,0.270176,0.021019,0.85359
match_354,match,0.525424,0.288993,0.395387,0.271119,0.271301,0.01872,0.85319
match_857,match,0.525791,0.288633,0.395354,0.272361,0.272594,0.01086,0.852832
match_875,match,0.525834,0.288486,0.395293,0.26986,0.270073,0.021071,0.853582
match_118,match,0.525118,0.288943,0.395221,0.268395,0.270381,0.02662,0.855151
match_172,match,0.525301,0.288464,0.395041,0.269658,0.271291,0.019087,0.854054
match_569,match,0.525009,0.288694,0.395036,0.2703,0.270342,0.020588,0.853666
match_261,match,0.525236,0.288502,0.395032,0.266514,0.267891,0.033588,0.855223
match_701,match,0.524839,0.288664,0.394943,0.269434,0.269428,0.024353,0.853876
match_788,match,0.52493,0.288456,0.394869,0.267333,0.268738,0.029601,0.854996
match_310,match,0.524896,0.288381,0.394813,0.267466,0.268881,0.028558,0.854904
match_438,match,0.524765,0.288457,0.394795,0.270149,0.270416,0.019702,0.853194
match_836,match,0.52462,0.288557,0.394786,0.269267,0.269263,0.02446,0.853874
match_280,match,0.524575,0.288511,0.39474,0.270023,0.270055,0.020742,0.853659
match_473,match,0.524785,0.288299,0.394717,0.267343,0.268756,0.028621,0.854902
match_351,match,0.524745,0.288267,0.394682,0.266118,0.267492,0.033956,0.85522
match_69,match,0.523931,0.288887,0.394657,0.268207,0.269737,0.028302,0.854576
match_290,match,0.524421,0.288448,0.394636,0.269896,0.27012,0.020856,0.853256
match_544,match,0.523744,0.288564,0.394395,0.26882,0.270419,0.024131,0.853287
match_272,match,0.524156,0.288024,0.394284,0.268254,0.269675,0.02276,0.854771
match_626,match,0.523443,0.28805,0.393977,0.269383,0.270923,0.017951,0.854033
match_939,match,0.52371,0.287766,0.393941,0.270622,0.270916,0.013431,0.852743
match_412,match,0.523595,0.287694,0.393849,0.267967,0.268042,0.02494,0.853865
match_937,match,0.523513,0.287618,0.393771,0.268676,0.268839,0.021296,0.853448
match_123,match,0.523092,0.287944,0.393761,0.267948,0.269455,0.02366,0.854551
match_195,match,0.522802,0.287785,0.393543,0.267911,0.26943,0.022878,0.854454
match_799,match,0.522474,0.288015,0.393521,0.267389,0.269341,0.025713,0.854862
match_846,match,0.52273,0.287753,0.393493,0.268867,0.268881,0.0214,0.853632
match_907,match,0.522815,0.287537,0.393412,0.270615,0.270867,0.012198,0.852598
match_406,match,0.522868,0.287417,0.39337,0.267967,0.26813,0.0232,0.853635
match_321,match,0.522639,0.287332,0.39322,0.267212,0.268637,0.023268,0.854737
match_889,match,0.522258,0.287235,0.392995,0.265349,0.266739,0.031197,0.854959
match_870,match,0.522222,0.287141,0.392928,0.268727,0.270905,0.014165,0.854071
match_827,match,0.521831,0.286983,0.392665,0.266589,0.268003,0.023998,0.854718
match_767,match,0.521595,0.28682,0.392468,0.266586,0.266644,0.025904,0.85385
match_608,match,0.521123,0.287168,0.392448,0.267066,0.268575,0.023067,0.854261
match_159,match,0.521183,0.287111,0.392444,0.266103,0.268166,0.025828,0.854846
match_906,match,0.521628,0.28663,0.392379,0.268119,0.268337,0.01777,0.853177
team:Iraq,team,0.525141,0.282846,0.391879,0.267235,0.268992,0.014781,0.822347
match_366,match,0.520215,0.286242,0.39153,0.266671,0.268125,0.019133,0.854373
match_905,match,0.519278,0.286408,0.3912,0.265308,0.267241,0.025317,0.854879
match_651,match,0.517303,0.285145,0.389616,0.264551,0.266579,0.021015,0.85447
match_661,match,0.517338,0.284888,0.38949,0.265284,0.267386,0.016059,0.854197
match_309,match,0.516865,0.284801,0.38923,0.263777,0.265699,0.022413,0.854823
team:Australia,team,0.501695,0.296619,0.388903,0.255494,0.25731,0.105194,0.902139
team:Argentina,team,0.466352,0.324696,0.388441,0.25795,0.259293,0.261954,0.91524
match_837,match,0.515506,0.284441,0.38842,0.264232,0.266172,0.018266,0.854436
match_409,match,0.515332,0.283895,0.388042,0.262803,0.264709,0.021303,0.854786
match_237,match,0.514325,0.284437,0.387887,0.262365,0.263708,0.033566,0.845408
match_224,match,0.51497,0.28369,0.387766,0.262929,0.264931,0.019399,0.854585
match_350,match,0.51489,0.283737,0.387756,0.263345,0.265308,0.017886,0.854501
match_338,match,0.511914,0.286017,0.387671,0.26028,0.261499,0.052832,0.846154
match_50,match,0.51007,0.287284,0.387538,0.25671,0.259182,0.075251,0.845858
match_129,match,0.513427,0.284266,0.387389,0.262389,0.263056,0.034203,0.844387
match_384,match,0.514662,0.283003,0.387249,0.263213,0.265493,0.014287,0.853011
match_831,match,0.51385,0.283229,0.387008,0.261825,0.263718,0.021712,0.85475
match_508,match,0.510656,0.285653,0.386904,0.258963,0.260221,0.056581,0.846148
match_938,match,0.513687,0.283158,0.386896,0.26213,0.264151,0.019799,0.85448
match_612,match,0.513589,0.282932,0.386728,0.262573,0.26465,0.016407,0.85421
match_209,match,0.513388,0.282938,0.38664,0.26241,0.264364,0.017264,0.854452
match_391,match,0.512993,0.282716,0.386341,0.262216,0.264211,0.016762,0.85436
match_41,match,0.512512,0.282769,0.386153,0.263548,0.264337,0.019799,0.843549
match_368,match,0.512478,0.282383,0.385926,0.261401,0.263381,0.018383,0.85451
match_541,match,0.512071,0.282405,0.385755,0.261431,0.26336,0.018473,0.8545
match_187,match,0.509992,0.28373,0.385548,0.258377,0.260992,0.045564,0.845083
match_802,match,0.511797,0.282253,0.385548,0.261447,0.263385,0.017497,0.8544
match_143,match,0.509775,0.283711,0.38544,0.259335,0.260388,0.042911,0.84643
match_863,match,0.511283,0.282284,0.385333,0.262067,0.264006,0.015,0.854116
match_311,match,0.508083,0.28323,0.384414,0.257796,0.259012,0.046979,0.846038
match_625,match,0.509428,0.281298,0.383957,0.260102,0.262012,0.017849,0.854324
match_398,match,0.508851,0.28113,0.383605,0.259867,0.261752,0.01794,0.854305
match_686,match,0.508525,0.281065,0.383422,0.257991,0.259411,0.032979,0.844777
match_482,match,0.50778,0.281311,0.383222,0.258158,0.258762,0.035401,0.844407
match_298,match,0.508631,0.280461,0.383137,0.25839,0.25943,0.026986,0.846435
match_536,match,0.508651,0.280187,0.382996,0.257857,0.259059,0.027666,0.8461
match_45,match,0.506586,0.281191,0.382619,0.256014,0.258514,0.040532,0.845559
match_107,match,0.507828,0.280071,0.382562,0.260518,0.261275,0.01682,0.843843
match_861,match,0.507372,0.280388,0.382531,0.260671,0.261542,0.018446,0.842968
match_36,match,0.506668,0.280838,0.382461,0.259054,0.259604,0.028443,0.844332
match_35,match,0.508608,0.27923,0.38245,0.255137,0.258546,0.060283,0.798283
match_358,match,0.50783,0.279797,0.382412,0.257819,0.259003,0.025476,0.846037
match_269,match,0.506376,0.280838,0.38233,0.257264,0.257875,0.036609,0.844341
match_255,match,0.507455,0.279708,0.382194,0.257622,0.258792,0.025855,0.846033
team:Egypt,team,0.50503,0.281685,0.38219,0.255163,0.257111,0.026923,0.880117
match_325,match,0.511859,0.27608,0.382181,0.262013,0.261689,0.01728,0.795164
match_83,match,0.505179,0.281432,0.382118,0.254843,0.257368,0.047511,0.845394
match_53,match,0.504938,0.281314,0.381945,0.254713,0.25724,0.047372,0.845392
match_516,match,0.507138,0.27944,0.381904,0.254108,0.256539,0.038323,0.845879
match_128,match,0.507145,0.279339,0.381852,0.260086,0.260847,0.014253,0.843818
match_430,match,0.506125,0.279744,0.381616,0.259455,0.260089,0.02006,0.843602
match_307,match,0.506383,0.279121,0.381389,0.253433,0.255853,0.039463,0.845885
match_232,match,0.506339,0.279116,0.381366,0.253416,0.255821,0.039537,0.845885
match_230,match,0.505992,0.279361,0.381345,0.256271,0.257283,0.029955,0.846445
match_705,match,0.50582,0.279362,0.381268,0.256224,0.257219,0.030208,0.846446
match_806,match,0.505973,0.279204,0.38125,0.256994,0.257572,0.027678,0.844381
match_49,match,0.506168,0.278894,0.381167,0.255774,0.258266,0.027301,0.845552
match_251,match,0.505267,0.279276,0.380972,0.258944,0.259559,0.019651,0.843412
match_305,match,0.505004,0.278533,0.380445,0.256281,0.25689,0.026762,0.844324
match_146,match,0.504931,0.278361,0.380318,0.2549,0.257374,0.028056,0.845532
match_355,match,0.504745,0.278109,0.380095,0.251547,0.253998,0.041801,0.845896
match_44,match,0.504318,0.278415,0.380071,0.25753,0.258066,0.02039,0.844299
match_37,match,0.504267,0.278275,0.379971,0.255853,0.256442,0.02717,0.844314
match_93,match,0.504459,0.277968,0.379889,0.254328,0.256838,0.028273,0.845384
match_718,match,0.503613,0.27849,0.379796,0.257667,0.258368,0.020337,0.843663
match_101,match,0.50337,0.278677,0.379789,0.256944,0.257479,0.024749,0.844287
match_266,match,0.508148,0.274715,0.37976,0.258991,0.258582,0.022672,0.795486
match_160,match,0.504335,0.277822,0.379753,0.254115,0.256646,0.028312,0.845381
team:Brazil,team,0.431523,0.337347,0.379726,0.242389,0.244677,0.415138,0.909168
match_400,match,0.503263,0.277828,0.379274,0.255125,0.255717,0.027749,0.844302
match_151,match,0.502956,0.277825,0.379134,0.256643,0.257169,0.020836,0.84428
match_644,match,0.502645,0.277827,0.378995,0.254303,0.254769,0.031495,0.844731
match_168,match,0.502855,0.277465,0.378891,0.253424,0.255885,0.029328,0.8455
team:Indonesia,team,0.507359,0.27369,0.378841,0.258084,0.258093,0.008065,0.814144
match_598,match,0.502055,0.277927,0.378785,0.256285,0.257575,0.021035,0.845494
match_32,match,0.501703,0.277936,0.378631,0.254485,0.255674,0.029226,0.846081
match_460,match,0.502022,0.277548,0.378561,0.255788,0.256832,0.021034,0.846068
match_271,match,0.507102,0.273314,0.378519,0.258268,0.257874,0.017243,0.795471
match_360,match,0.502283,0.277226,0.378501,0.252602,0.253691,0.033438,0.846454
match_250,match,0.502197,0.277261,0.378482,0.251601,0.254317,0.036453,0.844831
match_946,match,0.502413,0.276977,0.378423,0.253416,0.254117,0.030109,0.84435
match_786,match,0.501731,0.277455,0.378379,0.256579,0.257856,0.016859,0.845313
team:Paraguay,team,0.481592,0.293893,0.378358,0.245166,0.247202,0.135399,0.902359
match_171,match,0.501507,0.277216,0.378147,0.255727,0.256236,0.021311,0.84426
match_281,match,0.501902,0.276804,0.378098,0.252343,0.25485,0.03021,0.845346
match_206,match,0.501336,0.276808,0.377846,0.252348,0.254782,0.030259,0.845476
match_558,match,0.500382,0.277551,0.377825,0.255402,0.25644,0.023009,0.845818
match_913,match,0.500885,0.277076,0.37779,0.255575,0.25626,0.021125,0.843786
match_257,match,0.505754,0.27301,0.377745,0.254143,0.256485,0.029993,0.794895
match_247,match,0.5058,0.272364,0.37741,0.257959,0.257895,0.013128,0.793917
match_909,match,0.49979,0.277192,0.377361,0.255061,0.255538,0.024398,0.844092
match_163,match,0.500034,0.276696,0.377198,0.253168,0.255743,0.025792,0.845033
match_28,match,0.50007,0.276527,0.377121,0.253115,0.255686,0.024989,0.845038
match_113,match,0.500061,0.275972,0.376812,0.253432,0.254615,0.021845,0.846052
match_89,match,0.499497,0.276351,0.376767,0.254521,0.255022,0.02151,0.844231
match_59,match,0.503532,0.27298,0.376729,0.252099,0.254337,0.038901,0.795765
match_431,match,0.499018,0.276545,0.376657,0.251611,0.25405,0.032256,0.845084
match_659,match,0.50423,0.272076,0.376545,0.256408,0.255995,0.018167,0.79543
match_881,match,0.498912,0.276134,0.376384,0.25446,0.255158,0.020522,0.843552
match_573,match,0.498793,0.276161,0.376346,0.252991,0.253589,0.02741,0.843952
match_720,match,0.503686,0.272,0.376259,0.252415,0.254738,0.031485,0.79525
match_756,match,0.498753,0.275807,0.376133,0.253253,0.255817,0.020174,0.844546
match_441,match,0.503604,0.271305,0.37584,0.251091,0.254463,0.029594,0.79819
match_833,match,0.498028,0.275615,0.375701,0.250607,0.251071,0.034752,0.844757
match_919,match,0.498312,0.275302,0.375657,0.25433,0.255744,0.013775,0.844985
match_177,match,0.501973,0.27175,0.37535,0.250976,0.253218,0.03641,0.795747
match_48,match,0.501926,0.271752,0.37533,0.252827,0.255135,0.027991,0.795351
match_563,match,0.502262,0.271316,0.375242,0.254135,0.25662,0.019902,0.793762
match_613,match,0.502164,0.271274,0.375175,0.254126,0.253832,0.023478,0.795469
team:Mexico,team,0.465015,0.301519,0.375092,0.247156,0.249235,0.170134,0.908205
match_582,match,0.496431,0.275437,0.374885,0.252899,0.253907,0.021413,0.845836
match_645,match,0.496228,0.275187,0.374655,0.252906,0.253911,0.019972,0.845593
match_860,match,0.496557,0.274741,0.374558,0.250017,0.252422,0.028464,0.845008
match_568,match,0.501193,0.270803,0.374479,0.255781,0.255554,0.013308,0.794595
match_921,match,0.495928,0.274962,0.374397,0.253001,0.254171,0.018013,0.845318
match_96,match,0.501377,0.270373,0.374325,0.250577,0.252801,0.029684,0.795738
team:Tunisia,team,0.484594,0.282733,0.373571,0.245228,0.247215,0.069856,0.895308
match_750,match,0.494558,0.273996,0.373249,0.252809,0.253485,0.015069,0.843173
match_797,match,0.498586,0.270503,0.37314,0.248397,0.251752,0.037379,0.797686
match_732,match,0.499079,0.269612,0.372872,0.254186,0.253975,0.013244,0.794546
match_523,match,0.493973,0.273535,0.372732,0.251988,0.253236,0.013819,0.845032
match_395,match,0.498501,0.269473,0.372536,0.252857,0.252545,0.018362,0.795081
match_930,match,0.498721,0.269214,0.372492,0.248615,0.250813,0.03158,0.795705
match_688,match,0.497671,0.269588,0.372225,0.247553,0.24981,0.03883,0.795543
match_677,match,0.493073,0.273203,0.372145,0.250811,0.252058,0.017234,0.844966
match_847,match,0.498121,0.268967,0.372087,0.248209,0.250398,0.031935,0.795698
match_21,match,0.493,0.273151,0.372084,0.249966,0.251053,0.020566,0.845817
match_346,match,0.492861,0.273134,0.372011,0.250795,0.251963,0.016757,0.845374
match_88,match,0.496788,0.269424,0.371738,0.247873,0.251152,0.033033,0.79795
match_633,match,0.491408,0.272517,0.371018,0.246746,0.249074,0.029702,0.845205
match_621,match,0.491837,0.272116,0.370991,0.245971,0.248444,0.030736,0.844873
match_815,match,0.491897,0.271795,0.370841,0.248094,0.250755,0.019008,0.84419
match_501,match,0.490662,0.272548,0.370699,0.249284,0.250239,0.020203,0.84578
match_925,match,0.490809,0.272193,0.37057,0.248674,0.251185,0.019111,0.844138
match_894,match,0.490074,0.271754,0.369998,0.245737,0.24806,0.029624,0.845184
match_333,match,0.489686,0.271637,0.369759,0.24767,0.250095,0.020055,0.844734
match_942,match,0.489858,0.271398,0.369705,0.247568,0.248712,0.02084,0.845426
match_880,match,0.488805,0.271189,0.369116,0.247105,0.24957,0.020069,0.844297
team:Russia,team,0.46283,0.292332,0.369056,0.240787,0.242697,0.144417,0.905078
match_593,match,0.488071,0.27088,0.368616,0.246659,0.249118,0.020079,0.844513
match_890,match,0.487063,0.270416,0.367907,0.246554,0.248939,0.017819,0.844469
match_450,match,0.491927,0.266359,0.367865,0.24634,0.249727,0.02124,0.797201
match_137,match,0.48459,0.269896,0.366508,0.245321,0.247414,0.02648,0.83535
match_497,match,0.488144,0.264696,0.365248,0.244754,0.24802,0.018298,0.797362
match_336,match,0.482491,0.2686,0.364851,0.244498,0.246403,0.021466,0.837036
team:Haiti,team,0.485042,0.266371,0.364773,0.244078,0.244284,0.015191,0.832653
match_522,match,0.482441,0.268296,0.364661,0.244668,0.246856,0.019636,0.834873
match_249,match,0.481051,0.26778,0.363752,0.243717,0.245949,0.020953,0.834522
match_423,match,0.480651,0.267363,0.363343,0.243741,0.245942,0.018406,0.834334
match_15,match,0.480226,0.267709,0.363342,0.242595,0.244682,0.025622,0.835043
match_216,match,0.480459,0.26729,0.363216,0.243648,0.245629,0.017237,0.836776
match_387,match,0.480298,0.266574,0.36275,0.242503,0.244553,0.01888,0.835265
match_499,match,0.479972,0.266425,0.362521,0.242273,0.244325,0.019016,0.835259
match_475,match,0.479127,0.266733,0.362311,0.242323,0.244183,0.01969,0.83743
match_6,match,0.478676,0.266953,0.362228,0.241965,0.244108,0.023848,0.834827
match_386,match,0.478952,0.26647,0.362087,0.243273,0.245435,0.014994,0.834436
match_751,match,0.478734,0.266385,0.361942,0.238258,0.242751,0.032079,0.836833
match_397,match,0.478327,0.266255,0.361687,0.241665,0.243801,0.020771,0.835014
match_647,match,0.478,0.266333,0.361583,0.241598,0.24347,0.020866,0.836884
match_326,match,0.477946,0.266246,0.361511,0.237884,0.242275,0.032992,0.837041
match_63,match,0.477573,0.266344,0.361397,0.24154,0.243483,0.021074,0.836888
match_218,match,0.477703,0.265895,0.361209,0.241071,0.243163,0.020348,0.836616
team:Cameroon,team,0.459411,0.280736,0.361139,0.232777,0.233307,0.119926,0.891439
match_259,match,0.477045,0.266102,0.361027,0.239509,0.241565,0.029843,0.835152
match_19,match,0.476621,0.266059,0.360812,0.24024,0.24208,0.025233,0.837284
team:Nigeria,team,0.462227,0.277683,0.360728,0.232985,0.233412,0.100668,0.890482
match_308,match,0.477346,0.26519,0.36066,0.24001,0.242035,0.021876,0.835151
match_364,match,0.476123,0.266055,0.360586,0.235065,0.239274,0.044765,0.837664
match_435,match,0.477135,0.265174,0.360556,0.236811,0.241436,0.031317,0.83628
match_507,match,0.47737,0.264979,0.360555,0.240972,0.243107,0.016014,0.834992
match_540,match,0.476303,0.265716,0.36048,0.24055,0.24241,0.021796,0.837005
match_173,match,0.476289,0.265571,0.360394,0.239466,0.241264,0.025754,0.83742
team:Germany,team,0.424765,0.307524,0.360283,0.245533,0.2452,0.219583,0.9079
match_873,match,0.476659,0.265051,0.360275,0.241366,0.243615,0.014804,0.834425
match_116,match,0.475548,0.265058,0.359779,0.240868,0.24281,0.016244,0.836732
match_162,match,0.475772,0.264843,0.359761,0.240414,0.242529,0.017996,0.834653
match_303,match,0.475664,0.264804,0.359691,0.240065,0.242102,0.019303,0.834974
team:Wales,team,0.471731,0.267832,0.359586,0.236506,0.236925,0.028136,0.881983
match_834,match,0.475644,0.264235,0.359369,0.238516,0.240558,0.022801,0.835133
match_152,match,0.474877,0.264848,0.359361,0.238763,0.240672,0.024439,0.837187
match_774,match,0.475316,0.264266,0.359239,0.240708,0.242839,0.013165,0.834391
match_683,match,0.475264,0.264122,0.359135,0.238323,0.24036,0.022999,0.835127
match_602,match,0.474856,0.264314,0.359058,0.239556,0.241409,0.017666,0.836973
match_675,match,0.47427,0.264737,0.359027,0.239627,0.241491,0.020086,0.836771
match_559,match,0.474321,0.264304,0.358812,0.23859,0.240661,0.023002,0.834874
match_741,match,0.474816,0.263764,0.358738,0.238421,0.240397,0.019005,0.83738
match_109,match,0.4741,0.264308,0.358714,0.239168,0.241044,0.019341,0.837037
match_790,match,0.474314,0.264048,0.358668,0.23852,0.240701,0.021742,0.834543
match_576,match,0.474407,0.263772,0.358558,0.237758,0.239784,0.023453,0.835115
match_132,match,0.473713,0.26423,0.358498,0.239159,0.241026,0.01898,0.836933
match_190,match,0.474405,0.263603,0.358464,0.239475,0.241597,0.014598,0.834613
match_446,match,0.473847,0.264031,0.358449,0.233654,0.238121,0.038854,0.836599
match_145,match,0.474051,0.263833,0.358431,0.233032,0.237228,0.040376,0.837538
match_664,match,0.473969,0.263794,0.358373,0.239478,0.241369,0.01482,0.836802
match_805,match,0.473188,0.263923,0.358092,0.23797,0.239905,0.022487,0.836853
match_768,match,0.473202,0.263358,0.357788,0.238135,0.240026,0.018224,0.836933
match_483,match,0.472519,0.263466,0.35754,0.233904,0.238235,0.034163,0.836984
match_824,match,0.472805,0.263063,0.357447,0.237602,0.239668,0.019844,0.834842
match_958,match,0.472783,0.263075,0.357444,0.23664,0.238646,0.024316,0.835092
sponsor:Hisense,sponsor,0.254748,0.441387,0.357399,0.470079,0.475719,0.018828,0.889367
match_193,match,0.471535,0.263701,0.357226,0.230351,0.234635,0.051819,0.837502
match_335,match,0.471754,0.263223,0.357062,0.238611,0.240469,0.015334,0.836776
match_601,match,0.471926,0.262965,0.356998,0.231654,0.235804,0.041428,0.837505
match_407,match,0.47185,0.262884,0.356919,0.231532,0.235694,0.041466,0.837504
match_726,match,0.471511,0.262949,0.356802,0.232195,0.236317,0.038843,0.837564
match_620,match,0.471513,0.262663,0.356646,0.236658,0.238476,0.020663,0.837208
match_685,match,0.471353,0.262716,0.356603,0.238965,0.241076,0.011887,0.833893
team:Czechoslovakia,team,0.448363,0.280804,0.356205,0.224068,0.227724,0.15423,0.89293
match_111,match,0.470807,0.262433,0.356202,0.231812,0.236197,0.037235,0.83707
match_127,match,0.470311,0.262652,0.356099,0.230531,0.234869,0.044564,0.837143
match_571,match,0.470578,0.262375,0.356066,0.230723,0.23485,0.042097,0.837485
match_887,match,0.47014,0.262409,0.355888,0.236513,0.238285,0.019962,0.836995
match_561,match,0.470062,0.26201,0.355633,0.236717,0.238731,0.017698,0.834436
match_817,match,0.470285,0.261814,0.355626,0.236793,0.23899,0.015742,0.834535
match_789,match,0.469593,0.262282,0.355572,0.232163,0.236323,0.035004,0.837158
sponsor:Budweiser,sponsor,0.252457,0.43992,0.355561,0.468215,0.472962,0.020089,0.888974
match_484,match,0.469287,0.261695,0.355111,0.23634,0.238183,0.016279,0.836823
match_648,match,0.469048,0.261835,0.355081,0.22989,0.234227,0.042542,0.836952
match_183,match,0.468918,0.261457,0.354814,0.229547,0.233833,0.041687,0.83722
match_609,match,0.468675,0.261655,0.354814,0.231466,0.235779,0.034262,0.836804
match_850,match,0.468282,0.261245,0.354411,0.230092,0.234411,0.038094,0.836723
match_404,match,0.468555,0.260923,0.354358,0.229628,0.233952,0.038085,0.836942
match_530,match,0.467735,0.26093,0.353992,0.229633,0.233961,0.038247,0.836703
match_961,match,0.467534,0.260726,0.35379,0.235035,0.237029,0.017534,0.834366
match_105,match,0.467719,0.260383,0.353684,0.228895,0.233196,0.038055,0.83708
match_859,match,0.467325,0.260689,0.353675,0.234974,0.236957,0.0176,0.834362
match_472,match,0.467344,0.260208,0.353419,0.229433,0.2339,0.034508,0.836558
match_878,match,0.466985,0.260492,0.353414,0.234321,0.236184,0.018029,0.83688
