node,degree,weighted_degree
match_337,4.0,8.698
match_241,4.0,8.696
match_497,4.0,8.696
match_110,4.0,8.696
match_167,4.0,8.692
match_66,4.0,8.691
match_307,4.0,8.689
match_173,4.0,8.686
match_433,4.0,8.684
Uruguay team_attack_unit,1.0,8.684
match_309,4.0,8.684
match_924,4.0,8.683
match_852,4.0,8.68
match_278,4.0,8.676
match_757,4.0,8.674
match_95,4.0,8.672
match_356,4.0,8.67
match_537,4.0,8.667
match_952,4.0,8.665
match_131,4.0,8.663
match_485,4.0,8.661
match_502,4.0,8.66
match_780,4.0,8.66
Romania,4.0,8.657
match_298,4.0,8.653
match_399,4.0,8.653
match_305,4.0,8.653
match_391,4.0,8.652
match_161,4.0,8.651
match_136,4.0,8.643
match_180,4.0,8.642
match_10,4.0,8.636
match_52,4.0,8.634
match_587,4.0,8.633
match_97,4.0,8.633
match_317,4.0,8.631
match_29,4.0,8.63
match_750,4.0,8.629
match_422,4.0,8.625
match_178,4.0,8.625
match_102,4.0,8.624
match_515,4.0,8.623
match_415,4.0,8.623
match_424,4.0,8.622
match_336,4.0,8.614
match_878,4.0,8.612
match_960,4.0,8.611
match_897,4.0,8.609
match_147,4.0,8.609
match_326,4.0,8.608
match_164,4.0,8.607
Ghana,4.0,8.607
match_727,4.0,8.606
match_376,4.0,8.603
match_217,4.0,8.601
match_891,4.0,8.6
match_287,4.0,8.599
match_651,4.0,8.594
match_382,4.0,8.594
match_77,4.0,8.591
match_937,4.0,8.586
match_177,4.0,8.585
match_228,4.0,8.58
match_333,4.0,8.574
Slovenia,4.0,8.568
match_437,4.0,8.568
match_284,4.0,8.565
match_632,4.0,8.563
match_213,4.0,8.561
match_185,4.0,8.558
match_413,4.0,8.554
match_80,4.0,8.553
match_118,4.0,8.552
match_893,4.0,8.551
match_516,4.0,8.551
match_168,4.0,8.55
match_363,4.0,8.547
match_59,4.0,8.547
match_626,4.0,8.546
match_145,4.0,8.539
match_74,4.0,8.538
match_657,4.0,8.537
match_868,4.0,8.537
match_186,4.0,8.537
match_265,4.0,8.535
match_783,4.0,8.534
match_209,4.0,8.533
match_672,4.0,8.531
match_344,4.0,8.527
match_299,4.0,8.525
match_938,4.0,8.525
match_470,4.0,8.524
match_26,4.0,8.521
match_411,4.0,8.521
match_925,4.0,8.519
match_521,4.0,8.518
match_628,4.0,8.517
team:Honduras,18.0,8.516
match_143,4.0,8.502
match_664,4.0,8.5
match_269,4.0,8.498
match_55,4.0,8.497
match_646,4.0,8.496
match_36,4.0,8.493
Bulgaria,4.0,8.49
match_256,4.0,8.486
match_294,4.0,8.484
match_605,4.0,8.483
Argentina team_defense_unit,1.0,8.479
match_584,4.0,8.471
match_61,4.0,8.471
match_71,4.0,8.463
match_855,4.0,8.455
match_874,4.0,8.455
match_134,4.0,8.454
match_156,4.0,8.452
match_138,4.0,8.452
match_486,4.0,8.45
match_106,4.0,8.444
match_135,4.0,8.444
match_766,4.0,8.444
match_906,4.0,8.441
match_19,4.0,8.44
match_530,4.0,8.436
match_274,4.0,8.435
match_354,4.0,8.433
match_884,4.0,8.429
match_778,4.0,8.426
match_913,4.0,8.426
match_817,4.0,8.425
match_811,4.0,8.423
match_629,4.0,8.423
match_154,4.0,8.423
match_117,4.0,8.422
match_915,4.0,8.42
match_120,4.0,8.412
match_768,4.0,8.402
match_144,4.0,8.402
match_710,4.0,8.4
match_682,4.0,8.4
match_350,4.0,8.4
match_514,4.0,8.399
match_257,4.0,8.399
match_944,4.0,8.396
match_941,4.0,8.394
match_368,4.0,8.391
match_830,4.0,8.39
match_268,4.0,8.377
match_132,4.0,8.373
match_825,4.0,8.372
match_334,4.0,8.371
match_288,4.0,8.37
match_359,4.0,8.367
match_483,4.0,8.365
match_6,4.0,8.363
match_567,4.0,8.363
match_21,4.0,8.361
match_181,4.0,8.36
match_379,4.0,8.36
match_962,4.0,8.358
match_403,4.0,8.357
match_775,4.0,8.357
match_205,4.0,8.355
match_109,4.0,8.342
match_324,4.0,8.341
match_552,4.0,8.33
match_410,4.0,8.329
match_581,4.0,8.326
match_346,4.0,8.324
match_858,4.0,8.323
match_593,4.0,8.314
match_637,4.0,8.313
match_580,4.0,8.313
Jamaica,4.0,8.311
match_339,4.0,8.309
match_840,4.0,8.306
match_712,4.0,8.305
match_220,4.0,8.302
match_360,4.0,8.301
match_841,4.0,8.294
match_238,4.0,8.294
team:Wales,16.0,8.293
match_315,4.0,8.286
match_389,4.0,8.286
match_170,4.0,8.281
Nigeria,4.0,8.28
match_953,4.0,8.28
match_867,4.0,8.276
match_314,4.0,8.273
match_146,4.0,8.27
match_695,4.0,8.268
match_112,4.0,8.267
match_260,4.0,8.266
match_551,4.0,8.26
match_956,4.0,8.258
Colombia,4.0,8.254
match_574,4.0,8.253
match_245,4.0,8.243
match_940,4.0,8.241
match_404,4.0,8.241
match_75,4.0,8.238
match_227,4.0,8.237
match_661,4.0,8.237
match_756,4.0,8.236
match_153,4.0,8.23
match_397,4.0,8.23
match_233,4.0,8.228
match_200,4.0,8.228
Switzerland team_attack_unit,1.0,8.226
match_907,4.0,8.224
match_22,4.0,8.223
match_353,4.0,8.222
match_64,4.0,8.221
match_690,4.0,8.213
match_763,4.0,8.21
match_942,4.0,8.206
match_385,4.0,8.205
match_373,4.0,8.2
match_406,4.0,8.198
match_520,4.0,8.194
match_507,4.0,8.194
match_73,4.0,8.193
match_18,4.0,8.192
match_504,4.0,8.189
match_614,4.0,8.185
match_255,4.0,8.183
match_857,4.0,8.18
match_57,4.0,8.177
match_739,4.0,8.176
match_137,4.0,8.173
match_608,4.0,8.171
match_367,4.0,8.171
match_634,4.0,8.17
match_372,4.0,8.168
match_851,4.0,8.166
match_16,4.0,8.166
match_129,4.0,8.164
match_586,4.0,8.162
match_15,4.0,8.157
match_718,4.0,8.155
match_729,4.0,8.152
match_881,4.0,8.15
match_609,4.0,8.148
match_635,4.0,8.145
match_688,4.0,8.143
match_88,4.0,8.142
match_378,4.0,8.14
match_123,4.0,8.134
Canada,4.0,8.132
match_599,4.0,8.131
match_216,4.0,8.128
match_870,4.0,8.128
match_591,4.0,8.125
match_779,4.0,8.121
match_175,4.0,8.12
match_812,4.0,8.12
match_751,4.0,8.117
match_916,4.0,8.115
match_290,4.0,8.114
match_395,4.0,8.114
match_698,4.0,8.112
match_94,4.0,8.109
Brazil team_midfield_unit,1.0,8.108
match_616,4.0,8.107
match_714,4.0,8.107
match_600,4.0,8.097
match_49,4.0,8.096
match_331,4.0,8.092
match_340,4.0,8.09
match_224,4.0,8.087
match_536,4.0,8.086
match_330,4.0,8.078
match_679,4.0,8.075
match_313,4.0,8.074
match_648,4.0,8.073
match_677,4.0,8.072
match_674,4.0,8.07
match_721,4.0,8.07
match_822,4.0,8.068
match_239,4.0,8.067
match_99,4.0,8.066
match_390,4.0,8.065
match_534,4.0,8.063
match_116,4.0,8.06
match_281,4.0,8.059
match_621,4.0,8.057
match_794,4.0,8.055
match_87,4.0,8.055
match_708,4.0,8.054
match_455,4.0,8.054
match_463,4.0,8.051
match_226,4.0,8.032
match_425,4.0,8.029
match_663,4.0,8.029
match_381,4.0,8.025
match_11,4.0,8.025
match_179,4.0,8.023
match_454,4.0,8.022
match_396,4.0,8.021
match_374,4.0,8.019
match_302,4.0,8.019
match_623,4.0,8.017
match_85,4.0,8.014
match_114,4.0,8.011
match_282,4.0,8.008
match_371,4.0,8.007
match_736,4.0,8.006
match_875,4.0,8.004
match_5,4.0,8.0
match_183,4.0,7.998
match_797,4.0,7.997
match_902,4.0,7.997
Denmark team_defense_unit,1.0,7.995
match_754,4.0,7.994
match_920,4.0,7.993
match_669,4.0,7.991
match_86,4.0,7.988
match_643,4.0,7.987
match_40,4.0,7.987
match_51,4.0,7.985
match_244,4.0,7.985
match_845,4.0,7.982
match_50,4.0,7.982
match_702,4.0,7.98
match_2,4.0,7.978
match_195,4.0,7.973
match_125,4.0,7.971
match_850,4.0,7.968
match_509,4.0,7.964
match_611,4.0,7.964
match_176,4.0,7.96
match_478,4.0,7.958
match_929,4.0,7.956
Bosnia and Herzegovina,4.0,7.953
match_91,4.0,7.951
match_786,4.0,7.949
match_421,4.0,7.948
match_3,4.0,7.946
match_936,4.0,7.943
match_432,4.0,7.943
match_188,4.0,7.942
match_264,4.0,7.942
Greece,4.0,7.94
match_439,4.0,7.939
match_355,4.0,7.937
match_654,4.0,7.937
match_45,4.0,7.934
match_358,4.0,7.933
match_624,4.0,7.93
Croatia team_midfield_unit,1.0,7.929
match_542,4.0,7.928
match_489,4.0,7.925
match_615,4.0,7.92
match_446,4.0,7.92
match_191,4.0,7.919
match_666,4.0,7.919
match_487,4.0,7.917
match_823,4.0,7.913
match_115,4.0,7.909
match_121,4.0,7.903
match_673,4.0,7.902
match_805,4.0,7.902
match_325,4.0,7.9
match_856,4.0,7.899
match_745,4.0,7.895
match_503,4.0,7.894
match_933,4.0,7.894
match_790,4.0,7.893
match_327,4.0,7.892
match_128,4.0,7.891
match_945,4.0,7.888
match_495,4.0,7.887
match_450,4.0,7.881
match_198,4.0,7.878
match_273,4.0,7.869
match_704,4.0,7.868
match_684,4.0,7.868
match_420,4.0,7.865
match_522,4.0,7.863
match_370,4.0,7.862
match_401,4.0,7.861
match_872,4.0,7.852
match_304,4.0,7.851
match_816,4.0,7.85
match_107,4.0,7.847
match_348,4.0,7.843
match_461,4.0,7.839
match_105,4.0,7.839
match_819,4.0,7.837
match_854,4.0,7.834
match_862,4.0,7.828
match_809,4.0,7.826
match_689,4.0,7.826
match_93,4.0,7.825
match_296,4.0,7.824
match_523,4.0,7.824
match_201,4.0,7.822
match_563,4.0,7.819
match_130,4.0,7.817
match_323,4.0,7.817
match_607,4.0,7.815
match_159,4.0,7.81
Czech Republic,4.0,7.808
match_377,4.0,7.802
match_1,4.0,7.799
match_861,4.0,7.798
match_124,4.0,7.797
match_743,4.0,7.793
match_240,4.0,7.793
match_148,4.0,7.79
match_791,4.0,7.788
match_528,4.0,7.787
match_562,4.0,7.785
match_17,4.0,7.783
match_793,4.0,7.78
match_568,4.0,7.779
match_923,4.0,7.777
match_717,4.0,7.775
match_252,4.0,7.773
match_342,4.0,7.772
match_14,4.0,7.764
match_149,4.0,7.755
match_292,4.0,7.754
match_653,4.0,7.753
match_362,4.0,7.748
match_429,4.0,7.747
match_706,4.0,7.744
match_892,4.0,7.736
match_697,4.0,7.735
match_152,4.0,7.732
match_946,4.0,7.731
match_12,4.0,7.728
match_142,4.0,7.726
match_4,4.0,7.725
match_512,4.0,7.72
match_60,4.0,7.719
match_566,4.0,7.718
match_53,4.0,7.717
match_441,4.0,7.713
match_681,4.0,7.708
match_622,4.0,7.705
match_243,4.0,7.705
match_392,4.0,7.703
match_662,4.0,7.703
match_41,4.0,7.697
New Zealand,4.0,7.694
match_275,4.0,7.693
match_488,4.0,7.692
match_612,4.0,7.69
match_468,4.0,7.684
China,4.0,7.684
match_814,4.0,7.682
match_150,4.0,7.68
match_169,4.0,7.677
match_670,4.0,7.674
match_63,4.0,7.672
match_639,4.0,7.672
match_414,4.0,7.652
match_214,4.0,7.65
match_640,4.0,7.644
match_813,4.0,7.644
match_939,4.0,7.643
match_193,4.0,7.643
match_728,4.0,7.641
match_777,4.0,7.641
match_69,4.0,7.637
match_931,4.0,7.631
match_203,4.0,7.63
match_83,4.0,7.629
match_741,4.0,7.625
match_98,4.0,7.624
match_732,4.0,7.624
match_427,4.0,7.62
match_349,4.0,7.619
match_511,4.0,7.619
match_882,4.0,7.611
match_873,4.0,7.609
match_48,4.0,7.604
match_438,4.0,7.599
match_184,4.0,7.597
match_119,4.0,7.586
match_58,4.0,7.585
match_457,4.0,7.584
match_25,4.0,7.583
match_471,4.0,7.583
match_513,4.0,7.579
match_306,4.0,7.577
match_619,4.0,7.577
match_113,4.0,7.576
Wales,4.0,7.575
match_959,4.0,7.573
match_876,4.0,7.572
match_864,4.0,7.57
match_810,4.0,7.565
match_237,4.0,7.565
match_877,4.0,7.562
match_459,4.0,7.552
match_490,4.0,7.552
match_554,4.0,7.552
match_548,4.0,7.548
match_839,4.0,7.548
match_477,4.0,7.547
match_254,4.0,7.542
match_755,4.0,7.541
match_222,4.0,7.541
Austria team_attack_unit,1.0,7.539
match_76,4.0,7.539
match_285,4.0,7.535
match_108,4.0,7.533
match_56,4.0,7.531
match_935,4.0,7.523
match_617,4.0,7.52
match_879,4.0,7.519
match_803,4.0,7.517
match_696,4.0,7.514
match_47,4.0,7.512
match_724,4.0,7.507
match_208,4.0,7.505
match_210,4.0,7.498
match_283,4.0,7.498
match_749,4.0,7.496
match_686,4.0,7.492
match_467,4.0,7.484
match_338,4.0,7.478
match_202,4.0,7.475
match_127,4.0,7.474
match_187,4.0,7.474
match_442,4.0,7.472
Germany team_midfield_unit,1.0,7.469
match_221,4.0,7.467
Hungary team_defense_unit,1.0,7.461
match_613,4.0,7.461
match_311,4.0,7.459
match_480,4.0,7.458
France team_midfield_unit,1.0,7.457
match_345,4.0,7.455
match_79,4.0,7.453
match_319,4.0,7.45
match_818,4.0,7.449
match_196,4.0,7.448
match_189,4.0,7.445
match_166,4.0,7.434
match_519,4.0,7.432
match_428,4.0,7.425
match_361,4.0,7.424
match_246,4.0,7.424
match_744,4.0,7.422
match_34,4.0,7.418
match_211,4.0,7.412
match_758,4.0,7.408
match_160,4.0,7.402
match_838,4.0,7.402
match_68,4.0,7.401
match_9,4.0,7.401
match_752,4.0,7.4
match_572,4.0,7.392
match_636,4.0,7.392
match_100,4.0,7.391
Australia,4.0,7.384
match_104,4.0,7.376
match_172,4.0,7.375
match_111,4.0,7.373
match_199,4.0,7.373
match_469,4.0,7.37
match_369,4.0,7.36
match_641,4.0,7.35
match_141,4.0,7.347
match_126,4.0,7.346
match_652,4.0,7.345
match_524,4.0,7.345
match_801,4.0,7.342
match_291,4.0,7.337
match_426,4.0,7.334
match_911,4.0,7.334
Uruguay team_defense_unit,1.0,7.331
match_28,4.0,7.331
match_67,4.0,7.33
match_594,4.0,7.328
match_163,4.0,7.322
match_32,4.0,7.322
match_583,4.0,7.321
match_103,4.0,7.317
match_731,4.0,7.316
match_78,4.0,7.308
match_30,4.0,7.303
match_458,4.0,7.303
match_539,4.0,7.303
match_182,4.0,7.301
match_716,4.0,7.295
match_262,4.0,7.295
match_84,4.0,7.293
match_8,4.0,7.293
match_277,4.0,7.288
match_948,4.0,7.281
match_508,4.0,7.259
match_555,4.0,7.258
match_547,4.0,7.256
match_597,4.0,7.255
match_709,4.0,7.237
match_62,4.0,7.23
match_529,4.0,7.226
match_955,4.0,7.224
match_436,4.0,7.222
match_820,4.0,7.216
match_804,4.0,7.205
match_560,4.0,7.199
match_658,4.0,7.198
match_610,4.0,7.196
match_380,4.0,7.195
match_375,4.0,7.193
match_235,4.0,7.188
match_668,4.0,7.185
match_564,4.0,7.182
match_627,4.0,7.173
match_39,4.0,7.172
match_388,4.0,7.169
match_20,4.0,7.167
match_449,4.0,7.165
match_158,4.0,7.165
match_447,4.0,7.164
match_598,4.0,7.162
Belgium team_midfield_unit,1.0,7.159
match_300,4.0,7.154
Paraguay team_attack_unit,1.0,7.153
match_618,4.0,7.151
match_947,4.0,7.144
match_140,4.0,7.142
match_448,4.0,7.14
team:Egypt,14.0,7.133
match_500,4.0,7.123
match_934,4.0,7.123
Slovakia,4.0,7.105
match_472,4.0,7.101
match_532,4.0,7.098
match_479,4.0,7.092
match_320,4.0,7.092
match_655,4.0,7.088
match_419,4.0,7.086
match_35,4.0,7.081
match_498,4.0,7.079
match_157,4.0,7.075
team:Canada,12.0,7.068
match_42,4.0,7.068
match_676,4.0,7.067
match_538,4.0,7.065
match_919,4.0,7.064
match_90,4.0,7.06
match_606,4.0,7.055
match_692,4.0,7.052
match_747,4.0,7.043
match_917,4.0,7.042
match_904,4.0,7.04
match_713,4.0,7.024
match_394,4.0,7.006
match_815,4.0,7.006
match_46,4.0,6.992
match_746,4.0,6.991
match_31,4.0,6.987
match_785,4.0,6.974
match_453,4.0,6.967
match_687,4.0,6.965
Ivory Coast,4.0,6.959
team:North Korea,14.0,6.956
match_33,4.0,6.95
match_249,4.0,6.936
match_384,4.0,6.933
match_23,4.0,6.93
match_518,4.0,6.925
match_546,4.0,6.909
match_402,4.0,6.908
match_27,4.0,6.906
match_748,4.0,6.906
match_506,4.0,6.901
match_737,4.0,6.898
match_796,4.0,6.893
match_481,4.0,6.888
match_494,4.0,6.887
match_365,4.0,6.854
North Korea,4.0,6.823
match_38,4.0,6.809
Cuba,4.0,6.802
match_901,4.0,6.8
match_435,4.0,6.796
match_212,4.0,6.771
match_723,4.0,6.753
match_733,4.0,6.75
match_691,4.0,6.746
Belgium team_attack_unit,1.0,6.727
match_883,4.0,6.726
match_416,4.0,6.723
team:German DR,12.0,6.68
France team_defense_unit,1.0,6.641
Haiti,4.0,6.632
Togo,4.0,6.584
match_204,4.0,6.525
match_24,4.0,6.501
Egypt,4.0,6.471
match_592,4.0,6.455
match_218,4.0,6.435
Ukraine,4.0,6.433
El Salvador,4.0,6.415
Scotland team_attack_unit,1.0,6.412
match_650,4.0,6.41
match_722,4.0,6.384
England team_midfield_unit,1.0,6.381
match_341,4.0,6.361
Morocco team_defense_unit,1.0,6.358
match_491,4.0,6.35
match_215,4.0,6.344
match_332,4.0,6.313
match_247,4.0,6.294
match_43,4.0,6.28
match_65,4.0,6.241
Coca-Cola,9.0,6.241
match_649,4.0,6.219
match_234,4.0,6.207
match_250,4.0,6.133
team:El Salvador,12.0,6.1
Mexico team_midfield_unit,1.0,6.094
DR Congo,4.0,6.062
Costa Rica team_attack_unit,1.0,6.036
