source,connected_teams,player_commercial_influence,avg_influence,pagerank,betweenness,closeness
Yugoslavia team_attack_unit,1,4.431,4.431,0.000466,0.0,0.006526
England team_attack_unit,1,4.414,4.414,0.000465,0.0,0.006526
Chile team_attack_unit,1,4.391,4.391,0.000675,0.0,0.006526
Denmark team_midfield_unit,1,4.317,4.317,0.000451,0.0,0.007284
Ghana team_attack_unit,1,4.24,4.24,0.000684,0.0,0.006526
Italy team_defense_unit,1,4.221,4.221,0.000518,0.0,0.006526
Switzerland team_attack_unit,1,4.211,4.211,0.000376,0.0,0.006526
Mexico team_attack_unit,1,4.116,4.116,0.000454,0.0,0.006526
Denmark team_attack_unit,1,4.106,4.106,0.000434,0.0,0.007284
England team_midfield_unit,1,4.082,4.082,0.000438,0.0,0.006526
Ivory Coast team_midfield_unit,1,4.046,4.046,0.00061,0.0,0.006526
Iran team_midfield_unit,1,4.033,4.033,0.000537,0.0,0.007284
Poland team_midfield_unit,1,4.02,4.02,0.000529,0.0,0.007284
Belgium team_midfield_unit,1,4.011,4.011,0.000569,0.0,0.006526
Ukraine team_defense_unit,1,3.993,3.993,0.000518,0.0,0.006526
France team_midfield_unit,1,3.974,3.974,0.000534,0.0,0.006526
Tunisia team_attack_unit,1,3.949,3.949,0.000533,0.0,0.007284
Uruguay team_attack_unit,1,3.941,3.941,0.000453,0.0,0.006526
Peru team_defense_unit,1,3.875,3.875,0.000536,0.0,0.006526
Norway team_midfield_unit,1,3.847,3.847,0.000764,0.0,0.006526
Tunisia team_midfield_unit,1,3.838,3.838,0.000521,0.0,0.007284
France team_attack_unit,1,3.832,3.832,0.000519,0.0,0.006526
Australia team_midfield_unit,1,3.829,3.829,0.000475,0.0,0.006526
El Salvador team_attack_unit,1,3.798,3.798,0.000692,0.0,0.006526
German DR team_attack_unit,1,3.792,3.792,0.000718,0.0,0.006526
Costa Rica team_defense_unit,1,3.783,3.783,0.00058,0.0,0.006526
Scotland team_attack_unit,1,3.746,3.746,0.000647,0.0,0.007284
Portugal team_midfield_unit,1,3.719,3.719,0.000446,0.0,0.006526
Turkey team_midfield_unit,1,3.703,3.703,0.000616,0.0,0.006526
Mexico team_midfield_unit,1,3.684,3.684,0.000418,0.0,0.006526
South Africa team_midfield_unit,1,3.656,3.656,0.000574,0.0,0.006526
Paraguay team_attack_unit,1,3.62,3.62,0.000407,0.0,0.006526
Czech Republic team_attack_unit,1,3.596,3.596,0.000557,0.0,0.006526
Ivory Coast team_defense_unit,1,3.547,3.547,0.000548,0.0,0.006526
Peru team_attack_unit,1,3.446,3.446,0.000489,0.0,0.006526
Bosnia and Herzegovina team_defense_unit,1,3.413,3.413,0.000571,0.0,0.006526
Czech Republic team_defense_unit,1,3.403,3.403,0.000533,0.0,0.006526
Belgium team_attack_unit,1,3.397,3.397,0.000498,0.0,0.006526
Uruguay team_midfield_unit,1,3.38,3.38,0.000404,0.0,0.006526
Austria team_midfield_unit,1,3.376,3.376,0.000406,0.0,0.006526
Bosnia and Herzegovina team_attack_unit,1,3.351,3.351,0.000562,0.0,0.006526
Slovenia team_midfield_unit,1,3.342,3.342,0.00055,0.0,0.006526
South Africa team_defense_unit,1,3.339,3.339,0.000533,0.0,0.006526
South Korea team_midfield_unit,1,3.331,3.331,0.000438,0.0,0.006526
Honduras team_defense_unit,1,3.33,3.33,0.000642,0.0,0.006526
Serbia team_midfield_unit,1,3.33,3.33,0.000505,0.0,0.006526
Bolivia team_attack_unit,1,3.322,3.322,0.000642,0.0,0.006526
Republic of Ireland team_midfield_unit,1,3.311,3.311,0.000662,0.0,0.006526
Slovakia team_defense_unit,1,3.257,3.257,0.000567,0.0,0.006526
Argentina team_attack_unit,1,3.151,3.151,0.00037,0.0,0.006526
Tunisia team_defense_unit,1,3.123,3.123,0.000444,0.0,0.007284
Peru team_midfield_unit,1,3.072,3.072,0.000447,0.0,0.006526
Sweden team_midfield_unit,1,3.062,3.062,0.000325,0.0,0.006526
Italy team_attack_unit,1,3.054,3.054,0.000405,0.0,0.006526
Germany team_midfield_unit,1,3.039,3.039,0.000342,0.0,0.007284
Northern Ireland team_midfield_unit,1,2.99,2.99,0.000469,0.0,0.006526
Greece team_attack_unit,1,2.979,2.979,0.000414,0.0,0.006526
Costa Rica team_attack_unit,1,2.961,2.961,0.000477,0.0,0.006526
United States team_midfield_unit,1,2.958,2.958,0.000356,0.0,0.006526
Morocco team_defense_unit,1,2.954,2.954,0.00053,0.0,0.007284
Slovenia team_defense_unit,1,2.939,2.939,0.000496,0.0,0.006526
Romania team_defense_unit,1,2.89,2.89,0.00039,0.0,0.006526
Portugal team_attack_unit,1,2.879,2.879,0.000369,0.0,0.006526
Cameroon team_midfield_unit,1,2.869,2.869,0.000436,0.0,0.006526
Algeria team_defense_unit,1,2.844,2.844,0.000505,0.0,0.006526
Slovakia team_attack_unit,1,2.838,2.838,0.000507,0.0,0.006526
France team_defense_unit,1,2.805,2.805,0.000408,0.0,0.006526
Algeria team_attack_unit,1,2.766,2.766,0.000494,0.0,0.006526
Jamaica team_attack_unit,1,2.749,2.749,0.000623,0.0,0.006526
Qatar team_midfield_unit,1,2.746,2.746,0.00061,0.0,0.006526
Nigeria team_attack_unit,1,2.715,2.715,0.000458,0.0,0.007284
Iceland team_defense_unit,1,2.689,2.689,0.000591,0.0,0.006526
Senegal team_midfield_unit,1,2.677,2.677,0.000319,0.0,0.006526
Morocco team_midfield_unit,1,2.674,2.674,0.00049,0.0,0.007284
Greece team_defense_unit,1,2.667,2.667,0.000382,0.0,0.006526
Australia team_attack_unit,1,2.663,2.663,0.000363,0.0,0.006526
Russia team_attack_unit,1,2.58,2.58,0.000303,0.0,0.006526
Bulgaria team_attack_unit,1,2.496,2.496,0.000361,0.0,0.006526
North Korea team_attack_unit,1,2.475,2.475,0.000534,0.0,0.007284
Ghana team_defense_unit,1,2.466,2.466,0.000442,0.0,0.006526
China team_midfield_unit,1,2.435,2.435,0.000671,0.0,0.007284
Poland team_attack_unit,1,2.434,2.434,0.000363,0.0,0.007284
Bulgaria team_defense_unit,1,2.433,2.433,0.000355,0.0,0.006526
Belgium team_defense_unit,1,2.42,2.42,0.000386,0.0,0.006526
South Korea team_defense_unit,1,2.411,2.411,0.000346,0.0,0.006526
Colombia team_attack_unit,1,2.351,2.351,0.000299,0.0,0.006526
Wales team_midfield_unit,1,2.306,2.306,0.000543,0.0,0.007284
Ecuador team_midfield_unit,1,2.289,2.289,0.000398,0.0,0.006526
Ecuador team_defense_unit,1,2.248,2.248,0.000392,0.0,0.006526
Slovenia team_attack_unit,1,2.239,2.239,0.000404,0.0,0.006526
Chile team_defense_unit,1,2.232,2.232,0.000396,0.0,0.006526
Egypt team_defense_unit,1,2.204,2.204,0.000507,0.0,0.006526
Hungary team_midfield_unit,1,2.168,2.168,0.000294,0.0,0.007284
Haiti team_attack_unit,1,2.165,2.165,0.000635,0.0,0.006526
Turkey team_defense_unit,1,2.145,2.145,0.000402,0.0,0.006526
Costa Rica team_midfield_unit,1,2.14,2.14,0.000375,0.0,0.006526
Cuba team_attack_unit,1,2.127,2.127,0.000506,0.0,0.006526
Algeria team_midfield_unit,1,2.126,2.126,0.000405,0.0,0.006526
Iran team_defense_unit,1,2.09,2.09,0.00033,0.0,0.007284
Trinidad and Tobago team_defense_unit,1,2.078,2.078,0.000554,0.0,0.006526
Kuwait team_midfield_unit,1,2.078,2.078,0.000511,0.0,0.006526
Angola team_defense_unit,1,2.063,2.063,0.000548,0.0,0.007284
Czech Republic team_midfield_unit,1,2.061,2.061,0.000365,0.0,0.006526
Scotland team_midfield_unit,1,2.038,2.038,0.000401,0.0,0.007284
Morocco team_attack_unit,1,2.037,2.037,0.000399,0.0,0.007284
Chile team_midfield_unit,1,2.035,2.035,0.00037,0.0,0.006526
Bolivia team_defense_unit,1,1.997,1.997,0.000429,0.0,0.006526
Canada team_attack_unit,1,1.987,1.987,0.000462,0.0,0.006526
Turkey team_attack_unit,1,1.969,1.969,0.000378,0.0,0.006526
Panama team_attack_unit,1,1.968,1.968,0.000566,0.0,0.006526
Serbia team_defense_unit,1,1.911,1.911,0.000335,0.0,0.006526
Qatar team_defense_unit,1,1.889,1.889,0.000453,0.0,0.006526
Japan team_defense_unit,1,1.889,1.889,0.000325,0.0,0.007284
Honduras team_attack_unit,1,1.88,1.88,0.000409,0.0,0.006526
Cameroon team_defense_unit,1,1.869,1.869,0.000321,0.0,0.006526
Egypt team_midfield_unit,1,1.85,1.85,0.000443,0.0,0.006526
DR Congo team_defense_unit,1,1.843,1.843,0.000504,0.0,0.006526
Canada team_midfield_unit,1,1.842,1.842,0.000436,0.0,0.006526
Togo team_attack_unit,1,1.841,1.841,0.000518,0.0,0.006526
El Salvador team_defense_unit,1,1.805,1.805,0.000385,0.0,0.006526
North Korea team_defense_unit,1,1.794,1.794,0.000417,0.0,0.007284
Slovakia team_midfield_unit,1,1.789,1.789,0.000359,0.0,0.006526
Canada team_defense_unit,1,1.749,1.749,0.00042,0.0,0.006526
Kuwait team_defense_unit,1,1.736,1.736,0.000444,0.0,0.006526
Croatia team_midfield_unit,1,1.72,1.72,0.000436,0.0,0.006526
Republic of Ireland team_defense_unit,1,1.719,1.719,0.000395,0.0,0.006526
Croatia team_defense_unit,1,1.715,1.715,0.000435,0.0,0.006526
DR Congo team_midfield_unit,1,1.713,1.713,0.000476,0.0,0.006526
South Africa team_attack_unit,1,1.709,1.709,0.000325,0.0,0.006526
Scotland team_defense_unit,1,1.698,1.698,0.000352,0.0,0.007284
Cuba team_midfield_unit,1,1.695,1.695,0.000425,0.0,0.006526
Ivory Coast team_attack_unit,1,1.66,1.66,0.000314,0.0,0.006526
Brazil team_defense_unit,1,1.652,1.652,0.000225,0.0,0.007284
Wales team_defense_unit,1,1.642,1.642,0.000418,0.0,0.007284
Norway team_defense_unit,1,1.63,1.63,0.000385,0.0,0.006526
Croatia team_attack_unit,1,1.621,1.621,0.000417,0.0,0.006526
Iceland team_attack_unit,1,1.62,1.62,0.000399,0.0,0.006526
North Korea team_midfield_unit,1,1.615,1.615,0.000386,0.0,0.007284
United Arab Emirates team_defense_unit,1,1.604,1.604,0.000502,0.0,0.007284
New Zealand team_defense_unit,1,1.582,1.582,0.00047,0.0,0.006526
Iraq team_attack_unit,1,1.557,1.557,0.000486,0.0,0.006526
Northern Ireland team_defense_unit,1,1.543,1.543,0.000294,0.0,0.006526
Ghana team_midfield_unit,1,1.48,1.48,0.000308,0.0,0.006526
Cuba team_defense_unit,1,1.47,1.47,0.000383,0.0,0.006526
Trinidad and Tobago team_attack_unit,1,1.456,1.456,0.00042,0.0,0.006526
Jamaica team_defense_unit,1,1.443,1.443,0.000378,0.0,0.006526
Japan team_midfield_unit,1,1.443,1.443,0.000273,0.0,0.007284
Ukraine team_midfield_unit,1,1.433,1.433,0.000254,0.0,0.006526
New Zealand team_attack_unit,1,1.418,1.418,0.000432,0.0,0.006526
Togo team_midfield_unit,1,1.383,1.383,0.000416,0.0,0.006526
Angola team_midfield_unit,1,1.382,1.382,0.000402,0.0,0.007284
Egypt team_attack_unit,1,1.373,1.373,0.000356,0.0,0.006526
Kuwait team_attack_unit,1,1.37,1.37,0.000373,0.0,0.006526
German DR team_defense_unit,1,1.328,1.328,0.000321,0.0,0.006526
Honduras team_midfield_unit,1,1.309,1.309,0.000317,0.0,0.006526
Bosnia and Herzegovina team_midfield_unit,1,1.307,1.307,0.000285,0.0,0.006526
Indonesia team_defense_unit,1,1.275,1.275,0.000467,0.0,0.007284
Iraq team_midfield_unit,1,1.271,1.271,0.000417,0.0,0.006526
Nigeria team_defense_unit,1,1.271,1.271,0.000271,0.0,0.007284
Wales team_attack_unit,1,1.27,1.27,0.000347,0.0,0.007284
El Salvador team_midfield_unit,1,1.247,1.247,0.000299,0.0,0.006526
German DR team_midfield_unit,1,1.226,1.226,0.000304,0.0,0.006526
Bolivia team_midfield_unit,1,1.217,1.217,0.000303,0.0,0.006526
Iceland team_midfield_unit,1,1.206,1.206,0.000324,0.0,0.006526
Jamaica team_midfield_unit,1,1.173,1.173,0.000327,0.0,0.006526
Israel team_defense_unit,1,1.167,1.167,0.000452,0.0,0.006526
Republic of Ireland team_attack_unit,1,1.147,1.147,0.000299,0.0,0.006526
Panama team_defense_unit,1,1.129,1.129,0.00037,0.0,0.006526
United Arab Emirates team_midfield_unit,1,1.104,1.104,0.000379,0.0,0.007284
Indonesia team_midfield_unit,1,1.041,1.041,0.000401,0.0,0.007284
New Zealand team_midfield_unit,1,1.014,1.014,0.000339,0.0,0.006526
Angola team_attack_unit,1,0.965,0.965,0.000313,0.0,0.007284
Iraq team_defense_unit,1,0.958,0.958,0.00034,0.0,0.006526
Haiti team_midfield_unit,1,0.941,0.941,0.000336,0.0,0.006526
China team_defense_unit,1,0.924,0.924,0.000321,0.0,0.007284
Qatar team_attack_unit,1,0.905,0.905,0.000273,0.0,0.006526
Togo team_defense_unit,1,0.904,0.904,0.000309,0.0,0.006526
Trinidad and Tobago team_midfield_unit,1,0.838,0.838,0.000287,0.0,0.006526
United Arab Emirates team_attack_unit,1,0.831,0.831,0.000311,0.0,0.007284
Israel team_attack_unit,1,0.785,0.785,0.000339,0.0,0.006526
DR Congo team_attack_unit,1,0.689,0.689,0.000255,0.0,0.006526
Israel team_midfield_unit,1,0.681,0.681,0.000308,0.0,0.006526
Panama team_midfield_unit,1,0.641,0.641,0.000256,0.0,0.006526
Haiti team_defense_unit,1,0.638,0.638,0.000263,0.0,0.006526
Indonesia team_attack_unit,1,0.623,0.623,0.000283,0.0,0.007284
Norway team_attack_unit,1,0.593,0.593,0.000208,0.0,0.006526
China team_attack_unit,1,0.551,0.551,0.000235,0.0,0.007284
