panel_id,team,sponsor,fan_score_module
1954_65_Croatia,Croatia,Qatar Airways,0.3521
1950_66_Croatia,Croatia,Qatar Airways,0.247
1954_67_Uruguay,Uruguay,Pepsi,0.2068
1994_68_Australia,Australia,Nike,0.334
2006_69_Australia,Australia,Nike,0.3634
1998_70_England,England,Emirates,0.5148
1970_71_Netherlands,Netherlands,Puma,0.1852
1998_72_Spain,Spain,Pepsi,0.2253
1930_73_Senegal,Senegal,Pepsi,0.3998
2014_74_England,England,Emirates,0.4565
1970_75_Italy,Italy,Qatar Airways,0.3139
2022_76_Croatia,Croatia,Qatar Airways,0.3235
1938_77_Portugal,Portugal,Coca-Cola,0.2639
1942_78_Spain,Spain,Pepsi,0.3253
1938_79_Nigeria,Nigeria,Visa,0.3943
1958_80_Italy,Italy,Qatar Airways,0.1909
1962_81_Ghana,Ghana,Visa,0.2314
1986_82_France,France,Emirates,0.3411
2018_83_Qatar,Qatar,Nike,0.2554
1966_84_Australia,Australia,Nike,0.2898
1966_85_Argentina,Argentina,Nike,0.2942
2010_86_Brazil,Brazil,Nike,0.3399
1946_87_Croatia,Croatia,Qatar Airways,0.4448
2018_88_Croatia,Croatia,Qatar Airways,0.2325
2018_89_South_Korea,South Korea,Nike,0.3457
1962_90_Mexico,Mexico,Emirates,0.1838
1970_91_Senegal,Senegal,Pepsi,0.4275
1998_92_Qatar,Qatar,Nike,0.2909
2022_93_Mexico,Mexico,Emirates,0.2501
2022_94_Germany,Germany,Pepsi,0.2702
1942_95_Nigeria,Nigeria,Visa,0.5736
1962_96_Japan,Japan,Samsung,0.3942
1982_97_Senegal,Senegal,Pepsi,0.4276
1978_98_Belgium,Belgium,Mastercard,0.2744
2014_99_Morocco,Morocco,Emirates,0.3613
1970_100_Ghana,Ghana,Visa,0.2054
2022_101_Australia,Australia,Nike,0.1962
1982_102_Japan,Japan,Samsung,0.4946
1982_103_Germany,Germany,Pepsi,0.3076
2010_104_Nigeria,Nigeria,Visa,0.4911
1978_105_Germany,Germany,Pepsi,0.3494
2022_106_Croatia,Croatia,Qatar Airways,0.2385
1974_107_France,France,Emirates,0.2469
1942_108_Mexico,Mexico,Emirates,0.3186
1954_109_Portugal,Portugal,Coca-Cola,0.3414
1958_110_Uruguay,Uruguay,Pepsi,0.2839
1990_111_Ghana,Ghana,Visa,0.2634
1954_112_Canada,Canada,Pepsi,0.2541
1978_113_Argentina,Argentina,Nike,0.4112
2022_114_Senegal,Senegal,Pepsi,0.445
1994_115_Spain,Spain,Pepsi,0.3464
1974_116_South_Korea,South Korea,Nike,0.4142
1994_117_Uruguay,Uruguay,Pepsi,0.3041
2006_118_Ghana,Ghana,Visa,0.2094
1954_119_Canada,Canada,Pepsi,0.2568
1934_120_Italy,Italy,Qatar Airways,0.2912
1934_121_Italy,Italy,Qatar Airways,0.3643
1962_122_Ghana,Ghana,Visa,0.2942
2002_123_Netherlands,Netherlands,Puma,0.2306
1994_124_Qatar,Qatar,Nike,0.3827
2018_125_France,France,Emirates,0.2911
1954_126_Portugal,Portugal,Coca-Cola,0.2392
2018_127_Canada,Canada,Pepsi,0.2263
1974_128_Japan,Japan,Samsung,0.3876
2010_129_Qatar,Qatar,Nike,0.1708
1958_130_England,England,Emirates,0.5201
1998_131_Croatia,Croatia,Qatar Airways,0.3986
1986_132_Japan,Japan,Samsung,0.481
1930_133_Canada,Canada,Pepsi,0.2509
1986_134_England,England,Emirates,0.4361
2010_135_France,France,Emirates,0.2839
1942_136_Senegal,Senegal,Pepsi,0.4364
1958_137_France,France,Emirates,0.2977
2006_138_Uruguay,Uruguay,Pepsi,0.3146
1934_139_Netherlands,Netherlands,Puma,0.2414
1966_140_Germany,Germany,Pepsi,0.2957
1954_141_Senegal,Senegal,Pepsi,0.4045
1938_142_Belgium,Belgium,Mastercard,0.2339
1982_143_Argentina,Argentina,Nike,0.4802
1966_144_Spain,Spain,Pepsi,0.4432
1962_145_Croatia,Croatia,Qatar Airways,0.3061
1934_146_South_Korea,South Korea,Nike,0.2694
1966_147_Belgium,Belgium,Mastercard,0.3627
2002_148_USA,USA,Samsung,0.2238
1958_149_France,France,Emirates,0.3107
1962_150_Portugal,Portugal,Coca-Cola,0.3976
1930_151_Australia,Australia,Nike,0.2789
1990_152_Mexico,Mexico,Emirates,0.2251
1986_153_Canada,Canada,Pepsi,0.1714
1930_154_England,England,Emirates,0.5217
2018_155_Saudi_Arabia,Saudi Arabia,Nike,0.673
2006_156_Italy,Italy,Qatar Airways,0.2498
1982_157_England,England,Emirates,0.6102
1986_158_South_Korea,South Korea,Nike,0.2384
1990_159_Nigeria,Nigeria,Visa,0.4661
1986_160_Australia,Australia,Nike,0.251
1962_161_Croatia,Croatia,Qatar Airways,0.3633
2002_162_Brazil,Brazil,Nike,0.4031
2014_163_Australia,Australia,Nike,0.3746
2022_164_Japan,Japan,Samsung,0.4301
2006_165_Nigeria,Nigeria,Visa,0.5134
1950_166_Ghana,Ghana,Visa,0.177
1982_167_Spain,Spain,Pepsi,0.2219
1958_168_USA,USA,Samsung,0.1986
2002_169_Uruguay,Uruguay,Pepsi,0.2935
2006_170_USA,USA,Samsung,0.2551
1958_171_Uruguay,Uruguay,Pepsi,0.2656
1970_172_Mexico,Mexico,Emirates,0.2796
2014_173_Morocco,Morocco,Emirates,0.2755
1958_174_Mexico,Mexico,Emirates,0.1977
1978_175_France,France,Emirates,0.3843
1986_176_Argentina,Argentina,Nike,0.3248
1950_177_Japan,Japan,Samsung,0.4148
2002_178_South_Korea,South Korea,Nike,0.3611
1978_179_Australia,Australia,Nike,0.4407
1982_180_Saudi_Arabia,Saudi Arabia,Nike,0.6266
1938_181_Ghana,Ghana,Visa,0.3384
2010_182_USA,USA,Samsung,0.2487
1982_183_Ghana,Ghana,Visa,0.2339
1966_184_Netherlands,Netherlands,Puma,0.291
2010_185_Australia,Australia,Nike,0.3595
1942_186_Croatia,Croatia,Qatar Airways,0.3604
1966_187_Morocco,Morocco,Emirates,0.1967
1982_188_France,France,Emirates,0.325
1986_189_Australia,Australia,Nike,0.3026
1982_190_Australia,Australia,Nike,0.3459
1998_191_Australia,Australia,Nike,0.1997
1990_192_Nigeria,Nigeria,Visa,0.3665
1946_193_Morocco,Morocco,Emirates,0.2414
1962_194_Australia,Australia,Nike,0.2827
1994_195_Morocco,Morocco,Emirates,0.4183
2018_196_Germany,Germany,Pepsi,0.4074
2002_197_France,France,Emirates,0.3388
1954_198_Portugal,Portugal,Coca-Cola,0.3412
1962_199_Japan,Japan,Samsung,0.382
1962_200_Croatia,Croatia,Qatar Airways,0.4921
1970_201_Belgium,Belgium,Mastercard,0.3757
1986_202_Australia,Australia,Nike,0.3771
1934_203_Canada,Canada,Pepsi,0.1659
1990_204_Netherlands,Netherlands,Puma,0.3204
1974_205_Belgium,Belgium,Mastercard,0.1606
1986_206_Germany,Germany,Pepsi,0.3974
1930_207_Portugal,Portugal,Coca-Cola,0.3143
1990_208_Qatar,Qatar,Nike,0.161
1950_209_Mexico,Mexico,Emirates,0.3746
1974_210_Brazil,Brazil,Nike,0.361
2006_211_Croatia,Croatia,Qatar Airways,0.3768
1934_212_England,England,Emirates,0.4502
1998_213_Morocco,Morocco,Emirates,0.2394
1942_214_USA,USA,Samsung,0.2422
1978_215_Nigeria,Nigeria,Visa,0.4388
1946_216_Morocco,Morocco,Emirates,0.2619
1930_217_Nigeria,Nigeria,Visa,0.3865
1962_218_Mexico,Mexico,Emirates,0.2638
1942_219_France,France,Emirates,0.3212
1954_220_France,France,Emirates,0.2058
1974_221_Spain,Spain,Pepsi,0.267
1966_222_Germany,Germany,Pepsi,0.2983
1930_223_Germany,Germany,Pepsi,0.348
1942_224_Argentina,Argentina,Nike,0.1551
1938_225_Canada,Canada,Pepsi,0.2465
2022_226_Croatia,Croatia,Qatar Airways,0.3448
1994_227_Brazil,Brazil,Nike,0.3048
1946_228_France,France,Emirates,0.3186
1946_229_Netherlands,Netherlands,Puma,0.2331
1994_230_Netherlands,Netherlands,Puma,0.2962
1986_231_Argentina,Argentina,Nike,0.3515
2018_232_Mexico,Mexico,Emirates,0.2635
1934_233_South_Korea,South Korea,Nike,0.3048
1998_234_France,France,Emirates,0.3624
1954_235_Italy,Italy,Qatar Airways,0.2989
1946_236_Mexico,Mexico,Emirates,0.2696
2014_237_Uruguay,Uruguay,Pepsi,0.259
1942_238_Qatar,Qatar,Nike,0.2722
1938_239_Ghana,Ghana,Visa,0.2038
2006_240_Saudi_Arabia,Saudi Arabia,Nike,0.7113
1958_241_Ghana,Ghana,Visa,0.1407
1962_242_Croatia,Croatia,Qatar Airways,0.3081
1974_243_Portugal,Portugal,Coca-Cola,0.2859
1978_244_Italy,Italy,Qatar Airways,0.2255
2022_245_Senegal,Senegal,Pepsi,0.5089
1978_246_Belgium,Belgium,Mastercard,0.2773
1942_247_Portugal,Portugal,Coca-Cola,0.2384
1958_248_Qatar,Qatar,Nike,0.2737
1986_249_Uruguay,Uruguay,Pepsi,0.2469
2022_250_France,France,Emirates,0.2893
1950_251_Morocco,Morocco,Emirates,0.2535
1962_252_Croatia,Croatia,Qatar Airways,0.3091
1950_253_Nigeria,Nigeria,Visa,0.4461
1978_254_Ghana,Ghana,Visa,0.2705
1970_255_Brazil,Brazil,Nike,0.3735
2010_256_Mexico,Mexico,Emirates,0.1647
1962_257_Uruguay,Uruguay,Pepsi,0.2705
2018_258_Netherlands,Netherlands,Puma,0.1791
1986_259_Uruguay,Uruguay,Pepsi,0.3062
1930_260_Croatia,Croatia,Qatar Airways,0.2494
1998_261_Saudi_Arabia,Saudi Arabia,Nike,0.8734
1982_262_Italy,Italy,Qatar Airways,0.1697
1970_263_USA,USA,Samsung,0.2837
2006_264_Argentina,Argentina,Nike,0.3075
1990_265_Uruguay,Uruguay,Pepsi,0.2951
1970_266_Ghana,Ghana,Visa,0.3137
1974_267_Japan,Japan,Samsung,0.4625
1978_268_Qatar,Qatar,Nike,0.2699
1990_269_Argentina,Argentina,Nike,0.2971
1954_270_Ghana,Ghana,Visa,0.4053
1990_271_Nigeria,Nigeria,Visa,0.4091
2002_272_USA,USA,Samsung,0.2076
1934_273_USA,USA,Samsung,0.1302
1970_274_Portugal,Portugal,Coca-Cola,0.2726
1982_275_Netherlands,Netherlands,Puma,0.1317
1946_276_Argentina,Argentina,Nike,0.1946
2006_277_Belgium,Belgium,Mastercard,0.2288
1982_278_Belgium,Belgium,Mastercard,0.3184
1930_279_Belgium,Belgium,Mastercard,0.1769
1946_280_Netherlands,Netherlands,Puma,0.245
1994_281_Japan,Japan,Samsung,0.487
2006_282_Spain,Spain,Pepsi,0.2474
1946_283_Qatar,Qatar,Nike,0.2204
1946_284_Brazil,Brazil,Nike,0.3965
2022_285_Uruguay,Uruguay,Pepsi,0.2026
2014_286_USA,USA,Samsung,0.1984
1954_287_Uruguay,Uruguay,Pepsi,0.1913
1946_288_USA,USA,Samsung,0.2411
1970_289_Australia,Australia,Nike,0.3778
2006_290_Brazil,Brazil,Nike,0.4466
1978_291_South_Korea,South Korea,Nike,0.2844
1946_292_Portugal,Portugal,Coca-Cola,0.22
1998_293_South_Korea,South Korea,Nike,0.273
1934_294_Qatar,Qatar,Nike,0.1806
1994_295_Italy,Italy,Qatar Airways,0.3156
1970_296_Portugal,Portugal,Coca-Cola,0.3146
1986_297_Saudi_Arabia,Saudi Arabia,Nike,0.5958
1986_298_Croatia,Croatia,Qatar Airways,0.4787
1942_299_Italy,Italy,Qatar Airways,0.2051
1978_300_Senegal,Senegal,Pepsi,0.4187
1930_301_Morocco,Morocco,Emirates,0.237
1966_302_South_Korea,South Korea,Nike,0.4091
1994_303_Australia,Australia,Nike,0.257
1950_304_Brazil,Brazil,Nike,0.2883
1934_305_Australia,Australia,Nike,0.3148
1934_306_Portugal,Portugal,Coca-Cola,0.2951
1974_307_Saudi_Arabia,Saudi Arabia,Nike,0.7142
1994_308_USA,USA,Samsung,0.2848
1970_309_Portugal,Portugal,Coca-Cola,0.217
2010_310_USA,USA,Samsung,0.2707
1974_311_Ghana,Ghana,Visa,0.2304
2014_312_Portugal,Portugal,Coca-Cola,0.3219
2014_313_Spain,Spain,Pepsi,0.2226
1954_314_Morocco,Morocco,Emirates,0.3381
2002_315_Portugal,Portugal,Coca-Cola,0.3282
2006_316_Spain,Spain,Pepsi,0.3268
1994_317_Portugal,Portugal,Coca-Cola,0.2577
1998_318_Italy,Italy,Qatar Airways,0.2768
1998_319_England,England,Emirates,0.5059
2014_320_France,France,Emirates,0.359
1958_321_Senegal,Senegal,Pepsi,0.4804
1950_322_Brazil,Brazil,Nike,0.2968
2002_323_Belgium,Belgium,Mastercard,0.282
2018_324_Nigeria,Nigeria,Visa,0.3437
1982_325_Senegal,Senegal,Pepsi,0.4707
1958_326_Uruguay,Uruguay,Pepsi,0.2502
1998_327_Argentina,Argentina,Nike,0.3671
1998_328_South_Korea,South Korea,Nike,0.3114
2018_329_Portugal,Portugal,Coca-Cola,0.2062
2010_330_Nigeria,Nigeria,Visa,0.3881
1998_331_Argentina,Argentina,Nike,0.1636
1930_332_Italy,Italy,Qatar Airways,0.3525
1950_333_South_Korea,South Korea,Nike,0.342
1934_334_Morocco,Morocco,Emirates,0.227
1970_335_Morocco,Morocco,Emirates,0.1956
1974_336_England,England,Emirates,0.5674
2022_337_Argentina,Argentina,Nike,0.2959
2006_338_Morocco,Morocco,Emirates,0.3986
1998_339_Qatar,Qatar,Nike,0.2716
1966_340_Spain,Spain,Pepsi,0.2459
1998_341_Netherlands,Netherlands,Puma,0.2678
1974_342_USA,USA,Samsung,0.1932
1962_343_Germany,Germany,Pepsi,0.2224
1938_344_Senegal,Senegal,Pepsi,0.4651
1970_345_Morocco,Morocco,Emirates,0.2854
1942_346_Brazil,Brazil,Nike,0.3003
1930_347_Croatia,Croatia,Qatar Airways,0.3551
2002_348_Argentina,Argentina,Nike,0.2074
1974_349_Senegal,Senegal,Pepsi,0.4776
1974_350_England,England,Emirates,0.599
1998_351_Portugal,Portugal,Coca-Cola,0.3117
1990_352_England,England,Emirates,0.5135
1982_353_England,England,Emirates,0.411
1950_354_Italy,Italy,Qatar Airways,0.3974
1938_355_Nigeria,Nigeria,Visa,0.397
2002_356_Portugal,Portugal,Coca-Cola,0.3329
1942_357_Belgium,Belgium,Mastercard,0.2244
1982_358_Germany,Germany,Pepsi,0.1927
1946_359_South_Korea,South Korea,Nike,0.3831
1974_360_South_Korea,South Korea,Nike,0.2988
1986_361_Spain,Spain,Pepsi,0.2397
1930_362_Japan,Japan,Samsung,0.576
1978_363_Belgium,Belgium,Mastercard,0.1788
1966_364_Spain,Spain,Pepsi,0.3772
1958_365_Canada,Canada,Pepsi,0.2354
1990_366_Netherlands,Netherlands,Puma,0.2624
1998_367_South_Korea,South Korea,Nike,0.19
1950_368_Argentina,Argentina,Nike,0.2973
1990_369_Spain,Spain,Pepsi,0.1932
1990_370_Ghana,Ghana,Visa,0.2528
1934_371_USA,USA,Samsung,0.2024
1978_372_Brazil,Brazil,Nike,0.3373
1982_373_Argentina,Argentina,Nike,0.1949
1938_374_Ghana,Ghana,Visa,0.2117
1962_375_Saudi_Arabia,Saudi Arabia,Nike,0.607
1954_376_South_Korea,South Korea,Nike,0.2522
2022_377_Ghana,Ghana,Visa,0.2911
1958_378_Japan,Japan,Samsung,0.3578
1950_379_Spain,Spain,Pepsi,0.2652
1986_380_England,England,Emirates,0.4785
1994_381_Mexico,Mexico,Emirates,0.2555
1966_382_Portugal,Portugal,Coca-Cola,0.2428
2014_383_Australia,Australia,Nike,0.2437
2006_384_Croatia,Croatia,Qatar Airways,0.2699
2006_385_Morocco,Morocco,Emirates,0.269
2002_386_Nigeria,Nigeria,Visa,0.3639
1954_387_Mexico,Mexico,Emirates,0.2343
1962_388_Australia,Australia,Nike,0.2205
1934_389_Ghana,Ghana,Visa,0.2383
1978_390_Netherlands,Netherlands,Puma,0.2604
1950_391_Canada,Canada,Pepsi,0.2828
2022_392_Mexico,Mexico,Emirates,0.1928
1946_393_Nigeria,Nigeria,Visa,0.4338
2010_394_Netherlands,Netherlands,Puma,0.2932
1958_395_USA,USA,Samsung,0.3722
2018_396_Brazil,Brazil,Nike,0.2947
1966_397_Morocco,Morocco,Emirates,0.3036
1982_398_France,France,Emirates,0.2651
2022_399_Japan,Japan,Samsung,0.3634
1990_400_Australia,Australia,Nike,0.3862
2022_401_Spain,Spain,Pepsi,0.2365
2018_402_Nigeria,Nigeria,Visa,0.6453
1962_403_Japan,Japan,Samsung,0.4349
1934_404_Argentina,Argentina,Nike,0.1897
1942_405_Netherlands,Netherlands,Puma,0.2322
2010_406_Morocco,Morocco,Emirates,0.3897
1966_407_Nigeria,Nigeria,Visa,0.3334
2010_408_Germany,Germany,Pepsi,0.3536
1986_409_USA,USA,Samsung,0.3131
1954_410_England,England,Emirates,0.5111
1986_411_Netherlands,Netherlands,Puma,0.2641
1978_412_Germany,Germany,Pepsi,0.315
1942_413_Belgium,Belgium,Mastercard,0.1767
1990_414_Canada,Canada,Pepsi,0.2027
2002_415_Brazil,Brazil,Nike,0.2415
1934_416_Argentina,Argentina,Nike,0.3454
1990_417_Argentina,Argentina,Nike,0.27
2002_418_Spain,Spain,Pepsi,0.2919
1954_419_Australia,Australia,Nike,0.2873
2014_420_Netherlands,Netherlands,Puma,0.2661
1942_421_Belgium,Belgium,Mastercard,0.3093
1990_422_Portugal,Portugal,Coca-Cola,0.2597
2010_423_Netherlands,Netherlands,Puma,0.2525
1930_424_USA,USA,Samsung,0.4105
1954_425_Senegal,Senegal,Pepsi,0.4966
1986_426_Australia,Australia,Nike,0.3321
1986_427_South_Korea,South Korea,Nike,0.347
1982_428_Italy,Italy,Qatar Airways,0.2718
1978_429_Belgium,Belgium,Mastercard,0.2501
1986_430_Brazil,Brazil,Nike,0.3141
1954_431_Netherlands,Netherlands,Puma,0.2314
1942_432_Australia,Australia,Nike,0.3121
1954_433_Saudi_Arabia,Saudi Arabia,Nike,0.6621
1994_434_Australia,Australia,Nike,0.2855
1986_435_Australia,Australia,Nike,0.3436
1954_436_Croatia,Croatia,Qatar Airways,0.2978
1938_437_Australia,Australia,Nike,0.368
1934_438_Australia,Australia,Nike,0.3363
1958_439_Qatar,Qatar,Nike,0.3074
1994_440_Australia,Australia,Nike,0.3669
2002_441_Germany,Germany,Pepsi,0.294
1978_442_Argentina,Argentina,Nike,0.3522
1950_443_Nigeria,Nigeria,Visa,0.1846
2006_444_Ghana,Ghana,Visa,0.3167
2010_445_Spain,Spain,Pepsi,0.2943
1962_446_Spain,Spain,Pepsi,0.3082
1998_447_Mexico,Mexico,Emirates,0.2877
1974_448_Mexico,Mexico,Emirates,0.2622
1974_449_Germany,Germany,Pepsi,0.3395
2014_450_Australia,Australia,Nike,0.2342
2014_451_Morocco,Morocco,Emirates,0.342
1970_452_Qatar,Qatar,Nike,0.2055
1986_453_USA,USA,Samsung,0.1464
1950_454_England,England,Emirates,0.5048
1958_455_Italy,Italy,Qatar Airways,0.351
2002_456_Saudi_Arabia,Saudi Arabia,Nike,0.7405
1990_457_Portugal,Portugal,Coca-Cola,0.241
1974_458_Germany,Germany,Pepsi,0.3532
1982_459_Croatia,Croatia,Qatar Airways,0.3138
1978_460_Uruguay,Uruguay,Pepsi,0.2677
1958_461_Australia,Australia,Nike,0.3395
1958_462_Croatia,Croatia,Qatar Airways,0.2726
1942_463_Mexico,Mexico,Emirates,0.2424
1994_464_Qatar,Qatar,Nike,0.2683
1982_465_Mexico,Mexico,Emirates,0.2662
1978_466_Nigeria,Nigeria,Visa,0.4571
1938_467_Ghana,Ghana,Visa,0.2826
1946_468_Nigeria,Nigeria,Visa,0.3584
1998_469_Croatia,Croatia,Qatar Airways,0.3831
2014_470_Portugal,Portugal,Coca-Cola,0.229
1970_471_Senegal,Senegal,Pepsi,0.4118
1990_472_Qatar,Qatar,Nike,0.15
1946_473_Nigeria,Nigeria,Visa,0.3876
2014_474_Qatar,Qatar,Nike,0.1961
1974_475_Morocco,Morocco,Emirates,0.3111
2018_476_Argentina,Argentina,Nike,0.2191
1942_477_Morocco,Morocco,Emirates,0.2782
1954_478_Spain,Spain,Pepsi,0.2873
2018_479_Netherlands,Netherlands,Puma,0.2682
2002_480_Croatia,Croatia,Qatar Airways,0.3697
1938_481_Morocco,Morocco,Emirates,0.3125
1974_482_Japan,Japan,Samsung,0.4281
1942_483_Mexico,Mexico,Emirates,0.3409
1966_484_Canada,Canada,Pepsi,0.0607
2022_485_Italy,Italy,Qatar Airways,0.2635
1970_486_Argentina,Argentina,Nike,0.3432
1958_487_Australia,Australia,Nike,0.3673
1946_488_Brazil,Brazil,Nike,0.3451
1946_489_Belgium,Belgium,Mastercard,0.2605
1962_490_Australia,Australia,Nike,0.2898
2006_491_Qatar,Qatar,Nike,0.1623
1958_492_Saudi_Arabia,Saudi Arabia,Nike,0.6195
1998_493_Portugal,Portugal,Coca-Cola,0.3062
2010_494_Portugal,Portugal,Coca-Cola,0.1968
2022_495_Canada,Canada,Pepsi,0.1508
1970_496_Canada,Canada,Pepsi,0.2275
1966_497_Mexico,Mexico,Emirates,0.3372
1978_498_Morocco,Morocco,Emirates,0.3291
1982_499_Senegal,Senegal,Pepsi,0.4377
1938_500_Argentina,Argentina,Nike,0.2008
1974_501_Canada,Canada,Pepsi,0.1902
1954_502_Canada,Canada,Pepsi,0.3122
1990_503_Uruguay,Uruguay,Pepsi,0.1865
1950_504_Mexico,Mexico,Emirates,0.2388
1938_505_Morocco,Morocco,Emirates,0.2659
1986_506_Canada,Canada,Pepsi,0.3162
1994_507_France,France,Emirates,0.3015
1990_508_South_Korea,South Korea,Nike,0.244
1954_509_USA,USA,Samsung,0.2103
1946_510_Argentina,Argentina,Nike,0.3019
1942_511_Spain,Spain,Pepsi,0.2511
1974_512_France,France,Emirates,0.1889
1934_513_Mexico,Mexico,Emirates,0.1797
1986_514_South_Korea,South Korea,Nike,0.2095
2002_515_Australia,Australia,Nike,0.2385
2018_516_USA,USA,Samsung,0.2549
1966_517_Belgium,Belgium,Mastercard,0.3848
1966_518_Germany,Germany,Pepsi,0.3489
1946_519_Nigeria,Nigeria,Visa,0.4067
1946_520_Australia,Australia,Nike,0.279
1974_521_France,France,Emirates,0.2768
1958_522_Argentina,Argentina,Nike,0.2544
1982_523_Portugal,Portugal,Coca-Cola,0.2063
2014_524_Argentina,Argentina,Nike,0.1839
1986_525_South_Korea,South Korea,Nike,0.2503
2002_526_Brazil,Brazil,Nike,0.4727
1974_527_Brazil,Brazil,Nike,0.2792
1934_528_Japan,Japan,Samsung,0.4483
1958_529_Argentina,Argentina,Nike,0.1845
1986_530_Germany,Germany,Pepsi,0.3248
1962_531_Japan,Japan,Samsung,0.4039
1958_532_Portugal,Portugal,Coca-Cola,0.2561
1954_533_Argentina,Argentina,Nike,0.2181
1954_534_Brazil,Brazil,Nike,0.4387
1934_535_Morocco,Morocco,Emirates,0.2796
2010_536_Uruguay,Uruguay,Pepsi,0.3479
1998_537_Croatia,Croatia,Qatar Airways,0.4501
1962_538_Nigeria,Nigeria,Visa,0.5182
1954_539_Brazil,Brazil,Nike,0.5404
1934_540_USA,USA,Samsung,0.2005
1986_541_England,England,Emirates,0.5013
1994_542_Mexico,Mexico,Emirates,0.2324
2022_543_Brazil,Brazil,Nike,0.2756
1974_544_Senegal,Senegal,Pepsi,0.4716
1998_545_Australia,Australia,Nike,0.3022
1970_546_Nigeria,Nigeria,Visa,0.4113
1982_547_England,England,Emirates,0.4143
1934_548_Morocco,Morocco,Emirates,0.2033
2018_549_Morocco,Morocco,Emirates,0.3628
1942_550_Uruguay,Uruguay,Pepsi,0.271
1998_551_Canada,Canada,Pepsi,0.1825
1934_552_USA,USA,Samsung,0.232
2002_553_Australia,Australia,Nike,0.3172
1946_554_Mexico,Mexico,Emirates,0.2935
1998_555_England,England,Emirates,0.336
1954_556_Brazil,Brazil,Nike,0.2266
2006_557_Morocco,Morocco,Emirates,0.328
1974_558_Portugal,Portugal,Coca-Cola,0.2557
1970_559_Australia,Australia,Nike,0.2247
1986_560_Portugal,Portugal,Coca-Cola,0.2951
2014_561_Spain,Spain,Pepsi,0.2727
2014_562_Argentina,Argentina,Nike,0.2096
1962_563_Brazil,Brazil,Nike,0.3062
1986_564_Uruguay,Uruguay,Pepsi,0.278
2006_565_Belgium,Belgium,Mastercard,0.1829
1954_566_Saudi_Arabia,Saudi Arabia,Nike,0.7366
1958_567_USA,USA,Samsung,0.2981
2022_568_Uruguay,Uruguay,Pepsi,0.246
