year,team,sponsor,matches,avg_roi,avg_fan_score,avg_sponsor_power,avg_commercial_momentum,total_media_reposts_k,total_event_attention_m,points
1966,Belgium,Mastercard,3,2.761,0.257,0.509,0.398,380.58,135.47,4
1966,Canada,Pepsi,2,2.527,0.12,0.422,0.342,107.95,59.62,6
1966,Croatia,Qatar Airways,1,2.851,0.302,0.483,0.46,73.0,47.87,3
1966,England,Emirates,4,2.523,0.48,0.575,0.504,419.11,172.2,6
1966,France,Emirates,4,2.429,0.252,0.622,0.438,483.2,144.94,7
1966,Germany,Pepsi,4,2.639,0.296,0.514,0.415,578.2,159.08,6
1966,Ghana,Visa,1,2.711,0.414,0.395,0.459,382.12,52.43,1
1966,Japan,Samsung,1,2.457,0.357,0.343,0.422,86.67,32.66,3
1966,Mexico,Emirates,6,2.725,0.282,0.438,0.372,835.24,259.42,6
1966,Morocco,Emirates,3,2.48,0.294,0.278,0.293,296.45,124.5,1
1966,Netherlands,Puma,2,2.856,0.302,0.414,0.422,333.21,107.72,4
1966,Nigeria,Visa,1,2.586,0.337,0.554,0.369,69.1,31.32,0
1966,Portugal,Coca-Cola,1,2.38,0.228,0.494,0.31,55.05,38.55,0
1966,Saudi Arabia,Nike,1,2.905,0.746,0.397,0.507,219.91,40.07,0
1966,South Korea,Nike,2,2.598,0.29,0.723,0.432,241.36,84.38,0
1966,Spain,Pepsi,4,2.449,0.3,0.821,0.571,782.36,190.38,10
1966,USA,Samsung,1,2.749,0.21,0.517,0.431,110.47,40.42,3
1966,Uruguay,Pepsi,2,2.653,0.253,0.351,0.387,201.21,75.28,6
1970,Argentina,Nike,3,2.687,0.26,0.509,0.377,540.56,123.16,2
1970,Australia,Nike,3,2.887,0.309,0.427,0.353,490.55,120.48,1
1970,Belgium,Mastercard,2,2.658,0.259,0.509,0.408,308.24,85.02,3
1970,Brazil,Nike,4,2.626,0.321,0.704,0.502,612.86,165.87,7
1970,Canada,Pepsi,2,2.746,0.208,0.422,0.298,307.91,77.57,0
1970,Croatia,Qatar Airways,4,2.798,0.318,0.483,0.448,537.5,178.03,9
1970,France,Emirates,3,2.508,0.275,0.622,0.491,513.49,107.08,9
1970,Germany,Pepsi,2,2.596,0.232,0.514,0.389,182.0,62.66,4
1970,Ghana,Visa,3,2.729,0.226,0.395,0.316,466.1,105.9,2
1970,Italy,Qatar Airways,1,2.812,0.289,0.431,0.348,143.39,48.66,0
1970,Japan,Samsung,2,2.912,0.495,0.343,0.46,381.86,104.79,3
1970,Mexico,Emirates,3,2.697,0.252,0.438,0.374,357.13,115.65,5
1970,Morocco,Emirates,4,2.339,0.29,0.278,0.275,582.81,140.12,0
1970,Netherlands,Puma,2,2.448,0.207,0.414,0.386,198.15,79.42,6
1970,Nigeria,Visa,4,2.837,0.438,0.554,0.491,526.39,189.5,6
1970,Portugal,Coca-Cola,3,2.47,0.255,0.494,0.333,403.75,106.9,0
1970,Qatar,Nike,1,2.674,0.187,0.335,0.294,161.76,33.33,1
1970,Saudi Arabia,Nike,2,2.004,0.617,0.397,0.465,153.81,53.81,3
1970,Senegal,Pepsi,4,2.63,0.417,0.555,0.454,477.93,145.15,5
1970,South Korea,Nike,3,2.904,0.33,0.723,0.531,413.58,148.67,6
1970,Spain,Pepsi,2,2.456,0.25,0.821,0.551,357.75,75.81,6
1970,USA,Samsung,3,2.699,0.223,0.517,0.406,364.42,126.6,6
1974,Argentina,Nike,1,2.932,0.276,0.509,0.401,192.08,43.27,1
1974,Belgium,Mastercard,3,2.487,0.232,0.509,0.343,480.76,106.66,1
1974,Brazil,Nike,3,2.316,0.303,0.704,0.475,348.44,124.8,4
1974,Canada,Pepsi,3,2.567,0.176,0.422,0.341,343.82,107.62,6
1974,Croatia,Qatar Airways,1,2.344,0.294,0.483,0.354,104.04,42.48,0
1974,England,Emirates,2,3.006,0.58,0.575,0.622,471.45,102.04,6
1974,France,Emirates,4,2.291,0.237,0.622,0.423,419.42,138.46,7
1974,Germany,Pepsi,4,2.958,0.314,0.514,0.404,539.48,181.11,3
1974,Ghana,Visa,3,2.797,0.244,0.395,0.36,365.38,130.49,5
1974,Italy,Qatar Airways,1,2.888,0.275,0.431,0.44,117.46,48.44,3
1974,Japan,Samsung,4,2.723,0.415,0.343,0.414,483.84,167.96,8
1974,Mexico,Emirates,6,2.682,0.254,0.438,0.355,740.1,232.08,7
1974,Morocco,Emirates,4,2.568,0.301,0.278,0.312,431.64,168.36,4
1974,Netherlands,Puma,2,2.601,0.23,0.414,0.356,257.53,83.26,3
1974,Nigeria,Visa,1,2.316,0.32,0.554,0.454,75.29,26.6,3
1974,Portugal,Coca-Cola,5,2.684,0.298,0.494,0.379,758.0,217.41,2
1974,Qatar,Nike,6,2.433,0.195,0.335,0.313,666.95,246.01,9
1974,Saudi Arabia,Nike,1,3.224,0.737,0.397,0.602,149.13,46.26,3
1974,Senegal,Pepsi,5,2.642,0.447,0.555,0.525,715.04,202.18,13
1974,South Korea,Nike,4,2.448,0.316,0.723,0.5,724.97,165.5,6
1974,Spain,Pepsi,2,2.27,0.231,0.821,0.44,276.55,76.52,0
1974,USA,Samsung,2,2.642,0.185,0.517,0.309,158.72,76.51,0
1974,Uruguay,Pepsi,1,2.413,0.273,0.351,0.325,117.79,40.26,1
1978,Argentina,Nike,2,3.118,0.352,0.509,0.469,506.08,107.63,3
1978,Australia,Nike,3,2.778,0.311,0.427,0.391,399.53,132.45,4
1978,Belgium,Mastercard,5,2.628,0.224,0.509,0.345,552.83,197.69,2
1978,Brazil,Nike,2,2.679,0.364,0.704,0.566,476.35,82.98,6
1978,Canada,Pepsi,1,2.502,0.13,0.422,0.274,79.0,29.43,1
1978,Croatia,Qatar Airways,2,2.876,0.322,0.483,0.472,237.29,94.71,6
1978,England,Emirates,2,2.314,0.485,0.575,0.505,329.66,74.42,3
1978,France,Emirates,4,2.829,0.321,0.622,0.458,688.28,185.13,4
1978,Germany,Pepsi,3,2.731,0.311,0.514,0.407,448.91,128.19,3
1978,Ghana,Visa,3,2.677,0.237,0.395,0.38,317.25,131.26,7
1978,Italy,Qatar Airways,2,2.422,0.187,0.431,0.312,164.54,64.07,2
1978,Japan,Samsung,4,2.513,0.393,0.343,0.386,467.97,149.19,6
1978,Morocco,Emirates,3,2.464,0.291,0.278,0.321,303.0,121.66,4
1978,Netherlands,Puma,4,2.834,0.273,0.414,0.36,750.95,179.42,3
1978,Nigeria,Visa,2,2.925,0.444,0.554,0.446,366.61,85.36,0
1978,Qatar,Nike,2,2.903,0.244,0.335,0.344,288.47,96.74,3
1978,Saudi Arabia,Nike,1,2.786,0.788,0.397,0.639,207.92,51.27,3
1978,Senegal,Pepsi,2,2.681,0.428,0.555,0.524,263.04,74.84,6
1978,South Korea,Nike,3,2.556,0.277,0.723,0.471,417.68,111.32,4
1978,Spain,Pepsi,1,1.773,0.129,0.821,0.404,61.69,23.54,1
1978,USA,Samsung,4,2.724,0.23,0.517,0.392,580.68,163.91,6
1978,Uruguay,Pepsi,3,2.655,0.25,0.351,0.301,323.69,108.17,2
1982,Argentina,Nike,3,2.981,0.295,0.509,0.431,531.42,148.64,4
1982,Australia,Nike,2,2.882,0.318,0.427,0.37,407.38,74.86,1
1982,Belgium,Mastercard,4,2.705,0.221,0.509,0.378,442.27,155.33,6
1982,Brazil,Nike,2,2.708,0.306,0.704,0.496,329.97,73.09,4
1982,Canada,Pepsi,1,2.687,0.181,0.422,0.314,118.09,36.6,1
1982,Croatia,Qatar Airways,2,2.706,0.312,0.483,0.43,209.62,93.13,4
1982,England,Emirates,5,2.608,0.49,0.575,0.519,608.4,216.34,9
1982,France,Emirates,4,2.508,0.289,0.622,0.419,481.15,179.39,2
1982,Germany,Pepsi,4,2.71,0.27,0.514,0.398,497.94,144.8,6
1982,Ghana,Visa,4,2.593,0.196,0.395,0.325,421.67,137.36,6
1982,Italy,Qatar Airways,2,2.49,0.208,0.431,0.3,229.18,66.0,1
1982,Japan,Samsung,3,2.753,0.418,0.343,0.419,383.92,125.85,6
1982,Mexico,Emirates,2,2.906,0.32,0.438,0.368,368.69,93.31,0
1982,Morocco,Emirates,4,2.595,0.261,0.278,0.321,388.44,135.97,8
1982,Netherlands,Puma,3,2.686,0.24,0.414,0.327,392.32,131.1,1
1982,Nigeria,Visa,1,2.807,0.417,0.554,0.52,200.19,34.48,3
1982,Portugal,Coca-Cola,2,2.182,0.186,0.494,0.352,181.58,49.27,4
1982,Qatar,Nike,1,2.638,0.209,0.335,0.3,155.64,39.06,1
1982,Saudi Arabia,Nike,1,2.946,0.656,0.397,0.479,72.19,36.54,1
1982,Senegal,Pepsi,3,2.817,0.446,0.555,0.433,442.89,119.25,0
1982,South Korea,Nike,3,2.772,0.315,0.723,0.508,379.56,141.79,5
1982,Spain,Pepsi,2,2.438,0.246,0.821,0.548,202.65,91.85,6
1982,Uruguay,Pepsi,2,2.562,0.27,0.351,0.327,319.16,69.29,2
1986,Argentina,Nike,3,3.057,0.333,0.509,0.47,678.56,157.82,6
1986,Australia,Nike,8,2.829,0.315,0.427,0.408,1179.85,348.25,14
1986,Belgium,Mastercard,3,2.604,0.214,0.509,0.338,294.86,115.42,1
1986,Brazil,Nike,2,2.652,0.332,0.704,0.524,202.82,100.18,4
1986,Canada,Pepsi,4,2.832,0.206,0.422,0.346,657.03,148.35,6
1986,Croatia,Qatar Airways,4,2.837,0.352,0.483,0.399,726.6,188.01,1
1986,England,Emirates,5,2.703,0.503,0.575,0.568,665.64,224.99,15
1986,France,Emirates,2,2.396,0.268,0.622,0.41,241.86,80.16,1
1986,Germany,Pepsi,4,2.674,0.293,0.514,0.372,503.01,165.68,1
1986,Ghana,Visa,1,2.998,0.322,0.395,0.463,265.74,44.73,3
1986,Japan,Samsung,5,2.733,0.416,0.343,0.355,710.53,198.28,0
1986,Morocco,Emirates,1,2.849,0.305,0.278,0.325,179.88,34.5,1
1986,Netherlands,Puma,2,2.726,0.269,0.414,0.421,401.94,84.58,6
1986,Nigeria,Visa,1,2.128,0.391,0.554,0.409,106.13,39.53,0
1986,Portugal,Coca-Cola,1,2.532,0.28,0.494,0.458,153.36,39.13,3
1986,Qatar,Nike,4,2.734,0.25,0.335,0.331,747.21,180.31,4
1986,Saudi Arabia,Nike,2,2.76,0.666,0.397,0.498,205.91,70.79,3
1986,South Korea,Nike,7,2.496,0.275,0.723,0.457,859.66,269.74,7
1986,Spain,Pepsi,3,2.3,0.228,0.821,0.505,381.26,116.75,6
1986,USA,Samsung,2,2.657,0.208,0.517,0.384,205.0,81.77,3
1986,Uruguay,Pepsi,4,2.793,0.274,0.351,0.399,426.15,167.31,12
1990,Argentina,Nike,3,2.786,0.272,0.509,0.377,401.54,147.2,1
1990,Australia,Nike,1,3.136,0.361,0.427,0.384,134.44,55.68,0
1990,Belgium,Mastercard,4,2.511,0.219,0.509,0.356,575.62,137.4,4
1990,Brazil,Nike,2,2.654,0.27,0.704,0.458,152.66,77.64,3
