panel_id,year,match_id,team,opponent,team_side,stage,sponsor,result_for_team,match_points,team_elo,core_player_rating,core_market_value_m,player_followers_m,event_attention_m,media_reposts_k,exposure_score,fan_score_panel,sponsor_spend_m,sponsor_power_index,brand_fit,activation_quality,commercial_momentum,predicted_roi,roi_per_million_spend,attention_segment,commercial_segment,weather,temperature_c,humidity,hashtag_mentions_k,video_views_m,sentiment_score,engagement_rate,fan_growth_7d_pct,text_signal_score,time_decay_attention,media_exposure_score,user_attention_score,social_interaction_score,sponsor_conversion_proxy,funnel_efficiency
1950_54_Brazil,1950,54,Brazil,Mexico,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,41.09,165.97,0.293,0.514,33.15,0.938,0.809,0.916,0.667,4.022,0.121,Mid attention,Premium,clear,21.4,49.0,103.88,73.32,0.077,0.2422,-0.41,0.096,43.63,0.2802,0.2699,0.3098,0.6956,2.4829
1950_55_Chile,1950,55,Chile,England,A,tournament,Hisense,loss,0,1622,72.9,38.6,16.65,36.69,84.85,0.187,0.4,27.36,0.7,0.681,0.911,0.424,3.423,0.125,Mid attention,Scalable,hot,21.0,58.5,157.12,55.75,0.111,0.4377,1.35,0.139,39.99,0.1507,0.3142,0.3983,0.4968,3.2967
1950_56_Italy,1950,56,Italy,Sweden,A,tournament,Visa,loss,0,1755,77.8,61.6,11.04,43.29,125.67,0.283,0.31,33.4,0.799,0.761,0.842,0.44,3.388,0.101,Low attention,Scalable,rain,26.7,54.0,131.54,80.86,0.34,0.1162,0.47,0.315,47.43,0.2814,0.3405,0.3186,0.4829,1.716
1950_57_Spain,1950,57,Spain,United States,A,tournament,Budweiser,win,3,1708,77.4,45.2,19.26,41.09,89.22,0.244,0.497,27.85,0.714,0.724,0.933,0.576,3.66,0.131,Mid attention,Scalable,rain,25.0,45.4,162.16,44.16,0.267,0.3129,5.91,0.249,39.09,0.1765,0.38,0.3896,0.5885,3.3338
1950_58_Switzerland,1950,58,Switzerland,Yugoslavia,A,tournament,Adidas,loss,0,1632,72.7,48.1,17.05,38.89,98.98,0.274,0.43,31.4,0.904,0.774,0.888,0.52,3.644,0.116,Mid attention,Scalable,clear,24.9,53.4,98.44,57.57,0.088,0.3476,0.72,0.185,36.34,0.1845,0.2204,0.3391,0.5802,3.1446
1950_59_Brazil,1950,59,Brazil,Switzerland,A,tournament,Adidas,draw,1,1829,78.8,57.4,18.61,41.09,109.11,0.241,0.489,33.15,0.938,0.809,0.916,0.582,3.972,0.12,Mid attention,Scalable,rain,25.5,61.2,175.46,54.9,0.109,0.2114,0.1,0.132,44.38,0.2083,0.3491,0.267,0.6843,3.2851
1950_60_Mexico,1950,60,Mexico,Yugoslavia,A,tournament,Hyundai,loss,0,1612,72.1,37.6,18.89,43.29,100.96,0.311,0.506,28.5,0.853,0.712,0.897,0.538,3.62,0.127,Mid attention,Scalable,windy,26.7,45.7,139.26,64.83,0.029,0.1145,3.32,0.095,42.8,0.2377,0.3514,0.1636,0.5535,2.3283
1950_61_Chile,1950,61,Chile,Spain,A,tournament,Hisense,loss,0,1622,72.9,38.6,16.65,36.69,74.6,0.146,0.395,27.36,0.7,0.681,0.911,0.415,3.415,0.125,Mid attention,Scalable,clear,10.4,45.1,122.88,54.51,0.227,0.1123,6.34,0.209,36.82,0.141,0.3316,0.2327,0.4952,3.5129
1950_62_England,1950,62,England,United States,A,tournament,McDonald's,loss,0,1695,76.6,52.6,19.34,34.49,66.35,0.153,0.449,20.29,0.432,0.819,0.654,0.345,3.271,0.161,Mid attention,Watchlist,clear,20.8,36.2,107.08,37.46,0.131,0.1685,2.56,0.128,29.83,0.088,0.201,0.2211,0.5071,5.7607
1950_63_Paraguay,1950,63,Paraguay,Sweden,A,tournament,Hyundai,draw,1,1578,69.9,30.5,12.88,41.09,60.99,0.238,0.317,26.2,0.812,0.667,0.921,0.473,3.602,0.137,Low attention,Scalable,clear,9.9,64.3,108.79,89.14,-0.04,0.289,2.72,0.071,38.65,0.2247,0.2795,0.2197,0.5434,2.4181
1950_64_Brazil,1950,64,Brazil,Yugoslavia,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,36.69,78.0,0.211,0.448,33.15,0.938,0.809,0.916,0.627,3.926,0.118,Mid attention,Premium,clear,23.2,66.7,110.18,33.76,0.166,0.4526,5.51,0.166,33.5,0.1114,0.2794,0.4279,0.6725,6.0
1950_65_Bolivia,1950,65,Bolivia,Uruguay,A,tournament,Qatar Airways,loss,0,1404,64.1,13.8,5.97,49.89,169.95,0.423,0.236,24.48,0.462,0.575,0.669,0.323,2.704,0.11,Low attention,Watchlist,rain,23.0,61.7,134.18,45.55,0.2,0.1607,4.64,0.16,50.86,0.3211,0.4349,0.3142,0.1719,0.5355
1950_66_Chile,1950,66,Chile,United States,A,tournament,Hisense,win,3,1622,72.9,38.6,16.65,47.69,87.11,0.346,0.468,27.36,0.7,0.681,0.911,0.578,3.536,0.129,Mid attention,Scalable,cloudy,29.3,73.4,182.11,66.07,0.253,0.0753,3.69,0.193,40.57,0.2696,0.3772,0.2284,0.5247,1.9465
1950_67_England,1950,67,England,Spain,A,tournament,McDonald's,loss,0,1695,76.6,52.6,19.34,34.49,67.19,0.154,0.449,20.29,0.432,0.819,0.654,0.345,3.237,0.16,Mid attention,Watchlist,cloudy,30.1,59.4,98.49,58.86,0.149,0.2193,1.58,0.129,31.94,0.1218,0.1962,0.2624,0.499,4.0956
1950_68_Italy,1950,68,Italy,Paraguay,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,36.69,173.11,0.244,0.29,33.4,0.799,0.761,0.842,0.526,3.426,0.103,Low attention,Scalable,clear,24.2,64.3,75.82,41.59,0.119,0.1789,3.76,0.152,39.83,0.196,0.2752,0.2922,0.4931,2.5164
1950_69_Mexico,1950,69,Mexico,Switzerland,A,tournament,Hyundai,loss,0,1612,72.1,37.6,18.89,38.89,92.99,0.253,0.476,28.5,0.853,0.712,0.897,0.516,3.534,0.124,Mid attention,Scalable,clear,20.0,62.9,76.78,61.96,0.355,0.1349,-0.06,0.254,37.98,0.1867,0.2028,0.316,0.5323,2.8505
1950_70_Brazil,1950,70,Brazil,Sweden,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,49.89,155.98,0.389,0.563,33.15,0.938,0.809,0.916,0.703,4.077,0.123,Mid attention,Premium,clear,25.9,56.5,97.33,91.78,0.157,0.1356,1.49,0.148,55.01,0.3821,0.3889,0.2698,0.7093,1.8564
1950_71_Spain,1950,71,Spain,Uruguay,A,tournament,Budweiser,draw,1,1708,77.4,45.2,19.26,41.09,140.56,0.25,0.52,27.85,0.714,0.724,0.933,0.518,3.678,0.132,Mid attention,Scalable,hot,19.8,49.5,144.06,42.01,0.228,0.4139,5.81,0.184,35.49,0.2123,0.3316,0.4711,0.5934,2.7953
1950_72_Brazil,1950,72,Brazil,Spain,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,47.69,164.06,0.344,0.553,33.15,0.938,0.809,0.916,0.691,4.085,0.123,Mid attention,Premium,cloudy,23.0,93.4,107.43,103.95,0.102,0.1428,5.53,0.134,44.75,0.3869,0.3723,0.2554,0.7109,1.8375
1950_73_Sweden,1950,73,Sweden,Uruguay,A,tournament,Budweiser,loss,0,1654,74.4,39.2,19.34,43.29,80.78,0.246,0.509,26.29,0.687,0.705,0.91,0.471,3.54,0.135,Mid attention,Scalable,clear,28.9,50.8,140.18,57.91,0.225,0.3583,3.72,0.189,41.56,0.2116,0.3478,0.3948,0.5489,2.5937
1950_74_Brazil,1950,74,Brazil,Uruguay,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,38.89,104.17,0.25,0.473,33.15,0.938,0.809,0.916,0.544,3.938,0.119,Mid attention,Scalable,rain,19.7,47.3,120.89,67.48,0.011,0.2232,-1.25,0.099,35.94,0.2038,0.2077,0.228,0.6762,3.3177
1950_75_Spain,1950,75,Spain,Sweden,A,tournament,Budweiser,loss,0,1708,77.4,45.2,19.26,41.09,74.64,0.246,0.491,27.85,0.714,0.724,0.933,0.474,3.612,0.13,Mid attention,Scalable,clear,27.8,64.9,121.46,42.9,0.11,0.3205,0.26,0.191,42.18,0.1635,0.2838,0.3155,0.5776,3.5334
1954_76_Austria,1954,76,Austria,Scotland,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,35.95,203.79,0.288,0.403,21.71,0.454,0.702,0.72,0.46,3.319,0.153,Mid attention,Scalable,clear,27.1,62.0,120.51,65.51,0.035,0.2029,1.37,0.061,29.97,0.2496,0.1964,0.2905,0.4549,1.8223
