match_id,year,team_a,team_b,event_attention_m,media_reposts_k,stage,hashtag_mentions_k,video_views_m,sentiment_score,engagement_rate,fan_growth_7d_pct,news_sentiment_score,narrative_topic,text_signal_score,time_decay_attention
65,1950,Bolivia,Uruguay,49.89,95.42,tournament,240.01,105.56,0.135,0.2801,0.08,0.081,real_news_reference,0.125,51.92
66,1950,Chile,United States,47.69,110.3,tournament,159.21,49.32,0.38,0.4633,0.64,0.129,real_news_reference,0.275,51.42
67,1950,England,Spain,34.49,73.33,tournament,118.33,59.52,0.328,0.2198,-0.04,0.196,real_news_reference,0.258,31.14
68,1950,Italy,Paraguay,36.69,129.54,tournament,171.1,70.81,0.05,0.1907,2.49,0.27,real_news_reference,0.163,35.7
69,1950,Mexico,Switzerland,38.89,122.62,tournament,104.43,48.42,0.163,0.2843,3.29,0.045,real_news_reference,0.122,33.69
70,1950,Brazil,Sweden,49.89,193.95,tournament,146.6,91.93,0.002,0.1681,-0.24,0.039,real_news_reference,0.035,54.73
71,1950,Spain,Uruguay,41.09,131.21,tournament,90.24,46.06,0.017,0.2724,2.95,0.072,real_news_reference,0.067,46.33
72,1950,Brazil,Spain,47.69,144.48,tournament,137.23,60.57,0.028,0.2476,0.96,0.025,real_news_reference,0.049,50.12
73,1950,Sweden,Uruguay,43.29,173.1,tournament,89.63,56.51,0.126,0.3383,0.55,0.031,real_news_reference,0.104,35.15
74,1950,Brazil,Uruguay,38.89,126.76,tournament,140.85,85.38,0.13,0.1724,1.49,0.07,real_news_reference,0.107,36.45
75,1950,Spain,Sweden,41.09,119.68,tournament,137.11,48.44,0.173,0.2197,0.45,0.247,real_news_reference,0.211,46.7
76,1954,Austria,Scotland,35.95,155.5,tournament,100.77,38.39,0.214,0.4117,4.07,0.123,real_news_reference,0.193,31.01
77,1954,Brazil,Mexico,44.75,132.07,tournament,131.1,94.13,0.114,0.4296,2.45,0.151,real_news_reference,0.162,45.71
78,1954,Czechoslovakia,Uruguay,38.15,100.11,tournament,138.64,42.37,0.152,0.1524,4.51,0.072,real_news_reference,0.116,42.65
79,1954,France,Yugoslavia,35.95,81.25,tournament,81.3,73.45,0.039,0.2819,1.87,0.199,real_news_reference,0.135,38.05
80,1954,Belgium,England,51.35,178.66,tournament,162.34,89.64,0.014,0.5463,1.95,0.298,real_news_reference,0.195,51.31
81,1954,Germany,Turkey,44.75,180.81,tournament,160.13,73.83,-0.002,0.4165,6.73,0.077,real_news_reference,0.075,43.07
82,1954,Hungary,South Korea,53.55,150.87,tournament,103.03,100.5,0.213,0.298,-0.61,0.286,real_news_reference,0.254,59.67
83,1954,Switzerland,Italy,40.35,166.3,tournament,143.86,74.4,0.114,0.238,5.5,0.177,real_news_reference,0.155,37.21
84,1954,Austria,Czechoslovakia,44.75,73.66,tournament,88.46,46.7,-0.039,0.2512,6.27,0.149,real_news_reference,0.075,49.42
85,1954,Brazil,Yugoslavia,38.15,107.34,tournament,111.29,83.9,0.142,0.0777,4.41,0.18,real_news_reference,0.153,35.68
86,1954,France,Mexico,44.75,126.45,tournament,100.51,95.07,0.023,0.1467,2.11,0.179,real_news_reference,0.106,47.09
87,1954,Scotland,Uruguay,49.15,114.59,tournament,211.18,101.52,0.314,0.3356,5.8,0.297,real_news_reference,0.309,54.54
88,1954,Belgium,Italy,44.75,249.28,tournament,100.67,76.48,0.09,0.1902,2.12,0.19,real_news_reference,0.145,43.78
89,1954,Germany,Hungary,57.95,162.56,tournament,115.24,91.54,0.216,0.2068,1.32,0.191,real_news_reference,0.204,51.67
90,1954,South Korea,Turkey,49.15,125.3,tournament,152.66,78.5,0.257,0.1705,1.98,0.114,real_news_reference,0.184,39.24
91,1954,Switzerland,England,38.15,109.81,tournament,103.35,35.08,0.053,0.129,1.6,0.215,real_news_reference,0.134,40.87
92,1954,Germany,Turkey,53.55,87.34,tournament,110.44,82.97,0.156,0.1402,0.81,0.072,real_news_reference,0.117,53.76
93,1954,Switzerland,Italy,44.75,103.37,tournament,153.32,76.56,0.203,0.2522,5.13,0.157,real_news_reference,0.187,39.14
94,1954,England,Uruguay,46.95,176.69,tournament,85.73,82.46,0.16,0.2791,1.18,0.379,real_news_reference,0.27,51.45
95,1954,Switzerland,Austria,60.15,144.13,tournament,139.46,80.11,0.184,0.1306,2.74,-0.052,real_news_reference,0.072,66.85
96,1954,Brazil,Hungary,46.95,106.38,tournament,122.15,71.02,0.015,0.189,-0.23,0.167,real_news_reference,0.101,51.62
97,1954,Germany,Yugoslavia,38.15,157.31,tournament,140.06,65.89,0.204,0.1883,2.86,0.17,real_news_reference,0.187,38.02
98,1954,Austria,Germany,49.15,204.41,tournament,204.13,71.6,0.1,0.1621,0.37,0.13,real_news_reference,0.12,55.62
99,1954,Hungary,Uruguay,46.95,155.06,tournament,185.82,100.98,0.183,0.2216,0.32,0.132,real_news_reference,0.164,51.41
100,1954,Austria,Uruguay,42.55,107.04,tournament,123.02,77.32,0.24,0.3398,2.57,0.155,real_news_reference,0.212,34.79
101,1954,Germany,Hungary,44.75,119.59,tournament,73.28,40.35,0.215,0.2713,5.02,0.128,real_news_reference,0.181,50.71
102,1958,Argentina,Germany,44.01,100.41,tournament,145.78,40.94,0.183,0.2099,3.72,0.166,real_news_reference,0.178,43.02
103,1958,Austria,Brazil,41.81,90.43,tournament,181.41,75.15,0.212,0.2467,3.87,0.109,real_news_reference,0.169,46.46
104,1958,Czechoslovakia,Northern Ireland,37.41,79.8,tournament,152.99,53.74,0.217,0.3757,2.53,0.31,real_news_reference,0.275,39.42
105,1958,England,Russia,44.01,105.78,tournament,148.44,87.64,0.298,0.2539,2.1,0.128,real_news_reference,0.217,44.59
106,1958,France,Paraguay,57.21,122.36,tournament,127.66,64.36,0.145,0.2775,4.46,0.194,real_news_reference,0.18,51.35
107,1958,Hungary,Wales,39.61,73.06,tournament,104.35,36.36,0.165,0.184,1.62,0.095,real_news_reference,0.135,31.28
108,1958,Scotland,Yugoslavia,39.61,120.36,tournament,192.97,55.63,0.241,0.1189,4.55,0.223,real_news_reference,0.221,34.84
109,1958,Sweden,Mexico,41.81,127.59,tournament,88.14,77.64,0.099,0.0673,5.4,0.207,real_news_reference,0.144,42.93
110,1958,Argentina,Northern Ireland,44.01,202.48,tournament,99.23,95.2,0.015,0.1835,1.03,0.182,real_news_reference,0.107,48.0
111,1958,Austria,Russia,39.61,93.87,tournament,150.61,81.15,0.197,0.2429,1.34,0.066,real_news_reference,0.143,30.93
112,1958,Brazil,England,35.21,109.32,tournament,94.97,53.85,0.128,0.237,1.65,0.088,real_news_reference,0.121,30.1
113,1958,Czechoslovakia,Germany,44.01,137.27,tournament,98.39,86.11,0.027,0.1073,-0.28,0.283,real_news_reference,0.15,44.99
114,1958,France,Yugoslavia,46.21,122.99,tournament,203.4,45.81,0.198,0.1452,1.81,0.087,real_news_reference,0.143,40.76
115,1958,Mexico,Wales,39.61,139.42,tournament,133.53,65.12,0.291,0.291,5.53,0.199,real_news_reference,0.25,32.92
116,1958,Paraguay,Scotland,46.21,164.06,tournament,126.18,97.11,-0.015,0.2267,0.6,0.073,real_news_reference,0.049,37.41
117,1958,Sweden,Hungary,41.81,130.95,tournament,94.32,59.17,0.25,0.2896,5.58,0.229,real_news_reference,0.245,42.21
118,1958,Argentina,Czechoslovakia,50.61,134.64,tournament,253.66,108.72,-0.106,0.5211,1.89,0.093,real_news_reference,0.046,50.31
119,1958,Austria,England,44.01,113.78,tournament,131.41,52.24,0.108,0.2335,7.24,0.071,real_news_reference,0.104,47.93
120,1958,Brazil,Russia,39.61,77.18,tournament,168.75,41.09,0.332,0.1948,1.37,0.091,real_news_reference,0.21,35.39
121,1958,France,Scotland,41.81,95.34,tournament,157.05,66.15,0.115,0.2316,2.5,0.104,real_news_reference,0.122,34.67
122,1958,Germany,Northern Ireland,44.01,105.66,tournament,116.07,91.52,0.157,0.2388,0.89,0.18,real_news_reference,0.176,46.99
123,1958,Hungary,Mexico,44.01,91.81,tournament,116.3,57.42,0.224,0.2719,1.36,0.154,real_news_reference,0.197,49.98
124,1958,Paraguay,Yugoslavia,48.41,156.47,tournament,208.78,93.93,-0.024,0.2323,5.61,0.061,real_news_reference,0.04,44.04
125,1958,Sweden,Wales,35.21,140.67,tournament,152.47,39.43,0.155,0.4363,3.8,0.146,real_news_reference,0.179,38.43
126,1958,Czechoslovakia,Northern Ireland,41.81,92.65,tournament,78.56,78.15,0.155,0.2123,4.96,0.057,real_news_reference,0.117,44.09
127,1958,England,Russia,37.41,115.73,tournament,128.94,60.76,0.334,0.5098,0.04,0.2,real_news_reference,0.291,41.46
128,1958,Hungary,Wales,41.81,89.44,tournament,121.86,47.14,0.025,0.2391,4.18,0.214,real_news_reference,0.131,39.0
129,1958,Brazil,Wales,37.41,98.16,tournament,86.8,68.59,0.11,0.1477,0.76,0.146,real_news_reference,0.13,30.54
130,1958,France,Northern Ireland,44.01,103.66,tournament,141.15,80.45,0.055,0.1465,-0.01,0.17,real_news_reference,0.116,36.2
131,1958,Germany,Yugoslavia,37.41,126.53,tournament,80.2,58.74,0.045,0.2803,3.3,0.288,real_news_reference,0.178,39.46
132,1958,Sweden,Russia,39.61,93.6,tournament,105.9,47.26,0.261,0.1743,3.28,0.136,real_news_reference,0.196,43.21
133,1958,Brazil,France,50.61,191.98,tournament,124.53,54.25,0.151,0.332,2.91,0.073,real_news_reference,0.134,47.8
134,1958,Sweden,Germany,44.01,117.4,tournament,116.68,94.38,0.093,0.1476,4.31,0.194,real_news_reference,0.144,35.27
135,1958,France,Germany,55.01,131.06,tournament,162.33,96.41,0.096,0.1099,4.63,0.058,real_news_reference,0.08,44.23
136,1958,Sweden,Brazil,50.61,101.82,tournament,117.95,98.79,0.092,0.1267,5.89,0.131,real_news_reference,0.113,50.38
137,1962,Argentina,Bulgaria,38.87,119.24,tournament,173.04,70.2,0.101,0.3625,0.3,0.1,real_news_reference,0.127,43.17
138,1962,Brazil,Mexico,41.07,150.8,tournament,139.57,81.25,0.022,0.1194,5.95,0.092,real_news_reference,0.063,37.94
139,1962,Chile,Switzerland,45.47,140.27,tournament,213.94,50.53,0.122,0.3273,6.75,0.128,real_news_reference,0.145,46.12
140,1962,Colombia,Uruguay,43.27,231.44,tournament,124.89,66.9,0.112,0.283,2.03,0.22,real_news_reference,0.178,42.19
141,1962,Czechoslovakia,Spain,38.87,165.76,tournament,101.8,68.69,0.072,0.3573,-0.7,0.237,real_news_reference,0.175,42.77
142,1962,England,Hungary,43.27,113.45,tournament,201.76,44.76,0.164,0.3713,-0.11,0.222,real_news_reference,0.211,46.72
143,1962,Germany,Italy,36.67,95.86,tournament,95.34,40.15,0.172,0.1842,1.83,0.175,real_news_reference,0.175,31.23
144,1962,Russia,Yugoslavia,41.07,133.86,tournament,118.0,70.81,0.092,0.276,7.03,0.128,real_news_reference,0.127,42.05
145,1962,Argentina,England,45.47,102.76,tournament,163.54,92.27,0.134,0.295,2.84,-0.041,real_news_reference,0.071,49.34
146,1962,Brazil,Czechoslovakia,36.67,145.26,tournament,80.84,64.49,0.364,0.3795,1.5,0.178,real_news_reference,0.282,40.88
147,1962,Chile,Italy,41.07,129.87,tournament,147.39,38.9,0.36,0.0905,1.36,-0.034,real_news_reference,0.156,40.76
148,1962,Uruguay,Yugoslavia,45.47,139.61,tournament,158.05,98.29,0.043,0.1381,0.02,-0.006,real_news_reference,0.03,38.35
149,1962,Bulgaria,Hungary,52.07,180.36,tournament,214.85,56.31,0.057,0.1786,4.64,0.135,real_news_reference,0.104,51.08
150,1962,Colombia,Russia,54.27,251.23,tournament,203.67,65.25,0.042,0.2252,2.61,0.169,real_news_reference,0.117,55.34
151,1962,Germany,Switzerland,43.27,129.71,tournament,179.91,93.79,0.254,0.4271,7.21,0.112,real_news_reference,0.207,38.0
152,1962,Mexico,Spain,38.87,107.62,tournament,113.59,73.94,0.108,0.2985,4.12,0.271,real_news_reference,0.2,43.93
153,1962,Argentina,Hungary,36.67,159.88,tournament,88.79,77.65,0.172,0.2114,4.54,0.185,real_news_reference,0.182,31.63
154,1962,Brazil,Spain,43.27,162.13,tournament,220.29,84.32,0.348,0.275,2.29,0.128,real_news_reference,0.242,47.95
155,1962,Chile,Germany,41.07,107.28,tournament,84.23,71.76,0.147,0.2922,0.51,0.259,real_news_reference,0.212,38.32
156,1962,Russia,Uruguay,43.27,123.83,tournament,91.0,54.95,0.219,0.2494,0.97,0.273,real_news_reference,0.246,33.76
157,1962,Bulgaria,England,36.67,110.68,tournament,126.88,48.59,0.2,0.3248,-0.08,0.189,real_news_reference,0.208,35.77
158,1962,Colombia,Yugoslavia,47.67,150.75,tournament,214.98,101.61,0.089,0.1875,4.71,0.086,real_news_reference,0.098,47.96
159,1962,Czechoslovakia,Mexico,45.47,88.87,tournament,143.23,91.8,0.254,0.3451,1.99,0.104,real_news_reference,0.196,49.7
160,1962,Italy,Switzerland,43.27,80.28,tournament,166.88,59.16,0.063,0.1048,4.8,0.032,real_news_reference,0.053,42.17
161,1962,Brazil,England,45.47,101.35,tournament,82.94,62.99,0.282,0.1903,3.09,0.145,real_news_reference,0.211,37.01
162,1962,Chile,Russia,43.27,94.38,tournament,114.73,55.69,0.089,0.4429,2.19,0.064,real_news_reference,0.113,48.19
163,1962,Czechoslovakia,Hungary,38.87,92.75,tournament,73.09,51.46,0.1,0.3619,0.34,0.122,real_news_reference,0.136,38.23
164,1962,Germany,Yugoslavia,38.87,132.68,tournament,141.93,78.47,0.039,0.3449,3.43,0.169,real_news_reference,0.128,34.12
165,1962,Chile,Brazil,49.87,135.93,tournament,101.76,45.56,0.056,0.3018,2.34,-0.011,real_news_reference,0.05,55.04
166,1962,Czechoslovakia,Yugoslavia,45.47,137.28,tournament,99.25,66.7,0.105,0.3444,4.69,0.047,real_news_reference,0.103,37.45
167,1962,Chile,Yugoslavia,38.87,78.84,tournament,132.78,82.63,-0.095,0.3861,1.3,0.108,real_news_reference,0.044,31.68
168,1962,Brazil,Czechoslovakia,45.47,114.18,tournament,178.13,73.0,0.125,0.2321,4.09,0.144,real_news_reference,0.144,44.22
169,1966,England,Uruguay,38.12,128.4,tournament,110.06,56.63,0.097,0.1791,6.25,0.109,real_news_reference,0.111,38.31
170,1966,Brazil,Bulgaria,42.52,143.53,tournament,147.31,55.53,0.227,0.1715,3.37,0.126,real_news_reference,0.176,40.99
171,1966,Germany,Switzerland,49.12,114.59,tournament,168.8,48.93,0.19,0.3327,4.45,0.092,real_news_reference,0.16,54.74
172,1966,North Korea,Russia,44.72,133.71,tournament,127.3,53.3,0.077,0.1087,4.0,0.032,real_news_reference,0.06,39.11
173,1966,Argentina,Spain,44.72,236.54,tournament,102.18,45.51,0.102,0.3048,6.79,0.105,real_news_reference,0.124,50.82
174,1966,Chile,Italy,42.52,120.91,tournament,147.11,45.27,0.125,0.3795,3.58,0.131,real_news_reference,0.153,33.46
175,1966,France,Mexico,42.52,100.07,tournament,148.9,47.31,0.297,0.1682,4.27,0.123,real_news_reference,0.206,34.98
176,1966,Hungary,Portugal,46.92,127.71,tournament,176.26,60.65,0.066,0.1779,2.72,0.157,real_news_reference,0.118,39.73
177,1966,Brazil,Hungary,46.92,137.59,tournament,152.39,42.9,0.076,0.296,1.17,0.182,real_news_reference,0.146,37.94
178,1966,Chile,North Korea,42.52,116.47,tournament,95.38,90.79,0.035,0.133,0.26,0.203,real_news_reference,0.12,39.87
179,1966,France,Uruguay,44.72,126.68,tournament,159.65,47.45,-0.0,0.2569,5.46,0.097,real_news_reference,0.069,48.81
180,1966,Spain,Switzerland,44.72,85.31,tournament,134.3,62.52,0.179,0.2943,0.68,0.022,real_news_reference,0.12,48.1
181,1966,Argentina,Germany,38.12,83.2,tournament,101.5,77.89,0.168,0.2277,4.37,0.25,real_news_reference,0.211,39.95
182,1966,Bulgaria,Portugal,44.72,122.56,tournament,124.81,46.44,0.276,0.3099,3.67,0.179,real_news_reference,0.236,35.0
183,1966,England,Mexico,42.52,116.01,tournament,107.49,65.0,0.252,0.3692,4.73,0.072,real_news_reference,0.183,46.42
184,1966,Italy,Russia,40.33,98.35,tournament,151.31,80.59,0.388,0.1494,1.72,0.17,real_news_reference,0.266,37.21
185,1966,Argentina,Switzerland,42.52,115.63,tournament,89.61,69.05,0.141,0.3202,1.14,0.234,real_news_reference,0.201,44.36
186,1966,Brazil,Portugal,46.92,136.39,tournament,109.96,55.06,0.122,0.2053,3.59,0.286,real_news_reference,0.204,48.88
187,1966,Italy,North Korea,40.33,147.84,tournament,111.6,74.86,0.018,0.2721,2.19,0.168,real_news_reference,0.111,34.03
188,1966,Mexico,Uruguay,38.12,105.95,tournament,171.43,68.07,0.218,0.1503,0.21,0.233,real_news_reference,0.218,36.81
189,1966,Bulgaria,Hungary,46.92,149.93,tournament,183.46,64.32,0.16,0.2616,6.87,0.051,real_news_reference,0.121,52.24
190,1966,Chile,Russia,44.72,109.81,tournament,89.14,42.94,0.213,0.1958,1.14,0.145,real_news_reference,0.181,39.12
191,1966,England,France,42.52,142.62,tournament,179.08,38.7,0.034,0.2679,0.71,0.121,real_news_reference,0.097,44.11
192,1966,Germany,Spain,44.72,141.97,tournament,188.25,88.23,0.183,0.2197,2.29,0.176,real_news_reference,0.184,50.31
193,1966,England,Argentina,40.33,146.87,tournament,90.34,53.16,0.169,0.2593,5.43,0.277,real_news_reference,0.227,36.69
194,1966,Germany,Uruguay,46.92,163.73,tournament,75.04,50.63,0.162,0.3398,-1.75,0.168,real_news_reference,0.182,43.15
195,1966,Hungary,Russia,44.72,150.7,tournament,131.94,70.39,0.08,0.3637,5.26,0.073,real_news_reference,0.105,42.17
196,1966,North Korea,Portugal,55.72,154.9,tournament,221.62,116.85,0.267,0.3195,0.89,0.047,real_news_reference,0.173,59.69
197,1966,Germany,Russia,44.72,136.87,tournament,199.98,40.74,0.353,0.2371,3.36,0.28,real_news_reference,0.309,41.95
198,1966,England,Portugal,44.72,172.12,tournament,108.06,43.51,0.037,0.2266,1.38,0.189,real_news_reference,0.124,42.71
199,1966,Portugal,Russia,44.72,106.47,tournament,208.18,64.49,0.22,0.0895,6.98,0.184,real_news_reference,0.191,38.46
200,1966,England,Germany,51.32,122.99,tournament,88.33,91.29,-0.14,0.2043,3.06,0.121,real_news_reference,0.012,58.29
201,1970,Mexico,Russia,39.58,119.0,tournament,108.45,60.12,0.215,0.3513,1.31,0.17,real_news_reference,0.208,43.59
202,1970,Bulgaria,Peru,50.58,162.36,tournament,136.9,104.54,-0.039,0.389,2.17,0.069,real_news_reference,0.052,50.38
203,1970,England,Romania,41.78,94.79,tournament,167.42,40.0,0.096,0.3313,2.99,0.179,real_news_reference,0.157,47.04
204,1970,Israel,Uruguay,43.98,123.08,tournament,182.79,59.03,0.017,0.1081,3.17,0.054,real_news_reference,0.043,45.18
205,1970,Belgium,El Salvador,46.18,128.54,tournament,176.11,62.65,0.127,0.1335,3.72,0.119,real_news_reference,0.124,51.97
206,1970,Brazil,Czechoslovakia,50.58,77.73,tournament,108.41,67.89,0.232,0.195,2.8,0.097,real_news_reference,0.168,42.39
