team,player_role,player_rating,market_value_m,followers_m,injury_risk,availability_score,fan_growth_30d_pct,sentiment_score,data_origin
Costa Rica,team_defense_unit,68.1,23.5,6.19,0.123,0.772,5.77,0.073,proxy_from_real_team_history
Croatia,team_attack_unit,75.1,52.8,6.02,0.258,0.887,4.63,0.055,proxy_from_real_team_history
Croatia,team_midfield_unit,70.9,22.6,7.96,0.424,0.926,3.05,0.245,proxy_from_real_team_history
Croatia,team_defense_unit,73.9,35.5,7.54,0.189,0.514,2.8,0.006,proxy_from_real_team_history
Cuba,team_attack_unit,72.5,37.1,3.17,0.169,0.884,2.92,-0.015,proxy_from_real_team_history
Cuba,team_midfield_unit,69.2,27.3,2.84,0.23,0.824,1.44,0.307,proxy_from_real_team_history
Cuba,team_defense_unit,70.2,30.8,2.18,0.076,0.923,1.76,0.129,proxy_from_real_team_history
Czech Republic,team_attack_unit,61.8,12.5,3.31,0.306,0.906,1.02,0.032,proxy_from_real_team_history
Czech Republic,team_midfield_unit,68.1,30.9,1.34,0.053,0.668,1.96,0.099,proxy_from_real_team_history
Czech Republic,team_defense_unit,66.9,35.4,2.74,0.223,0.804,4.11,0.223,proxy_from_real_team_history
Czechoslovakia,team_attack_unit,70.5,20.0,3.27,0.23,0.978,0.78,0.207,proxy_from_real_team_history
Czechoslovakia,team_midfield_unit,72.1,21.2,5.49,0.101,0.765,4.32,0.053,proxy_from_real_team_history
Czechoslovakia,team_defense_unit,70.7,45.6,5.29,0.328,0.801,1.65,0.282,proxy_from_real_team_history
DR Congo,team_attack_unit,63.8,5.7,2.27,0.211,0.867,2.25,0.011,proxy_from_real_team_history
DR Congo,team_midfield_unit,63.0,7.1,2.41,0.4,0.822,3.33,0.214,proxy_from_real_team_history
DR Congo,team_defense_unit,62.8,14.7,1.31,0.252,0.634,3.96,0.162,proxy_from_real_team_history
Denmark,team_attack_unit,68.1,37.6,6.54,0.152,0.684,2.99,0.159,proxy_from_real_team_history
Denmark,team_midfield_unit,71.5,18.8,5.5,0.312,0.819,-0.79,0.484,proxy_from_real_team_history
Denmark,team_defense_unit,64.2,43.1,7.05,0.008,0.979,6.7,0.406,proxy_from_real_team_history
Ecuador,team_attack_unit,65.4,42.9,2.99,0.035,0.911,-0.7,0.114,proxy_from_real_team_history
Ecuador,team_midfield_unit,70.6,31.7,6.43,0.182,0.846,4.25,0.069,proxy_from_real_team_history
Ecuador,team_defense_unit,71.6,39.3,4.39,0.229,0.894,2.44,0.005,proxy_from_real_team_history
Egypt,team_attack_unit,58.6,15.1,1.46,0.414,0.619,7.6,0.23,proxy_from_real_team_history
Egypt,team_midfield_unit,60.2,7.1,3.47,0.118,0.62,3.53,0.021,proxy_from_real_team_history
Egypt,team_defense_unit,63.5,7.2,3.22,0.166,0.764,9.56,0.21,proxy_from_real_team_history
El Salvador,team_attack_unit,61.6,14.8,2.74,0.515,0.911,4.1,0.312,proxy_from_real_team_history
El Salvador,team_midfield_unit,58.0,13.2,1.39,0.261,0.968,2.94,0.258,proxy_from_real_team_history
El Salvador,team_defense_unit,61.9,6.8,3.54,0.115,0.553,2.01,0.565,proxy_from_real_team_history
England,team_attack_unit,72.8,23.7,8.28,0.36,0.734,3.83,0.203,proxy_from_real_team_history
England,team_midfield_unit,74.1,41.6,8.28,0.203,0.763,1.74,0.455,proxy_from_real_team_history
England,team_defense_unit,76.6,52.6,2.78,0.277,0.899,2.26,-0.099,proxy_from_real_team_history
France,team_attack_unit,77.8,46.5,3.73,0.137,0.7,4.97,0.334,proxy_from_real_team_history
France,team_midfield_unit,74.9,39.3,7.55,0.244,0.977,5.13,0.686,proxy_from_real_team_history
France,team_defense_unit,75.0,33.0,7.39,0.244,0.812,0.35,0.064,proxy_from_real_team_history
German DR,team_attack_unit,67.8,26.9,3.63,0.277,0.745,4.5,-0.111,proxy_from_real_team_history
German DR,team_midfield_unit,66.4,38.2,3.77,0.116,0.836,-0.1,0.123,proxy_from_real_team_history
German DR,team_defense_unit,72.0,34.7,4.95,0.18,0.82,5.76,0.412,proxy_from_real_team_history
Germany,team_attack_unit,81.1,65.9,3.99,0.106,0.918,6.61,0.58,proxy_from_real_team_history
Germany,team_midfield_unit,81.3,65.1,10.65,0.211,0.851,6.64,0.132,proxy_from_real_team_history
Germany,team_defense_unit,78.3,43.5,7.51,0.32,0.784,3.48,0.27,proxy_from_real_team_history
Ghana,team_attack_unit,68.8,26.2,3.4,0.618,0.752,4.26,0.042,proxy_from_real_team_history
Ghana,team_midfield_unit,68.9,32.9,3.53,0.051,0.965,-2.36,0.425,proxy_from_real_team_history
Ghana,team_defense_unit,64.8,36.1,2.04,0.46,0.913,0.3,0.428,proxy_from_real_team_history
Greece,team_attack_unit,65.1,32.8,5.39,0.115,0.63,3.55,0.14,proxy_from_real_team_history
Greece,team_midfield_unit,66.0,30.4,1.37,0.153,0.814,-1.76,0.294,proxy_from_real_team_history
Greece,team_defense_unit,65.7,27.3,2.45,0.091,0.951,6.43,0.221,proxy_from_real_team_history
Haiti,team_attack_unit,58.0,12.0,2.3,0.574,0.795,-0.08,0.321,proxy_from_real_team_history
Haiti,team_midfield_unit,62.3,5.0,2.63,0.132,0.966,0.59,0.303,proxy_from_real_team_history
Haiti,team_defense_unit,58.0,9.5,1.51,0.224,0.861,1.93,0.119,proxy_from_real_team_history
Honduras,team_attack_unit,62.9,8.9,3.32,0.559,0.773,4.86,0.148,proxy_from_real_team_history
Honduras,team_midfield_unit,59.6,8.2,2.48,0.363,0.601,1.46,0.211,proxy_from_real_team_history
Honduras,team_defense_unit,62.8,9.5,1.53,0.333,0.644,3.36,-0.339,proxy_from_real_team_history
Hungary,team_attack_unit,78.9,30.0,5.13,0.109,0.926,4.62,0.542,proxy_from_real_team_history
Hungary,team_midfield_unit,71.7,42.6,3.34,0.117,0.772,2.55,0.038,proxy_from_real_team_history
Hungary,team_defense_unit,72.1,31.7,8.14,0.099,0.816,1.8,0.268,proxy_from_real_team_history
Iceland,team_attack_unit,64.1,5.8,2.36,0.068,0.896,4.76,0.278,proxy_from_real_team_history
Iceland,team_midfield_unit,63.7,13.2,1.25,0.29,0.646,3.91,0.572,proxy_from_real_team_history
Iceland,team_defense_unit,60.2,13.5,2.36,0.233,0.923,6.73,0.599,proxy_from_real_team_history
Indonesia,team_attack_unit,58.0,5.4,1.51,0.337,0.732,-2.13,0.167,proxy_from_real_team_history
Indonesia,team_midfield_unit,64.9,5.0,1.19,0.084,0.78,-0.68,0.104,proxy_from_real_team_history
Indonesia,team_defense_unit,62.1,11.7,1.58,0.189,0.887,2.92,0.35,proxy_from_real_team_history
Iran,team_attack_unit,67.5,22.1,3.04,0.062,0.844,6.02,0.025,proxy_from_real_team_history
Iran,team_midfield_unit,68.7,23.3,4.75,0.111,0.87,1.88,0.361,proxy_from_real_team_history
Iran,team_defense_unit,64.2,30.6,4.55,0.171,0.897,3.22,0.353,proxy_from_real_team_history
Iraq,team_attack_unit,60.1,11.4,2.27,0.218,0.805,5.65,0.49,proxy_from_real_team_history
Iraq,team_midfield_unit,63.6,7.2,2.04,0.415,0.853,0.88,0.182,proxy_from_real_team_history
Iraq,team_defense_unit,58.0,8.6,1.79,0.268,0.587,2.79,0.255,proxy_from_real_team_history
Israel,team_attack_unit,58.0,14.8,1.94,0.126,0.818,4.44,-0.051,proxy_from_real_team_history
Israel,team_midfield_unit,61.1,12.4,1.66,0.107,0.929,-0.54,-0.07,proxy_from_real_team_history
Israel,team_defense_unit,60.6,12.6,1.16,0.381,0.979,5.73,-0.109,proxy_from_real_team_history
Italy,team_attack_unit,77.8,25.9,3.0,0.127,0.917,0.46,0.129,proxy_from_real_team_history
Italy,team_midfield_unit,76.6,50.2,2.81,0.523,0.824,-0.37,-0.144,proxy_from_real_team_history
Italy,team_defense_unit,71.5,61.6,5.23,0.341,0.938,3.91,0.133,proxy_from_real_team_history
Ivory Coast,team_attack_unit,70.7,35.1,2.21,0.11,0.728,1.52,0.395,proxy_from_real_team_history
Ivory Coast,team_midfield_unit,73.8,14.2,3.87,0.071,0.682,2.3,0.205,proxy_from_real_team_history
Ivory Coast,team_defense_unit,67.3,39.2,2.65,0.253,0.914,7.35,0.477,proxy_from_real_team_history
Jamaica,team_attack_unit,64.0,14.3,1.73,0.145,0.802,1.14,0.324,proxy_from_real_team_history
Jamaica,team_midfield_unit,70.7,27.3,2.94,0.039,0.887,5.01,0.195,proxy_from_real_team_history
Jamaica,team_defense_unit,65.3,37.4,4.06,0.079,0.747,3.61,0.17,proxy_from_real_team_history
Japan,team_attack_unit,72.8,26.2,6.19,0.396,0.778,5.0,0.399,proxy_from_real_team_history
Japan,team_midfield_unit,71.0,20.0,2.41,0.193,0.897,6.13,0.34,proxy_from_real_team_history
Japan,team_defense_unit,69.8,37.0,3.3,0.161,0.637,2.65,0.331,proxy_from_real_team_history
Kuwait,team_attack_unit,60.6,11.2,2.34,0.125,0.931,1.45,0.17,proxy_from_real_team_history
Kuwait,team_midfield_unit,58.0,5.8,0.75,0.163,0.867,1.66,0.026,proxy_from_real_team_history
Kuwait,team_defense_unit,63.0,9.5,1.38,0.302,0.62,6.1,0.74,proxy_from_real_team_history
Mexico,team_attack_unit,72.1,30.9,4.95,0.139,0.737,-0.66,-0.111,proxy_from_real_team_history
Mexico,team_midfield_unit,67.1,25.9,8.21,0.158,0.737,3.95,0.434,proxy_from_real_team_history
Mexico,team_defense_unit,64.0,37.6,5.73,0.437,0.79,0.08,0.31,proxy_from_real_team_history
Morocco,team_attack_unit,69.2,34.3,3.28,0.103,0.904,2.95,0.048,proxy_from_real_team_history
Morocco,team_midfield_unit,67.6,23.1,3.67,0.123,0.707,5.54,-0.022,proxy_from_real_team_history
Morocco,team_defense_unit,66.5,27.6,5.72,0.421,0.969,4.18,-0.21,proxy_from_real_team_history
Netherlands,team_attack_unit,74.8,21.1,4.52,0.121,0.741,4.77,0.423,proxy_from_real_team_history
Netherlands,team_midfield_unit,74.3,49.9,4.86,0.108,0.786,0.51,0.151,proxy_from_real_team_history
Netherlands,team_defense_unit,75.8,37.6,6.59,0.102,0.699,2.92,-0.038,proxy_from_real_team_history
New Zealand,team_attack_unit,64.7,14.5,2.49,0.169,0.838,0.53,0.196,proxy_from_real_team_history
New Zealand,team_midfield_unit,60.6,15.2,2.34,0.223,0.869,1.63,0.199,proxy_from_real_team_history
New Zealand,team_defense_unit,58.5,7.3,3.54,0.172,0.902,-0.42,0.573,proxy_from_real_team_history
Nigeria,team_attack_unit,75.3,31.3,3.12,0.114,0.844,0.83,-0.149,proxy_from_real_team_history
Nigeria,team_midfield_unit,74.1,30.8,2.18,0.423,0.96,2.66,-0.164,proxy_from_real_team_history
Nigeria,team_defense_unit,71.0,22.9,2.89,0.358,0.944,2.27,0.115,proxy_from_real_team_history
North Korea,team_attack_unit,66.9,22.2,3.14,0.078,0.695,5.58,0.099,proxy_from_real_team_history
North Korea,team_midfield_unit,64.9,24.5,4.44,0.061,0.687,0.41,0.272,proxy_from_real_team_history
North Korea,team_defense_unit,58.4,26.9,1.21,0.325,0.736,6.77,0.382,proxy_from_real_team_history
Northern Ireland,team_attack_unit,65.5,20.9,4.88,0.25,0.784,4.52,0.177,proxy_from_real_team_history
Northern Ireland,team_midfield_unit,66.1,22.2,3.8,0.095,0.569,4.97,0.102,proxy_from_real_team_history
Northern Ireland,team_defense_unit,66.3,29.3,5.6,0.108,0.43,2.67,-0.054,proxy_from_real_team_history
Norway,team_attack_unit,69.8,29.1,5.01,0.042,0.809,-0.32,0.051,proxy_from_real_team_history
Norway,team_midfield_unit,63.2,15.8,3.72,0.164,0.845,0.07,0.484,proxy_from_real_team_history
Norway,team_defense_unit,65.8,25.3,1.48,0.272,0.836,2.28,0.19,proxy_from_real_team_history
Panama,team_attack_unit,58.0,5.6,0.7,0.11,0.521,3.75,0.414,proxy_from_real_team_history
Panama,team_midfield_unit,58.0,12.9,2.56,0.048,0.757,2.16,0.457,proxy_from_real_team_history
Panama,team_defense_unit,60.1,12.7,1.2,0.28,0.652,2.6,0.557,proxy_from_real_team_history
Paraguay,team_attack_unit,68.6,30.5,6.71,0.108,0.954,3.35,0.122,proxy_from_real_team_history
Paraguay,team_midfield_unit,69.9,18.8,2.28,0.185,0.89,4.72,0.005,proxy_from_real_team_history
Paraguay,team_defense_unit,67.3,16.7,3.89,0.027,0.833,3.13,0.379,proxy_from_real_team_history
Peru,team_attack_unit,65.8,39.7,3.86,0.349,0.918,1.07,0.451,proxy_from_real_team_history
Peru,team_midfield_unit,66.6,35.8,5.94,0.256,0.945,7.48,-0.146,proxy_from_real_team_history
Peru,team_defense_unit,66.3,34.7,5.12,0.09,0.823,0.5,0.134,proxy_from_real_team_history
Poland,team_attack_unit,71.3,42.1,5.98,0.253,0.87,3.02,0.014,proxy_from_real_team_history
Poland,team_midfield_unit,68.0,42.5,4.86,0.109,0.716,5.1,0.321,proxy_from_real_team_history
Poland,team_defense_unit,72.7,22.7,5.01,0.254,0.859,3.8,0.469,proxy_from_real_team_history
Portugal,team_attack_unit,70.8,47.1,4.51,0.271,0.627,6.42,0.068,proxy_from_real_team_history
Portugal,team_midfield_unit,72.8,41.6,5.25,0.176,0.702,3.27,0.319,proxy_from_real_team_history
Portugal,team_defense_unit,76.8,44.1,4.64,0.275,0.88,-0.01,-0.136,proxy_from_real_team_history
Qatar,team_attack_unit,59.5,7.8,1.37,0.124,0.726,3.39,0.205,proxy_from_real_team_history
Qatar,team_midfield_unit,63.5,12.4,1.47,0.028,0.782,6.56,0.196,proxy_from_real_team_history
Qatar,team_defense_unit,59.3,12.0,1.94,0.175,0.985,2.35,0.208,proxy_from_real_team_history
Republic of Ireland,team_attack_unit,66.8,12.3,1.51,0.188,0.985,2.05,0.479,proxy_from_real_team_history
Republic of Ireland,team_midfield_unit,65.4,20.3,4.94,0.162,0.878,3.65,0.372,proxy_from_real_team_history
Republic of Ireland,team_defense_unit,64.4,21.0,4.97,0.016,0.726,4.95,0.354,proxy_from_real_team_history
Romania,team_attack_unit,70.8,34.2,2.21,0.352,0.835,0.58,0.171,proxy_from_real_team_history
Romania,team_midfield_unit,70.6,37.4,5.38,0.039,0.781,4.32,-0.016,proxy_from_real_team_history
Romania,team_defense_unit,73.6,27.8,3.41,0.042,0.732,-0.09,0.25,proxy_from_real_team_history
Russia,team_attack_unit,72.7,35.2,5.81,0.11,0.881,8.22,0.026,proxy_from_real_team_history
Russia,team_midfield_unit,71.4,49.8,8.76,0.071,0.608,5.15,0.267,proxy_from_real_team_history
Russia,team_defense_unit,71.7,33.3,3.66,0.145,0.948,3.64,0.097,proxy_from_real_team_history
Saudi Arabia,team_attack_unit,68.0,33.7,1.88,0.356,0.861,6.29,0.457,proxy_from_real_team_history
Saudi Arabia,team_midfield_unit,68.2,21.3,5.04,0.161,0.774,4.62,-0.001,proxy_from_real_team_history
Saudi Arabia,team_defense_unit,65.6,34.6,6.09,0.346,0.91,4.89,0.328,proxy_from_real_team_history
Scotland,team_attack_unit,67.9,20.2,6.26,0.072,0.935,2.37,-0.011,proxy_from_real_team_history
Scotland,team_midfield_unit,62.6,31.6,6.03,0.133,0.924,0.67,0.288,proxy_from_real_team_history
Scotland,team_defense_unit,64.0,16.2,5.37,0.351,0.876,2.62,0.4,proxy_from_real_team_history
Senegal,team_attack_unit,68.8,25.1,4.34,0.108,0.942,1.27,0.16,proxy_from_real_team_history
Senegal,team_midfield_unit,71.5,30.1,2.21,0.14,0.912,4.04,0.072,proxy_from_real_team_history
Senegal,team_defense_unit,72.8,23.6,3.39,0.35,0.458,1.72,0.411,proxy_from_real_team_history
Serbia,team_attack_unit,65.3,36.3,6.2,0.149,0.795,1.5,0.141,proxy_from_real_team_history
Serbia,team_midfield_unit,68.8,25.0,2.93,0.144,0.867,2.96,0.171,proxy_from_real_team_history
Serbia,team_defense_unit,66.6,12.9,6.18,0.13,0.882,0.77,0.146,proxy_from_real_team_history
Slovakia,team_attack_unit,63.9,22.9,3.65,0.052,0.92,5.49,0.193,proxy_from_real_team_history
Slovakia,team_midfield_unit,72.8,26.2,2.38,0.095,0.931,2.81,0.19,proxy_from_real_team_history
Slovakia,team_defense_unit,67.8,13.3,1.44,0.111,0.818,1.13,0.209,proxy_from_real_team_history
Slovenia,team_attack_unit,63.9,28.9,3.04,0.131,0.875,5.9,0.31,proxy_from_real_team_history
Slovenia,team_midfield_unit,66.6,15.4,2.25,0.11,0.738,1.61,0.196,proxy_from_real_team_history
Slovenia,team_defense_unit,63.7,28.9,3.38,0.364,0.854,0.52,0.183,proxy_from_real_team_history
South Africa,team_attack_unit,68.0,29.7,3.63,0.112,0.812,2.03,-0.374,proxy_from_real_team_history
South Africa,team_midfield_unit,67.1,18.1,4.24,0.215,0.852,3.63,0.15,proxy_from_real_team_history
South Africa,team_defense_unit,67.9,32.2,4.51,0.053,0.735,4.71,-0.016,proxy_from_real_team_history
South Korea,team_attack_unit,61.6,14.8,2.59,0.129,0.865,3.62,0.429,proxy_from_real_team_history
South Korea,team_midfield_unit,70.3,12.1,4.56,0.119,0.901,3.1,0.25,proxy_from_real_team_history
South Korea,team_defense_unit,66.9,20.2,5.68,0.205,0.816,1.94,0.054,proxy_from_real_team_history
Spain,team_attack_unit,77.4,45.2,9.31,0.224,0.998,3.88,0.273,proxy_from_real_team_history
Spain,team_midfield_unit,76.8,40.1,4.39,0.08,0.873,5.07,-0.254,proxy_from_real_team_history
Spain,team_defense_unit,72.8,20.1,5.56,0.334,0.649,3.8,0.212,proxy_from_real_team_history
Sweden,team_attack_unit,74.4,39.2,5.05,0.241,0.796,6.18,0.088,proxy_from_real_team_history
Sweden,team_midfield_unit,73.0,35.6,7.73,0.219,0.481,0.6,0.141,proxy_from_real_team_history
Sweden,team_defense_unit,69.4,21.9,6.56,0.07,0.76,4.57,0.207,proxy_from_real_team_history
Switzerland,team_attack_unit,72.7,42.7,7.79,0.169,0.921,2.22,-0.112,proxy_from_real_team_history
Switzerland,team_midfield_unit,69.3,45.8,2.84,0.197,0.87,3.16,0.449,proxy_from_real_team_history
Switzerland,team_defense_unit,70.9,48.1,6.42,0.185,0.951,1.29,0.409,proxy_from_real_team_history
Togo,team_attack_unit,60.7,8.1,1.74,0.082,0.968,3.19,0.072,proxy_from_real_team_history
Togo,team_midfield_unit,62.3,11.8,2.22,0.404,0.973,5.85,0.346,proxy_from_real_team_history
Togo,team_defense_unit,59.7,8.6,2.65,0.128,0.967,2.59,0.386,proxy_from_real_team_history
Trinidad and Tobago,team_attack_unit,58.0,11.9,1.89,0.183,0.85,0.54,0.015,proxy_from_real_team_history
Trinidad and Tobago,team_midfield_unit,61.5,12.4,1.95,0.517,0.737,2.1,-0.042,proxy_from_real_team_history
Trinidad and Tobago,team_defense_unit,59.3,10.4,1.29,0.114,0.817,5.05,0.609,proxy_from_real_team_history
Tunisia,team_attack_unit,66.6,27.6,4.34,0.166,0.883,4.26,0.156,proxy_from_real_team_history
Tunisia,team_midfield_unit,61.2,23.1,2.1,0.183,0.94,4.84,0.37,proxy_from_real_team_history
Tunisia,team_defense_unit,64.5,15.7,4.77,0.261,0.861,0.88,0.067,proxy_from_real_team_history
Turkey,team_attack_unit,70.6,30.4,5.17,0.412,0.892,0.59,0.214,proxy_from_real_team_history
Turkey,team_midfield_unit,74.3,49.4,6.67,0.265,0.781,1.26,0.481,proxy_from_real_team_history
Turkey,team_defense_unit,70.4,24.0,4.18,0.199,0.981,4.91,0.304,proxy_from_real_team_history
Ukraine,team_attack_unit,66.5,33.2,2.14,0.191,0.788,-0.67,0.207,proxy_from_real_team_history
Ukraine,team_midfield_unit,67.4,39.7,4.32,0.301,0.695,2.72,0.392,proxy_from_real_team_history
Ukraine,team_defense_unit,69.7,40.1,1.8,0.064,0.847,7.5,0.136,proxy_from_real_team_history
United Arab Emirates,team_attack_unit,61.9,9.3,2.55,0.129,0.923,4.45,0.0,proxy_from_real_team_history
United Arab Emirates,team_midfield_unit,64.1,14.2,0.81,0.403,0.83,3.95,0.274,proxy_from_real_team_history
United Arab Emirates,team_defense_unit,58.0,10.8,2.38,0.088,0.851,3.51,0.497,proxy_from_real_team_history
United States,team_attack_unit,65.8,31.0,3.02,0.17,0.865,0.83,-0.082,proxy_from_real_team_history
United States,team_midfield_unit,71.9,29.3,3.73,0.18,0.814,0.21,0.298,proxy_from_real_team_history
United States,team_defense_unit,70.2,19.2,6.0,0.046,0.704,1.12,-0.025,proxy_from_real_team_history
Uruguay,team_attack_unit,72.3,44.8,8.54,0.118,0.877,3.19,0.322,proxy_from_real_team_history
Uruguay,team_midfield_unit,72.1,38.1,3.94,0.208,0.973,0.43,-0.097,proxy_from_real_team_history
Uruguay,team_defense_unit,74.8,22.6,8.1,0.081,0.776,2.15,0.349,proxy_from_real_team_history
Wales,team_attack_unit,67.0,18.7,2.79,0.372,0.671,-0.18,-0.04,proxy_from_real_team_history
Wales,team_midfield_unit,62.9,14.4,2.11,0.238,0.827,3.23,0.024,proxy_from_real_team_history
Wales,team_defense_unit,59.1,12.5,4.54,0.049,0.74,4.74,0.162,proxy_from_real_team_history
Yugoslavia,team_attack_unit,73.9,37.3,2.41,0.13,0.946,3.16,0.244,proxy_from_real_team_history
Yugoslavia,team_midfield_unit,71.5,20.4,5.39,0.219,0.881,1.33,0.144,proxy_from_real_team_history
Yugoslavia,team_defense_unit,74.2,25.5,3.54,0.192,0.726,4.73,0.278,proxy_from_real_team_history
