match_id,year,team_a,team_b,stage,neutral_site,host_advantage_a,stadium_capacity_k,temperature_c,humidity,weather,event_attention_m,media_reposts_k,result
75,1970,Italy,Nigeria,round_16,1,0.0,63.1,25.7,86.4,rain,48.66,143.39,B_win
76,2022,Croatia,France,group,1,0.0,61.1,22.5,51.1,clear,43.72,120.23,draw
77,1938,Portugal,England,semi_final,1,0.0,63.2,18.7,68.4,cloudy,34.66,135.93,draw
78,1942,Spain,Croatia,quarter_final,1,0.0,75.2,15.5,43.0,rain,51.73,154.48,A_win
79,1938,Nigeria,Germany,round_16,1,0.0,34.5,27.5,15.0,clear,42.73,76.14,B_win
80,1958,Italy,Morocco,group,1,0.0,78.4,27.8,51.1,cloudy,32.82,56.97,B_win
81,1962,Ghana,Belgium,round_16,1,0.0,56.4,36.6,79.4,clear,36.77,119.47,B_win
82,1986,France,Australia,quarter_final,1,0.0,65.2,22.4,28.9,cloudy,47.32,161.5,B_win
83,2018,Qatar,Saudi Arabia,group,1,0.0,47.8,28.5,48.3,clear,46.22,132.16,draw
84,1966,Australia,Canada,round_16,1,0.0,38.0,26.9,49.6,clear,42.92,70.19,B_win
85,1966,Argentina,Uruguay,round_16,1,0.0,88.4,20.8,62.7,clear,48.08,136.38,B_win
86,2010,Brazil,Ghana,group,1,0.0,48.7,20.3,68.9,clear,40.37,174.98,B_win
87,1946,Croatia,France,final,0,0.0,59.2,24.3,56.4,cloudy,62.46,174.06,B_win
88,2018,Croatia,Morocco,group,1,0.0,59.8,21.3,84.6,hot,31.63,60.04,A_win
89,2018,South Korea,Senegal,group,1,0.0,45.6,19.7,46.2,cloudy,43.17,190.54,draw
90,1962,Mexico,Portugal,group,1,0.0,45.6,19.6,39.0,cloudy,26.3,75.12,A_win
91,1970,Senegal,Brazil,group,1,0.0,50.8,24.5,34.7,cloudy,35.28,156.84,A_win
92,1998,Qatar,Canada,group,1,0.0,59.5,6.9,40.3,cloudy,45.57,209.3,B_win
93,2022,Mexico,Qatar,group,1,0.0,62.4,21.9,24.7,clear,37.07,99.32,A_win
94,2022,Germany,France,group,1,0.0,51.4,24.6,23.4,hot,35.69,107.19,draw
95,1942,Nigeria,Italy,final,1,0.0,60.7,20.8,70.0,windy,63.44,225.76,A_win
96,1962,Japan,Nigeria,semi_final,1,0.0,68.8,30.0,86.1,windy,38.6,107.12,draw
97,1982,Senegal,Ghana,group,1,0.0,61.5,22.2,84.6,clear,40.97,100.21,B_win
98,1978,Belgium,France,quarter_final,1,0.0,40.1,21.3,69.9,clear,42.81,139.45,draw
99,2014,Morocco,Portugal,group,1,0.0,64.3,14.2,69.8,cloudy,41.56,204.68,A_win
100,1970,Ghana,South Korea,group,1,0.0,61.8,30.1,47.9,rain,36.35,71.89,B_win
101,2022,Australia,Canada,group,1,0.0,69.6,34.0,49.8,clear,27.26,40.56,draw
102,1982,Japan,England,round_16,1,0.0,45.5,16.0,19.2,clear,55.65,136.38,B_win
103,1982,Germany,Belgium,group,1,0.0,67.6,23.1,69.1,windy,41.3,125.48,B_win
104,2010,Nigeria,Senegal,semi_final,1,0.0,11.3,32.3,15.0,clear,48.66,209.3,draw
105,1978,Germany,South Korea,group,1,0.0,57.1,15.7,47.5,rain,44.18,179.72,B_win
106,2022,Croatia,Spain,group,1,0.0,83.7,23.8,37.1,clear,31.65,71.83,B_win
107,1974,France,Canada,round_16,1,0.0,46.0,17.6,42.3,cloudy,34.25,104.94,A_win
108,1942,Mexico,Portugal,quarter_final,1,0.0,38.8,22.0,47.5,hot,48.89,117.38,B_win
109,1954,Portugal,Germany,round_16,0,0.0,70.7,22.3,52.5,clear,41.25,224.39,A_win
110,1958,Uruguay,Netherlands,group,0,0.0,49.0,24.2,53.5,cloudy,40.2,109.11,draw
111,1990,Ghana,Italy,group,0,0.18,73.4,24.6,65.1,rain,42.67,124.14,B_win
112,1954,Canada,Senegal,group,1,0.0,35.5,31.9,56.3,cloudy,40.5,184.44,draw
113,1978,Argentina,Netherlands,final,1,0.0,57.6,19.4,68.5,windy,65.28,197.12,A_win
114,2022,Senegal,Qatar,group,1,0.0,16.4,25.4,49.4,windy,43.46,109.84,draw
115,1994,Spain,Portugal,group,1,0.0,42.1,26.1,74.6,clear,44.96,264.16,draw
116,1974,South Korea,Belgium,quarter_final,1,0.0,40.0,29.4,36.0,clear,41.75,340.98,A_win
117,1994,Uruguay,Nigeria,quarter_final,1,0.0,40.5,13.9,89.0,clear,41.05,140.83,draw
118,2006,Ghana,Mexico,group,0,0.18,35.5,10.2,53.3,clear,35.59,87.47,A_win
119,1954,Canada,Spain,group,1,0.0,64.2,15.9,60.9,windy,42.67,168.24,draw
120,1934,Italy,Saudi Arabia,group,1,0.0,60.1,29.7,59.7,hot,41.55,169.31,B_win
121,1934,Italy,Canada,final,1,0.0,70.3,22.0,48.8,cloudy,60.43,125.83,A_win
122,1962,Ghana,France,group,0,0.0,53.9,24.4,59.9,hot,43.92,172.89,A_win
123,2002,Netherlands,Nigeria,group,1,0.0,93.3,20.3,65.6,hot,38.36,119.27,draw
124,1994,Qatar,Argentina,final,1,0.0,71.5,26.2,80.7,clear,66.87,178.83,A_win
125,2018,France,Uruguay,round_16,0,0.18,60.0,23.6,71.2,clear,44.38,91.5,B_win
126,1954,Portugal,Australia,group,1,0.0,49.7,17.4,81.4,cloudy,31.61,117.35,B_win
127,2018,Canada,France,semi_final,1,0.0,40.8,21.9,36.1,hot,40.91,125.16,draw
128,1974,Japan,Morocco,group,1,0.0,28.2,17.0,26.7,hot,37.27,107.3,A_win
129,2010,Qatar,Netherlands,group,1,0.0,58.6,25.2,24.6,clear,32.72,98.77,A_win
130,1958,England,Uruguay,group,1,0.0,75.3,21.9,49.8,rain,45.22,168.23,A_win
131,1998,Croatia,Senegal,final,1,0.0,58.2,24.1,56.2,rain,59.96,107.1,A_win
132,1986,Japan,Qatar,round_16,1,0.0,60.4,28.1,95.0,rain,49.1,174.78,B_win
133,1930,Canada,Spain,round_16,1,0.0,56.6,17.7,52.5,windy,47.54,107.72,A_win
134,1986,England,Japan,group,0,0.18,76.7,16.7,56.5,cloudy,40.09,52.34,A_win
135,2010,France,Belgium,group,1,0.0,20.0,18.5,60.5,clear,38.44,136.48,A_win
136,1942,Senegal,Portugal,round_16,1,0.0,40.6,28.4,74.4,clear,47.82,49.16,B_win
137,1958,France,Spain,group,1,0.0,75.7,25.9,66.3,rain,39.64,152.01,draw
138,2006,Uruguay,USA,group,1,0.0,51.2,32.2,74.7,hot,46.48,107.39,A_win
139,1934,Netherlands,France,group,1,0.0,63.9,20.5,92.8,cloudy,35.63,168.19,A_win
140,1966,Germany,USA,group,1,0.0,63.9,22.0,65.3,clear,40.42,110.47,B_win
141,1954,Senegal,Belgium,group,1,0.0,22.5,34.3,61.1,rain,38.06,83.39,A_win
142,1938,Belgium,England,group,0,0.18,74.8,29.9,84.6,rain,42.48,62.16,B_win
143,1982,Argentina,Netherlands,final,1,0.0,70.0,28.6,69.2,rain,74.68,240.41,A_win
144,1966,Spain,Ghana,group,1,0.0,83.1,17.0,51.7,cloudy,52.43,382.12,draw
145,1962,Croatia,France,group,0,0.18,56.2,35.2,51.6,rain,38.49,137.96,A_win
146,1934,South Korea,Australia,round_16,1,0.0,49.7,28.8,46.9,cloudy,34.1,129.45,B_win
147,1966,Belgium,Morocco,final,1,0.0,43.8,15.9,50.0,clear,59.95,143.75,A_win
148,2002,USA,Uruguay,round_16,1,0.0,31.6,26.0,51.6,hot,40.0,99.62,B_win
149,1958,France,Croatia,group,1,0.0,46.1,19.6,69.1,hot,49.66,77.77,B_win
150,1962,Portugal,Italy,group,1,0.0,48.8,23.9,90.8,clear,52.34,225.31,A_win
151,1930,Australia,Ghana,round_16,1,0.0,42.3,25.9,75.9,windy,36.53,112.48,A_win
152,1990,Mexico,Senegal,group,1,0.0,50.7,29.4,72.7,clear,33.33,86.94,draw
153,1986,Canada,South Korea,group,1,0.0,28.5,10.6,35.3,hot,33.09,94.18,A_win
154,1930,England,Canada,group,1,0.0,58.3,20.8,50.2,hot,45.56,167.92,draw
155,2018,Saudi Arabia,Portugal,round_16,1,0.0,87.1,17.8,61.9,clear,41.07,119.12,B_win
156,2006,Italy,Netherlands,group,1,0.0,58.0,29.7,45.4,clear,40.84,93.97,A_win
157,1982,England,Mexico,round_16,1,0.0,66.8,25.7,76.2,clear,54.77,251.99,A_win
158,1986,South Korea,France,group,1,0.0,85.3,25.5,72.5,clear,32.84,80.36,draw
159,1990,Nigeria,Italy,group,1,0.0,54.6,11.4,92.1,clear,49.97,146.47,B_win
160,1986,Australia,Belgium,group,1,0.0,60.3,22.8,76.8,hot,36.07,61.42,A_win
161,1962,Croatia,Qatar,semi_final,1,0.0,57.3,20.6,52.4,cloudy,54.71,89.55,draw
162,2002,Brazil,South Korea,semi_final,1,0.0,51.9,9.3,73.1,hot,46.77,236.71,draw
163,2014,Australia,Uruguay,semi_final,1,0.0,61.2,27.1,25.4,clear,40.11,267.01,B_win
164,2022,Japan,Brazil,semi_final,1,0.0,42.6,32.9,82.7,clear,39.7,167.38,draw
165,2006,Nigeria,Senegal,quarter_final,1,0.0,63.0,28.4,43.0,windy,54.67,193.6,B_win
166,1950,Ghana,Croatia,group,1,0.0,74.6,20.2,83.4,clear,28.65,92.47,draw
167,1982,Spain,England,quarter_final,1,0.0,31.3,29.8,47.1,clear,40.28,63.19,A_win
168,1958,USA,England,group,1,0.0,47.1,34.8,61.8,cloudy,34.99,99.57,B_win
169,2002,Uruguay,Nigeria,round_16,1,0.0,57.1,24.0,78.5,hot,38.36,146.6,draw
170,2006,USA,Ghana,group,1,0.0,56.6,17.2,40.8,cloudy,43.74,124.4,B_win
171,1958,Uruguay,England,round_16,1,0.0,78.6,18.2,57.6,windy,35.7,117.8,draw
172,1970,Mexico,Senegal,quarter_final,1,0.0,35.1,21.0,60.1,clear,41.53,113.45,draw
173,2014,Morocco,Argentina,group,1,0.0,54.2,26.6,86.2,cloudy,38.7,62.49,A_win
174,1958,Mexico,Saudi Arabia,round_16,1,0.0,60.3,11.7,53.7,clear,31.69,48.79,B_win
175,1978,France,Saudi Arabia,semi_final,1,0.0,65.9,25.0,65.1,hot,51.27,207.92,B_win
176,1986,Argentina,Netherlands,semi_final,1,0.0,12.2,26.1,56.0,hot,48.97,188.38,B_win
177,1950,Japan,Nigeria,round_16,1,0.0,74.6,16.4,61.2,clear,45.89,75.12,A_win
178,2002,South Korea,England,group,1,0.0,37.8,15.8,34.6,hot,52.0,132.87,B_win
179,1978,Australia,Japan,round_16,1,0.0,44.4,28.5,43.0,clear,55.94,240.11,B_win
180,1982,Saudi Arabia,Morocco,group,0,0.18,51.7,12.7,60.0,cloudy,36.54,72.19,draw
181,1938,Ghana,Canada,round_16,0,0.18,72.2,20.2,45.5,rain,45.03,249.8,B_win
182,2010,USA,Belgium,quarter_final,1,0.0,51.2,42.4,68.0,rain,40.56,143.42,draw
183,1982,Ghana,Belgium,group,1,0.0,59.5,24.1,57.0,cloudy,39.16,100.53,A_win
184,1966,Netherlands,Mexico,semi_final,1,0.0,67.0,22.2,68.3,clear,48.9,134.14,A_win
185,2010,Australia,France,group,1,0.0,27.4,25.9,33.2,clear,50.46,133.43,A_win
186,1942,Croatia,Netherlands,group,1,0.0,70.0,29.9,30.3,clear,45.69,173.91,A_win
187,1966,Morocco,France,group,1,0.0,97.9,17.6,75.7,clear,24.16,51.22,B_win
188,1982,France,Croatia,semi_final,1,0.0,55.3,31.7,68.4,windy,48.69,115.91,B_win
189,1986,Australia,Morocco,group,1,0.0,80.9,33.6,62.4,rain,34.5,179.88,draw
190,1982,Australia,Argentina,round_16,0,0.18,107.0,16.4,35.4,clear,40.38,207.19,draw
191,1998,Australia,Qatar,group,1,0.0,59.9,8.3,34.2,hot,26.14,58.72,A_win
192,1990,Nigeria,Portugal,group,1,0.0,62.9,27.6,60.5,hot,35.36,94.56,B_win
193,1946,Morocco,Netherlands,group,1,0.0,47.4,15.5,75.6,clear,31.24,69.39,B_win
194,1962,Australia,Netherlands,group,1,0.0,58.7,32.0,58.4,hot,35.59,129.33,draw
195,1994,Morocco,England,quarter_final,1,0.0,83.2,36.8,39.6,clear,59.48,138.78,draw
196,2018,Germany,Spain,quarter_final,1,0.0,62.4,14.5,52.4,clear,52.37,213.3,draw
197,2002,France,Japan,group,1,0.0,51.6,18.7,87.6,clear,48.37,146.56,B_win
198,1954,Portugal,Netherlands,round_16,1,0.0,76.7,15.8,71.6,clear,50.2,134.44,A_win
199,1962,Japan,Nigeria,group,1,0.0,89.2,15.1,57.5,rain,38.05,88.33,A_win
200,1962,Croatia,England,final,1,0.0,74.4,23.6,57.4,windy,67.99,212.94,B_win
201,1970,Belgium,Croatia,final,1,0.0,94.8,23.4,85.8,rain,57.87,190.36,B_win
202,1986,Australia,Japan,group,1,0.0,80.1,28.5,87.3,hot,39.75,275.66,A_win
203,1934,Canada,Belgium,group,1,0.0,78.0,28.8,93.4,hot,32.51,89.01,A_win
204,1990,Netherlands,Argentina,group,1,0.0,52.3,21.1,60.1,clear,54.68,134.72,A_win
205,1974,Belgium,Nigeria,semi_final,1,0.0,38.4,34.5,65.2,clear,26.6,75.29,B_win
206,1986,Germany,England,semi_final,1,0.0,56.4,28.0,35.9,rain,49.79,219.16,B_win
207,1930,Portugal,Canada,group,1,0.0,56.1,17.8,49.1,clear,46.13,121.59,B_win
208,1990,Qatar,Germany,group,1,0.0,43.5,23.5,49.9,windy,32.32,83.18,A_win
209,1950,Mexico,Australia,group,1,0.0,60.7,22.0,58.1,clear,53.17,186.03,B_win
210,1974,Brazil,Qatar,quarter_final,1,0.0,78.3,18.0,57.8,cloudy,52.02,100.6,B_win
211,2006,Croatia,France,group,0,0.0,39.4,17.7,60.8,rain,45.34,210.07,B_win
212,1934,England,South Korea,group,0,0.18,90.2,28.1,39.7,clear,34.51,136.29,B_win
213,1998,Morocco,Uruguay,group,1,0.0,45.0,25.6,79.9,rain,27.09,106.89,A_win
214,1942,USA,Germany,group,0,0.18,61.0,28.8,67.8,clear,39.28,143.4,B_win
215,1978,Nigeria,Netherlands,semi_final,1,0.0,58.8,19.6,48.5,clear,40.32,188.66,B_win
216,1946,Morocco,Senegal,group,1,0.0,54.4,25.8,50.8,clear,30.13,121.26,B_win
217,1930,Nigeria,Portugal,group,1,0.0,55.9,19.7,44.0,clear,38.3,104.94,B_win
218,1962,Mexico,France,group,1,0.0,47.7,26.4,42.2,hot,40.83,88.97,draw
219,1942,France,Canada,group,1,0.0,29.8,30.0,61.2,cloudy,44.31,152.04,B_win
220,1954,France,Ghana,group,1,0.0,42.3,18.9,51.6,clear,30.91,56.46,A_win
221,1974,Spain,Senegal,semi_final,1,0.0,54.7,31.2,50.5,hot,38.3,172.88,B_win
222,1966,Germany,Mexico,group,1,0.0,74.3,20.2,58.7,cloudy,37.56,144.36,A_win
223,1930,Germany,France,group,1,0.0,74.0,34.0,59.5,cloudy,53.46,84.22,B_win
224,1942,Argentina,Germany,group,1,0.0,67.8,13.8,49.9,cloudy,28.22,58.2,B_win
225,1938,Canada,Saudi Arabia,group,1,0.0,39.6,31.8,42.7,clear,43.22,142.14,A_win
226,2022,Croatia,Saudi Arabia,quarter_final,1,0.0,76.4,23.7,32.7,windy,47.45,125.22,B_win
227,1994,Brazil,Argentina,group,1,0.0,40.5,26.3,87.0,hot,37.84,130.53,draw
228,1946,France,Morocco,round_16,1,0.0,55.2,21.4,23.5,clear,41.53,174.64,draw
229,1946,Netherlands,Italy,group,1,0.0,78.9,18.8,76.2,cloudy,35.33,154.53,B_win
230,1994,Netherlands,Japan,round_16,1,0.0,48.7,28.3,66.0,cloudy,50.37,129.67,draw
231,1986,Argentina,South Korea,group,1,0.0,66.3,27.4,70.7,rain,58.16,149.59,A_win
232,2018,Mexico,Canada,group,1,0.0,55.4,19.3,78.4,clear,42.41,72.61,B_win
233,1934,South Korea,Italy,group,1,0.0,59.0,19.3,53.3,clear,41.71,123.78,B_win
234,1998,France,Ghana,group,1,0.0,40.7,12.6,51.7,clear,43.91,238.1,A_win
235,1954,Italy,Saudi Arabia,round_16,1,0.0,43.3,24.5,65.6,hot,48.92,110.85,A_win
236,1946,Mexico,Canada,group,0,0.18,57.1,8.2,61.9,clear,37.52,133.62,draw
237,2014,Uruguay,France,group,1,0.0,33.4,13.7,47.5,clear,37.14,90.19,B_win
238,1942,Qatar,South Korea,semi_final,1,0.0,88.1,19.3,56.7,clear,48.36,144.11,A_win
239,1938,Ghana,Brazil,group,1,0.0,41.2,28.1,68.8,cloudy,33.92,93.02,B_win
240,2006,Saudi Arabia,Belgium,semi_final,1,0.0,33.7,15.3,70.8,rain,47.93,126.65,A_win
241,1958,Ghana,Nigeria,group,1,0.0,25.6,24.9,51.6,rain,23.46,72.11,A_win
242,1962,Croatia,Senegal,group,1,0.0,75.0,17.2,95.0,hot,39.22,134.61,A_win
243,1974,Portugal,Mexico,round_16,1,0.0,59.7,15.0,67.5,cloudy,40.15,124.92,B_win
244,1978,Italy,Japan,group,1,0.0,75.7,21.7,50.4,cloudy,36.36,90.48,draw
245,2022,Senegal,Argentina,group,1,0.0,44.5,25.7,41.0,hot,48.19,189.69,B_win
246,1978,Belgium,Australia,group,1,0.0,79.8,10.7,83.6,cloudy,48.8,85.36,B_win
247,1942,Portugal,Italy,quarter_final,1,0.0,54.4,32.0,58.3,hot,30.63,125.63,B_win
248,1958,Qatar,Netherlands,quarter_final,1,0.0,59.4,22.3,36.2,cloudy,49.57,134.92,B_win
249,1986,Uruguay,Germany,group,1,0.0,67.5,22.3,81.8,hot,36.53,72.35,A_win
250,2022,France,Uruguay,round_16,1,0.0,66.2,14.2,46.7,windy,39.67,135.04,B_win
251,1950,Morocco,Belgium,group,1,0.0,58.6,21.8,29.5,clear,26.7,138.86,A_win
252,1962,Croatia,South Korea,group,1,0.0,78.9,26.5,66.5,windy,37.31,155.61,draw
253,1950,Nigeria,Portugal,quarter_final,1,0.0,64.5,22.1,46.3,clear,42.3,183.43,draw
254,1978,Ghana,USA,group,0,0.18,54.0,22.5,65.4,hot,46.11,103.73,A_win
255,1970,Brazil,Morocco,group,1,0.0,69.5,15.7,66.8,clear,46.54,180.25,A_win
256,2010,Mexico,Brazil,group,1,0.0,63.4,25.3,68.0,clear,21.8,82.09,A_win
257,1962,Uruguay,Spain,group,1,0.0,61.3,18.4,48.2,hot,32.71,157.47,draw
258,2018,Netherlands,USA,group,1,0.0,29.6,33.8,75.4,clear,33.81,62.45,A_win
259,1986,Uruguay,Japan,group,1,0.0,57.4,28.5,44.2,clear,44.26,113.04,A_win
260,1930,Croatia,Nigeria,group,1,0.0,63.6,22.1,63.9,cloudy,33.59,74.06,draw
261,1998,Saudi Arabia,Spain,final,1,0.0,68.1,29.1,79.4,cloudy,72.12,207.23,B_win
262,1982,Italy,Morocco,group,1,0.0,33.1,35.7,56.4,windy,26.94,73.54,B_win
263,1970,USA,South Korea,group,1,0.0,62.1,30.0,70.9,clear,46.19,156.74,A_win
264,2006,Argentina,Italy,round_16,1,0.0,51.1,26.2,55.0,cloudy,49.46,149.09,B_win
265,1990,Uruguay,Belgium,group,1,0.0,27.1,14.5,93.5,clear,38.88,144.64,B_win
266,1970,Ghana,Australia,group,1,0.0,41.2,25.9,36.2,rain,37.13,279.67,draw
267,1974,Japan,Morocco,round_16,1,0.0,45.4,19.1,55.0,windy,52.61,102.88,A_win
268,1978,Qatar,France,round_16,1,0.0,55.1,28.2,55.4,rain,46.01,162.96,A_win
269,1990,Argentina,Croatia,group,1,0.0,65.1,27.2,63.1,cloudy,45.03,172.63,draw
270,1954,Ghana,Qatar,group,1,0.0,62.5,25.7,44.8,rain,45.95,373.7,A_win
271,1990,Nigeria,Belgium,group,0,0.18,32.6,18.7,27.2,cloudy,29.6,236.88,A_win
272,2002,USA,Croatia,group,1,0.0,47.9,22.8,71.6,rain,37.32,94.21,B_win
273,1934,USA,Brazil,group,1,0.0,50.9,29.3,63.5,clear,24.22,71.12,B_win
274,1970,Portugal,USA,quarter_final,1,0.0,36.5,26.9,67.8,clear,41.09,88.96,B_win
