panel_id,year,match_id,team,opponent,team_side,stage,sponsor,result_for_team,match_points,team_elo,core_player_rating,core_market_value_m,player_followers_m,event_attention_m,media_reposts_k,exposure_score,fan_score_panel,sponsor_spend_m,sponsor_power_index,brand_fit,activation_quality,commercial_momentum,predicted_roi,roi_per_million_spend,attention_segment,commercial_segment,weather,temperature_c,humidity
1930_11_Chile,1930,11,Chile,France,A,tournament,Hisense,win,3,1622,72.9,38.6,16.65,27.2,52.78,0.096,0.328,27.36,0.824,0.681,0.911,0.522,3.658,0.134,Low attention,Scalable,clear,17.0,47.2
1930_12_Belgium,1930,12,Belgium,Paraguay,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,27.2,75.84,0.108,0.51,26.85,0.655,0.72,0.914,0.436,3.49,0.13,Mid attention,Scalable,cloudy,16.8,45.2
1930_13_Bolivia,1930,13,Bolivia,Brazil,A,tournament,Qatar Airways,loss,0,1404,64.1,13.8,5.97,33.8,104.94,0.182,0.109,24.48,0.455,0.575,0.669,0.229,2.435,0.099,Low attention,Watchlist,clear,29.6,37.6
1930_14_Uruguay,1930,14,Uruguay,Romania,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,33.8,162.16,0.248,0.519,19.75,0.435,0.797,0.741,0.49,3.489,0.177,Mid attention,Scalable,cloudy,20.5,59.5
1930_15_Argentina,1930,15,Argentina,Chile,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,33.8,98.94,0.189,0.463,30.74,0.75,0.813,0.936,0.565,3.653,0.119,Mid attention,Scalable,cloudy,14.5,38.4
1930_16_Argentina,1930,16,Argentina,United States,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,40.4,60.05,0.201,0.487,30.74,0.75,0.813,0.936,0.576,3.685,0.12,Mid attention,Scalable,clear,25.7,23.1
1930_17_Uruguay,1930,17,Uruguay,Yugoslavia,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,40.4,112.45,0.269,0.538,19.75,0.435,0.797,0.741,0.501,3.475,0.176,Mid attention,Scalable,windy,25.8,51.9
1930_18_Uruguay,1930,18,Uruguay,Argentina,A,tournament,Vivo,win,3,1684,74.8,44.8,20.58,38.2,235.07,0.288,0.578,19.75,0.435,0.797,0.741,0.519,3.532,0.179,Mid attention,Scalable,cloudy,13.8,29.2
1934_19_Argentina,1934,19,Argentina,Sweden,A,tournament,Hyundai,loss,0,1753,76.8,58.0,19.5,37.46,136.44,0.266,0.502,30.74,0.75,0.813,0.936,0.494,3.72,0.121,Mid attention,Scalable,rain,24.4,46.0
1934_20_Austria,1934,20,Austria,France,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,37.46,85.3,0.207,0.361,21.71,0.447,0.702,0.72,0.426,3.174,0.146,Mid attention,Scalable,cloudy,27.4,43.5
1934_21_Belgium,1934,21,Belgium,Germany,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,41.86,141.15,0.289,0.628,26.85,0.655,0.72,0.914,0.514,3.566,0.133,Mid attention,Scalable,rain,25.2,44.1
1934_22_Brazil,1934,22,Brazil,Spain,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,35.26,81.86,0.163,0.441,33.15,0.774,0.809,0.916,0.46,3.662,0.11,Mid attention,Scalable,rain,26.8,90.0
1934_23_Czechoslovakia,1934,23,Czechoslovakia,Romania,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,33.06,64.67,0.179,0.3,31.09,0.706,0.715,0.89,0.486,3.205,0.103,Low attention,Scalable,hot,14.6,58.9
1934_24_Egypt,1934,24,Egypt,Hungary,A,tournament,Hyundai,loss,0,1408,63.5,15.1,8.15,39.66,102.8,0.24,0.202,30.54,0.71,0.597,0.912,0.361,2.937,0.096,Low attention,Watchlist,cloudy,25.0,61.9
1934_25_Italy,1934,25,Italy,United States,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,44.06,129.18,0.299,0.316,33.4,0.741,0.761,0.842,0.526,3.453,0.103,Low attention,Scalable,clear,21.2,29.6
1934_26_Netherlands,1934,26,Netherlands,Switzerland,A,tournament,Hisense,loss,0,1746,75.8,49.9,15.97,37.46,63.38,0.184,0.377,32.27,0.905,0.811,0.856,0.484,3.869,0.12,Mid attention,Scalable,clear,20.1,47.5
1934_27_Austria,1934,27,Austria,Hungary,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,33.06,68.48,0.163,0.327,21.71,0.447,0.702,0.72,0.405,3.105,0.143,Low attention,Scalable,cloudy,28.2,61.4
1934_28_Czechoslovakia,1934,28,Czechoslovakia,Switzerland,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,37.46,107.36,0.233,0.346,31.09,0.706,0.715,0.89,0.513,3.28,0.106,Mid attention,Scalable,clear,31.9,41.6
1934_29_Germany,1934,29,Germany,Sweden,A,tournament,Coca-Cola,win,3,1798,81.3,65.9,22.15,33.06,84.27,0.17,0.522,29.19,0.711,0.859,0.907,0.571,3.83,0.131,Mid attention,Scalable,clear,33.8,72.5
1934_30_Italy,1934,30,Italy,Spain,A,tournament,Visa,draw,1,1755,77.8,61.6,11.04,30.86,98.5,0.155,0.222,33.4,0.741,0.761,0.842,0.398,3.321,0.099,Low attention,Scalable,clear,30.9,38.8
1934_31_Italy,1934,31,Italy,Spain,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,28.66,58.29,0.151,0.191,33.4,0.741,0.761,0.842,0.452,3.194,0.096,Low attention,Scalable,cloudy,22.3,53.4
1934_32_Czechoslovakia,1934,32,Czechoslovakia,Germany,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,35.26,123.06,0.197,0.339,31.09,0.706,0.715,0.89,0.504,3.215,0.103,Mid attention,Scalable,clear,25.1,48.6
1934_33_Italy,1934,33,Italy,Austria,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,28.66,58.79,0.078,0.191,33.4,0.741,0.761,0.842,0.439,3.232,0.097,Low attention,Scalable,cloudy,27.6,60.6
1934_34_Austria,1934,34,Austria,Germany,A,tournament,McDonald's,loss,0,1660,70.5,44.6,14.99,37.46,169.57,0.241,0.398,21.71,0.447,0.702,0.72,0.346,3.217,0.148,Mid attention,Watchlist,rain,23.7,47.8
1934_35_Italy,1934,35,Italy,Czechoslovakia,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,33.06,58.43,0.158,0.218,33.4,0.741,0.761,0.842,0.463,3.283,0.098,Low attention,Scalable,hot,23.8,53.7
1938_36_Germany,1938,36,Germany,Switzerland,A,tournament,Coca-Cola,draw,1,1798,81.3,65.9,22.15,32.32,68.02,0.17,0.511,29.19,0.711,0.859,0.907,0.5,3.803,0.13,Mid attention,Scalable,clear,27.9,54.2
1938_37_Brazil,1938,37,Brazil,Poland,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,52.12,167.4,0.424,0.582,33.15,0.774,0.809,0.916,0.661,3.914,0.118,Mid attention,Premium,cloudy,22.6,46.2
1938_38_Cuba,1938,38,Cuba,Romania,A,tournament,Vivo,draw,1,1562,72.5,37.1,8.19,41.12,187.26,0.293,0.248,18.81,0.386,0.682,0.673,0.312,3.119,0.166,Low attention,Watchlist,cloudy,18.6,65.8
1938_39_Czechoslovakia,1938,39,Czechoslovakia,Netherlands,A,tournament,Visa,win,3,1636,72.1,45.6,14.05,34.52,107.74,0.167,0.328,31.09,0.706,0.715,0.89,0.495,3.233,0.104,Low attention,Scalable,cloudy,20.5,61.8
1938_40_France,1938,40,France,Belgium,A,tournament,Qatar Airways,win,3,1748,77.8,46.5,18.67,36.72,122.84,0.243,0.47,24.02,0.501,0.801,0.711,0.492,3.464,0.144,Mid attention,Scalable,cloudy,26.8,56.6
1938_41_Hungary,1938,41,Hungary,Indonesia,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,41.12,118.09,0.291,0.44,33.47,0.767,0.712,0.937,0.581,3.571,0.107,Mid attention,Scalable,clear,23.0,51.1
1938_42_Italy,1938,42,Italy,Norway,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,34.52,74.01,0.183,0.234,33.4,0.741,0.761,0.842,0.474,3.311,0.099,Low attention,Scalable,windy,25.0,70.7
1938_43_Cuba,1938,43,Cuba,Romania,A,tournament,Vivo,win,3,1562,72.5,37.1,8.19,34.52,86.0,0.157,0.164,18.81,0.386,0.682,0.673,0.322,2.939,0.156,Low attention,Watchlist,clear,27.0,54.2
1938_44_Germany,1938,44,Germany,Switzerland,A,tournament,Coca-Cola,loss,0,1798,81.3,65.9,22.15,41.12,83.69,0.255,0.571,29.19,0.711,0.859,0.907,0.505,3.894,0.133,Mid attention,Scalable,hot,20.8,53.1
1938_45_Brazil,1938,45,Brazil,Czechoslovakia,A,tournament,Adidas,draw,1,1829,78.8,57.4,18.61,32.32,64.56,0.14,0.416,33.15,0.774,0.809,0.916,0.48,3.611,0.109,Mid attention,Scalable,cloudy,27.5,59.7
1938_46_Cuba,1938,46,Cuba,Sweden,A,tournament,Vivo,loss,0,1562,72.5,37.1,8.19,45.52,145.57,0.344,0.257,18.81,0.386,0.682,0.673,0.291,3.092,0.164,Low attention,Watchlist,clear,25.3,85.1
1938_47_France,1938,47,France,Italy,A,tournament,Qatar Airways,loss,0,1748,77.8,46.5,18.67,36.72,76.62,0.218,0.45,24.02,0.501,0.801,0.711,0.38,3.407,0.142,Mid attention,Scalable,rain,15.6,36.6
1938_48_Hungary,1938,48,Hungary,Switzerland,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,32.32,101.0,0.167,0.379,33.47,0.767,0.712,0.937,0.535,3.417,0.102,Mid attention,Scalable,clear,31.7,70.3
1938_49_Brazil,1938,49,Brazil,Czechoslovakia,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,34.52,68.51,0.183,0.431,33.15,0.774,0.809,0.916,0.56,3.677,0.111,Mid attention,Scalable,rain,20.0,27.7
1938_50_Brazil,1938,50,Brazil,Italy,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,34.52,107.18,0.192,0.448,33.15,0.774,0.809,0.916,0.468,3.643,0.11,Mid attention,Scalable,cloudy,13.1,61.5
1938_51_Hungary,1938,51,Hungary,Sweden,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,41.12,102.48,0.269,0.434,33.47,0.767,0.712,0.937,0.574,3.523,0.105,Mid attention,Scalable,clear,16.7,83.2
1938_52_Brazil,1938,52,Brazil,Sweden,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,41.12,174.22,0.325,0.517,33.15,0.774,0.809,0.916,0.618,3.79,0.114,Mid attention,Scalable,clear,16.9,65.8
1938_53_Hungary,1938,53,Hungary,Italy,A,tournament,Adidas,loss,0,1691,78.9,42.6,16.61,41.12,128.66,0.238,0.445,33.47,0.767,0.712,0.937,0.473,3.487,0.104,Mid attention,Scalable,rain,23.3,60.7
1950_54_Brazil,1950,54,Brazil,Mexico,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,41.09,165.97,0.293,0.514,33.15,0.774,0.809,0.916,0.611,3.855,0.116,Mid attention,Scalable,clear,21.4,49.0
1950_55_Chile,1950,55,Chile,England,A,tournament,Hisense,loss,0,1622,72.9,38.6,16.65,36.69,84.85,0.187,0.4,27.36,0.824,0.681,0.911,0.466,3.813,0.139,Mid attention,Scalable,hot,21.0,58.5
1950_56_Italy,1950,56,Italy,Sweden,A,tournament,Visa,loss,0,1755,77.8,61.6,11.04,43.29,125.67,0.283,0.31,33.4,0.741,0.761,0.842,0.421,3.346,0.1,Low attention,Scalable,rain,26.7,54.0
1950_57_Spain,1950,57,Spain,United States,A,tournament,Budweiser,win,3,1708,77.4,45.2,19.26,41.09,89.22,0.244,0.497,27.85,0.668,0.724,0.933,0.56,3.677,0.132,Mid attention,Scalable,rain,25.0,45.4
1950_58_Switzerland,1950,58,Switzerland,Yugoslavia,A,tournament,Adidas,loss,0,1632,72.7,48.1,17.05,38.89,98.98,0.274,0.43,31.4,0.74,0.774,0.888,0.464,3.438,0.109,Mid attention,Scalable,clear,24.9,53.4
1950_59_Brazil,1950,59,Brazil,Switzerland,A,tournament,Adidas,draw,1,1829,78.8,57.4,18.61,41.09,109.11,0.241,0.489,33.15,0.774,0.809,0.916,0.526,3.805,0.115,Mid attention,Scalable,rain,25.5,61.2
1950_60_Mexico,1950,60,Mexico,Yugoslavia,A,tournament,Hyundai,loss,0,1612,72.1,37.6,18.89,43.29,100.96,0.311,0.506,28.5,0.701,0.712,0.897,0.487,3.453,0.121,Mid attention,Scalable,windy,26.7,45.7
1950_61_Chile,1950,61,Chile,Spain,A,tournament,Hisense,loss,0,1622,72.9,38.6,16.65,36.69,74.6,0.146,0.395,27.36,0.824,0.681,0.911,0.457,3.806,0.139,Mid attention,Scalable,clear,10.4,45.1
1950_62_England,1950,62,England,United States,A,tournament,McDonald's,loss,0,1695,76.6,52.6,19.34,34.49,66.35,0.153,0.449,20.29,0.426,0.819,0.654,0.343,3.253,0.16,Mid attention,Watchlist,clear,20.8,36.2
1950_63_Paraguay,1950,63,Paraguay,Sweden,A,tournament,Hyundai,draw,1,1578,69.9,30.5,12.88,41.09,60.99,0.238,0.317,26.2,0.66,0.667,0.921,0.421,3.434,0.131,Low attention,Scalable,clear,9.9,64.3
1950_64_Brazil,1950,64,Brazil,Yugoslavia,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,36.69,78.0,0.211,0.448,33.15,0.774,0.809,0.916,0.572,3.758,0.113,Mid attention,Scalable,clear,23.2,66.7
1950_65_Bolivia,1950,65,Bolivia,Uruguay,A,tournament,Qatar Airways,loss,0,1404,64.1,13.8,5.97,49.89,169.95,0.423,0.236,24.48,0.455,0.575,0.669,0.32,2.692,0.11,Low attention,Watchlist,rain,23.0,61.7
1950_66_Chile,1950,66,Chile,United States,A,tournament,Hisense,win,3,1622,72.9,38.6,16.65,47.69,87.11,0.346,0.468,27.36,0.824,0.681,0.911,0.62,3.929,0.144,Mid attention,Premium,cloudy,29.3,73.4
1950_67_England,1950,67,England,Spain,A,tournament,McDonald's,loss,0,1695,76.6,52.6,19.34,34.49,67.19,0.154,0.449,20.29,0.426,0.819,0.654,0.343,3.217,0.159,Mid attention,Watchlist,cloudy,30.1,59.4
1950_68_Italy,1950,68,Italy,Paraguay,A,tournament,Visa,win,3,1755,77.8,61.6,11.04,36.69,173.11,0.244,0.29,33.4,0.741,0.761,0.842,0.506,3.386,0.101,Low attention,Scalable,clear,24.2,64.3
1950_69_Mexico,1950,69,Mexico,Switzerland,A,tournament,Hyundai,loss,0,1612,72.1,37.6,18.89,38.89,92.99,0.253,0.476,28.5,0.701,0.712,0.897,0.465,3.367,0.118,Mid attention,Scalable,clear,20.0,62.9
1950_70_Brazil,1950,70,Brazil,Sweden,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,49.89,155.98,0.389,0.563,33.15,0.774,0.809,0.916,0.647,3.91,0.118,Mid attention,Premium,clear,25.9,56.5
1950_71_Spain,1950,71,Spain,Uruguay,A,tournament,Budweiser,draw,1,1708,77.4,45.2,19.26,41.09,140.56,0.25,0.52,27.85,0.668,0.724,0.933,0.503,3.694,0.133,Mid attention,Scalable,hot,19.8,49.5
1950_72_Brazil,1950,72,Brazil,Spain,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,47.69,164.06,0.344,0.553,33.15,0.774,0.809,0.916,0.635,3.92,0.118,Mid attention,Premium,cloudy,23.0,93.4
1950_73_Sweden,1950,73,Sweden,Uruguay,A,tournament,Budweiser,loss,0,1654,74.4,39.2,19.34,43.29,80.78,0.246,0.509,26.29,0.641,0.705,0.91,0.456,3.571,0.136,Mid attention,Scalable,clear,28.9,50.8
1950_74_Brazil,1950,74,Brazil,Uruguay,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,38.89,104.17,0.25,0.473,33.15,0.774,0.809,0.916,0.488,3.77,0.114,Mid attention,Scalable,rain,19.7,47.3
1950_75_Spain,1950,75,Spain,Sweden,A,tournament,Budweiser,loss,0,1708,77.4,45.2,19.26,41.09,74.64,0.246,0.491,27.85,0.668,0.724,0.933,0.458,3.627,0.13,Mid attention,Scalable,clear,27.8,64.9
1954_76_Austria,1954,76,Austria,Scotland,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,35.95,203.79,0.288,0.403,21.71,0.447,0.702,0.72,0.457,3.331,0.153,Mid attention,Scalable,clear,27.1,62.0
1954_77_Brazil,1954,77,Brazil,Mexico,A,tournament,Adidas,win,3,1829,78.8,57.4,18.61,44.75,81.82,0.276,0.5,33.15,0.774,0.809,0.916,0.603,3.792,0.114,Mid attention,Scalable,clear,17.3,35.5
1954_78_Czechoslovakia,1954,78,Czechoslovakia,Uruguay,A,tournament,Visa,loss,0,1636,72.1,45.6,14.05,38.15,81.3,0.218,0.339,31.09,0.706,0.715,0.89,0.408,3.229,0.104,Mid attention,Scalable,windy,28.8,76.0
1954_79_France,1954,79,France,Yugoslavia,A,tournament,Qatar Airways,loss,0,1748,77.8,46.5,18.67,35.95,76.77,0.203,0.445,24.02,0.501,0.801,0.711,0.376,3.378,0.141,Mid attention,Watchlist,rain,27.2,56.5
1954_80_Belgium,1954,80,Belgium,England,A,tournament,Visa,draw,1,1674,71.5,40.4,23.19,51.35,96.51,0.363,0.667,26.85,0.655,0.72,0.914,0.575,3.66,0.136,High attention,Scalable,cloudy,23.6,40.2
1954_81_Germany,1954,81,Germany,Turkey,A,tournament,Coca-Cola,win,3,1798,81.3,65.9,22.15,44.75,186.76,0.369,0.638,29.19,0.711,0.859,0.907,0.651,4.005,0.137,Mid attention,Premium,clear,18.4,77.0
1954_82_Hungary,1954,82,Hungary,South Korea,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,53.55,301.54,0.512,0.596,33.47,0.767,0.712,0.937,0.68,3.813,0.114,Mid attention,Premium,clear,17.8,68.0
1954_83_Switzerland,1954,83,Switzerland,Italy,A,tournament,Adidas,win,3,1632,72.7,48.1,17.05,40.35,100.93,0.241,0.44,31.4,0.74,0.774,0.888,0.562,3.454,0.11,Mid attention,Scalable,cloudy,19.8,37.8
1954_84_Austria,1954,84,Austria,Czechoslovakia,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,44.75,88.36,0.282,0.407,21.71,0.447,0.702,0.72,0.457,3.252,0.15,Mid attention,Scalable,clear,26.3,86.4
1954_85_Brazil,1954,85,Brazil,Yugoslavia,A,tournament,Adidas,draw,1,1829,78.8,57.4,18.61,38.15,58.28,0.166,0.449,33.15,0.774,0.809,0.916,0.497,3.654,0.11,Mid attention,Scalable,windy,17.3,68.5
1954_86_France,1954,86,France,Mexico,A,tournament,Qatar Airways,win,3,1748,77.8,46.5,18.67,44.75,119.43,0.326,0.517,24.02,0.501,0.801,0.711,0.526,3.474,0.145,Mid attention,Scalable,rain,25.6,57.8
1954_87_Scotland,1954,87,Scotland,Uruguay,A,tournament,Budweiser,loss,0,1529,67.9,31.6,17.66,49.15,128.55,0.355,0.522,26.35,0.637,0.686,0.905,0.479,3.467,0.132,Mid attention,Scalable,cloudy,15.5,83.4
1954_88_Belgium,1954,88,Belgium,Italy,A,tournament,Visa,loss,0,1674,71.5,40.4,23.19,44.75,106.56,0.305,0.631,26.85,0.655,0.72,0.914,0.517,3.6,0.134,Mid attention,Scalable,rain,21.8,60.5
1954_89_Germany,1954,89,Germany,Hungary,A,tournament,Coca-Cola,loss,0,1798,81.3,65.9,22.15,57.95,176.19,0.511,0.715,29.19,0.711,0.859,0.907,0.605,4.099,0.14,High attention,Scalable,windy,23.7,57.6
1954_90_South_Korea,1954,90,South Korea,Turkey,A,tournament,McDonald's,loss,0,1548,70.3,20.2,12.83,49.15,156.89,0.399,0.407,25.44,0.5,0.67,0.723,0.396,3.081,0.121,Mid attention,Scalable,cloudy,37.7,47.4
1954_91_Switzerland,1954,91,Switzerland,England,A,tournament,Adidas,loss,0,1632,72.7,48.1,17.05,38.15,119.34,0.257,0.434,31.4,0.74,0.774,0.888,0.463,3.511,0.112,Mid attention,Scalable,cloudy,14.7,67.3
1954_92_Germany,1954,92,Germany,Turkey,A,tournament,Coca-Cola,win,3,1798,81.3,65.9,22.15,53.55,140.06,0.422,0.672,29.19,0.711,0.859,0.907,0.673,4.059,0.139,High attention,Premium,hot,31.8,65.6
1954_93_Switzerland,1954,93,Switzerland,Italy,A,tournament,Adidas,win,3,1632,72.7,48.1,17.05,44.75,93.94,0.284,0.464,31.4,0.74,0.774,0.888,0.579,3.528,0.112,Mid attention,Scalable,clear,23.9,58.2
1954_94_England,1954,94,England,Uruguay,A,tournament,McDonald's,loss,0,1695,76.6,52.6,19.34,46.95,161.66,0.363,0.567,20.29,0.426,0.819,0.654,0.425,3.471,0.171,Mid attention,Scalable,hot,25.5,45.4
1954_95_Switzerland,1954,95,Switzerland,Austria,A,tournament,Adidas,loss,0,1632,72.7,48.1,17.05,60.15,172.49,0.474,0.592,31.4,0.74,0.774,0.888,0.562,3.771,0.12,Mid attention,Scalable,clear,23.7,60.1
1954_96_Brazil,1954,96,Brazil,Hungary,A,tournament,Adidas,loss,0,1829,78.8,57.4,18.61,46.95,172.06,0.332,0.552,33.15,0.774,0.809,0.916,0.533,3.851,0.116,Mid attention,Scalable,cloudy,25.7,56.9
1954_97_Germany,1954,97,Germany,Yugoslavia,A,tournament,Coca-Cola,win,3,1798,81.3,65.9,22.15,38.15,136.01,0.213,0.576,29.19,0.711,0.859,0.907,0.599,3.883,0.133,Mid attention,Scalable,rain,22.1,36.7
1954_98_Austria,1954,98,Austria,Germany,A,tournament,McDonald's,loss,0,1660,70.5,44.6,14.99,49.15,94.33,0.318,0.437,21.71,0.447,0.702,0.72,0.375,3.281,0.151,Mid attention,Watchlist,cloudy,31.7,34.5
1954_99_Hungary,1954,99,Hungary,Uruguay,A,tournament,Adidas,win,3,1691,78.9,42.6,16.61,46.95,89.79,0.329,0.464,33.47,0.767,0.712,0.937,0.596,3.517,0.105,Mid attention,Scalable,cloudy,20.3,67.0
1954_100_Austria,1954,100,Austria,Uruguay,A,tournament,McDonald's,win,3,1660,70.5,44.6,14.99,42.55,98.41,0.249,0.398,21.71,0.447,0.702,0.72,0.448,3.224,0.149,Mid attention,Scalable,cloudy,29.8,16.4
1954_101_Germany,1954,101,Germany,Hungary,A,tournament,Coca-Cola,win,3,1798,81.3,65.9,22.15,44.75,95.14,0.286,0.599,29.19,0.711,0.859,0.907,0.621,3.896,0.133,Mid attention,Premium,clear,19.1,61.3
1958_102_Argentina,1958,102,Argentina,Germany,A,tournament,Hyundai,loss,0,1753,76.8,58.0,19.5,44.01,155.38,0.363,0.55,30.74,0.75,0.813,0.936,0.53,3.727,0.121,Mid attention,Scalable,clear,22.6,50.4
1958_103_Austria,1958,103,Austria,Brazil,A,tournament,McDonald's,loss,0,1660,70.5,44.6,14.99,41.81,131.83,0.278,0.408,21.71,0.447,0.702,0.72,0.357,3.203,0.148,Mid attention,Watchlist,clear,16.6,78.9
1958_104_Czechoslovakia,1958,104,Czechoslovakia,Northern Ireland,A,tournament,Visa,loss,0,1636,72.1,45.6,14.05,37.41,145.43,0.267,0.362,31.09,0.706,0.715,0.89,0.426,3.323,0.107,Mid attention,Scalable,cloudy,25.7,50.1
1958_105_England,1958,105,England,Russia,A,tournament,McDonald's,draw,1,1695,76.6,52.6,19.34,44.01,140.53,0.292,0.54,20.29,0.426,0.819,0.654,0.436,3.394,0.167,Mid attention,Scalable,cloudy,31.7,68.6
1958_106_France,1958,106,France,Paraguay,A,tournament,Qatar Airways,win,3,1748,77.8,46.5,18.67,57.21,173.32,0.482,0.617,24.02,0.501,0.801,0.711,0.592,3.681,0.153,Mid attention,Scalable,clear,22.5,51.6
1958_107_Hungary,1958,107,Hungary,Wales,A,tournament,Adidas,draw,1,1691,78.9,42.6,16.61,39.61,158.38,0.254,0.449,33.47,0.767,0.712,0.937,0.51,3.569,0.107,Mid attention,Scalable,hot,21.8,59.8
1958_108_Scotland,1958,108,Scotland,Yugoslavia,A,tournament,Budweiser,draw,1,1529,67.9,31.6,17.66,39.61,129.1,0.252,0.464,26.35,0.637,0.686,0.905,0.471,3.386,0.129,Mid attention,Scalable,clear,16.3,69.8
1958_109_Sweden,1958,109,Sweden,Mexico,A,tournament,Budweiser,win,3,1654,74.4,39.2,19.34,41.81,121.78,0.304,0.518,26.29,0.641,0.705,0.91,0.57,3.659,0.139,Mid attention,Scalable,cloudy,21.6,50.6
1958_110_Argentina,1958,110,Argentina,Northern Ireland,A,tournament,Hyundai,win,3,1753,76.8,58.0,19.5,44.01,190.37,0.303,0.566,30.74,0.75,0.813,0.936,0.625,3.851,0.125,Mid attention,Premium,clear,13.4,73.9
1958_111_Austria,1958,111,Austria,Russia,A,tournament,McDonald's,loss,0,1660,70.5,44.6,14.99,39.61,116.9,0.265,0.388,21.71,0.447,0.702,0.72,0.347,3.256,0.15,Mid attention,Watchlist,clear,17.5,42.1
