panel_id,team,sponsor,predicted_roi,roi_formula_score,roi_per_million_spend
2018_155_Saudi_Arabia,Saudi Arabia,Nike,3.097,2.3304,0.393
2006_156_Italy,Italy,Qatar Airways,2.591,2.3602,0.251
1982_157_England,England,Emirates,3.111,2.6832,0.141
1986_158_South_Korea,South Korea,Nike,2.154,1.8777,0.086
1990_159_Nigeria,Nigeria,Visa,2.997,2.1819,0.269
1986_160_Australia,Australia,Nike,2.721,2.4749,0.589
1962_161_Croatia,Croatia,Qatar Airways,2.982,2.2478,0.343
2002_162_Brazil,Brazil,Nike,2.593,2.0749,0.099
2014_163_Australia,Australia,Nike,3.044,2.1532,0.659
2022_164_Japan,Japan,Samsung,2.733,2.077,0.227
2006_165_Nigeria,Nigeria,Visa,3.151,2.271,0.283
1950_166_Ghana,Ghana,Visa,2.519,1.9489,0.359
1982_167_Spain,Spain,Pepsi,2.051,2.0492,0.06
1958_168_USA,USA,Samsung,2.528,1.9071,0.376
2002_169_Uruguay,Uruguay,Pepsi,2.77,2.0714,0.407
2006_170_USA,USA,Samsung,2.718,2.0107,0.404
1958_171_Uruguay,Uruguay,Pepsi,2.652,2.0422,0.39
1970_172_Mexico,Mexico,Emirates,2.744,2.1824,0.666
2014_173_Morocco,Morocco,Emirates,2.315,2.2699,0.268
1958_174_Mexico,Mexico,Emirates,2.496,1.8828,0.606
1978_175_France,France,Emirates,2.786,1.9751,0.14
1986_176_Argentina,Argentina,Nike,2.938,2.013,0.313
1950_177_Japan,Japan,Samsung,2.718,2.4348,0.226
2002_178_South_Korea,South Korea,Nike,2.548,1.8662,0.102
1978_179_Australia,Australia,Nike,3.289,2.248,0.712
1982_180_Saudi_Arabia,Saudi Arabia,Nike,2.946,2.4008,0.373
1938_181_Ghana,Ghana,Visa,3.021,2.0446,0.431
2010_182_USA,USA,Samsung,2.736,2.1764,0.407
1982_183_Ghana,Ghana,Visa,2.76,2.3918,0.394
1966_184_Netherlands,Netherlands,Puma,2.671,2.4406,0.265
2010_185_Australia,Australia,Nike,3.042,2.6324,0.658
1942_186_Croatia,Croatia,Qatar Airways,2.949,2.6182,0.339
1966_187_Morocco,Morocco,Emirates,2.039,1.6336,0.236
1982_188_France,France,Emirates,2.584,1.8626,0.13
1986_189_Australia,Australia,Nike,2.849,2.2246,0.617
1982_190_Australia,Australia,Nike,2.956,2.3206,0.64
1998_191_Australia,Australia,Nike,2.502,2.3886,0.542
1990_192_Nigeria,Nigeria,Visa,2.685,2.0192,0.241
1946_193_Morocco,Morocco,Emirates,2.189,1.6672,0.254
1962_194_Australia,Australia,Nike,2.774,2.17,0.6
1994_195_Morocco,Morocco,Emirates,2.766,2.1778,0.321
2018_196_Germany,Germany,Pepsi,3.088,2.388,0.401
2002_197_France,France,Emirates,2.635,1.8842,0.133
1954_198_Portugal,Portugal,Coca-Cola,2.712,2.5412,0.234
1962_199_Japan,Japan,Samsung,2.599,2.3927,0.216
1962_200_Croatia,Croatia,Qatar Airways,3.38,2.305,0.389
1970_201_Belgium,Belgium,Mastercard,3.0,2.2569,0.527
1986_202_Australia,Australia,Nike,3.054,2.7133,0.661
1934_203_Canada,Canada,Pepsi,2.584,2.389,0.536
1990_204_Netherlands,Netherlands,Puma,2.757,2.4775,0.273
1974_205_Belgium,Belgium,Mastercard,2.316,1.8435,0.407
1986_206_Germany,Germany,Pepsi,3.041,2.1867,0.394
1930_207_Portugal,Portugal,Coca-Cola,2.621,1.9376,0.227
1990_208_Qatar,Qatar,Nike,2.548,2.2652,0.495
1950_209_Mexico,Mexico,Emirates,3.051,2.1874,0.741
1974_210_Brazil,Brazil,Nike,2.474,1.8406,0.094
2006_211_Croatia,Croatia,Qatar Airways,2.994,2.0817,0.345
1934_212_England,England,Emirates,2.57,1.8884,0.116
1998_213_Morocco,Morocco,Emirates,2.166,2.2038,0.251
1942_214_USA,USA,Samsung,2.671,1.9944,0.397
1978_215_Nigeria,Nigeria,Visa,2.891,2.142,0.259
1946_216_Morocco,Morocco,Emirates,2.243,1.7097,0.26
1930_217_Nigeria,Nigeria,Visa,2.751,2.0479,0.247
1962_218_Mexico,Mexico,Emirates,2.696,2.1654,0.654
1942_219_France,France,Emirates,2.568,1.8364,0.129
1954_220_France,France,Emirates,2.185,2.1892,0.11
1974_221_Spain,Spain,Pepsi,2.187,1.6104,0.064
1966_222_Germany,Germany,Pepsi,2.759,2.5724,0.358
1930_223_Germany,Germany,Pepsi,2.934,2.112,0.381
1942_224_Argentina,Argentina,Nike,2.399,1.7694,0.256
1938_225_Canada,Canada,Pepsi,2.83,2.4946,0.587
2022_226_Croatia,Croatia,Qatar Airways,2.929,2.0549,0.337
1994_227_Brazil,Brazil,Nike,2.279,1.896,0.087
1946_228_France,France,Emirates,2.575,2.0351,0.13
1946_229_Netherlands,Netherlands,Puma,2.436,1.8148,0.241
1994_230_Netherlands,Netherlands,Puma,2.672,2.0739,0.265
1986_231_Argentina,Argentina,Nike,3.059,2.6422,0.326
2018_232_Mexico,Mexico,Emirates,2.699,1.9901,0.655
1934_233_South_Korea,South Korea,Nike,2.366,1.7888,0.095
1998_234_France,France,Emirates,2.668,2.4592,0.134
1954_235_Italy,Italy,Qatar Airways,2.774,2.4307,0.269
1946_236_Mexico,Mexico,Emirates,2.682,2.1851,0.651
2014_237_Uruguay,Uruguay,Pepsi,2.656,1.8116,0.391
1942_238_Qatar,Qatar,Nike,2.922,2.4928,0.567
1938_239_Ghana,Ghana,Visa,2.633,1.7848,0.376
2006_240_Saudi_Arabia,Saudi Arabia,Nike,3.248,2.8906,0.412
1958_241_Ghana,Ghana,Visa,2.425,2.205,0.346
1962_242_Croatia,Croatia,Qatar Airways,2.783,2.5319,0.32
1974_243_Portugal,Portugal,Coca-Cola,2.543,1.8934,0.22
1978_244_Italy,Italy,Qatar Airways,2.51,1.9742,0.243
2022_245_Senegal,Senegal,Pepsi,3.031,2.1478,0.21
1978_246_Belgium,Belgium,Mastercard,2.709,2.0748,0.476
1942_247_Portugal,Portugal,Coca-Cola,2.352,1.8088,0.203
1958_248_Qatar,Qatar,Nike,2.917,1.9312,0.566
1986_249_Uruguay,Uruguay,Pepsi,2.626,2.359,0.386
2022_250_France,France,Emirates,2.462,1.8131,0.124
1950_251_Morocco,Morocco,Emirates,2.239,2.2402,0.259
1962_252_Croatia,Croatia,Qatar Airways,2.79,2.1786,0.321
1950_253_Nigeria,Nigeria,Visa,2.931,2.3392,0.263
1978_254_Ghana,Ghana,Visa,2.845,2.4476,0.406
1970_255_Brazil,Brazil,Nike,2.52,2.3974,0.096
2010_256_Mexico,Mexico,Emirates,2.361,2.3716,0.573
1962_257_Uruguay,Uruguay,Pepsi,2.664,2.0378,0.392
2018_258_Netherlands,Netherlands,Puma,2.292,2.2181,0.227
1986_259_Uruguay,Uruguay,Pepsi,2.814,2.452,0.414
1930_260_Croatia,Croatia,Qatar Airways,2.611,2.0618,0.3
1998_261_Saudi_Arabia,Saudi Arabia,Nike,3.746,2.6552,0.475
1982_262_Italy,Italy,Qatar Airways,2.342,1.6634,0.227
1970_263_USA,USA,Samsung,2.834,2.605,0.421
2006_264_Argentina,Argentina,Nike,2.888,2.0155,0.308
1990_265_Uruguay,Uruguay,Pepsi,2.795,1.8696,0.411
1970_266_Ghana,Ghana,Visa,2.944,2.1588,0.42
1974_267_Japan,Japan,Samsung,2.884,2.4916,0.24
1978_268_Qatar,Qatar,Nike,2.894,2.4626,0.562
1990_269_Argentina,Argentina,Nike,2.835,2.1911,0.302
1954_270_Ghana,Ghana,Visa,3.22,2.6947,0.459
1990_271_Nigeria,Nigeria,Visa,2.787,2.6127,0.25
2002_272_USA,USA,Samsung,2.565,1.9226,0.381
1934_273_USA,USA,Samsung,2.324,1.7936,0.345
1970_274_Portugal,Portugal,Coca-Cola,2.496,1.8498,0.216
1982_275_Netherlands,Netherlands,Puma,2.131,1.7894,0.211
1946_276_Argentina,Argentina,Nike,2.532,1.8368,0.27
2006_277_Belgium,Belgium,Mastercard,2.527,1.9894,0.444
1982_278_Belgium,Belgium,Mastercard,2.824,2.1184,0.496
1930_279_Belgium,Belgium,Mastercard,2.379,2.0782,0.418
1946_280_Netherlands,Netherlands,Puma,2.507,1.9926,0.248
1994_281_Japan,Japan,Samsung,2.95,2.195,0.245
2006_282_Spain,Spain,Pepsi,2.12,1.739,0.062
1946_283_Qatar,Qatar,Nike,2.738,2.3665,0.532
1946_284_Brazil,Brazil,Nike,2.587,2.0686,0.099
2022_285_Uruguay,Uruguay,Pepsi,2.447,2.265,0.36
2014_286_USA,USA,Samsung,2.543,2.4326,0.378
1954_287_Uruguay,Uruguay,Pepsi,2.413,2.2544,0.355
1946_288_USA,USA,Samsung,2.694,2.538,0.4
1970_289_Australia,Australia,Nike,3.116,2.1563,0.674
2006_290_Brazil,Brazil,Nike,2.702,2.131,0.103
1978_291_South_Korea,South Korea,Nike,2.269,1.7685,0.091
1946_292_Portugal,Portugal,Coca-Cola,2.301,1.7714,0.199
1998_293_South_Korea,South Korea,Nike,2.294,1.7428,0.092
1934_294_Qatar,Qatar,Nike,2.604,1.7767,0.506
1994_295_Italy,Italy,Qatar Airways,2.8,2.4838,0.272
1970_296_Portugal,Portugal,Coca-Cola,2.598,1.9532,0.225
1986_297_Saudi_Arabia,Saudi Arabia,Nike,2.819,2.6951,0.357
1986_298_Croatia,Croatia,Qatar Airways,3.369,2.4367,0.388
1942_299_Italy,Italy,Qatar Airways,2.441,1.7434,0.237
1978_300_Senegal,Senegal,Pepsi,2.769,2.5566,0.192
1930_301_Morocco,Morocco,Emirates,2.177,1.8482,0.252
1966_302_South_Korea,South Korea,Nike,2.737,1.9602,0.11
1994_303_Australia,Australia,Nike,2.698,2.1338,0.584
1950_304_Brazil,Brazil,Nike,2.216,1.8882,0.085
1934_305_Australia,Australia,Nike,2.88,2.05,0.623
1934_306_Portugal,Portugal,Coca-Cola,2.573,2.0762,0.222
1974_307_Saudi_Arabia,Saudi Arabia,Nike,3.224,2.9158,0.409
1994_308_USA,USA,Samsung,2.806,2.2428,0.417
1970_309_Portugal,Portugal,Coca-Cola,2.317,1.7666,0.2
2010_310_USA,USA,Samsung,2.78,2.0441,0.413
1974_311_Ghana,Ghana,Visa,2.736,2.3679,0.39
2014_312_Portugal,Portugal,Coca-Cola,2.612,2.1425,0.226
2014_313_Spain,Spain,Pepsi,2.062,1.5112,0.06
1954_314_Morocco,Morocco,Emirates,2.498,1.8368,0.289
2002_315_Portugal,Portugal,Coca-Cola,2.663,1.956,0.23
2006_316_Spain,Spain,Pepsi,2.378,1.7311,0.07
1994_317_Portugal,Portugal,Coca-Cola,2.438,1.8328,0.211
1998_318_Italy,Italy,Qatar Airways,2.675,2.3834,0.259
1998_319_England,England,Emirates,2.748,1.9674,0.124
2014_320_France,France,Emirates,2.694,2.4684,0.136
1958_321_Senegal,Senegal,Pepsi,2.922,2.3126,0.202
1950_322_Brazil,Brazil,Nike,2.27,1.7119,0.087
2002_323_Belgium,Belgium,Mastercard,2.703,2.0946,0.475
2018_324_Nigeria,Nigeria,Visa,2.58,2.5026,0.231
1982_325_Senegal,Senegal,Pepsi,2.903,2.0704,0.201
1958_326_Uruguay,Uruguay,Pepsi,2.639,1.7898,0.388
1998_327_Argentina,Argentina,Nike,3.109,2.1048,0.331
1998_328_South_Korea,South Korea,Nike,2.374,2.3354,0.095
2018_329_Portugal,Portugal,Coca-Cola,2.263,1.9603,0.196
2010_330_Nigeria,Nigeria,Visa,2.741,2.0602,0.246
1998_331_Argentina,Argentina,Nike,2.422,1.9582,0.258
1930_332_Italy,Italy,Qatar Airways,2.907,1.9919,0.282
1950_333_South_Korea,South Korea,Nike,2.496,2.3976,0.1
1934_334_Morocco,Morocco,Emirates,2.131,1.6502,0.247
1970_335_Morocco,Morocco,Emirates,2.052,1.5848,0.238
1974_336_England,England,Emirates,2.921,2.6024,0.132
2022_337_Argentina,Argentina,Nike,2.838,2.0156,0.303
2006_338_Morocco,Morocco,Emirates,2.72,1.9553,0.315
1998_339_Qatar,Qatar,Nike,2.923,1.9284,0.568
1966_340_Spain,Spain,Pepsi,2.143,2.0962,0.063
1998_341_Netherlands,Netherlands,Puma,2.547,1.8408,0.252
1974_342_USA,USA,Samsung,2.547,1.9029,0.378
1962_343_Germany,Germany,Pepsi,2.518,1.9067,0.327
1938_344_Senegal,Senegal,Pepsi,2.89,2.0982,0.2
1970_345_Morocco,Morocco,Emirates,2.307,1.7682,0.267
1942_346_Brazil,Brazil,Nike,2.296,2.2524,0.088
1930_347_Croatia,Croatia,Qatar Airways,2.927,2.0579,0.337
2002_348_Argentina,Argentina,Nike,2.577,1.8626,0.275
1974_349_Senegal,Senegal,Pepsi,2.922,2.6663,0.202
1974_350_England,England,Emirates,3.092,2.6624,0.14
1998_351_Portugal,Portugal,Coca-Cola,2.586,1.9662,0.224
1990_352_England,England,Emirates,2.798,2.5074,0.127
1982_353_England,England,Emirates,2.468,1.7764,0.112
1950_354_Italy,Italy,Qatar Airways,3.084,2.6,0.299
1938_355_Nigeria,Nigeria,Visa,2.794,2.594,0.251
2002_356_Portugal,Portugal,Coca-Cola,2.666,1.9818,0.23
1942_357_Belgium,Belgium,Mastercard,2.526,1.9796,0.444
1982_358_Germany,Germany,Pepsi,2.426,1.8355,0.315
1946_359_South_Korea,South Korea,Nike,2.629,2.4622,0.105
1974_360_South_Korea,South Korea,Nike,2.344,2.3227,0.094
1986_361_Spain,Spain,Pepsi,2.128,2.1026,0.062
1930_362_Japan,Japan,Samsung,3.218,2.1287,0.267
1978_363_Belgium,Belgium,Mastercard,2.393,2.0674,0.421
1966_364_Spain,Spain,Pepsi,2.561,2.329,0.075
1958_365_Canada,Canada,Pepsi,2.775,2.1174,0.576
1990_366_Netherlands,Netherlands,Puma,2.547,2.3724,0.252
1998_367_South_Korea,South Korea,Nike,1.999,1.5911,0.08
1950_368_Argentina,Argentina,Nike,2.891,1.9976,0.308
1990_369_Spain,Spain,Pepsi,1.989,1.6644,0.058
1990_370_Ghana,Ghana,Visa,2.782,2.4184,0.397
1934_371_USA,USA,Samsung,2.558,2.4352,0.38
1978_372_Brazil,Brazil,Nike,2.359,2.306,0.09
1982_373_Argentina,Argentina,Nike,2.524,1.8261,0.269
1938_374_Ghana,Ghana,Visa,2.65,2.3539,0.378
1962_375_Saudi_Arabia,Saudi Arabia,Nike,2.881,2.7462,0.365
1954_376_South_Korea,South Korea,Nike,2.221,1.7186,0.089
2022_377_Ghana,Ghana,Visa,2.935,2.4923,0.419
1958_378_Japan,Japan,Samsung,2.506,1.964,0.208
1950_379_Spain,Spain,Pepsi,2.208,1.6012,0.065
1986_380_England,England,Emirates,2.7,2.435,0.122
1994_381_Mexico,Mexico,Emirates,2.644,2.5193,0.642
1966_382_Portugal,Portugal,Coca-Cola,2.38,1.7914,0.206
2014_383_Australia,Australia,Nike,2.677,2.4526,0.579
2006_384_Croatia,Croatia,Qatar Airways,2.67,1.9032,0.307
2006_385_Morocco,Morocco,Emirates,2.3,1.907,0.267
2002_386_Nigeria,Nigeria,Visa,2.661,2.2017,0.239
1954_387_Mexico,Mexico,Emirates,2.617,2.4722,0.635
1962_388_Australia,Australia,Nike,2.583,1.8937,0.559
1934_389_Ghana,Ghana,Visa,2.727,2.0554,0.389
1978_390_Netherlands,Netherlands,Puma,2.533,1.8325,0.251
1950_391_Canada,Canada,Pepsi,2.939,2.0335,0.61
2022_392_Mexico,Mexico,Emirates,2.459,2.4123,0.597
1946_393_Nigeria,Nigeria,Visa,2.894,2.1484,0.26
2010_394_Netherlands,Netherlands,Puma,2.656,1.8851,0.263
1958_395_USA,USA,Samsung,3.088,2.7417,0.459
2018_396_Brazil,Brazil,Nike,2.243,1.7222,0.086
1966_397_Morocco,Morocco,Emirates,2.395,1.9648,0.278
1982_398_France,France,Emirates,2.406,1.7647,0.121
2022_399_Japan,Japan,Samsung,2.522,1.9891,0.209
1990_400_Australia,Australia,Nike,3.136,2.1725,0.679
2022_401_Spain,Spain,Pepsi,2.067,1.7145,0.06
2018_402_Nigeria,Nigeria,Visa,3.601,3.0488,0.323
1962_403_Japan,Japan,Samsung,2.751,2.4574,0.228
1934_404_Argentina,Argentina,Nike,2.491,1.8166,0.266
1942_405_Netherlands,Netherlands,Puma,2.446,2.3397,0.242
2010_406_Morocco,Morocco,Emirates,2.67,2.0838,0.309
1966_407_Nigeria,Nigeria,Visa,2.586,1.9512,0.232
2010_408_Germany,Germany,Pepsi,2.951,2.3022,0.383
1986_409_USA,USA,Samsung,2.949,2.1288,0.438
1954_410_England,England,Emirates,2.783,2.4922,0.126
1986_411_Netherlands,Netherlands,Puma,2.515,2.3672,0.249
1978_412_Germany,Germany,Pepsi,2.794,2.5736,0.362
1942_413_Belgium,Belgium,Mastercard,2.353,1.8856,0.414
1990_414_Canada,Canada,Pepsi,2.672,2.0942,0.554
2002_415_Brazil,Brazil,Nike,2.082,1.6242,0.079
1934_416_Argentina,Argentina,Nike,3.0,2.093,0.32
1990_417_Argentina,Argentina,Nike,2.765,1.9572,0.295
2002_418_Spain,Spain,Pepsi,2.283,1.8213,0.067
1954_419_Australia,Australia,Nike,2.781,2.0006,0.602
2014_420_Netherlands,Netherlands,Puma,2.542,2.4049,0.252
1942_421_Belgium,Belgium,Mastercard,2.778,2.28,0.488
1990_422_Portugal,Portugal,Coca-Cola,2.472,2.393,0.214
2010_423_Netherlands,Netherlands,Puma,2.488,1.8308,0.247
1930_424_USA,USA,Samsung,3.273,2.4527,0.486
1954_425_Senegal,Senegal,Pepsi,2.984,2.7096,0.207
1986_426_Australia,Australia,Nike,2.942,2.6144,0.637
1986_427_South_Korea,South Korea,Nike,2.486,1.849,0.1
1982_428_Italy,Italy,Qatar Airways,2.638,2.0253,0.256
