text_id,source,domain,narrative_topic,sentiment_score,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,text_svd_11,text_svd_12,text_svd_13,text_svd_14,text_svd_15,text_svd_16,text_svd_17,text_svd_18,text_svd_19,text_svd_20,text_svd_21,text_svd_22,text_svd_23,text_svd_24,text_x,text_y
15,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.735355,0.683023,0.617479,0.734619,0.270944,0.719675,0.255322,0.530644,0.329426,0.632851,0.471147,0.632299,0.580267,0.550914,0.580695,0.552735,0.462709,0.391383,0.465403,0.507418,0.499856,0.537002,0.322923,0.605209,0.735355,0.683023
16,Wikimedia_chunk,wikipedia.org,reference_chunk,0.234,0.887824,0.190337,0.66064,0.770557,0.35577,0.64293,0.417353,0.544841,0.350555,0.5662,0.478877,0.568774,0.564631,0.476709,0.578758,0.48805,0.529387,0.352889,0.514861,0.42206,0.532692,0.572473,0.58144,0.54652,0.887824,0.190337
17,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.757029,0.660311,0.589827,0.754543,0.264487,0.723184,0.245232,0.497755,0.392524,0.634502,0.519275,0.606033,0.605101,0.497294,0.55821,0.529739,0.45957,0.378583,0.476507,0.534831,0.495326,0.605858,0.400502,0.531586,0.757029,0.660311
18,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.886492,0.161478,0.659752,0.831153,0.32147,0.679951,0.5234,0.696549,0.23925,0.591992,0.783145,0.634328,0.526545,0.577435,0.423579,0.617247,0.396905,0.560387,0.421854,0.599001,0.529837,0.622788,0.45163,0.434001,0.886492,0.161478
19,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.737001,0.738918,0.695831,0.574498,0.379912,0.746575,0.25786,0.671849,0.297198,0.649011,0.615224,0.63396,0.506474,0.581746,0.472135,0.477941,0.362726,0.483749,0.395886,0.504172,0.502633,0.662879,0.565195,0.344636,0.737001,0.738918
20,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.929082,0.466491,0.731586,0.740997,0.268922,0.251271,0.831219,0.432383,0.282267,0.581463,0.428706,0.536044,0.411886,0.378674,0.433152,0.527612,0.323413,0.391966,0.571767,0.357163,0.424051,0.609989,0.589498,0.644164,0.929082,0.466491
21,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.883719,0.581106,0.693897,0.759115,0.274272,0.479971,0.615627,0.484835,0.38156,0.52559,0.460721,0.551409,0.525438,0.366256,0.538376,0.61175,0.423423,0.512673,0.500699,0.473594,0.520868,0.66465,0.555425,0.482882,0.883719,0.581106
22,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.915582,0.316422,0.680258,0.757354,0.312059,0.58292,0.505992,0.537546,0.416835,0.513722,0.497645,0.51486,0.517147,0.424017,0.495284,0.593275,0.477216,0.437098,0.524605,0.457967,0.531134,0.574443,0.559396,0.489621,0.915582,0.316422
23,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.788038,0.710009,0.643353,0.771944,0.261937,0.645736,0.352046,0.51046,0.366042,0.598049,0.485942,0.550058,0.572947,0.511764,0.562106,0.574164,0.424509,0.439361,0.526143,0.482937,0.563403,0.624972,0.43275,0.478409,0.788038,0.710009
24,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.920615,0.172704,0.635162,0.768105,0.336395,0.665704,0.406207,0.509602,0.361946,0.516349,0.490251,0.553941,0.538512,0.426806,0.546158,0.482466,0.424895,0.417642,0.496109,0.430862,0.49009,0.539726,0.65951,0.463189,0.920615,0.172704
25,Wikimedia,wikipedia.org,reference_article,0.0,0.693735,0.66621,0.638838,0.780711,0.277185,0.708569,0.287313,0.523644,0.369256,0.624109,0.506277,0.584917,0.55836,0.499018,0.545871,0.540065,0.459576,0.416093,0.508707,0.49083,0.490601,0.600946,0.466056,0.478248,0.693735,0.66621
26,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.748112,0.648048,0.626076,0.833592,0.218201,0.689019,0.289791,0.67904,0.287186,0.5723,0.51244,0.653924,0.55876,0.545263,0.493726,0.764793,0.406217,0.391116,0.720043,0.584251,0.611865,0.630005,0.487116,0.54738,0.748112,0.648048
27,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.827187,0.677004,0.61843,0.816021,0.244208,0.66584,0.287517,0.694395,0.203825,0.557282,0.557193,0.572075,0.554959,0.582284,0.45656,0.879865,0.485125,0.278115,0.774607,0.575758,0.604672,0.839678,0.453858,0.388736,0.827187,0.677004
28,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.746913,0.719016,0.64924,0.807517,0.26117,0.688834,0.240403,0.572654,0.266629,0.624301,0.52053,0.611615,0.575506,0.609119,0.517587,0.681822,0.461696,0.361162,0.564519,0.549988,0.438606,0.824684,0.246256,0.391676,0.746913,0.719016
29,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.789179,0.830383,0.662804,0.811662,0.231307,0.568717,0.454255,0.607851,0.256534,0.559912,0.586072,0.592758,0.546336,0.535336,0.488964,0.849796,0.496787,0.397303,0.605084,0.550247,0.503473,0.808024,0.292207,0.435126,0.789179,0.830383
30,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.808,0.609516,0.497932,0.70466,0.294748,0.704646,0.285924,0.527886,0.327712,0.648362,0.533531,0.614588,0.564119,0.43485,0.578272,0.526723,0.494571,0.346428,0.416587,0.506516,0.498376,0.508751,0.507353,0.426609,0.808,0.609516
31,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.777702,0.738202,0.598834,0.761634,0.260071,0.728294,0.243265,0.489414,0.299303,0.679761,0.442603,0.616287,0.53826,0.485517,0.644714,0.602326,0.506587,0.359658,0.485655,0.498474,0.531187,0.544615,0.4021,0.494626,0.777702,0.738202
32,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.764036,0.596735,0.638115,0.801784,0.278094,0.720552,0.298347,0.562868,0.343686,0.639169,0.57386,0.581254,0.538352,0.475087,0.52799,0.50514,0.416029,0.559697,0.451312,0.530664,0.515093,0.624126,0.599857,0.423108,0.764036,0.596735
33,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.924001,0.182045,0.633486,0.790659,0.319262,0.675185,0.452453,0.642264,0.31127,0.597968,0.666446,0.58901,0.50756,0.471901,0.464551,0.499529,0.385887,0.529105,0.455611,0.541401,0.554774,0.611217,0.649763,0.380201,0.924001,0.182045
34,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.920601,0.190823,0.672524,0.779786,0.331619,0.634785,0.346548,0.49515,0.470764,0.587797,0.485093,0.524349,0.565461,0.412482,0.495572,0.578719,0.495672,0.357058,0.387156,0.500891,0.549818,0.567637,0.651057,0.442331,0.920601,0.190823
35,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.794595,0.889918,0.691089,0.772749,0.229825,0.420666,0.729671,0.56472,0.249715,0.495427,0.667717,0.566015,0.503264,0.52431,0.501389,0.627655,0.450138,0.644568,0.379276,0.493472,0.617277,0.543996,0.6485,0.478994,0.794595,0.889918
36,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.867797,0.577071,0.70892,0.770202,0.260714,0.601405,0.641668,0.51271,0.534966,0.362841,0.52411,0.413597,0.470347,0.343423,0.559076,0.506806,0.43219,0.493685,0.418168,0.497522,0.582716,0.543719,0.545408,0.38021,0.867797,0.577071
37,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.834791,0.795082,0.728339,0.749947,0.21825,0.435106,0.631549,0.54987,0.46498,0.406743,0.580811,0.392951,0.591461,0.300566,0.649386,0.420766,0.365845,0.392874,0.476729,0.542193,0.638936,0.443148,0.600496,0.440873,0.834791,0.795082
38,Wikimedia_chunk,wikipedia.org,reference_chunk,0.141,0.756048,0.732133,0.596432,0.766657,0.242401,0.673544,0.223564,0.408151,0.330361,0.598087,0.575825,0.537775,0.530982,0.513109,0.646717,0.301861,0.288663,0.434952,0.459649,0.430586,0.553883,0.631774,0.50598,0.079094,0.756048,0.732133
39,Wikimedia_chunk,wikipedia.org,reference_chunk,0.136,0.790487,0.701223,0.628291,0.786252,0.2846,0.709051,0.198894,0.431925,0.253719,0.536417,0.495573,0.626581,0.577281,0.593132,0.601692,0.601592,0.382923,0.339765,0.58567,0.476271,0.414648,0.702004,0.300072,0.286886,0.790487,0.701223
40,Wikimedia_chunk,wikipedia.org,reference_chunk,0.136,0.781937,0.641736,0.647029,0.794366,0.278732,0.708505,0.243461,0.46765,0.345035,0.62221,0.499928,0.5566,0.555801,0.494511,0.589982,0.47043,0.409994,0.471858,0.499023,0.449353,0.51446,0.649852,0.457564,0.414869,0.781937,0.641736
41,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.906603,0.225068,0.693741,0.775442,0.268789,0.66663,0.414632,0.576805,0.513343,0.512244,0.559317,0.441717,0.576882,0.398419,0.63947,0.392008,0.387571,0.274663,0.526286,0.535617,0.548314,0.56202,0.429768,0.348267,0.906603,0.225068
42,Wikimedia_chunk,wikipedia.org,reference_chunk,0.397,0.784084,0.691118,0.640159,0.764998,0.277671,0.657416,0.264113,0.482885,0.316726,0.625946,0.470512,0.592368,0.578586,0.56647,0.582431,0.649952,0.468916,0.351866,0.603411,0.518468,0.423453,0.777672,0.15342,0.334925,0.784084,0.691118
43,Wikimedia_chunk,wikipedia.org,reference_chunk,-0.136,0.759588,0.745822,0.681859,0.751908,0.251462,0.663797,0.335594,0.584455,0.325036,0.609499,0.630193,0.625956,0.578719,0.503948,0.539855,0.513966,0.426722,0.491556,0.476539,0.5066,0.562967,0.570161,0.646019,0.452429,0.759588,0.745822
44,Wikimedia_chunk,wikipedia.org,reference_chunk,0.132,0.76535,0.699784,0.670171,0.787029,0.268221,0.698824,0.343055,0.632226,0.383748,0.66108,0.625832,0.570661,0.559754,0.458259,0.581418,0.419803,0.331862,0.480151,0.478514,0.597168,0.595945,0.623583,0.545709,0.456598,0.76535,0.699784
45,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.95161,0.117803,0.659597,0.782307,0.344157,0.617555,0.483383,0.66495,0.324396,0.61559,0.670668,0.632484,0.534734,0.467933,0.457899,0.620657,0.407482,0.472584,0.479834,0.563421,0.57005,0.58492,0.566345,0.401802,0.95161,0.117803
46,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.891071,0.25696,0.640103,0.793467,0.312157,0.665062,0.441705,0.627682,0.297432,0.593392,0.64297,0.591141,0.507101,0.470442,0.478103,0.54577,0.406625,0.513529,0.459641,0.561822,0.56165,0.575646,0.573876,0.444082,0.891071,0.25696
47,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.903274,0.319459,0.633891,0.777945,0.295888,0.658365,0.447502,0.625372,0.323675,0.586589,0.627666,0.59324,0.530211,0.502351,0.482017,0.570075,0.391939,0.484449,0.496187,0.545219,0.519376,0.638589,0.521361,0.383336,0.903274,0.319459
48,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.812902,0.475219,0.671059,0.800285,0.260814,0.809863,0.418983,0.649739,0.401282,0.587952,0.658624,0.556835,0.495361,0.449866,0.481384,0.462807,0.386385,0.521189,0.412369,0.54404,0.556062,0.59056,0.557288,0.437582,0.812902,0.475219
49,Wikimedia,wikipedia.org,reference_article,0.0,0.693735,0.66621,0.638838,0.780711,0.277185,0.708569,0.287313,0.523644,0.369256,0.624109,0.506277,0.584917,0.55836,0.499018,0.545871,0.540065,0.459576,0.416093,0.508707,0.49083,0.490601,0.600946,0.466056,0.478248,0.693735,0.66621
50,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.748017,0.70582,0.61734,0.826566,0.230137,0.614106,0.239065,0.644477,0.31436,0.596022,0.466544,0.637458,0.514877,0.476065,0.462913,0.859272,0.292074,0.378209,0.840108,0.556377,0.748015,0.565357,0.561755,0.404678,0.748017,0.70582
51,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.72986,0.722231,0.678902,0.669005,0.406791,0.711662,0.220433,0.682316,0.355625,0.616608,0.520753,0.570856,0.560164,0.617516,0.483994,0.687397,0.490874,0.283709,0.579972,0.528834,0.501609,0.780802,0.376063,0.43085,0.72986,0.722231
52,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.843941,0.518196,0.66511,0.778379,0.302775,0.669536,0.244901,0.520875,0.316464,0.584936,0.492432,0.571599,0.601738,0.609396,0.549854,0.611783,0.500824,0.313205,0.541407,0.483456,0.466722,0.742458,0.302781,0.367295,0.843941,0.518196
53,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.847018,0.791963,0.690102,0.772771,0.278762,0.441975,0.477098,0.523456,0.295817,0.526864,0.429889,0.574136,0.522928,0.36879,0.628394,0.816527,0.434248,0.593975,0.62874,0.549096,0.587794,0.78953,0.426205,0.47995,0.847018,0.791963
54,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.730127,0.758289,0.659262,0.618436,0.506911,0.65721,0.221765,0.592169,0.378862,0.61947,0.519899,0.591488,0.54961,0.569742,0.502811,0.462228,0.372182,0.443006,0.459448,0.469238,0.582172,0.725409,0.487483,0.343961,0.730127,0.758289
55,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.737981,0.732066,0.649332,0.757263,0.343739,0.703902,0.32006,0.58678,0.363813,0.656982,0.526786,0.595545,0.531113,0.521042,0.549327,0.462986,0.409854,0.41322,0.45707,0.424039,0.535688,0.599472,0.534341,0.393706,0.737981,0.732066
56,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.738534,0.759053,0.669632,0.609373,0.465995,0.667174,0.247803,0.53763,0.341475,0.542638,0.540387,0.587824,0.53698,0.501651,0.517219,0.406255,0.330141,0.418264,0.393679,0.501613,0.518641,0.625443,0.574944,0.286567,0.738534,0.759053
57,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.801619,0.826502,0.757137,0.559013,0.38233,0.38647,0.563954,0.601313,0.307684,0.553147,0.622345,0.60301,0.52526,0.415254,0.500577,0.66193,0.434433,0.619863,0.364121,0.526903,0.601065,0.604565,0.607629,0.486203,0.801619,0.826502
58,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.819872,0.931763,0.700792,0.704605,0.313253,0.222159,0.753329,0.518776,0.347466,0.427412,0.572102,0.458085,0.563596,0.385746,0.639558,0.514276,0.491412,0.483272,0.4419,0.497586,0.578506,0.479597,0.660396,0.543438,0.819872,0.931763
59,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.817141,0.536197,0.685963,0.802791,0.301603,0.580374,0.506491,0.447164,0.327455,0.593982,0.437921,0.589716,0.574303,0.485209,0.687139,0.493198,0.617835,0.372789,0.368907,0.448175,0.589528,0.476666,0.576852,0.462217,0.817141,0.536197
60,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.99923,0.031542,0.694521,0.75997,0.367307,0.51347,0.576866,0.515082,0.379368,0.517726,0.451509,0.531466,0.520815,0.41543,0.608609,0.5563,0.541406,0.399866,0.48808,0.473631,0.598698,0.547183,0.632255,0.510708,0.99923,0.031542
61,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.855689,0.444316,0.504545,0.673237,0.280226,0.569466,0.458396,0.449574,0.358373,0.50459,0.46928,0.545694,0.529386,0.431779,0.550035,0.454882,0.438002,0.504871,0.443263,0.479703,0.509087,0.611932,0.702492,0.461786,0.855689,0.444316
62,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.934193,0.164524,0.678898,0.748681,0.306729,0.562846,0.399872,0.521297,0.418513,0.540899,0.453559,0.540793,0.55061,0.504797,0.53929,0.492409,0.472012,0.526189,0.441459,0.45006,0.499836,0.612442,0.710318,0.535576,0.934193,0.164524
63,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.930306,0.212087,0.682086,0.755891,0.327544,0.509279,0.498761,0.493138,0.362898,0.574011,0.516518,0.554884,0.599853,0.529445,0.504188,0.617562,0.506239,0.49328,0.494026,0.500645,0.582844,0.679176,0.561699,0.619757,0.930306,0.212087
64,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.944778,0.143286,0.660205,0.763576,0.328711,0.550361,0.481534,0.518617,0.379872,0.5273,0.503606,0.538991,0.544294,0.466847,0.552145,0.499355,0.504494,0.433877,0.47332,0.445575,0.50077,0.537537,0.647846,0.585687,0.944778,0.143286
65,Wikimedia_chunk,wikipedia.org,reference_chunk,0.124,0.838239,0.332262,0.670936,0.75832,0.308482,0.694316,0.377258,0.518515,0.447132,0.536992,0.482643,0.521985,0.537858,0.510579,0.555242,0.551471,0.492227,0.421608,0.514663,0.455771,0.478366,0.580498,0.42651,0.509302,0.838239,0.332262
66,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.86786,0.255263,0.645398,0.758923,0.317677,0.653438,0.427574,0.530731,0.452154,0.506051,0.492179,0.585998,0.47087,0.473095,0.524462,0.495621,0.523072,0.401975,0.553427,0.534613,0.534676,0.51723,0.497491,0.528837,0.86786,0.255263
67,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.845745,0.388893,0.651606,0.807096,0.315456,0.642691,0.331158,0.450193,0.361785,0.564997,0.474428,0.526904,0.587715,0.505364,0.521166,0.634224,0.545499,0.486938,0.491508,0.546362,0.522282,0.688536,0.460709,0.457107,0.845745,0.388893
68,Wikimedia_chunk,wikipedia.org,reference_chunk,0.121,0.908543,0.318081,0.668856,0.753823,0.318352,0.548398,0.405306,0.487533,0.384763,0.547046,0.462848,0.553263,0.604281,0.562852,0.533082,0.682907,0.502596,0.44893,0.588957,0.504537,0.511937,0.723001,0.405389,0.527077,0.908543,0.318081
69,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.875148,0.25029,0.662912,0.775126,0.332672,0.640981,0.395361,0.554188,0.399064,0.563578,0.484248,0.563096,0.575539,0.469114,0.533357,0.56832,0.455194,0.408081,0.575922,0.496371,0.513608,0.603681,0.528019,0.514993,0.875148,0.25029
70,Wikimedia_chunk,wikipedia.org,reference_chunk,0.125,0.863899,0.365332,0.658971,0.77778,0.309074,0.649206,0.384367,0.458204,0.418936,0.611134,0.511557,0.565642,0.599919,0.486953,0.504952,0.486935,0.424351,0.528343,0.506951,0.495322,0.629665,0.71657,0.596257,0.512295,0.863899,0.365332
71,Wikimedia,wikipedia.org,reference_article,0.0,0.686232,0.679358,0.661721,0.801245,0.228782,0.703115,0.280816,0.556118,0.403347,0.595586,0.46464,0.576666,0.597779,0.461149,0.623421,0.599773,0.36827,0.472482,0.64026,0.386219,0.500523,0.67682,0.516781,0.514538,0.686232,0.679358
72,Wikimedia,wikipedia.org,reference_article,0.0,0.693735,0.66621,0.638838,0.780711,0.277185,0.708569,0.287313,0.523644,0.369256,0.624109,0.506277,0.584917,0.55836,0.499018,0.545871,0.540065,0.459576,0.416093,0.508707,0.49083,0.490601,0.600946,0.466056,0.478248,0.693735,0.66621
73,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.800849,0.711152,0.627229,0.811307,0.224149,0.62156,0.30801,0.64389,0.25573,0.556379,0.399126,0.632502,0.578193,0.502694,0.53039,0.868681,0.432405,0.229815,0.853564,0.576596,0.685879,0.70023,0.549525,0.443103,0.800849,0.711152
74,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.779874,0.669901,0.657577,0.800804,0.293217,0.729119,0.287394,0.573868,0.247287,0.495563,0.485702,0.560901,0.557118,0.58442,0.541727,0.784201,0.56696,0.181055,0.632135,0.484082,0.512904,0.718541,0.370902,0.358036,0.779874,0.669901
75,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.763094,0.690782,0.651813,0.804431,0.28248,0.677027,0.22875,0.498019,0.27127,0.579228,0.469091,0.608565,0.604603,0.620458,0.552204,0.68042,0.47428,0.295732,0.590791,0.515086,0.407943,0.810755,0.173636,0.376794,0.763094,0.690782
76,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.818828,0.836938,0.677694,0.775689,0.262516,0.526051,0.499686,0.453108,0.279251,0.556265,0.499869,0.619878,0.621311,0.523043,0.639172,0.639492,0.584076,0.352479,0.489037,0.492942,0.577578,0.603958,0.391621,0.388496,0.818828,0.836938
77,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.766729,0.740983,0.634491,0.733393,0.249,0.723499,0.23147,0.486716,0.330109,0.63168,0.505776,0.620394,0.556306,0.506221,0.602818,0.536787,0.46134,0.391224,0.472564,0.495262,0.516426,0.588517,0.488353,0.375552,0.766729,0.740983
78,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.919324,0.190813,0.672508,0.742348,0.353796,0.646189,0.467783,0.566706,0.350339,0.613618,0.526447,0.597368,0.54069,0.478899,0.592427,0.470009,0.504311,0.395064,0.460098,0.427183,0.498569,0.490426,0.62979,0.420211,0.919324,0.190813
79,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.89764,0.259854,0.665826,0.75292,0.339452,0.650389,0.417467,0.536883,0.31496,0.660176,0.449525,0.643174,0.576238,0.495635,0.656865,0.491226,0.594639,0.262578,0.450986,0.444278,0.530599,0.505522,0.542232,0.410121,0.89764,0.259854
80,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.800786,0.911668,0.708842,0.758294,0.245,0.392695,0.685512,0.423653,0.237081,0.479003,0.466678,0.581367,0.567242,0.423077,0.663968,0.612764,0.613663,0.418751,0.416234,0.4236,0.526782,0.398707,0.635146,0.511821,0.800786,0.911668
81,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.783659,0.895519,0.696703,0.789877,0.208695,0.291871,0.576499,0.37254,0.239869,0.440781,0.414488,0.54467,0.501093,0.499542,0.579652,0.533677,0.626757,0.411722,0.212396,0.421394,0.647393,0.443899,0.883644,0.402356,0.783659,0.895519
82,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.838829,0.834209,0.747249,0.746106,0.223709,0.334679,0.795115,0.45225,0.57111,0.366915,0.604654,0.488914,0.547047,0.246844,0.585851,0.658187,0.57182,0.48729,0.393889,0.417001,0.561957,0.491004,0.632976,0.506028,0.838829,0.834209
83,Wikimedia_chunk,wikipedia.org,reference_chunk,0.141,0.787117,0.876069,0.673444,0.773652,0.183671,0.339331,0.543538,0.469609,0.436996,0.449613,0.469053,0.522835,0.610426,0.649316,0.549516,0.537236,0.57391,0.567714,0.386991,0.481335,0.42006,0.570601,0.449669,0.485709,0.787117,0.876069
84,Wikimedia_chunk,wikipedia.org,reference_chunk,0.0,0.780722,0.781396,0.600302,0.730097,0.259575,0.575018,0.411298,0.491716,0.360091,0.551291,0.493198,0.549837,0.56189,0.50787,0.548194,0.655723,0.465096,0.378829,0.566175,0.513218,0.543553,0.714745,0.387992,0.480228,0.780722,0.781396
