source,target,edge_type,weight
Greece team_defense_unit,Greece,player_team,2.423
Haiti team_attack_unit,Haiti,player_team,2.085
Haiti team_midfield_unit,Haiti,player_team,2.491
Haiti team_defense_unit,Haiti,player_team,1.495
Honduras team_attack_unit,Honduras,player_team,2.59
Honduras team_midfield_unit,Honduras,player_team,1.432
Honduras team_defense_unit,Honduras,player_team,0.891
Hungary team_attack_unit,Hungary,player_team,5.188
Hungary team_midfield_unit,Hungary,player_team,2.704
Hungary team_defense_unit,Hungary,player_team,7.461
Iceland team_attack_unit,Iceland,player_team,2.154
Iceland team_midfield_unit,Iceland,player_team,0.926
Iceland team_defense_unit,Iceland,player_team,1.993
Indonesia team_attack_unit,Indonesia,player_team,1.207
Indonesia team_midfield_unit,Indonesia,player_team,0.889
Indonesia team_defense_unit,Indonesia,player_team,1.185
Iran team_attack_unit,Iran,player_team,2.595
Iran team_midfield_unit,Iran,player_team,3.688
Iran team_defense_unit,Iran,player_team,3.366
Iraq team_attack_unit,Iraq,player_team,1.727
Iraq team_midfield_unit,Iraq,player_team,2.073
Iraq team_defense_unit,Iraq,player_team,1.216
Israel team_attack_unit,Israel,player_team,1.891
Israel team_midfield_unit,Israel,player_team,1.251
Israel team_defense_unit,Israel,player_team,0.978
Italy team_attack_unit,Italy,player_team,2.46
Italy team_midfield_unit,Italy,player_team,2.535
Italy team_defense_unit,Italy,player_team,5.844
Ivory Coast team_attack_unit,Ivory Coast,player_team,1.549
Ivory Coast team_midfield_unit,Ivory Coast,player_team,2.728
Ivory Coast team_defense_unit,Ivory Coast,player_team,2.023
Jamaica team_attack_unit,Jamaica,player_team,1.459
Jamaica team_midfield_unit,Jamaica,player_team,3.025
Jamaica team_defense_unit,Jamaica,player_team,3.226
Japan team_attack_unit,Japan,player_team,5.111
Japan team_midfield_unit,Japan,player_team,2.151
Japan team_defense_unit,Japan,player_team,2.06
Kuwait team_attack_unit,Kuwait,player_team,2.065
Kuwait team_midfield_unit,Kuwait,player_team,0.734
Kuwait team_defense_unit,Kuwait,player_team,0.905
Mexico team_attack_unit,Mexico,player_team,3.356
Mexico team_midfield_unit,Mexico,player_team,6.094
Mexico team_defense_unit,Mexico,player_team,3.831
Morocco team_attack_unit,Morocco,player_team,2.426
Morocco team_midfield_unit,Morocco,player_team,2.217
Morocco team_defense_unit,Morocco,player_team,6.358
Netherlands team_attack_unit,Netherlands,player_team,3.024
Netherlands team_midfield_unit,Netherlands,player_team,4.528
Netherlands team_defense_unit,Netherlands,player_team,4.308
New Zealand team_attack_unit,New Zealand,player_team,2.011
New Zealand team_midfield_unit,New Zealand,player_team,2.287
New Zealand team_defense_unit,New Zealand,player_team,2.84
Nigeria team_attack_unit,Nigeria,player_team,3.065
Nigeria team_midfield_unit,Nigeria,player_team,2.221
Nigeria team_defense_unit,Nigeria,player_team,2.25
North Korea team_attack_unit,North Korea,player_team,2.581
North Korea team_midfield_unit,North Korea,player_team,2.791
North Korea team_defense_unit,North Korea,player_team,0.795
Northern Ireland team_attack_unit,Northern Ireland,player_team,4.435
Northern Ireland team_midfield_unit,Northern Ireland,player_team,2.011
Northern Ireland team_defense_unit,Northern Ireland,player_team,2.622
Norway team_attack_unit,Norway,player_team,3.298
Norway team_midfield_unit,Norway,player_team,3.673
Norway team_defense_unit,Norway,player_team,1.192
Panama team_attack_unit,Panama,player_team,0.318
Panama team_midfield_unit,Panama,player_team,2.311
Panama team_defense_unit,Panama,player_team,0.858
Paraguay team_attack_unit,Paraguay,player_team,7.153
Paraguay team_midfield_unit,Paraguay,player_team,2.03
Paraguay team_defense_unit,Paraguay,player_team,3.485
Peru team_attack_unit,Peru,player_team,3.247
Peru team_midfield_unit,Peru,player_team,5.654
Peru team_defense_unit,Peru,player_team,4.013
Poland team_attack_unit,Poland,player_team,5.047
Poland team_midfield_unit,Poland,player_team,2.79
Poland team_defense_unit,Poland,player_team,4.839
Portugal team_attack_unit,Portugal,player_team,2.509
Portugal team_midfield_unit,Portugal,player_team,3.647
Portugal team_defense_unit,Portugal,player_team,4.343
Qatar team_attack_unit,Qatar,player_team,0.809
Qatar team_midfield_unit,Qatar,player_team,1.077
Qatar team_defense_unit,Qatar,player_team,1.73
Republic of Ireland team_attack_unit,Republic of Ireland,player_team,1.269
Republic of Ireland team_midfield_unit,Republic of Ireland,player_team,4.881
Republic of Ireland team_defense_unit,Republic of Ireland,player_team,3.668
Romania team_attack_unit,Romania,player_team,1.813
Romania team_midfield_unit,Romania,player_team,3.584
Romania team_defense_unit,Romania,player_team,2.51
Russia team_attack_unit,Russia,player_team,4.642
Russia team_midfield_unit,Russia,player_team,4.531
Russia team_defense_unit,Russia,player_team,3.507
Saudi Arabia team_attack_unit,Saudi Arabia,player_team,1.736
Saudi Arabia team_midfield_unit,Saudi Arabia,player_team,3.209
Saudi Arabia team_defense_unit,Saudi Arabia,player_team,4.558
Scotland team_attack_unit,Scotland,player_team,6.412
Scotland team_midfield_unit,Scotland,player_team,4.918
Scotland team_defense_unit,Scotland,player_team,4.052
Senegal team_attack_unit,Senegal,player_team,4.844
Senegal team_midfield_unit,Senegal,player_team,1.758
Senegal team_defense_unit,Senegal,player_team,1.667
Serbia team_attack_unit,Serbia,player_team,5.55
Serbia team_midfield_unit,Serbia,player_team,2.366
Serbia team_defense_unit,Serbia,player_team,5.37
Slovakia team_attack_unit,Slovakia,player_team,3.431
Slovakia team_midfield_unit,Slovakia,player_team,1.95
Slovakia team_defense_unit,Slovakia,player_team,1.082
Slovenia team_attack_unit,Slovenia,player_team,3.153
Slovenia team_midfield_unit,Slovenia,player_team,1.51
Slovenia team_defense_unit,Slovenia,player_team,3.247
South Africa team_attack_unit,South Africa,player_team,2.989
South Africa team_midfield_unit,South Africa,player_team,3.823
South Africa team_defense_unit,South Africa,player_team,3.258
South Korea team_attack_unit,South Korea,player_team,2.319
South Korea team_midfield_unit,South Korea,player_team,4.174
South Korea team_defense_unit,South Korea,player_team,4.601
Spain team_attack_unit,Spain,player_team,10.417
Spain team_midfield_unit,Spain,player_team,4.415
Spain team_defense_unit,Spain,player_team,3.256
Sweden team_attack_unit,Sweden,player_team,3.434
Sweden team_midfield_unit,Sweden,player_team,4.181
Sweden team_defense_unit,Sweden,player_team,4.411
Switzerland team_attack_unit,Switzerland,player_team,8.226
Switzerland team_midfield_unit,Switzerland,player_team,2.078
Switzerland team_defense_unit,Switzerland,player_team,5.107
Togo team_attack_unit,Togo,player_team,1.47
Togo team_midfield_unit,Togo,player_team,1.738
Togo team_defense_unit,Togo,player_team,2.816
Trinidad and Tobago team_attack_unit,Trinidad and Tobago,player_team,1.54
Trinidad and Tobago team_midfield_unit,Trinidad and Tobago,player_team,1.693
Trinidad and Tobago team_defense_unit,Trinidad and Tobago,player_team,0.997
Tunisia team_attack_unit,Tunisia,player_team,4.143
Tunisia team_midfield_unit,Tunisia,player_team,2.119
Tunisia team_defense_unit,Tunisia,player_team,3.819
Turkey team_attack_unit,Turkey,player_team,5.336
Turkey team_midfield_unit,Turkey,player_team,4.996
Turkey team_defense_unit,Turkey,player_team,4.185
Ukraine team_attack_unit,Ukraine,player_team,1.618
Ukraine team_midfield_unit,Ukraine,player_team,2.925
Ukraine team_defense_unit,Ukraine,player_team,1.253
United Arab Emirates team_attack_unit,United Arab Emirates,player_team,2.175
United Arab Emirates team_midfield_unit,United Arab Emirates,player_team,0.793
United Arab Emirates team_defense_unit,United Arab Emirates,player_team,2.294
United States team_attack_unit,United States,player_team,3.01
United States team_midfield_unit,United States,player_team,3.295
United States team_defense_unit,United States,player_team,4.483
Uruguay team_attack_unit,Uruguay,player_team,8.684
Uruguay team_midfield_unit,Uruguay,player_team,3.892
Uruguay team_defense_unit,Uruguay,player_team,7.331
Wales team_attack_unit,Wales,player_team,1.809
Wales team_midfield_unit,Wales,player_team,1.813
Wales team_defense_unit,Wales,player_team,3.322
Yugoslavia team_attack_unit,Yugoslavia,player_team,1.841
Yugoslavia team_midfield_unit,Yugoslavia,player_team,4.177
Yugoslavia team_defense_unit,Yugoslavia,player_team,3.01
