team,coach_name,coach_wc_matches,coach_win_rate,coach_tenure_years,international_titles,data_origin
Republic of Ireland,Republic of Ireland national team coach,2,0.254,1.4,0,proxy_from_real_team_history
Romania,Romania national team coach,3,0.418,1.7,0,proxy_from_real_team_history
Russia,Russia national team coach,8,0.47,2.7,1,proxy_from_real_team_history
Saudi Arabia,Saudi Arabia national team coach,3,0.304,1.7,0,proxy_from_real_team_history
Scotland,Scotland national team coach,4,0.286,2.0,0,proxy_from_real_team_history
Senegal,Senegal national team coach,2,0.422,1.4,0,proxy_from_real_team_history
Serbia,Serbia national team coach,2,0.324,1.4,0,proxy_from_real_team_history
Slovakia,Slovakia national team coach,1,0.281,0.9,0,proxy_from_real_team_history
Slovenia,Slovenia national team coach,1,0.239,0.9,0,proxy_from_real_team_history
South Africa,South Africa national team coach,1,0.288,0.9,0,proxy_from_real_team_history
South Korea,South Korea national team coach,6,0.31,2.4,0,proxy_from_real_team_history
Spain,Spain national team coach,12,0.51,3.2,1,proxy_from_real_team_history
Sweden,Sweden national team coach,9,0.442,2.9,0,proxy_from_real_team_history
Switzerland,Switzerland national team coach,7,0.415,2.6,0,proxy_from_real_team_history
Togo,Togo national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Trinidad and Tobago,Trinidad and Tobago national team coach,1,0.16,0.9,0,proxy_from_real_team_history
Tunisia,Tunisia national team coach,3,0.274,1.7,0,proxy_from_real_team_history
Turkey,Turkey national team coach,1,0.471,0.9,1,proxy_from_real_team_history
Ukraine,Ukraine national team coach,1,0.385,0.9,0,proxy_from_real_team_history
United Arab Emirates,United Arab Emirates national team coach,1,0.16,0.9,0,proxy_from_real_team_history
United States,United States national team coach,6,0.348,2.4,0,proxy_from_real_team_history
Uruguay,Uruguay national team coach,10,0.48,3.0,1,proxy_from_real_team_history
Wales,Wales national team coach,1,0.22,0.9,0,proxy_from_real_team_history
Yugoslavia,Yugoslavia national team coach,5,0.461,2.2,0,proxy_from_real_team_history
