team,sponsor,sponsor_category,sponsor_spend_m,ad_exposure_m,brand_heat_index,paid_media_share,brand_fit,activation_quality,historical_sports_presence,data_origin
Ukraine,Qatar Airways,airline,29.32,340.0,1.0,0.318,0.719,0.866,0.627,real_sponsor_names_with_proxy_commercial_metrics
South Korea,Hisense,technology,27.58,200.0,1.0,0.304,0.743,0.851,0.581,real_sponsor_names_with_proxy_commercial_metrics
Peru,Budweiser,beverage,26.06,340.0,1.0,0.128,0.717,0.895,0.639,real_sponsor_names_with_proxy_commercial_metrics
Ivory Coast,McDonald's,restaurant,22.15,73.96,0.515,0.634,0.643,0.704,0.638,real_sponsor_names_with_proxy_commercial_metrics
Australia,Mengniu,consumer_goods,22.65,65.37,0.425,0.431,0.671,0.635,0.658,real_sponsor_names_with_proxy_commercial_metrics
Serbia,Vivo,technology,21.9,69.06,0.464,0.51,0.666,0.71,0.613,real_sponsor_names_with_proxy_commercial_metrics
Scotland,Adidas,apparel,28.08,510.0,1.0,0.48,0.681,0.84,0.902,real_sponsor_names_with_proxy_commercial_metrics
Morocco,Coca-Cola,beverage,27.12,200.0,1.0,0.613,0.622,0.927,0.855,real_sponsor_names_with_proxy_commercial_metrics
German DR,Visa,finance,32.18,360.0,1.0,0.444,0.68,0.845,0.836,real_sponsor_names_with_proxy_commercial_metrics
Cameroon,Hyundai,automotive,31.3,470.0,1.0,0.384,0.633,0.913,0.877,real_sponsor_names_with_proxy_commercial_metrics
Saudi Arabia,Qatar Airways,airline,26.92,340.0,1.0,0.324,0.699,0.934,0.622,real_sponsor_names_with_proxy_commercial_metrics
Northern Ireland,Hisense,technology,31.44,200.0,1.0,0.506,0.657,0.926,0.611,real_sponsor_names_with_proxy_commercial_metrics
Algeria,Budweiser,beverage,26.04,340.0,1.0,0.304,0.655,0.894,0.552,real_sponsor_names_with_proxy_commercial_metrics
Norway,McDonald's,restaurant,23.5,65.01,0.421,0.4,0.683,0.622,0.605,real_sponsor_names_with_proxy_commercial_metrics
Cuba,Mengniu,consumer_goods,19.78,73.57,0.511,0.427,0.626,0.653,0.609,real_sponsor_names_with_proxy_commercial_metrics
Jamaica,Vivo,technology,20.24,71.64,0.491,0.295,0.61,0.692,0.605,real_sponsor_names_with_proxy_commercial_metrics
Iran,Adidas,apparel,30.78,510.0,1.0,0.311,0.62,0.853,0.887,real_sponsor_names_with_proxy_commercial_metrics
Tunisia,Coca-Cola,beverage,31.38,200.0,1.0,0.424,0.692,0.927,0.83,real_sponsor_names_with_proxy_commercial_metrics
Bulgaria,Visa,finance,32.25,360.0,1.0,0.306,0.634,0.841,0.804,real_sponsor_names_with_proxy_commercial_metrics
South Africa,Hyundai,automotive,29.92,470.0,1.0,0.394,0.626,0.895,0.825,real_sponsor_names_with_proxy_commercial_metrics
Greece,Qatar Airways,airline,29.82,340.0,1.0,0.489,0.635,0.912,0.566,real_sponsor_names_with_proxy_commercial_metrics
Republic of Ireland,Hisense,technology,31.73,200.0,1.0,0.554,0.651,0.844,0.646,real_sponsor_names_with_proxy_commercial_metrics
Bosnia and Herzegovina,Budweiser,beverage,31.82,340.0,1.0,0.364,0.628,0.853,0.594,real_sponsor_names_with_proxy_commercial_metrics
Slovakia,McDonald's,restaurant,19.55,63.55,0.406,0.422,0.649,0.624,0.644,real_sponsor_names_with_proxy_commercial_metrics
Czech Republic,Mengniu,consumer_goods,17.25,73.44,0.51,0.174,0.633,0.704,0.653,real_sponsor_names_with_proxy_commercial_metrics
Slovenia,Vivo,technology,22.17,76.75,0.545,0.648,0.588,0.673,0.582,real_sponsor_names_with_proxy_commercial_metrics
North Korea,Adidas,apparel,29.14,510.0,1.0,0.658,0.649,0.88,0.851,real_sponsor_names_with_proxy_commercial_metrics
Wales,Coca-Cola,beverage,33.88,200.0,1.0,0.497,0.649,0.915,0.881,real_sponsor_names_with_proxy_commercial_metrics
Honduras,Visa,finance,29.59,360.0,1.0,0.597,0.556,0.936,0.83,real_sponsor_names_with_proxy_commercial_metrics
Egypt,Hyundai,automotive,27.85,470.0,1.0,0.244,0.638,0.926,0.84,real_sponsor_names_with_proxy_commercial_metrics
Canada,Qatar Airways,airline,30.48,340.0,1.0,0.164,0.581,0.858,0.584,real_sponsor_names_with_proxy_commercial_metrics
Bolivia,Hisense,technology,27.7,200.0,1.0,0.383,0.637,0.928,0.649,real_sponsor_names_with_proxy_commercial_metrics
El Salvador,Budweiser,beverage,30.69,340.0,1.0,0.316,0.623,0.918,0.658,real_sponsor_names_with_proxy_commercial_metrics
New Zealand,McDonald's,restaurant,19.23,67.37,0.446,0.382,0.614,0.703,0.571,real_sponsor_names_with_proxy_commercial_metrics
Haiti,Mengniu,consumer_goods,19.09,80.82,0.588,0.658,0.529,0.732,0.638,real_sponsor_names_with_proxy_commercial_metrics
Qatar,Vivo,technology,20.64,62.39,0.394,0.294,0.612,0.645,0.647,real_sponsor_names_with_proxy_commercial_metrics
China,Adidas,apparel,32.38,510.0,1.0,0.182,0.585,0.895,0.822,real_sponsor_names_with_proxy_commercial_metrics
Angola,Coca-Cola,beverage,33.65,200.0,1.0,0.567,0.615,0.9,0.808,real_sponsor_names_with_proxy_commercial_metrics
Iceland,Visa,finance,26.72,360.0,1.0,0.381,0.618,0.842,0.893,real_sponsor_names_with_proxy_commercial_metrics
DR Congo,Hyundai,automotive,28.43,470.0,1.0,0.403,0.625,0.903,0.803,real_sponsor_names_with_proxy_commercial_metrics
Panama,Qatar Airways,airline,27.22,340.0,1.0,0.338,0.607,0.911,0.64,real_sponsor_names_with_proxy_commercial_metrics
Kuwait,Hisense,technology,29.15,200.0,1.0,0.258,0.534,0.859,0.658,real_sponsor_names_with_proxy_commercial_metrics
Israel,Budweiser,beverage,28.76,340.0,1.0,0.533,0.566,0.863,0.594,real_sponsor_names_with_proxy_commercial_metrics
Iraq,McDonald's,restaurant,21.52,70.14,0.475,0.346,0.539,0.706,0.64,real_sponsor_names_with_proxy_commercial_metrics
Trinidad and Tobago,Mengniu,consumer_goods,22.12,67.99,0.453,0.298,0.603,0.706,0.596,real_sponsor_names_with_proxy_commercial_metrics
Togo,Vivo,technology,20.76,66.58,0.438,0.358,0.628,0.626,0.552,real_sponsor_names_with_proxy_commercial_metrics
United Arab Emirates,Adidas,apparel,33.47,510.0,1.0,0.421,0.596,0.845,0.887,real_sponsor_names_with_proxy_commercial_metrics
Indonesia,Coca-Cola,beverage,27.26,200.0,1.0,0.665,0.552,0.877,0.881,real_sponsor_names_with_proxy_commercial_metrics
