panel_id,team,sponsor,stage,predicted_roi,media_value_index,fan_conversion_rate,social_spread_index,brand_influence_score,commercial_decision_score
1998_565_Brazil,Brazil,Adidas,group_or_knockout,4.295,0.549051,0.699578,0.63428,0.900554,0.736776
2014_821_Brazil,Brazil,Adidas,group_or_knockout,4.361,0.516067,0.696876,0.575837,0.900554,0.733943
1998_556_Spain,Spain,Budweiser,group_or_knockout,4.126,0.719788,0.658411,0.753846,0.728164,0.732908
2022_954_South_Korea,South Korea,Hisense,group_or_knockout,4.437,0.687572,0.591259,0.476503,0.660317,0.729806
1986_400_Brazil,Brazil,Adidas,group_or_knockout,4.284,0.500823,0.684434,0.674341,0.900554,0.726867
2006_671_Brazil,Brazil,Adidas,group_or_knockout,4.311,0.500381,0.686058,0.626144,0.900554,0.72567
1998_573_Brazil,Brazil,Adidas,group_or_knockout,4.263,0.537896,0.692448,0.616819,0.900554,0.724247
1998_533_Brazil,Brazil,Adidas,group_or_knockout,4.306,0.492648,0.680992,0.625221,0.900554,0.721936
2022_914_Brazil,Brazil,Adidas,group_or_knockout,4.28,0.533587,0.693383,0.57177,0.900554,0.720533
2002_605_Italy,Italy,Visa,group_or_knockout,4.183,0.684074,0.525896,0.698045,0.874646,0.71934
1994_482_Brazil,Brazil,Adidas,group_or_knockout,4.29,0.484176,0.678239,0.64082,0.900554,0.718587
1982_312_Hungary,Hungary,Adidas,tournament,4.303,0.646742,0.639886,0.557489,0.691749,0.717479
1982_322_Brazil,Brazil,Adidas,tournament,4.278,0.486008,0.675927,0.640612,0.900554,0.716164
1994_510_Netherlands,Netherlands,Hisense,group_or_knockout,4.048,0.651881,0.652852,0.748408,0.882297,0.716149
2018_847_Switzerland,Switzerland,Visa,group_or_knockout,4.367,0.593235,0.563263,0.599883,0.745008,0.715871
1990_456_Spain,Spain,Budweiser,group_or_knockout,4.063,0.660984,0.635202,0.839377,0.728164,0.715272
1970_217_Brazil,Brazil,Adidas,tournament,4.288,0.454219,0.668602,0.670534,0.900554,0.714025
2010_720_North_Korea,North Korea,Adidas,group_or_knockout,4.475,0.638802,0.495916,0.512456,0.645981,0.713052
1994_493_Brazil,Brazil,Adidas,group_or_knockout,4.274,0.474784,0.672486,0.641647,0.900554,0.712427
2022_949_Netherlands,Netherlands,Hisense,group_or_knockout,4.083,0.660566,0.656541,0.653418,0.882297,0.712367
1994_496_Cameroon,Cameroon,Hyundai,group_or_knockout,4.262,0.74647,0.491478,0.636875,0.654762,0.711989
2010_736_Italy,Italy,Visa,group_or_knockout,4.215,0.64838,0.515817,0.644558,0.874646,0.708532
1950_70_Brazil,Brazil,Adidas,tournament,4.28,0.442115,0.664472,0.663737,0.900554,0.70808
2018_894_Belgium,Belgium,Visa,group_or_knockout,4.377,0.656537,0.517553,0.517236,0.704752,0.707957
2018_900_Croatia,Croatia,Hisense,group_or_knockout,4.245,0.829545,0.42967,0.552642,0.688495,0.707349
2014_773_Brazil,Brazil,Adidas,group_or_knockout,4.305,0.500636,0.680304,0.498827,0.900554,0.705676
1998_517_Scotland,Scotland,Adidas,group_or_knockout,4.454,0.613952,0.481317,0.529541,0.659456,0.704532
2018_887_Spain,Spain,Budweiser,group_or_knockout,4.186,0.620937,0.629992,0.653729,0.728164,0.70393
2022_910_Costa_Rica,Costa Rica,Visa,group_or_knockout,4.136,0.810632,0.568533,0.567425,0.635323,0.703316
1938_37_Brazil,Brazil,Adidas,tournament,4.248,0.453648,0.661914,0.642114,0.900554,0.700783
2010_735_Ivory_Coast,Ivory Coast,McDonald's,group_or_knockout,4.445,0.668125,0.65206,0.479141,0.270527,0.699449
1998_577_Brazil,Brazil,Adidas,group_or_knockout,4.236,0.471022,0.667421,0.613384,0.900554,0.699194
1994_473_Brazil,Brazil,Adidas,group_or_knockout,4.276,0.438883,0.659407,0.609453,0.900554,0.698064
2018_887_Russia,Russia,Hyundai,group_or_knockout,4.186,0.620937,0.5943,0.60397,0.802854,0.698008
2018_889_Mexico,Mexico,Vivo,group_or_knockout,4.381,0.597953,0.748441,0.476857,0.362371,0.697531
1958_133_Brazil,Brazil,Adidas,tournament,4.223,0.449133,0.658225,0.662741,0.900554,0.697055
1998_526_Spain,Spain,Budweiser,group_or_knockout,4.049,0.663171,0.633136,0.715017,0.728164,0.695194
1986_405_Brazil,Brazil,Adidas,group_or_knockout,4.227,0.444366,0.659849,0.648276,0.900554,0.695066
1982_355_Brazil,Brazil,Adidas,tournament,4.007,0.57062,0.676215,0.736014,0.900554,0.694435
1990_430_Germany,Germany,Coca-Cola,group_or_knockout,4.145,0.626538,0.572663,0.632341,0.834073,0.694307
2002_633_Brazil,Brazil,Adidas,group_or_knockout,4.25,0.45652,0.661914,0.58485,0.900554,0.693794
2010_760_Germany,Germany,Coca-Cola,group_or_knockout,4.075,0.680602,0.584561,0.624041,0.834073,0.693297
2014_829_Colombia,Colombia,Mengniu,group_or_knockout,4.413,0.595713,0.765608,0.448098,0.269293,0.693141
1990_456_Yugoslavia,Yugoslavia,Qatar Airways,group_or_knockout,4.063,0.660984,0.587016,0.819481,0.61998,0.692995
1998_571_Argentina,Argentina,Hyundai,group_or_knockout,4.115,0.650235,0.515314,0.702377,0.824585,0.692104
2018_841_France,France,Qatar Airways,group_or_knockout,4.134,0.647773,0.578715,0.59089,0.829643,0.69164
2022_964_France,France,Qatar Airways,group_or_knockout,4.081,0.71619,0.597054,0.528166,0.829643,0.690699
2006_667_Netherlands,Netherlands,Hisense,group_or_knockout,4.055,0.587757,0.630136,0.682016,0.882297,0.690046
2022_961_Argentina,Argentina,Hyundai,group_or_knockout,4.109,0.673976,0.521509,0.649538,0.824585,0.689854
2010_762_Netherlands,Netherlands,Hisense,group_or_knockout,4.085,0.579596,0.629695,0.648361,0.882297,0.68941
2018_898_England,England,McDonald's,group_or_knockout,3.831,0.84215,0.673267,0.834805,0.452957,0.687803
1986_398_Russia,Russia,Hyundai,group_or_knockout,4.122,0.627351,0.590365,0.612899,0.802854,0.687267
1978_307_Brazil,Brazil,Adidas,tournament,4.205,0.426683,0.650653,0.654434,0.900554,0.686019
2022_930_Switzerland,Switzerland,Visa,group_or_knockout,4.321,0.552891,0.542807,0.538375,0.745008,0.685578
2022_964_Argentina,Argentina,Hyundai,group_or_knockout,4.081,0.71619,0.5309,0.573758,0.824585,0.684669
2014_788_Mexico,Mexico,Vivo,group_or_knockout,4.391,0.531647,0.729413,0.49461,0.362371,0.683987
2014_776_Netherlands,Netherlands,Hisense,group_or_knockout,3.987,0.652093,0.643411,0.615226,0.882297,0.683751
2002_589_Brazil,Brazil,Adidas,group_or_knockout,4.223,0.45703,0.658225,0.548349,0.900554,0.682777
1998_577_Netherlands,Netherlands,Hisense,group_or_knockout,4.236,0.471022,0.607523,0.582184,0.882297,0.682219
1970_225_Brazil,Brazil,Adidas,tournament,4.257,0.41397,0.650458,0.5723,0.900554,0.682003
2022_951_France,France,Qatar Airways,group_or_knockout,4.079,0.671871,0.579598,0.557595,0.829643,0.68153
2018_885_France,France,Qatar Airways,group_or_knockout,4.104,0.686002,0.58604,0.490334,0.829643,0.681341
2014_806_Cameroon,Cameroon,Hyundai,group_or_knockout,4.45,0.610056,0.458539,0.385677,0.654762,0.678171
2018_853_Egypt,Egypt,Hyundai,group_or_knockout,4.318,0.693952,0.460368,0.445152,0.637317,0.677357
1990_417_Sweden,Sweden,Budweiser,group_or_knockout,4.328,0.522567,0.498947,0.587773,0.721092,0.676925
2022_958_Netherlands,Netherlands,Hisense,group_or_knockout,4.004,0.626308,0.63515,0.584902,0.882297,0.675718
1982_326_Russia,Russia,Hyundai,tournament,4.159,0.522939,0.559636,0.668896,0.802854,0.673943
1982_337_Brazil,Brazil,Adidas,tournament,4.253,0.399753,0.64264,0.550684,0.900554,0.673648
2018_896_Russia,Russia,Hyundai,group_or_knockout,4.146,0.610108,0.585793,0.511617,0.802854,0.673231
2018_885_Argentina,Argentina,Hyundai,group_or_knockout,4.104,0.686002,0.522886,0.504567,0.824585,0.67146
2006_669_Italy,Italy,Visa,group_or_knockout,4.105,0.614458,0.492115,0.618745,0.874646,0.671371
1990_443_Brazil,Brazil,Adidas,group_or_knockout,4.228,0.385821,0.638509,0.595414,0.900554,0.671143
1986_376_Brazil,Brazil,Adidas,group_or_knockout,4.223,0.380124,0.634133,0.615439,0.900554,0.670914
1998_571_England,England,McDonald's,group_or_knockout,4.115,0.650235,0.638119,0.64945,0.452957,0.669636
2006_708_France,France,Qatar Airways,group_or_knockout,4.055,0.602459,0.558259,0.61487,0.829643,0.665677
1998_573_Denmark,Denmark,Adidas,group_or_knockout,4.263,0.537896,0.502441,0.483249,0.837247,0.665016
1986_364_Argentina,Argentina,Hyundai,group_or_knockout,4.093,0.575476,0.489845,0.689318,0.824585,0.66488
2022_953_Japan,Japan,Adidas,group_or_knockout,3.995,0.725509,0.528218,0.62383,0.711341,0.664864
1982_359_France,France,Qatar Airways,tournament,3.773,0.718282,0.568626,0.810323,0.829643,0.664454
1974_244_Yugoslavia,Yugoslavia,Qatar Airways,tournament,4.067,0.639123,0.576691,0.65727,0.61998,0.664411
2022_924_France,France,Qatar Airways,group_or_knockout,4.07,0.627645,0.564454,0.532079,0.829643,0.663717
2014_812_Colombia,Colombia,Mengniu,group_or_knockout,3.995,0.741192,0.753547,0.615112,0.269293,0.663448
1978_305_Brazil,Brazil,Adidas,tournament,4.174,0.405351,0.638705,0.585223,0.900554,0.663337
1990_431_Brazil,Brazil,Adidas,group_or_knockout,4.212,0.377697,0.632756,0.581162,0.900554,0.663151
1998_553_France,France,Qatar Airways,group_or_knockout,4.116,0.560575,0.549804,0.58603,0.829643,0.663002
1978_284_Brazil,Brazil,Adidas,tournament,4.171,0.368072,0.625379,0.662619,0.900554,0.662978
2018_842_Argentina,Argentina,Hyundai,group_or_knockout,4.121,0.602234,0.496728,0.583769,0.824585,0.662783
2014_812_Japan,Japan,Adidas,group_or_knockout,3.995,0.741192,0.532348,0.571146,0.711341,0.661682
2014_798_France,France,Qatar Airways,group_or_knockout,3.965,0.698868,0.576547,0.537782,0.829643,0.661535
2002_642_Turkey,Turkey,Hyundai,group_or_knockout,4.358,0.535489,0.442419,0.474095,0.730971,0.660616
1982_331_France,France,Qatar Airways,tournament,4.134,0.539064,0.542232,0.581071,0.829643,0.659783
1998_556_Bulgaria,Bulgaria,Visa,group_or_knockout,4.126,0.719788,0.468166,0.576795,0.583058,0.659366
1986_366_Russia,Russia,Hyundai,group_or_knockout,4.061,0.576058,0.567156,0.608757,0.802854,0.659126
2010_760_England,England,McDonald's,group_or_knockout,4.075,0.680602,0.644068,0.572857,0.452957,0.658731
2018_865_Germany,Germany,Coca-Cola,group_or_knockout,4.032,0.622525,0.55791,0.562559,0.834073,0.658586
2022_950_Argentina,Argentina,Hyundai,group_or_knockout,4.08,0.624784,0.500612,0.570306,0.824585,0.658426
2002_605_Croatia,Croatia,Hisense,group_or_knockout,4.183,0.684074,0.375484,0.586309,0.688495,0.658008
2022_924_Denmark,Denmark,Adidas,group_or_knockout,4.07,0.627645,0.515417,0.53912,0.837247,0.656637
1982_357_Germany,Germany,Coca-Cola,tournament,4.006,0.601854,0.549403,0.625351,0.834073,0.656141
2014_776_Spain,Spain,Budweiser,group_or_knockout,3.987,0.652093,0.617253,0.560337,0.728164,0.655945
2014_798_Switzerland,Switzerland,Visa,group_or_knockout,3.965,0.698868,0.561681,0.576995,0.745008,0.655886
1950_72_Brazil,Brazil,Adidas,tournament,4.2,0.361433,0.624249,0.581121,0.900554,0.655656
1998_553_Denmark,Denmark,Adidas,group_or_knockout,4.116,0.560575,0.497766,0.59307,0.837247,0.655381
1998_521_France,France,Qatar Airways,group_or_knockout,4.154,0.527994,0.541101,0.536114,0.829643,0.654817
2006_708_Italy,Italy,Visa,group_or_knockout,4.055,0.602459,0.481985,0.602639,0.874646,0.654736
1982_357_France,France,Qatar Airways,tournament,4.006,0.601854,0.552259,0.612548,0.829643,0.65442
2006_669_United_States,United States,Mengniu,group_or_knockout,4.105,0.614458,0.75478,0.60227,0.252885,0.654168
2018_891_Switzerland,Switzerland,Visa,group_or_knockout,3.927,0.652123,0.54329,0.708571,0.745008,0.653175
2018_860_Costa_Rica,Costa Rica,Visa,group_or_knockout,4.343,0.551622,0.500046,0.403595,0.635323,0.652128
2014_789_Russia,Russia,Hyundai,group_or_knockout,4.077,0.569743,0.563715,0.55013,0.802854,0.652083
2002_582_Germany,Germany,Coca-Cola,group_or_knockout,4.041,0.630589,0.561598,0.483966,0.834073,0.651806
1998_526_Nigeria,Nigeria,Coca-Cola,group_or_knockout,4.049,0.663171,0.523348,0.601585,0.648902,0.651626
2014_827_Argentina,Argentina,Hyundai,group_or_knockout,4.069,0.576022,0.485468,0.629224,0.824585,0.651039
2022_902_Netherlands,Netherlands,Hisense,group_or_knockout,3.856,0.613236,0.616708,0.659598,0.882297,0.650625
2014_827_Switzerland,Switzerland,Visa,group_or_knockout,4.069,0.576022,0.531444,0.623158,0.745008,0.650508
2010_719_Netherlands,Netherlands,Hisense,group_or_knockout,3.988,0.531303,0.603486,0.613517,0.882297,0.64995
1986_366_Hungary,Hungary,Adidas,group_or_knockout,4.061,0.576058,0.59017,0.588832,0.691749,0.649368
2006_699_Ghana,Ghana,Vivo,group_or_knockout,4.326,0.552218,0.709512,0.365609,0.314982,0.649239
2018_871_Spain,Spain,Budweiser,group_or_knockout,3.987,0.617911,0.606239,0.571428,0.728164,0.647995
1994_473_Russia,Russia,Hyundai,group_or_knockout,4.276,0.438883,0.539971,0.474232,0.802854,0.647865
1990_451_Brazil,Brazil,Adidas,group_or_knockout,4.172,0.373331,0.625379,0.544769,0.900554,0.647834
2006_656_Brazil,Brazil,Adidas,group_or_knockout,4.151,0.401605,0.632951,0.517513,0.900554,0.647436
2022_926_Spain,Spain,Budweiser,group_or_knockout,3.928,0.626207,0.604369,0.637197,0.728164,0.646989
1998_570_Netherlands,Netherlands,Hisense,group_or_knockout,3.995,0.508639,0.596602,0.618727,0.882297,0.645843
1978_276_Brazil,Brazil,Adidas,tournament,4.174,0.353036,0.621496,0.563884,0.900554,0.645743
2006_645_Germany,Germany,Coca-Cola,group_or_knockout,4.064,0.593546,0.549208,0.481735,0.834073,0.645676
2010_727_France,France,Qatar Airways,group_or_knockout,4.056,0.571624,0.546557,0.533253,0.829643,0.645559
2018_898_Croatia,Croatia,Hisense,group_or_knockout,3.831,0.84215,0.397553,0.718174,0.688495,0.6454
2022_925_Japan,Japan,Adidas,group_or_knockout,3.958,0.695215,0.511892,0.605775,0.711341,0.645394
1986_398_Belgium,Belgium,Visa,group_or_knockout,4.122,0.627351,0.480916,0.523741,0.704752,0.645274
1998_543_Netherlands,Netherlands,Hisense,group_or_knockout,3.987,0.532878,0.603486,0.57844,0.882297,0.645188
1994_493_Sweden,Sweden,Budweiser,group_or_knockout,4.274,0.474784,0.478738,0.538523,0.721092,0.645169
2010_759_Argentina,Argentina,Hyundai,group_or_knockout,4.055,0.596536,0.487975,0.57115,0.824585,0.645096
2022_949_United_States,United States,Mengniu,group_or_knockout,4.083,0.660566,0.76417,0.483941,0.252885,0.645072
2022_925_Costa_Rica,Costa Rica,Visa,group_or_knockout,3.958,0.695215,0.510362,0.658389,0.635323,0.644883
2018_891_Sweden,Sweden,Budweiser,group_or_knockout,3.927,0.652123,0.507691,0.706845,0.721092,0.644134
1986_405_France,France,Qatar Airways,group_or_knockout,4.227,0.444366,0.521879,0.507977,0.829643,0.643499
2022_951_Poland,Poland,Coca-Cola,group_or_knockout,4.079,0.671871,0.46118,0.494383,0.746106,0.643012
1982_310_Brazil,Brazil,Adidas,tournament,4.149,0.368712,0.622626,0.546659,0.900554,0.642025
2010_711_Argentina,Argentina,Hyundai,group_or_knockout,4.074,0.547543,0.475831,0.612254,0.824585,0.641655
1958_133_France,France,Qatar Airways,tournament,4.223,0.449133,0.523255,0.491083,0.829643,0.641637
2014_821_Chile,Chile,Hisense,group_or_knockout,4.361,0.516067,0.475707,0.367206,0.667483,0.641617
2002_621_Brazil,Brazil,Adidas,group_or_knockout,3.688,0.654109,0.666373,0.685549,0.900554,0.640693
2010_755_Brazil,Brazil,Adidas,group_or_knockout,3.578,0.644328,0.65575,0.870016,0.900554,0.640637
2018_880_Switzerland,Switzerland,Visa,group_or_knockout,3.976,0.634255,0.540342,0.579738,0.745008,0.640396
2006_707_Germany,Germany,Coca-Cola,group_or_knockout,4.053,0.56461,0.540259,0.51434,0.834073,0.640082
1998_565_Chile,Chile,Hisense,group_or_knockout,4.295,0.549051,0.478409,0.39429,0.667483,0.64006
2026_970_Morocco,Morocco,Coca-Cola,group_or_knockout,4.355,0.575409,0.49007,0.347063,0.534742,0.639973
2010_726_Argentina,Argentina,Hyundai,group_or_knockout,4.038,0.603504,0.489352,0.544742,0.824585,0.639808
2006_678_Germany,Germany,Coca-Cola,group_or_knockout,4.059,0.549678,0.536129,0.532359,0.834073,0.639767
2022_918_Ecuador,Ecuador,McDonald's,group_or_knockout,4.135,0.671139,0.581334,0.517151,0.356037,0.639767
2006_665_Argentina,Argentina,Hyundai,group_or_knockout,4.045,0.6031,0.489352,0.528852,0.824585,0.638883
1970_217_Romania,Romania,Qatar Airways,tournament,4.288,0.454219,0.456176,0.488864,0.780763,0.638375
1986_386_Russia,Russia,Hyundai,group_or_knockout,4.119,0.463283,0.535297,0.59131,0.802854,0.637642
1986_364_South_Korea,South Korea,Hisense,group_or_knockout,4.093,0.575476,0.517153,0.576779,0.660317,0.637614
2022_926_Germany,Germany,Coca-Cola,group_or_knockout,3.928,0.626207,0.550287,0.563805,0.834073,0.63757
1982_355_Italy,Italy,Visa,tournament,4.007,0.57062,0.467971,0.614845,0.874646,0.637397
2002_602_Spain,Spain,Budweiser,group_or_knockout,3.95,0.576784,0.59016,0.63127,0.728164,0.637092
2002_582_Saudi_Arabia,Saudi Arabia,Qatar Airways,group_or_knockout,4.041,0.630589,0.582352,0.457065,0.683783,0.636747
2018_865_Sweden,Sweden,Budweiser,group_or_knockout,4.032,0.622525,0.5043,0.555571,0.721092,0.63666
1998_544_Argentina,Argentina,Hyundai,group_or_knockout,4.047,0.571758,0.479715,0.571273,0.824585,0.636589
2014_781_Argentina,Argentina,Hyundai,group_or_knockout,4.045,0.578846,0.48178,0.557124,0.824585,0.636142
2018_852_Senegal,Senegal,Budweiser,group_or_knockout,3.734,0.716938,0.571626,0.692835,0.785861,0.636136
1950_70_Sweden,Sweden,Budweiser,tournament,4.28,0.442115,0.467725,0.529254,0.721092,0.635892
1982_359_Poland,Poland,Coca-Cola,tournament,3.773,0.718282,0.456208,0.810142,0.746106,0.635839
1986_400_Poland,Poland,Coca-Cola,group_or_knockout,4.284,0.500823,0.422046,0.471145,0.746106,0.635745
2018_859_Argentina,Argentina,Hyundai,group_or_knockout,4.03,0.601281,0.489352,0.530528,0.824585,0.635742
2022_958_Argentina,Argentina,Hyundai,group_or_knockout,4.004,0.626308,0.493924,0.521082,0.824585,0.635592
1966_186_Brazil,Brazil,Adidas,tournament,4.156,0.343041,0.615054,0.540139,0.900554,0.63549
2022_909_Germany,Germany,Coca-Cola,group_or_knockout,3.991,0.60891,0.549403,0.486945,0.834073,0.635341
1966_177_Brazil,Brazil,Adidas,tournament,4.151,0.344323,0.615742,0.542205,0.900554,0.635193
2014_782_France,France,Qatar Airways,group_or_knockout,4.099,0.541493,0.537855,0.45634,0.829643,0.635125
1962_154_Brazil,Brazil,Adidas,tournament,4.136,0.32428,0.606547,0.604082,0.900554,0.634816
2018_841_Australia,Australia,Mengniu,group_or_knockout,4.134,0.647773,0.647622,0.497072,0.258668,0.633812
2010_740_Spain,Spain,Budweiser,group_or_knockout,3.97,0.553882,0.585588,0.62057,0.728164,0.6337
2018_846_Germany,Germany,Coca-Cola,group_or_knockout,4.011,0.565076,0.538636,0.524159,0.834073,0.632937
2018_897_France,France,Qatar Airways,group_or_knockout,4.048,0.544173,0.53392,0.510348,0.829643,0.632452
1982_353_France,France,Qatar Airways,tournament,4.02,0.534538,0.528855,0.571114,0.829643,0.632374
1978_278_Peru,Peru,Budweiser,tournament,3.845,0.664581,0.508204,0.750551,0.676601,0.632372
2006_660_Spain,Spain,Budweiser,group_or_knockout,3.951,0.573897,0.588783,0.602323,0.728164,0.632355
2018_849_Belgium,Belgium,Visa,group_or_knockout,3.988,0.674803,0.482437,0.542858,0.704752,0.632085
2010_734_Netherlands,Netherlands,Hisense,group_or_knockout,3.938,0.505781,0.589225,0.614222,0.882297,0.63195
2022_929_Cameroon,Cameroon,Hyundai,group_or_knockout,3.898,0.780594,0.467427,0.556941,0.654762,0.631778
1986_411_France,France,Qatar Airways,group_or_knockout,4.034,0.545334,0.534608,0.522125,0.829643,0.631703
2014_832_Netherlands,Netherlands,Hisense,group_or_knockout,3.96,0.495383,0.588783,0.593866,0.882297,0.631096
2014_803_South_Korea,South Korea,Hisense,group_or_knockout,3.771,0.777379,0.5523,0.623795,0.660317,0.631073
1998_537_France,France,Qatar Airways,group_or_knockout,4.082,0.521607,0.53166,0.489235,0.829643,0.630868
1982_312_El_Salvador,El Salvador,Budweiser,tournament,4.303,0.646742,0.392652,0.32692,0.592808,0.630804
1978_281_Hungary,Hungary,Adidas,tournament,4.097,0.485844,0.563571,0.58099,0.691749,0.630776
2022_962_France,France,Qatar Airways,group_or_knockout,4.044,0.560425,0.53805,0.471961,0.829643,0.630603
2014_808_Netherlands,Netherlands,Hisense,group_or_knockout,3.93,0.525002,0.594732,0.577875,0.882297,0.630494
1974_263_Germany,Germany,Coca-Cola,tournament,4.047,0.509724,0.523738,0.560875,0.834073,0.630358
2014_799_Argentina,Argentina,Hyundai,group_or_knockout,4.05,0.542267,0.470078,0.58115,0.824585,0.630344
2010_715_Germany,Germany,Coca-Cola,group_or_knockout,4.012,0.568844,0.538636,0.496391,0.834073,0.630077
2010_765_Brazil,Brazil,Adidas,group_or_knockout,3.877,0.525365,0.64263,0.567407,0.900554,0.629044
1970_229_Brazil,Brazil,Adidas,tournament,4.144,0.335063,0.608612,0.530879,0.900554,0.628899
1966_170_Brazil,Brazil,Adidas,tournament,4.165,0.294922,0.599222,0.574402,0.900554,0.628636
2014_825_France,France,Qatar Airways,group_or_knockout,4.054,0.536766,0.533478,0.484562,0.829643,0.628322
1954_77_Brazil,Brazil,Adidas,tournament,4.148,0.310939,0.60404,0.558915,0.900554,0.627487
2006_688_Brazil,Brazil,Adidas,group_or_knockout,3.776,0.570917,0.646462,0.616716,0.900554,0.626625
2014_826_Germany,Germany,Coca-Cola,group_or_knockout,4.027,0.55204,0.532441,0.484831,0.834073,0.626621
1982_340_France,France,Qatar Airways,tournament,4.047,0.482791,0.515334,0.589946,0.829643,0.626547
2006_693_Argentina,Argentina,Hyundai,group_or_knockout,4.021,0.554513,0.471208,0.573019,0.824585,0.626351
1978_297_Brazil,Brazil,Adidas,tournament,4.151,0.328224,0.608859,0.50998,0.900554,0.625901
2002_616_Senegal,Senegal,Budweiser,group_or_knockout,3.887,0.638782,0.557715,0.541804,0.785861,0.62564
2018_863_Belgium,Belgium,Visa,group_or_knockout,3.948,0.723323,0.490892,0.462969,0.704752,0.625163
2006_672_France,France,Qatar Airways,group_or_knockout,4.056,0.519576,0.52866,0.492043,0.829643,0.625117
2006_694_Germany,Germany,Coca-Cola,group_or_knockout,4.023,0.524838,0.524869,0.529609,0.834073,0.62475
1962_138_Brazil,Brazil,Adidas,tournament,4.15,0.284314,0.59578,0.585336,0.900554,0.624238
1978_281_Italy,Italy,Visa,tournament,4.097,0.485844,0.447372,0.552249,0.874646,0.624126
2014_800_Germany,Germany,Coca-Cola,group_or_knockout,3.987,0.580925,0.539766,0.468345,0.834073,0.624053
