match_id,year,team_a,team_b,stage,neutral_site,host_advantage_a,stadium_capacity_k,temperature_c,humidity,weather,event_attention_m,media_reposts_k,result,city,country,date
15,1930,Argentina,Chile,tournament,True,0.0,64.1,14.5,38.4,cloudy,33.8,98.94,A_win,Montevideo,Uruguay,1930-07-22
16,1930,Argentina,United States,tournament,True,0.0,46.8,25.7,23.1,clear,40.4,60.05,A_win,Montevideo,Uruguay,1930-07-26
17,1930,Uruguay,Yugoslavia,tournament,False,0.18,62.8,25.8,51.9,windy,40.4,112.45,A_win,Montevideo,Uruguay,1930-07-27
18,1930,Uruguay,Argentina,tournament,False,0.18,45.5,13.8,29.2,cloudy,38.2,235.07,A_win,Montevideo,Uruguay,1930-07-30
19,1934,Argentina,Sweden,tournament,True,0.0,69.4,24.4,46.0,rain,37.46,136.44,B_win,Bologna,Italy,1934-05-27
20,1934,Austria,France,tournament,True,0.0,57.4,27.4,43.5,cloudy,37.46,85.3,A_win,Turin,Italy,1934-05-27
21,1934,Belgium,Germany,tournament,True,0.0,55.6,25.2,44.1,rain,41.86,141.15,B_win,Florence,Italy,1934-05-27
22,1934,Brazil,Spain,tournament,True,0.0,49.1,26.8,90.0,rain,35.26,81.86,B_win,Genoa,Italy,1934-05-27
23,1934,Czechoslovakia,Romania,tournament,True,0.0,73.9,14.6,58.9,hot,33.06,64.67,A_win,Trieste,Italy,1934-05-27
24,1934,Egypt,Hungary,tournament,True,0.0,56.0,25.0,61.9,cloudy,39.66,102.8,B_win,Naples,Italy,1934-05-27
25,1934,Italy,United States,tournament,False,0.18,52.4,21.2,29.6,clear,44.06,129.18,A_win,Rome,Italy,1934-05-27
26,1934,Netherlands,Switzerland,tournament,True,0.0,53.4,20.1,47.5,clear,37.46,63.38,B_win,Milan,Italy,1934-05-27
27,1934,Austria,Hungary,tournament,True,0.0,64.9,28.2,61.4,cloudy,33.06,68.48,A_win,Bologna,Italy,1934-05-31
28,1934,Czechoslovakia,Switzerland,tournament,True,0.0,62.8,31.9,41.6,clear,37.46,107.36,A_win,Turin,Italy,1934-05-31
29,1934,Germany,Sweden,tournament,True,0.0,63.4,33.8,72.5,clear,33.06,84.27,A_win,Milan,Italy,1934-05-31
30,1934,Italy,Spain,tournament,False,0.18,63.6,30.9,38.8,clear,30.86,98.5,draw,Florence,Italy,1934-05-31
31,1934,Italy,Spain,tournament,False,0.18,85.8,22.3,53.4,cloudy,28.66,58.29,A_win,Florence,Italy,1934-06-01
32,1934,Czechoslovakia,Germany,tournament,True,0.0,52.7,25.1,48.6,clear,35.26,123.06,A_win,Rome,Italy,1934-06-03
33,1934,Italy,Austria,tournament,False,0.18,51.3,27.6,60.6,cloudy,28.66,58.79,A_win,Milan,Italy,1934-06-03
34,1934,Austria,Germany,tournament,True,0.0,47.4,23.7,47.8,rain,37.46,169.57,B_win,Naples,Italy,1934-06-07
35,1934,Italy,Czechoslovakia,tournament,False,0.18,66.0,23.8,53.7,hot,33.06,58.43,A_win,Rome,Italy,1934-06-10
36,1938,Germany,Switzerland,tournament,True,0.0,72.7,27.9,54.2,clear,32.32,68.02,draw,Paris,France,1938-06-04
37,1938,Brazil,Poland,tournament,True,0.0,56.5,22.6,46.2,cloudy,52.12,167.4,A_win,Strasbourg,France,1938-06-05
38,1938,Cuba,Romania,tournament,True,0.0,47.1,18.6,65.8,cloudy,41.12,187.26,draw,Toulouse,France,1938-06-05
39,1938,Czechoslovakia,Netherlands,tournament,True,0.0,47.3,20.5,61.8,cloudy,34.52,107.74,A_win,Le Havre,France,1938-06-05
40,1938,France,Belgium,tournament,False,0.18,66.5,26.8,56.6,cloudy,36.72,122.84,A_win,Colombes,France,1938-06-05
41,1938,Hungary,Indonesia,tournament,True,0.0,67.7,23.0,51.1,clear,41.12,118.09,A_win,Reims,France,1938-06-05
42,1938,Italy,Norway,tournament,True,0.0,65.1,25.0,70.7,windy,34.52,74.01,A_win,Marseille,France,1938-06-05
43,1938,Cuba,Romania,tournament,True,0.0,49.3,27.0,54.2,clear,34.52,86.0,A_win,Toulouse,France,1938-06-09
44,1938,Germany,Switzerland,tournament,True,0.0,61.0,20.8,53.1,hot,41.12,83.69,B_win,Paris,France,1938-06-09
45,1938,Brazil,Czechoslovakia,tournament,True,0.0,59.5,27.5,59.7,cloudy,32.32,64.56,draw,Bordeaux,France,1938-06-12
46,1938,Cuba,Sweden,tournament,True,0.0,60.8,25.3,85.1,clear,45.52,145.57,B_win,Antibes,France,1938-06-12
47,1938,France,Italy,tournament,False,0.18,69.3,15.6,36.6,rain,36.72,76.62,B_win,Colombes,France,1938-06-12
48,1938,Hungary,Switzerland,tournament,True,0.0,60.9,31.7,70.3,clear,32.32,101.0,A_win,Lille,France,1938-06-12
49,1938,Brazil,Czechoslovakia,tournament,True,0.0,66.8,20.0,27.7,rain,34.52,68.51,A_win,Bordeaux,France,1938-06-14
50,1938,Brazil,Italy,tournament,True,0.0,58.9,13.1,61.5,cloudy,34.52,107.18,B_win,Marseille,France,1938-06-16
51,1938,Hungary,Sweden,tournament,True,0.0,61.8,16.7,83.2,clear,41.12,102.48,A_win,Paris,France,1938-06-16
52,1938,Brazil,Sweden,tournament,True,0.0,66.2,16.9,65.8,clear,41.12,174.22,A_win,Bordeaux,France,1938-06-19
53,1938,Hungary,Italy,tournament,True,0.0,39.1,23.3,60.7,rain,41.12,128.66,B_win,Colombes,France,1938-06-19
54,1950,Brazil,Mexico,tournament,False,0.18,53.8,21.4,49.0,clear,41.09,165.97,A_win,Rio de Janeiro,Brazil,1950-06-24
55,1950,Chile,England,tournament,True,0.0,51.9,21.0,58.5,hot,36.69,84.85,B_win,Rio de Janeiro,Brazil,1950-06-25
56,1950,Italy,Sweden,tournament,True,0.0,49.7,26.7,54.0,rain,43.29,125.67,B_win,São Paulo,Brazil,1950-06-25
57,1950,Spain,United States,tournament,True,0.0,54.4,25.0,45.4,rain,41.09,89.22,A_win,Curitiba,Brazil,1950-06-25
58,1950,Switzerland,Yugoslavia,tournament,True,0.0,77.4,24.9,53.4,clear,38.89,98.98,B_win,Belo Horizonte,Brazil,1950-06-25
59,1950,Brazil,Switzerland,tournament,False,0.18,46.7,25.5,61.2,rain,41.09,109.11,draw,São Paulo,Brazil,1950-06-28
60,1950,Mexico,Yugoslavia,tournament,True,0.0,70.6,26.7,45.7,windy,43.29,100.96,B_win,Porto Alegre,Brazil,1950-06-28
61,1950,Chile,Spain,tournament,True,0.0,36.1,10.4,45.1,clear,36.69,74.6,B_win,Rio de Janeiro,Brazil,1950-06-29
62,1950,England,United States,tournament,True,0.0,53.6,20.8,36.2,clear,34.49,66.35,B_win,Belo Horizonte,Brazil,1950-06-29
63,1950,Paraguay,Sweden,tournament,True,0.0,60.1,9.9,64.3,clear,41.09,60.99,draw,Curitiba,Brazil,1950-06-29
64,1950,Brazil,Yugoslavia,tournament,False,0.18,65.6,23.2,66.7,clear,36.69,78.0,A_win,Rio de Janeiro,Brazil,1950-07-01
65,1950,Bolivia,Uruguay,tournament,True,0.0,67.2,23.0,61.7,rain,49.89,169.95,B_win,Belo Horizonte,Brazil,1950-07-02
66,1950,Chile,United States,tournament,True,0.0,68.3,29.3,73.4,cloudy,47.69,87.11,A_win,Recife,Brazil,1950-07-02
67,1950,England,Spain,tournament,True,0.0,53.5,30.1,59.4,cloudy,34.49,67.19,B_win,Rio de Janeiro,Brazil,1950-07-02
68,1950,Italy,Paraguay,tournament,True,0.0,52.0,24.2,64.3,clear,36.69,173.11,A_win,São Paulo,Brazil,1950-07-02
69,1950,Mexico,Switzerland,tournament,True,0.0,69.2,20.0,62.9,clear,38.89,92.99,B_win,Porto Alegre,Brazil,1950-07-02
70,1950,Brazil,Sweden,tournament,False,0.18,55.5,25.9,56.5,clear,49.89,155.98,A_win,Rio de Janeiro,Brazil,1950-07-09
71,1950,Spain,Uruguay,tournament,True,0.0,41.4,19.8,49.5,hot,41.09,140.56,draw,São Paulo,Brazil,1950-07-09
72,1950,Brazil,Spain,tournament,False,0.18,43.3,23.0,93.4,cloudy,47.69,164.06,A_win,Rio de Janeiro,Brazil,1950-07-13
73,1950,Sweden,Uruguay,tournament,True,0.0,46.0,28.9,50.8,clear,43.29,80.78,B_win,São Paulo,Brazil,1950-07-13
74,1950,Brazil,Uruguay,tournament,False,0.18,64.5,19.7,47.3,rain,38.89,104.17,B_win,Rio de Janeiro,Brazil,1950-07-16
75,1950,Spain,Sweden,tournament,True,0.0,59.9,27.8,64.9,clear,41.09,74.64,B_win,São Paulo,Brazil,1950-07-16
76,1954,Austria,Scotland,tournament,True,0.0,67.0,27.1,62.0,clear,35.95,203.79,A_win,Zürich,Switzerland,1954-06-16
77,1954,Brazil,Mexico,tournament,True,0.0,52.4,17.3,35.5,clear,44.75,81.82,A_win,Geneva,Switzerland,1954-06-16
78,1954,Czechoslovakia,Uruguay,tournament,True,0.0,60.1,28.8,76.0,windy,38.15,81.3,B_win,Bern,Switzerland,1954-06-16
79,1954,France,Yugoslavia,tournament,True,0.0,66.1,27.2,56.5,rain,35.95,76.77,B_win,Lausanne,Switzerland,1954-06-16
80,1954,Belgium,England,tournament,True,0.0,54.0,23.6,40.2,cloudy,51.35,96.51,draw,Basel,Switzerland,1954-06-17
81,1954,Germany,Turkey,tournament,True,0.0,63.9,18.4,77.0,clear,44.75,186.76,A_win,Bern,Switzerland,1954-06-17
82,1954,Hungary,South Korea,tournament,True,0.0,49.4,17.8,68.0,clear,53.55,301.54,A_win,Zürich,Switzerland,1954-06-17
83,1954,Switzerland,Italy,tournament,False,0.18,53.3,19.8,37.8,cloudy,40.35,100.93,A_win,Lausanne,Switzerland,1954-06-17
84,1954,Austria,Czechoslovakia,tournament,True,0.0,53.0,26.3,86.4,clear,44.75,88.36,A_win,Zürich,Switzerland,1954-06-19
85,1954,Brazil,Yugoslavia,tournament,True,0.0,42.5,17.3,68.5,windy,38.15,58.28,draw,Lausanne,Switzerland,1954-06-19
86,1954,France,Mexico,tournament,True,0.0,64.3,25.6,57.8,rain,44.75,119.43,A_win,Geneva,Switzerland,1954-06-19
87,1954,Scotland,Uruguay,tournament,True,0.0,51.9,15.5,83.4,cloudy,49.15,128.55,B_win,Basel,Switzerland,1954-06-19
88,1954,Belgium,Italy,tournament,True,0.0,58.2,21.8,60.5,rain,44.75,106.56,B_win,Lugano,Switzerland,1954-06-20
89,1954,Germany,Hungary,tournament,True,0.0,64.2,23.7,57.6,windy,57.95,176.19,B_win,Basel,Switzerland,1954-06-20
90,1954,South Korea,Turkey,tournament,True,0.0,63.8,37.7,47.4,cloudy,49.15,156.89,B_win,Geneva,Switzerland,1954-06-20
91,1954,Switzerland,England,tournament,False,0.18,66.7,14.7,67.3,cloudy,38.15,119.34,B_win,Bern,Switzerland,1954-06-20
92,1954,Germany,Turkey,tournament,True,0.0,56.7,31.8,65.6,hot,53.55,140.06,A_win,Zürich,Switzerland,1954-06-23
93,1954,Switzerland,Italy,tournament,False,0.18,52.5,23.9,58.2,clear,44.75,93.94,A_win,Basel,Switzerland,1954-06-23
94,1954,England,Uruguay,tournament,True,0.0,57.0,25.5,45.4,hot,46.95,161.66,B_win,Basel,Switzerland,1954-06-26
95,1954,Switzerland,Austria,tournament,False,0.18,36.1,23.7,60.1,clear,60.15,172.49,B_win,Lausanne,Switzerland,1954-06-26
96,1954,Brazil,Hungary,tournament,True,0.0,39.2,25.7,56.9,cloudy,46.95,172.06,B_win,Bern,Switzerland,1954-06-27
97,1954,Germany,Yugoslavia,tournament,True,0.0,40.8,22.1,36.7,rain,38.15,136.01,A_win,Geneva,Switzerland,1954-06-27
98,1954,Austria,Germany,tournament,True,0.0,45.0,31.7,34.5,cloudy,49.15,94.33,B_win,Basel,Switzerland,1954-06-30
99,1954,Hungary,Uruguay,tournament,True,0.0,63.2,20.3,67.0,cloudy,46.95,89.79,A_win,Lausanne,Switzerland,1954-06-30
100,1954,Austria,Uruguay,tournament,True,0.0,46.2,29.8,16.4,cloudy,42.55,98.41,A_win,Zürich,Switzerland,1954-07-03
101,1954,Germany,Hungary,tournament,True,0.0,53.1,19.1,61.3,clear,44.75,95.14,A_win,Bern,Switzerland,1954-07-04
102,1958,Argentina,Germany,tournament,True,0.0,74.9,22.6,50.4,clear,44.01,155.38,B_win,Malmö,Sweden,1958-06-08
103,1958,Austria,Brazil,tournament,True,0.0,53.4,16.6,78.9,clear,41.81,131.83,B_win,Uddevalla,Sweden,1958-06-08
104,1958,Czechoslovakia,Northern Ireland,tournament,True,0.0,67.6,25.7,50.1,cloudy,37.41,145.43,B_win,Halmstad,Sweden,1958-06-08
105,1958,England,Russia,tournament,True,0.0,45.9,31.7,68.6,cloudy,44.01,140.53,draw,Gothenburg,Sweden,1958-06-08
106,1958,France,Paraguay,tournament,True,0.0,55.3,22.5,51.6,clear,57.21,173.32,A_win,Norrköping,Sweden,1958-06-08
107,1958,Hungary,Wales,tournament,True,0.0,45.6,21.8,59.8,hot,39.61,158.38,draw,Sandviken,Sweden,1958-06-08
108,1958,Scotland,Yugoslavia,tournament,True,0.0,53.6,16.3,69.8,clear,39.61,129.1,draw,Västerås,Sweden,1958-06-08
109,1958,Sweden,Mexico,tournament,False,0.18,68.9,21.6,50.6,cloudy,41.81,121.78,A_win,Solna,Sweden,1958-06-08
110,1958,Argentina,Northern Ireland,tournament,True,0.0,35.5,13.4,73.9,clear,44.01,190.37,A_win,Halmstad,Sweden,1958-06-11
111,1958,Austria,Russia,tournament,True,0.0,63.6,17.5,42.1,clear,39.61,116.9,B_win,Borås,Sweden,1958-06-11
112,1958,Brazil,England,tournament,True,0.0,61.1,24.4,62.7,rain,35.21,92.4,draw,Gothenburg,Sweden,1958-06-11
113,1958,Czechoslovakia,Germany,tournament,True,0.0,50.3,30.9,72.8,cloudy,44.01,99.47,draw,Helsingborg,Sweden,1958-06-11
114,1958,France,Yugoslavia,tournament,True,0.0,39.2,39.0,68.6,clear,46.21,160.78,B_win,Västerås,Sweden,1958-06-11
115,1958,Mexico,Wales,tournament,True,0.0,58.9,19.5,88.7,windy,39.61,160.05,draw,Solna,Sweden,1958-06-11
116,1958,Paraguay,Scotland,tournament,True,0.0,51.1,31.6,45.8,rain,46.21,130.19,A_win,Norrköping,Sweden,1958-06-11
117,1958,Sweden,Hungary,tournament,False,0.18,61.0,24.5,35.9,rain,41.81,172.32,A_win,Solna,Sweden,1958-06-12
118,1958,Argentina,Czechoslovakia,tournament,True,0.0,58.3,22.1,42.1,hot,50.61,83.31,B_win,Helsingborg,Sweden,1958-06-15
119,1958,Austria,England,tournament,True,0.0,78.8,25.6,68.6,hot,44.01,123.83,draw,Borås,Sweden,1958-06-15
120,1958,Brazil,Russia,tournament,True,0.0,54.9,23.4,66.0,clear,39.61,111.93,A_win,Gothenburg,Sweden,1958-06-15
121,1958,France,Scotland,tournament,True,0.0,44.7,23.7,59.6,cloudy,41.81,97.47,A_win,Örebro,Sweden,1958-06-15
122,1958,Germany,Northern Ireland,tournament,True,0.0,60.3,20.6,40.0,cloudy,44.01,245.16,draw,Malmö,Sweden,1958-06-15
123,1958,Hungary,Mexico,tournament,True,0.0,60.9,14.6,70.3,clear,44.01,123.46,A_win,Sandviken,Sweden,1958-06-15
124,1958,Paraguay,Yugoslavia,tournament,True,0.0,75.7,13.7,38.4,clear,48.41,123.41,draw,Eskilstuna,Sweden,1958-06-15
125,1958,Sweden,Wales,tournament,False,0.18,68.9,26.9,76.5,clear,35.21,101.35,draw,Solna,Sweden,1958-06-15
126,1958,Czechoslovakia,Northern Ireland,tournament,True,0.0,62.6,21.3,96.0,cloudy,41.81,68.19,B_win,Malmö,Sweden,1958-06-17
127,1958,England,Russia,tournament,True,0.0,77.0,19.4,63.9,rain,37.41,86.42,B_win,Gothenburg,Sweden,1958-06-17
128,1958,Hungary,Wales,tournament,True,0.0,42.5,23.1,67.3,rain,41.81,157.35,B_win,Solna,Sweden,1958-06-17
129,1958,Brazil,Wales,tournament,True,0.0,49.7,27.8,50.1,clear,37.41,89.64,A_win,Gothenburg,Sweden,1958-06-19
130,1958,France,Northern Ireland,tournament,True,0.0,46.0,24.1,29.0,clear,44.01,99.72,A_win,Norrköping,Sweden,1958-06-19
131,1958,Germany,Yugoslavia,tournament,True,0.0,52.9,19.1,48.4,cloudy,37.41,154.25,A_win,Malmö,Sweden,1958-06-19
132,1958,Sweden,Russia,tournament,False,0.18,40.1,30.4,40.5,cloudy,39.61,164.74,A_win,Solna,Sweden,1958-06-19
133,1958,Brazil,France,tournament,True,0.0,66.3,32.5,34.8,hot,50.61,167.15,A_win,Solna,Sweden,1958-06-24
134,1958,Sweden,Germany,tournament,False,0.18,55.1,26.0,85.6,hot,44.01,110.72,A_win,Gothenburg,Sweden,1958-06-24
135,1958,France,Germany,tournament,True,0.0,38.9,28.8,62.4,hot,55.01,147.0,A_win,Gothenburg,Sweden,1958-06-28
136,1958,Sweden,Brazil,tournament,False,0.18,44.8,30.5,64.1,hot,50.61,115.47,B_win,Solna,Sweden,1958-06-29
137,1962,Argentina,Bulgaria,tournament,True,0.0,62.1,29.8,53.1,windy,38.87,84.07,A_win,Rancagua,Chile,1962-05-30
138,1962,Brazil,Mexico,tournament,True,0.0,68.9,26.7,55.2,cloudy,41.07,87.61,A_win,Viña del Mar,Chile,1962-05-30
139,1962,Chile,Switzerland,tournament,False,0.18,84.0,26.6,73.4,clear,45.47,109.29,A_win,Santiago,Chile,1962-05-30
140,1962,Colombia,Uruguay,tournament,True,0.0,95.0,26.1,57.5,clear,43.27,92.55,B_win,Arica,Chile,1962-05-30
141,1962,Czechoslovakia,Spain,tournament,True,0.0,63.4,16.4,66.5,clear,38.87,71.69,A_win,Viña del Mar,Chile,1962-05-31
142,1962,England,Hungary,tournament,True,0.0,45.1,27.2,54.9,clear,43.27,131.48,B_win,Rancagua,Chile,1962-05-31
143,1962,Germany,Italy,tournament,True,0.0,30.3,14.9,52.5,clear,36.67,111.9,draw,Santiago,Chile,1962-05-31
144,1962,Russia,Yugoslavia,tournament,True,0.0,61.5,18.2,35.5,windy,41.07,188.95,A_win,Arica,Chile,1962-05-31
145,1962,Argentina,England,tournament,True,0.0,47.4,30.8,26.4,clear,45.47,107.76,B_win,Rancagua,Chile,1962-06-02
146,1962,Brazil,Czechoslovakia,tournament,True,0.0,52.6,28.0,53.8,windy,36.67,113.85,draw,Viña del Mar,Chile,1962-06-02
147,1962,Chile,Italy,tournament,False,0.18,50.0,31.9,58.9,rain,41.07,128.1,A_win,Santiago,Chile,1962-06-02
148,1962,Uruguay,Yugoslavia,tournament,True,0.0,56.2,21.4,37.4,cloudy,45.47,121.02,B_win,Arica,Chile,1962-06-02
149,1962,Bulgaria,Hungary,tournament,True,0.0,71.9,16.1,57.4,rain,52.07,183.28,B_win,Rancagua,Chile,1962-06-03
150,1962,Colombia,Russia,tournament,True,0.0,60.0,21.6,58.9,clear,54.27,192.68,draw,Arica,Chile,1962-06-03
151,1962,Germany,Switzerland,tournament,True,0.0,55.9,23.6,23.5,cloudy,43.27,135.52,A_win,Santiago,Chile,1962-06-03
152,1962,Mexico,Spain,tournament,True,0.0,44.5,23.5,43.4,clear,38.87,103.4,B_win,Viña del Mar,Chile,1962-06-03
153,1962,Argentina,Hungary,tournament,True,0.0,36.2,29.8,64.5,windy,36.67,94.81,draw,Rancagua,Chile,1962-06-06
154,1962,Brazil,Spain,tournament,True,0.0,51.7,20.8,64.2,clear,43.27,84.31,A_win,Viña del Mar,Chile,1962-06-06
155,1962,Chile,Germany,tournament,False,0.18,57.3,25.1,39.5,clear,41.07,93.66,B_win,Santiago,Chile,1962-06-06
156,1962,Russia,Uruguay,tournament,True,0.0,81.0,17.1,60.5,rain,43.27,103.89,A_win,Arica,Chile,1962-06-06
157,1962,Bulgaria,England,tournament,True,0.0,59.7,25.7,74.4,cloudy,36.67,76.5,draw,Rancagua,Chile,1962-06-07
158,1962,Colombia,Yugoslavia,tournament,True,0.0,70.8,23.0,70.4,cloudy,47.67,154.08,B_win,Arica,Chile,1962-06-07
159,1962,Czechoslovakia,Mexico,tournament,True,0.0,51.5,18.5,56.5,cloudy,45.47,181.65,B_win,Viña del Mar,Chile,1962-06-07
160,1962,Italy,Switzerland,tournament,True,0.0,42.6,21.6,50.5,clear,43.27,95.89,A_win,Santiago,Chile,1962-06-07
161,1962,Brazil,England,tournament,True,0.0,45.5,21.9,47.9,rain,45.47,140.67,A_win,Viña del Mar,Chile,1962-06-10
162,1962,Chile,Russia,tournament,False,0.18,48.6,21.4,65.5,clear,43.27,92.56,A_win,Arica,Chile,1962-06-10
163,1962,Czechoslovakia,Hungary,tournament,True,0.0,85.7,33.6,61.1,clear,38.87,101.99,A_win,Rancagua,Chile,1962-06-10
164,1962,Germany,Yugoslavia,tournament,True,0.0,47.3,22.4,68.1,clear,38.87,91.55,B_win,Santiago,Chile,1962-06-10
165,1962,Chile,Brazil,tournament,False,0.18,68.9,21.5,60.1,clear,49.87,168.67,B_win,Santiago,Chile,1962-06-13
166,1962,Czechoslovakia,Yugoslavia,tournament,True,0.0,46.3,10.4,71.1,clear,45.47,107.45,A_win,Viña del Mar,Chile,1962-06-13
167,1962,Chile,Yugoslavia,tournament,False,0.18,70.1,17.6,59.5,cloudy,38.87,147.45,A_win,Santiago,Chile,1962-06-16
168,1962,Brazil,Czechoslovakia,tournament,True,0.0,63.0,21.4,70.6,clear,45.47,121.3,A_win,Santiago,Chile,1962-06-17
169,1966,England,Uruguay,tournament,False,0.18,56.0,18.9,71.9,clear,38.12,90.82,draw,London,England,1966-07-11
170,1966,Brazil,Bulgaria,tournament,True,0.0,57.5,31.3,45.1,cloudy,42.52,85.55,A_win,Liverpool,England,1966-07-12
171,1966,Germany,Switzerland,tournament,True,0.0,49.5,22.0,29.1,clear,49.12,150.68,A_win,Sheffield,England,1966-07-12
172,1966,North Korea,Russia,tournament,True,0.0,63.8,30.7,82.7,rain,44.72,164.2,B_win,Middlesbrough,England,1966-07-12
173,1966,Argentina,Spain,tournament,True,0.0,52.1,23.4,62.1,windy,44.72,137.96,A_win,Birmingham,England,1966-07-13
174,1966,Chile,Italy,tournament,True,0.0,42.1,23.2,30.6,cloudy,42.52,227.43,B_win,Sunderland,England,1966-07-13
175,1966,France,Mexico,tournament,True,0.0,41.4,22.5,46.6,hot,42.52,181.33,draw,London,England,1966-07-13
176,1966,Hungary,Portugal,tournament,True,0.0,60.2,23.0,70.3,clear,46.92,123.02,B_win,Manchester,England,1966-07-13
177,1966,Brazil,Hungary,tournament,True,0.0,78.5,33.3,53.5,clear,46.92,122.66,B_win,Liverpool,England,1966-07-15
178,1966,Chile,North Korea,tournament,True,0.0,60.1,9.1,49.8,rain,42.52,138.59,draw,Middlesbrough,England,1966-07-15
179,1966,France,Uruguay,tournament,True,0.0,56.5,11.0,80.4,rain,44.72,101.07,B_win,London,England,1966-07-15
180,1966,Spain,Switzerland,tournament,True,0.0,61.7,19.7,41.2,hot,44.72,177.15,A_win,Sheffield,England,1966-07-15
181,1966,Argentina,Germany,tournament,True,0.0,75.0,23.1,45.2,clear,38.12,120.54,draw,Birmingham,England,1966-07-16
182,1966,Bulgaria,Portugal,tournament,True,0.0,60.9,27.1,61.4,rain,44.72,137.31,B_win,Manchester,England,1966-07-16
183,1966,England,Mexico,tournament,False,0.18,52.7,25.8,64.2,clear,42.52,147.28,A_win,London,England,1966-07-16
184,1966,Italy,Russia,tournament,True,0.0,72.4,20.7,65.9,clear,40.33,186.7,B_win,Sunderland,England,1966-07-16
185,1966,Argentina,Switzerland,tournament,True,0.0,63.6,29.1,72.6,clear,42.52,127.47,A_win,Sheffield,England,1966-07-19
186,1966,Brazil,Portugal,tournament,True,0.0,78.0,29.2,61.2,windy,46.92,129.9,B_win,Liverpool,England,1966-07-19
187,1966,Italy,North Korea,tournament,True,0.0,60.4,24.1,65.8,clear,40.33,175.83,B_win,Middlesbrough,England,1966-07-19
188,1966,Mexico,Uruguay,tournament,True,0.0,42.1,28.8,53.9,hot,38.12,142.83,draw,London,England,1966-07-19
189,1966,Bulgaria,Hungary,tournament,True,0.0,40.2,24.6,59.0,cloudy,46.92,122.56,B_win,Manchester,England,1966-07-20
190,1966,Chile,Russia,tournament,True,0.0,79.5,19.6,59.7,rain,44.72,127.98,B_win,Sunderland,England,1966-07-20
191,1966,England,France,tournament,False,0.18,80.4,27.2,61.4,rain,42.52,128.34,A_win,London,England,1966-07-20
192,1966,Germany,Spain,tournament,True,0.0,55.7,23.7,70.4,hot,44.72,141.42,A_win,Birmingham,England,1966-07-20
193,1966,England,Argentina,tournament,False,0.18,53.0,23.0,66.9,clear,40.33,78.83,A_win,London,England,1966-07-23
194,1966,Germany,Uruguay,tournament,True,0.0,77.0,31.8,58.7,clear,46.92,87.06,A_win,Sheffield,England,1966-07-23
195,1966,Hungary,Russia,tournament,True,0.0,43.6,8.3,45.1,cloudy,44.72,99.68,B_win,Sunderland,England,1966-07-23
196,1966,North Korea,Portugal,tournament,True,0.0,46.4,14.5,59.1,clear,55.72,121.54,B_win,Liverpool,England,1966-07-23
197,1966,Germany,Russia,tournament,True,0.0,66.4,15.9,57.6,clear,44.72,106.71,A_win,Liverpool,England,1966-07-25
198,1966,England,Portugal,tournament,False,0.18,52.9,20.8,61.1,clear,44.72,152.65,A_win,London,England,1966-07-26
199,1966,Portugal,Russia,tournament,True,0.0,57.9,21.5,93.3,clear,44.72,121.89,A_win,London,England,1966-07-28
200,1966,England,Germany,tournament,False,0.18,55.9,14.0,49.6,clear,51.32,154.95,A_win,London,England,1966-07-30
